#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68491at6656_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+     -             51 68491at6656          -            382   1.6e-21   74.2   0.1   1   1   5.8e-24   1.6e-21   74.1   0.1   237   284     1    51     1    51 0.89 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+ -            154 68491at6656          -            382    0.0018   14.7   2.0   1   2      0.39   1.1e+02   -1.0   0.0   299   324    15    40     9    54 0.64 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+ -            154 68491at6656          -            382    0.0018   14.7   2.0   2   2   1.2e-05    0.0034   13.8   1.4   236   327    57   146    28   154 0.69 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+ -            721 68491at6656          -            382    0.0018   14.7   5.0   1   4     0.006       1.7    4.9   0.1   241   325    27   111     6   130 0.71 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+ -            721 68491at6656          -            382    0.0018   14.7   5.0   2   4    0.0022       0.6    6.4   0.0   199   259   375   435   352   438 0.86 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+ -            721 68491at6656          -            382    0.0018   14.7   5.0   3   4      0.21        57   -0.1   0.1   164   188   479   503   465   547 0.67 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+ -            721 68491at6656          -            382    0.0018   14.7   5.0   4   4     0.065        18    1.5   0.1   193   230   667   705   660   715 0.81 -
68491at6656_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+  -            102 68491at6656          -            382    0.0026   14.2   0.0   1   1   1.4e-05    0.0038   13.6   0.0   338   366     8    38     4    56 0.78 -
113817at6656_132113_0:002d6c|TRINITY_DN86577_c6_g1_i2:448-1038|+ -            197 68491at6656          -            382    0.0051   13.2   0.3   1   1   2.6e-05    0.0071   12.8   0.3   205   262    76   136    66   141 0.88 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+   -            358 68491at6656          -            382    0.0053   13.2   0.6   1   2   0.00013     0.035   10.5   0.3   201   366    77   246    62   262 0.79 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+   -            358 68491at6656          -            382    0.0053   13.2   0.6   2   2      0.19        51    0.0   0.0   213   271   259   320   246   349 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/68491at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
