#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 50947at6656          -            438  6.8e-224  741.1   7.8   1   1  3.7e-225  8.3e-224  740.8   7.8    52   438    39   447    11   447 0.92 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 50947at6656          -            438   8.5e-24   81.7   0.6   1   2   1.2e-15   2.8e-14   50.4   0.2   163   274     8   118     1   121 0.87 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 50947at6656          -            438   8.5e-24   81.7   0.6   2   2     2e-09   4.5e-08   29.9   0.0   154   231   163   241   151   242 0.88 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 50947at6656          -            438   5.7e-23   79.0   2.3   1   3   4.2e-15   9.4e-14   48.6   0.1   196   315     5   125     2   128 0.91 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 50947at6656          -            438   5.7e-23   79.0   2.3   2   3   0.00011    0.0024   14.3   0.0   167   243   145   219   137   222 0.83 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 50947at6656          -            438   5.7e-23   79.0   2.3   3   3     9e-06    0.0002   17.9   0.3   367   434   217   284   215   288 0.81 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 50947at6656          -            438   1.4e-22   77.7   0.4   1   5   0.00051     0.011   12.1   0.0   212   316    28   133     2   139 0.84 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 50947at6656          -            438   1.4e-22   77.7   0.4   2   5   8.1e-06   0.00018   18.0   0.0   177   239   164   228   135   264 0.75 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 50947at6656          -            438   1.4e-22   77.7   0.4   3   5   0.00017    0.0039   13.6   0.1   153   235   376   460   370   501 0.82 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 50947at6656          -            438   1.4e-22   77.7   0.4   4   5      0.16       3.5    3.9   0.0   196   254   477   537   472   538 0.78 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 50947at6656          -            438   1.4e-22   77.7   0.4   5   5   1.9e-08   4.2e-07   26.7   0.0   155   243   522   609   516   654 0.87 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 50947at6656          -            438   1.8e-22   77.3   2.0   1   3   1.8e-07   4.1e-06   23.4   0.0   176   281     3   114     1   121 0.84 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 50947at6656          -            438   1.8e-22   77.3   2.0   2   3    0.0051      0.11    8.8   0.1   376   414   123   161   118   161 0.82 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 50947at6656          -            438   1.8e-22   77.3   2.0   3   3   1.4e-14   3.1e-13   46.9   0.8   151   260   153   262   151   269 0.86 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 50947at6656          -            438   2.7e-22   76.8   4.4   1   3   2.8e-11   6.2e-10   36.0   1.2   286   426    40   182    35   187 0.78 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 50947at6656          -            438   2.7e-22   76.8   4.4   2   3   6.4e-09   1.4e-07   28.2   0.0   255   315   183   243   176   255 0.92 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 50947at6656          -            438   2.7e-22   76.8   4.4   3   3     2e-08   4.4e-07   26.6   0.0   156   257   211   314   210   329 0.83 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 50947at6656          -            438   1.7e-21   74.1   2.3   1   3   0.00057     0.013   11.9   0.0   158   259    40   146    27   180 0.67 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 50947at6656          -            438   1.7e-21   74.1   2.3   2   3      0.01      0.23    7.8   0.0   247   280   180   213   168   217 0.90 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 50947at6656          -            438   1.7e-21   74.1   2.3   3   3   2.1e-16   4.6e-15   52.9   0.5   158   290   216   354   212   363 0.81 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 50947at6656          -            438   2.6e-21   73.5   0.8   1   3    0.0079      0.18    8.2   0.0   379   428     5    54     3    63 0.88 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 50947at6656          -            438   2.6e-21   73.5   0.8   2   3   7.4e-05    0.0016   14.9   0.1   258   316    54   111    50   118 0.87 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 50947at6656          -            438   2.6e-21   73.5   0.8   3   3   6.1e-15   1.4e-13   48.1   0.1   155   282   119   249   112   282 0.78 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 50947at6656          -            438   6.8e-21   72.1   0.4   1   2   1.9e-10   4.3e-09   33.2   0.1   156   231     1    77     1    84 0.88 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 50947at6656          -            438   6.8e-21   72.1   0.4   2   2   9.4e-12   2.1e-10   37.6   0.0   154   234    85   166    81   169 0.87 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 50947at6656          -            438   7.5e-21   72.0  10.5   1   4    0.0051      0.11    8.8   0.4   259   317   112   180   103   186 0.66 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 50947at6656          -            438   7.5e-21   72.0  10.5   2   4   6.8e-06   0.00015   18.3   1.0   157   234   144   227   135   239 0.80 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 50947at6656          -            438   7.5e-21   72.0  10.5   3   4   2.3e-09   5.2e-08   29.7   0.0   198   278   260   339   254   346 0.92 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 50947at6656          -            438   7.5e-21   72.0  10.5   4   4   8.3e-09   1.9e-07   27.9   0.5   155   230   346   421   342   424 0.95 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 50947at6656          -            438     1e-18   65.0   0.1   1   4   1.3e-05   0.00028   17.4   0.0   203   242     3    43     1    48 0.86 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 50947at6656          -            438     1e-18   65.0   0.1   2   4   2.8e-05   0.00062   16.3   0.0   155   232    85   160    75   179 0.84 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 50947at6656          -            438     1e-18   65.0   0.1   3   4      0.01      0.23    7.8   0.0   370   401   252   281   222   292 0.74 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 50947at6656          -            438     1e-18   65.0   0.1   4   4   5.1e-06   0.00011   18.7   0.1   155   230   292   367   285   367 0.91 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 50947at6656          -            438   1.1e-18   64.9   1.4   1   3   0.00044    0.0097   12.3   0.0   220   274    14    67     4    72 0.75 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 50947at6656          -            438   1.1e-18   64.9   1.4   2   3   1.6e-07   3.6e-06   23.6   0.0   182   294    59   174    53   196 0.73 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 50947at6656          -            438   1.1e-18   64.9   1.4   3   3   3.7e-08   8.4e-07   25.7   0.3   201   297   214   312   208   312 0.80 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 50947at6656          -            438   3.9e-18   63.1   0.6   1   2   2.7e-05    0.0006   16.3   0.0   379   415   220   256   214   263 0.88 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 50947at6656          -            438   3.9e-18   63.1   0.6   2   2   4.2e-14   9.4e-13   45.3   0.2   199   428   259   497   254   504 0.82 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 50947at6656          -            438   5.5e-18   62.6   0.3   1   2      0.06       1.3    5.3   0.0   377   425     2    50     1    60 0.83 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 50947at6656          -            438   5.5e-18   62.6   0.3   2   2     3e-17   6.6e-16   55.7   0.1   150   314    71   238    64   238 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 50947at6656          -            438   5.8e-18   62.5   0.4   1   3   1.3e-06     3e-05   20.6   0.0   211   315     4   114     2   118 0.79 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 50947at6656          -            438   5.8e-18   62.5   0.4   2   3   2.4e-07   5.4e-06   23.1   0.2   152   231   120   198   115   204 0.85 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 50947at6656          -            438   5.8e-18   62.5   0.4   3   3   5.3e-05    0.0012   15.3   0.0   200   319   393   517   356   527 0.81 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 50947at6656          -            438     6e-18   62.4   0.6   1   2     6e-06   0.00013   18.4   0.0   194   263   142   214   127   230 0.83 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 50947at6656          -            438     6e-18   62.4   0.6   2   2   4.8e-12   1.1e-10   38.5   0.1   196   315   269   389   265   391 0.84 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 50947at6656          -            438     9e-18   61.9   0.0   1   2   9.3e-14   2.1e-12   44.2   0.0   155   315   106   272    98   275 0.85 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 50947at6656          -            438     9e-18   61.9   0.0   2   2   7.4e-05    0.0017   14.8   0.0   151   231   277   357   274   359 0.89 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 50947at6656          -            438   9.5e-18   61.8   0.1   1   2     1e-06   2.3e-05   21.0   0.0   235   315    81   158    58   161 0.86 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 50947at6656          -            438   9.5e-18   61.8   0.1   2   2   5.1e-12   1.1e-10   38.5   0.0   151   283   163   293   160   298 0.80 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 50947at6656          -            438   1.1e-17   61.5   0.1   1   2   3.5e-17   7.8e-16   55.5   0.0   153   316   258   422   252   440 0.86 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 50947at6656          -            438   1.1e-17   61.5   0.1   2   2      0.21       4.8    3.4   0.0   171   230   446   503   437   504 0.56 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 50947at6656          -            438   1.3e-17   61.4   0.0   1   2       2.4        53    0.0   0.0   196   231   203   239   190   244 0.80 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 50947at6656          -            438   1.3e-17   61.4   0.0   2   2   2.1e-17   4.7e-16   56.2   0.1   154   316   308   469   304   512 0.87 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 50947at6656          -            438   1.8e-17   60.9   0.4   1   3   2.2e-06   4.8e-05   19.9   0.0   202   324     1   131     1   151 0.77 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 50947at6656          -            438   1.8e-17   60.9   0.4   2   3   4.6e-07     1e-05   22.1   0.0   176   232   156   209   148   215 0.88 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 50947at6656          -            438   1.8e-17   60.9   0.4   3   3   4.1e-08   9.2e-07   25.6   0.1   177   241   196   257   195   287 0.87 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 50947at6656          -            438   4.1e-17   59.7   0.1   1   3   2.4e-11   5.4e-10   36.2   0.0   156   253     2    98     1   117 0.82 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 50947at6656          -            438   4.1e-17   59.7   0.1   2   3     0.048       1.1    5.6   0.0   378   409   148   179   142   186 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 50947at6656          -            438   4.1e-17   59.7   0.1   3   3   6.5e-05    0.0014   15.0   0.0   201   317   182   315   175   319 0.72 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 50947at6656          -            438   4.9e-17   59.4   1.4   1   2   1.3e-11   2.9e-10   37.1   0.9   158   315    32   199    15   203 0.76 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 50947at6656          -            438   4.9e-17   59.4   1.4   2   2     2e-06   4.4e-05   20.1   0.0   152   275   205   327   200   339 0.82 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 50947at6656          -            438   1.2e-16   58.1   3.2   1   2   5.1e-09   1.1e-07   28.6   0.6   174   275     1   103     1   106 0.89 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 50947at6656          -            438   1.2e-16   58.1   3.2   2   2   1.4e-09   3.2e-08   30.4   0.1   150   222   106   175   104   181 0.89 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 50947at6656          -            438   2.9e-16   56.9   0.1   1   3   1.3e-07   2.8e-06   24.0   0.0   202   316     1   119     1   135 0.79 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 50947at6656          -            438   2.9e-16   56.9   0.1   2   3     0.031      0.69    6.2   0.0   258   317   156   218   143   223 0.72 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 50947at6656          -            438   2.9e-16   56.9   0.1   3   3   2.5e-07   5.7e-06   23.0   0.0   206   285   247   328   243   334 0.87 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 50947at6656          -            438   3.5e-16   56.6   0.8   1   3   4.1e-08   9.1e-07   25.6   0.2   195   317     8   133     2   138 0.84 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 50947at6656          -            438   3.5e-16   56.6   0.8   2   3   6.5e-06   0.00015   18.3   0.0   162   276    61   174    55   177 0.78 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 50947at6656          -            438   3.5e-16   56.6   0.8   3   3   1.2e-07   2.6e-06   24.1   0.0   355   413   216   275   199   296 0.82 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 50947at6656          -            438   7.2e-16   55.6   0.0   1   3       1.3        30    0.8   0.0   199   231     4    37     1    48 0.50 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 50947at6656          -            438   7.2e-16   55.6   0.0   2   3   5.4e-15   1.2e-13   48.2   0.0   156   317    58   229    43   239 0.80 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 50947at6656          -            438   7.2e-16   55.6   0.0   3   3   0.00037    0.0082   12.6   0.0   175   213   213   250   208   265 0.75 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 50947at6656          -            438   1.2e-15   54.8   0.0   1   2      0.12       2.6    4.3   0.0   178   243     4    71     1   109 0.49 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 50947at6656          -            438   1.2e-15   54.8   0.0   2   2   2.8e-15   6.2e-14   49.2   0.0   145   314   103   272    94   272 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 50947at6656          -            438   1.4e-15   54.6   0.4   1   3   6.8e-10   1.5e-08   31.5   0.0   157   270   156   281   151   288 0.79 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 50947at6656          -            438   1.4e-15   54.6   0.4   2   3   4.6e-05     0.001   15.5   0.1   150   191   290   331   283   338 0.93 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 50947at6656          -            438   1.4e-15   54.6   0.4   3   3      0.11       2.4    4.5   0.0   151   189   348   386   337   386 0.92 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 50947at6656          -            438   2.6e-15   53.8   0.1   1   2   0.00056     0.013   12.0   0.0   200   237    30    68    20    73 0.82 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 50947at6656          -            438   2.6e-15   53.8   0.1   2   2     2e-12   4.6e-11   39.8   0.1   157   282    75   199    72   203 0.83 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 50947at6656          -            438   1.4e-14   51.3   0.0   1   2   1.5e-10   3.3e-09   33.6   0.0   163   306     5   154     1   158 0.82 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 50947at6656          -            438   1.4e-14   51.3   0.0   2   2      0.02      0.45    6.8   0.0   176   230   243   305   240   305 0.60 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 50947at6656          -            438     2e-14   50.9   0.2   1   2      0.24       5.4    3.3   0.0   366   401     5    39     3    46 0.77 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 50947at6656          -            438     2e-14   50.9   0.2   2   2   2.7e-13     6e-12   42.7   0.1   156   273    53   178    47   178 0.82 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 50947at6656          -            438   2.1e-14   50.8   0.1   1   2   6.4e-13   1.4e-11   41.4   0.0   155   438    68   359    61   359 0.79 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 50947at6656          -            438   2.1e-14   50.8   0.1   2   2    0.0015     0.034   10.5   0.0   221   314   314   407   309   409 0.77 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 50947at6656          -            438   2.6e-14   50.5   0.0   1   4   0.00077     0.017   11.5   0.0   280   317     9    46     3    48 0.90 -
