#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 79915at6656          -            248  6.5e-106  351.0   8.4   1   1  1.6e-106    4e-105  348.4   8.4     1   248    13   312    13   312 0.88 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   4   6     0.019      0.48    7.5   0.1   165   198   482   515   473   520 0.88 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   5   6     2e-07   4.9e-06   23.9   0.0   163   229   522   599   516   609 0.74 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 79915at6656          -            248   1.4e-21   74.8   5.6   6   6      0.55        14    2.8   0.0    64    86   627   650   619   658 0.80 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   1   6     0.012       0.3    8.2   0.0   161   197    48    84    42    91 0.91 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   2   6   0.00045     0.011   12.9   0.1   164   200    94   130    86   143 0.79 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   3   6      0.05       1.3    6.1   0.0    71    89   155   173   143   179 0.85 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   4   6   4.1e-05     0.001   16.3   0.1    57   124   182   254   173   254 0.78 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   5   6     0.012       0.3    8.2   0.0    59    87   226   254   218   271 0.70 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 79915at6656          -            248   1.9e-20   71.1   0.8   6   6   2.3e-05   0.00057   17.1   0.0   168   206   274   312   261   345 0.83 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 79915at6656          -            248   1.9e-20   71.1   1.1   1   4   1.6e-06   3.9e-05   20.9   0.0    96   196     1   110     1   113 0.64 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 79915at6656          -            248   1.9e-20   71.1   1.1   2   4   1.4e-06   3.4e-05   21.1   0.2    59   141    43   130    29   136 0.81 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 79915at6656          -            248   1.9e-20   71.1   1.1   3   4   3.3e-06   8.3e-05   19.8   0.0    60   127    85   159    74   175 0.78 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 79915at6656          -            248   1.9e-20   71.1   1.1   4   4   4.7e-08   1.2e-06   25.9   0.0    22   129   127   247   118   274 0.81 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 79915at6656          -            248   5.7e-20   69.5   0.0   1   5   0.00017    0.0042   14.3   0.0   164   199    65   100    42   106 0.87 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 79915at6656          -            248   5.7e-20   69.5   0.0   2   5     0.056       1.4    6.0   0.0    96   142   121   167   114   171 0.88 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 79915at6656          -            248   5.7e-20   69.5   0.0   3   5   1.8e-07   4.4e-06   24.0   0.0     2    89   136   234   135   241 0.77 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 79915at6656          -            248   5.7e-20   69.5   0.0   4   5   1.4e-06   3.6e-05   21.0   0.0   164   226   240   314   234   319 0.69 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 79915at6656          -            248   5.7e-20   69.5   0.0   5   5      0.49        12    2.9   0.0   162   195   323   356   318   359 0.86 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 79915at6656          -            248   2.8e-19   67.2   0.7   1   3    0.0035     0.087    9.9   0.0   132   198     5    71     1   126 0.80 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 79915at6656          -            248   2.8e-19   67.2   0.7   2   3    0.0049      0.12    9.5   0.1   164   199   125   160   117   168 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 79915at6656          -            248   2.8e-19   67.2   0.7   3   3   8.7e-11   2.2e-09   34.8   0.1    66   195   182   328   170   329 0.79 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 79915at6656          -            248   2.1e-18   64.4   0.0   1   4   2.1e-05   0.00052   17.2   0.0    59   126    11    82     2    90 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 79915at6656          -            248   2.1e-18   64.4   0.0   2   4     0.007      0.17    9.0   0.0    57    93    92   128    87   131 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 79915at6656          -            248   2.1e-18   64.4   0.0   3   4   7.7e-10   1.9e-08   31.7   0.0    59   124   136   206   126   228 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 79915at6656          -            248   2.1e-18   64.4   0.0   4   4       8.6   2.1e+02   -1.2   0.0   189   216   674   701   654   709 0.78 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 79915at6656          -            248   1.2e-17   61.9   2.0   1   5     0.072       1.8    5.6   0.0    23    94    59   133    46   144 0.79 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 79915at6656          -            248   1.2e-17   61.9   2.0   2   5    0.0046      0.11    9.6   0.0    63   135   151   230   144   235 0.76 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 79915at6656          -            248   1.2e-17   61.9   2.0   3   5     0.026      0.65    7.1   0.1    55   126   301   379   287   392 0.78 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 79915at6656          -            248   1.2e-17   61.9   2.0   4   5   8.1e-09     2e-07   28.4   0.0    62   211   394   563   382   579 0.75 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 79915at6656          -            248   1.2e-17   61.9   2.0   5   5      0.49        12    2.9   0.0    58    87   624   653   610   673 0.52 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 79915at6656          -            248   2.9e-16   57.4   0.3   1   3   0.00048     0.012   12.8   0.0    66   131   232   302   225   308 0.81 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 79915at6656          -            248   2.9e-16   57.4   0.3   2   3   3.8e-05   0.00094   16.4   0.0    60   128   310   385   306   400 0.75 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 79915at6656          -            248   2.9e-16   57.4   0.3   3   3   1.5e-10   3.7e-09   34.1   0.1    61   195   355   503   354   504 0.85 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 79915at6656          -            248   5.1e-16   56.6   2.1   1   4      0.53        13    2.8   0.0   206   241    66   102    65   108 0.85 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 79915at6656          -            248   5.1e-16   56.6   2.1   2   4   7.7e-05    0.0019   15.4   0.2    73   196   159   299   120   304 0.78 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 79915at6656          -            248   5.1e-16   56.6   2.1   3   4   0.00071     0.018   12.2   0.0    61   126   483   552   457   558 0.85 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 79915at6656          -            248   5.1e-16   56.6   2.1   4   4   2.9e-06   7.1e-05   20.1   0.0    54   121   559   631   552   639 0.74 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 79915at6656          -            248   7.6e-16   56.0   1.3   1   4   4.3e-08   1.1e-06   26.0   0.0    19   128   162   280   152   283 0.79 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 79915at6656          -            248   7.6e-16   56.0   1.3   2   4   2.1e-05   0.00053   17.2   0.0    69   143   258   338   249   344 0.77 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 79915at6656          -            248   7.6e-16   56.0   1.3   3   4   0.00027    0.0068   13.6   0.0    41   130   311   406   302   422 0.67 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 79915at6656          -            248   7.6e-16   56.0   1.3   4   4      0.03      0.74    6.9   0.1   174   200   426   452   419   454 0.88 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 79915at6656          -            248   1.4e-15   55.1   3.6   1   3   0.00014    0.0035   14.5   0.0   165   200     2    37     1    40 0.92 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 79915at6656          -            248   1.4e-15   55.1   3.6   2   3   0.00023    0.0057   13.8   0.2    20    92    61   138    49   175 0.76 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 79915at6656          -            248   1.4e-15   55.1   3.6   3   3   7.1e-05    0.0018   15.5   0.0   161   204   257   300   254   306 0.90 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 79915at6656          -            248   1.7e-15   54.8   1.6   1   5       7.3   1.8e+02   -0.9   0.0    66    86   220   240   206   273 0.73 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 79915at6656          -            248   1.7e-15   54.8   1.6   2   5   3.7e-06   9.2e-05   19.7   0.1   163   229   309   386   305   396 0.72 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 79915at6656          -            248   1.7e-15   54.8   1.6   3   5   0.00033    0.0083   13.3   0.0   160   199   390   429   388   433 0.90 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 79915at6656          -            248   1.7e-15   54.8   1.6   4   5    0.0011     0.028   11.5   0.0   167   208   438   480   431   497 0.65 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 79915at6656          -            248   1.7e-15   54.8   1.6   5   5      0.29       7.1    3.7   0.1   167   191   495   519   488   521 0.86 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 79915at6656          -            248     4e-15   53.6   0.1   1   3     0.018      0.46    7.6   0.0    34    89    62   120    38   127 0.54 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 79915at6656          -            248     4e-15   53.6   0.1   2   3     0.098       2.4    5.2   0.0   162   203   124   165   120   175 0.79 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 79915at6656          -            248     4e-15   53.6   0.1   3   3   1.4e-11   3.5e-10   37.4   0.0     2   130   190   332   183   354 0.78 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 79915at6656          -            248   1.1e-14   52.2   1.4   1   2   1.9e-10   4.6e-09   33.8   0.1    89   198    11   130     8   132 0.82 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 79915at6656          -            248   1.1e-14   52.2   1.4   2   2   0.00097     0.024   11.8   0.1   161   200   135   174   132   179 0.90 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 79915at6656          -            248   1.9e-14   51.4   0.5   1   3   1.1e-05   0.00027   18.2   0.0   164   232    98   177    93   196 0.66 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 79915at6656          -            248   1.9e-14   51.4   0.5   2   3      0.21       5.1    4.1   0.1    71    99   208   238   199   262 0.70 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 79915at6656          -            248   1.9e-14   51.4   0.5   3   3   1.3e-06   3.3e-05   21.1   0.0   162   220   356   424   353   429 0.83 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-   -            169 79915at6656          -            248     2e-14   51.3   0.3   1   3   1.8e-05   0.00046   17.4   0.3   164   216     1    52     1    57 0.93 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-   -            169 79915at6656          -            248     2e-14   51.3   0.3   2   3   0.00086     0.021   11.9   0.0    30    88    60   124    53   133 0.75 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-   -            169 79915at6656          -            248     2e-14   51.3   0.3   3   3   6.8e-06   0.00017   18.8   0.0    57    88   135   166   129   169 0.91 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 79915at6656          -            248   2.1e-14   51.2   1.6   1   4   4.4e-05    0.0011   16.2   0.0   171   219   217   265   204   269 0.86 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 79915at6656          -            248   2.1e-14   51.2   1.6   2   4    0.0053      0.13    9.3   0.0   171   210   267   317   261   341 0.50 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 79915at6656          -            248   2.1e-14   51.2   1.6   3   4   0.00024     0.006   13.7   0.1   160   202   341   383   339   395 0.87 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 79915at6656          -            248   2.1e-14   51.2   1.6   4   4     0.025      0.62    7.1   0.0    68   121   453   511   444   512 0.81 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 79915at6656          -            248   2.2e-14   51.2   2.0   1   4    0.0081       0.2    8.7   0.0    60    91     8    39     3    43 0.81 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 79915at6656          -            248   2.2e-14   51.2   2.0   2   4   8.4e-07   2.1e-05   21.8   0.4    62   123    52   118    46   120 0.84 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 79915at6656          -            248   2.2e-14   51.2   2.0   3   4      0.11       2.6    5.1   0.0   164   201   165   202   159   210 0.76 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 79915at6656          -            248   2.2e-14   51.2   2.0   4   4    0.0026     0.065   10.4   0.0    58    86   214   242   210   242 0.93 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 79915at6656          -            248   3.9e-14   50.4   6.3   1   2   7.7e-09   1.9e-07   28.5   0.1    60   200    39   194    33   201 0.78 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 79915at6656          -            248   3.9e-14   50.4   6.3   2   2   7.6e-06   0.00019   18.7   2.4   164   220   200   266   195   269 0.72 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 79915at6656          -            248   1.1e-13   49.0   0.3   1   3   1.5e-05   0.00036   17.7   0.0   166   205     2    41     1    52 0.87 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 79915at6656          -            248   1.1e-13   49.0   0.3   2   3   0.00015    0.0038   14.4   0.0    91   134    87   130    80   159 0.85 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 79915at6656          -            248   1.1e-13   49.0   0.3   3   3   0.00064     0.016   12.3   0.1   108   200   224   329   220   345 0.56 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 79915at6656          -            248   2.2e-13   47.9   0.1   1   2   0.00018    0.0044   14.2   0.1   164   228    53   127    42   141 0.77 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 79915at6656          -            248   2.2e-13   47.9   0.1   2   2   3.8e-08   9.4e-07   26.2   0.0    60   198   144   295   122   315 0.73 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 79915at6656          -            248   4.7e-13   46.8   0.5   1   4   0.00056     0.014   12.5   0.0   163   213    68   118    61   121 0.87 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 79915at6656          -            248   4.7e-13   46.8   0.5   2   4    0.0032     0.079   10.1   0.1    59   125   117   186   114   204 0.65 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 79915at6656          -            248   4.7e-13   46.8   0.5   3   4     0.012      0.29    8.2   0.0    68   122   207   269   199   275 0.81 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 79915at6656          -            248   4.7e-13   46.8   0.5   4   4    0.0057      0.14    9.2   0.0   113   196   315   408   291   409 0.65 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 79915at6656          -            248   5.1e-13   46.7   1.6   1   5      0.28       7.1    3.7   0.0    57    85     6    34     3    44 0.83 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 79915at6656          -            248   5.1e-13   46.7   1.6   2   5    0.0011     0.028   11.5   0.1   173   198    53    78    39    85 0.77 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 79915at6656          -            248   5.1e-13   46.7   1.6   3   5    0.0031     0.077   10.1   0.1    52   142    84   192    78   194 0.69 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 79915at6656          -            248   5.1e-13   46.7   1.6   4   5   4.8e-05    0.0012   16.0   0.0    54   104   182   236   176   240 0.75 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 79915at6656          -            248   5.1e-13   46.7   1.6   5   5      0.57        14    2.7   0.0    96   119   287   310   271   323 0.68 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 79915at6656          -            248   6.4e-13   46.4   1.1   1   2   1.8e-07   4.5e-06   24.0   0.0    95   209    27   153    18   155 0.78 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 79915at6656          -            248   6.4e-13   46.4   1.1   2   2   1.1e-08   2.7e-07   28.0   0.7    24   189    75   256    62   257 0.48 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 79915at6656          -            248   6.7e-13   46.3   0.0   1   3     0.013      0.32    8.1   0.0    59    87    15    43     4    54 0.73 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 79915at6656          -            248   6.7e-13   46.3   0.0   2   3   3.6e-09     9e-08   29.5   0.0    68   186    66   197    57   212 0.67 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 79915at6656          -            248   6.7e-13   46.3   0.0   3   3      0.12         3    4.9   0.0   100   123   229   252   163   273 0.60 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 79915at6656          -            248   2.4e-12   44.5   0.1   1   3   1.8e-08   4.4e-07   27.3   0.0    30   124    36   135    17   138 0.80 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 79915at6656          -            248   2.4e-12   44.5   0.1   2   3   1.8e-05   0.00044   17.5   0.0    63   127   111   177   110   198 0.85 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 79915at6656          -            248   2.4e-12   44.5   0.1   3   3     0.035      0.87    6.7   0.0    60    92   246   278   237   291 0.79 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 79915at6656          -            248   4.4e-12   43.7   4.0   1   2   1.7e-06   4.2e-05   20.8   0.2   108   206    12   119     7   158 0.77 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 79915at6656          -            248   4.4e-12   43.7   4.0   2   2   1.1e-09   2.7e-08   31.3   0.4    57   195    81   238    78   238 0.75 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 79915at6656          -            248   1.4e-11   42.0   0.0   1   3   3.3e-08   8.1e-07   26.4   0.0    25   127    13   126     5   149 0.76 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 79915at6656          -            248   1.4e-11   42.0   0.0   2   3   0.00062     0.015   12.4   0.0    85   142   168   230   138   295 0.64 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 79915at6656          -            248   1.4e-11   42.0   0.0   3   3       2.9        73    0.4   0.0    67    87   272   292   242   315 0.72 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 79915at6656          -            248   2.5e-11   41.2   0.3   1   3   5.5e-05    0.0014   15.8   0.0   163   228    29   107    24   115 0.49 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 79915at6656          -            248   2.5e-11   41.2   0.3   2   3   7.8e-05    0.0019   15.4   0.0   162   222   114   173   110   177 0.80 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 79915at6656          -            248   2.5e-11   41.2   0.3   3   3      0.23       5.8    4.0   0.0    71    98   176   203   167   211 0.80 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 79915at6656          -            248   2.7e-11   41.1   2.2   1   4      0.17       4.1    4.4   0.0   182   198   167   183   144   189 0.76 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 79915at6656          -            248   2.7e-11   41.1   2.2   2   4     0.027      0.68    7.0   0.0   162   197   189   224   186   241 0.84 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 79915at6656          -            248   2.7e-11   41.1   2.2   3   4    0.0051      0.13    9.4   0.1   161   199   312   350   291   358 0.90 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 79915at6656          -            248   2.7e-11   41.1   2.2   4   4   3.3e-05   0.00083   16.6   0.0    56   147   361   455   350   470 0.76 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 79915at6656          -            248   3.4e-11   40.8   2.5   1   5       0.1       2.6    5.1   0.0    59   130    36    70    21    92 0.59 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 79915at6656          -            248   3.4e-11   40.8   2.5   2   5      0.26       6.4    3.8   0.1   200   230    78   109    70   115 0.66 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 79915at6656          -            248   3.4e-11   40.8   2.5   3   5     0.003     0.075   10.1   0.2     3    91    96   205    94   208 0.64 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 79915at6656          -            248   3.4e-11   40.8   2.5   4   5   9.6e-05    0.0024   15.1   0.0   160   238   205   283   204   287 0.93 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 79915at6656          -            248   3.4e-11   40.8   2.5   5   5     0.042         1    6.4   0.0    94   125   297   328   283   342 0.86 -
