#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+    -            358 55417at6656          -            496  3.1e-114  379.7  13.7   1   1  5.2e-115  7.2e-113  375.2  13.7   197   495     4   353     2   354 0.86 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+  -            329 55417at6656          -            496   1.9e-12   44.0   0.0   2   2   4.2e-11   5.8e-09   32.5   0.2   293   408   166   284   159   316 0.86 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i8:1733-2035|-   -            101 55417at6656          -            496   4.8e-12   42.7   0.2   1   1     4e-14   5.6e-12   42.5   0.2   313   394     1    83     1    95 0.92 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+   -            498 55417at6656          -            496   9.8e-12   41.6   4.8   1   3      0.25        34    0.3   0.0   316   354   159   197   155   273 0.76 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+   -            498 55417at6656          -            496   9.8e-12   41.6   4.8   2   3     6e-13   8.3e-11   38.6   2.1   311   451   316   460   298   466 0.79 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+   -            498 55417at6656          -            496   9.8e-12   41.6   4.8   3   3     8e-05     0.011   11.8   0.0   295   380   402   487   398   495 0.88 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 55417at6656          -            496   1.1e-10   38.2   2.5   1   4     0.025       3.4    3.6   0.0   373   406    86   119    76   148 0.70 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 55417at6656          -            496   1.1e-10   38.2   2.5   2   4     0.074        10    2.0   0.1   296   357   149   211   144   219 0.77 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 55417at6656          -            496   1.1e-10   38.2   2.5   3   4   1.1e-06   0.00015   17.9   0.0   296   463   291   472   281   490 0.78 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+    -            580 55417at6656          -            496   1.1e-10   38.2   2.5   4   4   6.4e-05    0.0089   12.1   0.0   295   368   471   545   469   559 0.82 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 55417at6656          -            496   2.1e-09   34.0  11.1   1   5       0.2        28    0.5   0.1   323   437   278   389   273   395 0.51 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 55417at6656          -            496   2.1e-09   34.0  11.1   2   5   8.7e-05     0.012   11.7   0.6   325   446   344   458   336   465 0.83 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 55417at6656          -            496   2.1e-09   34.0  11.1   3   5      0.15        21    1.0   0.0   391   442   544   598   536   624 0.67 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 55417at6656          -            496   2.1e-09   34.0  11.1   4   5   1.3e-07   1.8e-05   21.0   0.2   307   440   662   799   639   807 0.82 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 55417at6656          -            496   2.1e-09   34.0  11.1   5   5     0.022         3    3.7   0.0   374   412   828   866   804   905 0.64 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i5:1584-2648|- -            355 55417at6656          -            496   3.1e-09   33.4   1.3   1   1   3.3e-11   4.5e-09   32.9   1.3   307   419    99   212    84   220 0.87 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 55417at6656          -            496   3.2e-07   26.7   2.0   1   2   1.9e-08   2.7e-06   23.7   0.2   313   428    53   172    24   183 0.82 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 55417at6656          -            496   3.2e-07   26.7   2.0   2   2     0.091        13    1.7   0.1   419   461   386   428   377   459 0.90 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i2:225-2648|+  -            808 55417at6656          -            496   3.8e-07   26.5   4.3   1   1   6.3e-09   8.7e-07   25.3   4.3   294   423   484   615   479   640 0.86 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i4:89-457|+      -            123 55417at6656          -            496   1.1e-05   21.6   4.2   1   1     1e-07   1.4e-05   21.4   4.2   313   409    16   113     7   119 0.94 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i1:2504-2887|-  -            128 55417at6656          -            496   1.6e-05   21.2   0.0   1   1   1.5e-07     2e-05   20.8   0.0   380   459    12    94    10   101 0.86 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 55417at6656          -            496   6.2e-05   19.2   2.7   1   4     0.012       1.7    4.6   0.0   423   458    82   117    26   141 0.47 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 55417at6656          -            496   6.2e-05   19.2   2.7   2   4     0.016       2.1    4.2   0.0   329   374    86   131    50   196 0.73 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 55417at6656          -            496   6.2e-05   19.2   2.7   3   4     0.018       2.6    4.0   0.2   376   458   214   294   203   300 0.76 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 55417at6656          -            496   6.2e-05   19.2   2.7   4   4    0.0011      0.15    8.1   3.4   310   410   265   364   248   382 0.83 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+  -            375 55417at6656          -            496   0.00013   18.2   0.0   1   1   1.3e-06   0.00018   17.7   0.0   386   460    11    88     5    94 0.88 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i1:1540-1893|- -            118 55417at6656          -            496   0.00029   17.0   0.5   1   1   2.7e-06   0.00038   16.6   0.5   292   373    21   102     9   107 0.88 -
68491at6656_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+   -            102 55417at6656          -            496    0.0019   14.3   0.0   1   1   1.4e-05     0.002   14.2   0.0   320   398     6    84     1    98 0.62 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i1:431-898|+   -            156 55417at6656          -            496     0.013   11.5   0.6   1   1   0.00012     0.016   11.2   0.6   292   365    55   128    21   144 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/55417at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/55417at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/55417at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:08 2026
# [ok]
