#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 83755at6656          -            256  1.3e-122  405.3   0.7   1   1  3.8e-123  8.6e-122  402.6   0.7     1   256    40   346    40   346 0.90 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 83755at6656          -            256   1.6e-24   83.9   4.1   1   2   2.3e-14   5.2e-13   46.2   0.1    99   185    15   103    10   105 0.90 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 83755at6656          -            256   1.6e-24   83.9   4.1   2   2   5.9e-14   1.3e-12   44.8   1.3   132   238    96   194    96   207 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 83755at6656          -            256     2e-24   83.6   2.3   1   3   8.6e-05    0.0019   14.8   0.0   125   213    30   110     2   116 0.80 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 83755at6656          -            256     2e-24   83.6   2.3   2   3   6.2e-13   1.4e-11   41.5   0.0   103   248    86   236    82   239 0.82 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 83755at6656          -            256     2e-24   83.6   2.3   3   3   9.4e-09   2.1e-07   27.8   0.2    84   163   229   328   227   329 0.74 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 83755at6656          -            256   2.2e-23   80.2  11.7   1   1     2e-12   4.6e-11   39.8   0.6   130   236    50   144    48   145 0.90 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 83755at6656          -            256   1.4e-22   77.5   8.0   1   3   2.2e-06     5e-05   20.0   0.2   132   229     1   102     1   104 0.78 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 83755at6656          -            256   1.4e-22   77.5   8.0   2   3   5.2e-08   1.2e-06   25.4   0.3   132   250    97   206    94   211 0.87 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 83755at6656          -            256   1.4e-22   77.5   8.0   3   3   1.9e-10   4.3e-09   33.4   0.2   151   234   237   312   215   326 0.83 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 83755at6656          -            256   1.9e-22   77.1   2.8   1   4   5.7e-13   1.3e-11   41.6   0.4   103   215     8   118     2   119 0.87 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 83755at6656          -            256   1.9e-22   77.1   2.8   2   4    0.0083      0.19    8.3   0.0   146   165    99   118    91   127 0.61 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 83755at6656          -            256   1.9e-22   77.1   2.8   3   4     0.069       1.6    5.3   0.0   224   252   165   195   128   198 0.64 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 83755at6656          -            256   1.9e-22   77.1   2.8   4   4   4.6e-08     1e-06   25.5   0.1   122   165   199   242   197   242 0.97 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 83755at6656          -            256   5.5e-22   75.6  15.6   1   4    0.0082      0.18    8.3   0.1   131   164     3    36     1    39 0.79 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 83755at6656          -            256   5.5e-22   75.6  15.6   2   4   3.7e-16   8.3e-15   52.1   1.0   133   246    50   160    36   174 0.84 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 83755at6656          -            256   5.5e-22   75.6  15.6   3   4   1.3e-05   0.00028   17.5   0.1    21    68   169   214   160   217 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 83755at6656          -            256   5.5e-22   75.6  15.6   4   4      0.13       2.9    4.4   0.5    82    98   308   324   219   325 0.53 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 83755at6656          -            256     1e-21   74.7   2.8   1   4     1e-05   0.00023   17.9   0.0   191   241   166   217   157   219 0.87 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 83755at6656          -            256     1e-21   74.7   2.8   2   4   2.4e-12   5.4e-11   39.6   0.1   115   239   219   341   216   348 0.87 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 83755at6656          -            256     1e-21   74.7   2.8   3   4   0.00062     0.014   12.0   0.1   117   213   346   447   342   448 0.77 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 83755at6656          -            256     1e-21   74.7   2.8   4   4     0.029      0.65    6.5   0.0    41    68   421   448   413   458 0.86 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 83755at6656          -            256   3.8e-21   72.8   7.9   1   4   9.3e-18   2.1e-16   57.3   7.3    26   254    20   283     2   284 0.76 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 83755at6656          -            256   3.8e-21   72.8   7.9   2   4      0.14       3.2    4.3   0.0   103   163   258   324   243   329 0.70 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 83755at6656          -            256   3.8e-21   72.8   7.9   3   4      0.96        22    1.6   0.0    40    68   297   325   294   346 0.86 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 83755at6656          -            256   3.8e-21   72.8   7.9   4   4       4.5     1e+02   -0.6   0.0    42    73   361   392   339   398 0.70 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 83755at6656          -            256   4.3e-21   72.7   0.0   1   2   9.7e-21   2.2e-19   67.1   0.0    75   250    25   200     7   206 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 83755at6656          -            256   4.3e-21   72.7   0.0   2   2       1.2        27    1.2   0.0    38    62   216   240   211   254 0.79 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 83755at6656          -            256   5.1e-21   72.4   6.6   1   3     1e-10   2.3e-09   34.2   0.2   131   239   157   258   152   263 0.81 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 83755at6656          -            256   5.1e-21   72.4   6.6   2   3   2.1e-05   0.00048   16.8   0.1   201   252   265   318   252   322 0.84 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 83755at6656          -            256   5.1e-21   72.4   6.6   3   3   1.3e-07   2.9e-06   24.1   0.2   138   241   337   437   324   444 0.87 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 83755at6656          -            256   1.1e-20   71.3   4.3   1   3   0.00047     0.011   12.4   0.2   192   251     4    63     1    68 0.87 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 83755at6656          -            256   1.1e-20   71.3   4.3   2   3   4.6e-12     1e-10   38.7   0.7   124   245    69   186    57   198 0.83 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 83755at6656          -            256   1.1e-20   71.3   4.3   3   3   7.5e-07   1.7e-05   21.6   0.0    34    67   205   238   185   238 0.74 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 83755at6656          -            256   2.4e-20   70.2   0.1   1   2   1.1e-08   2.5e-07   27.6   0.3    42   167    19   134    14   141 0.70 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 83755at6656          -            256   2.4e-20   70.2   0.1   2   2   7.6e-11   1.7e-09   34.6   0.0   115   245   157   295   147   304 0.76 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 83755at6656          -            256   6.7e-20   68.7   1.7   1   3       6.9   1.5e+02   -1.3   0.0   190   216   214   241   182   245 0.77 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 83755at6656          -            256   6.7e-20   68.7   1.7   2   3   2.7e-10   6.1e-09   32.8   0.1   132   252   310   424   308   430 0.61 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 83755at6656          -            256   6.7e-20   68.7   1.7   3   3   8.2e-08   1.8e-06   24.7   0.3   130   210   434   520   429   521 0.88 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 83755at6656          -            256   3.1e-19   66.6   1.6   1   3   5.6e-06   0.00013   18.7   0.2   191   250    36    95    31   101 0.86 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 83755at6656          -            256   3.1e-19   66.6   1.6   2   3   4.1e-08   9.3e-07   25.7   0.0   130   217   109   191    95   198 0.80 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 83755at6656          -            256   3.1e-19   66.6   1.6   3   3   2.3e-06   5.1e-05   20.0   0.0    98   163   199   272   191   272 0.84 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 83755at6656          -            256   3.1e-19   66.6   3.2   1   3   1.3e-07     3e-06   24.0   0.0   137   223   215   301   209   304 0.82 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 83755at6656          -            256   3.1e-19   66.6   3.2   2   3   4.3e-10   9.8e-09   32.2   0.6   134   219   305   382   297   398 0.53 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 83755at6656          -            256   3.1e-19   66.6   3.2   3   3     0.015      0.34    7.4   0.0   189   242   445   498   437   508 0.90 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 83755at6656          -            256   3.6e-19   66.4   0.5   1   3   0.00031     0.007   13.0   0.0   132   165     5    38     2    50 0.71 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 83755at6656          -            256   3.6e-19   66.4   0.5   2   3   0.00027    0.0061   13.2   0.1    37    68    59    90    52    96 0.58 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 83755at6656          -            256   3.6e-19   66.4   0.5   3   3   1.8e-11     4e-10   36.7   0.0   109   207   166   266   155   266 0.85 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 83755at6656          -            256   8.5e-19   65.1   1.6   1   3   1.8e-12   4.2e-11   39.9   0.1   133   237     2   100     1   106 0.91 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 83755at6656          -            256   8.5e-19   65.1   1.6   2   3   2.7e-06     6e-05   19.8   0.0   201   242   108   149   101   152 0.90 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 83755at6656          -            256   8.5e-19   65.1   1.6   3   3      0.17       3.7    4.0   0.0    86    99   151   164   149   168 0.74 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 83755at6656          -            256   1.4e-18   64.4  10.1   1   5    0.0008     0.018   11.6   0.0   191   238   109   156    58   176 0.89 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 83755at6656          -            256   1.4e-18   64.4  10.1   2   5   0.00017    0.0039   13.8   0.1   131   170   187   226   162   284 0.75 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 83755at6656          -            256   1.4e-18   64.4  10.1   3   5   0.00095     0.021   11.4   0.1   130   217   377   459   342   474 0.76 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 83755at6656          -            256   1.4e-18   64.4  10.1   4   5    0.0033     0.075    9.6   0.1    35    73   480   518   458   528 0.73 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 83755at6656          -            256   1.4e-18   64.4  10.1   5   5   3.8e-08   8.5e-07   25.8   0.6   103   229   488   612   486   631 0.87 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 83755at6656          -            256   1.5e-18   64.3   6.7   1   3   0.00017    0.0039   13.8   0.0    38    70     2    34     1    67 0.83 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 83755at6656          -            256   1.5e-18   64.3   6.7   2   3     4e-06   8.9e-05   19.2   0.6    37    90    87   144    82   222 0.69 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 83755at6656          -            256   1.5e-18   64.3   6.7   3   3     5e-10   1.1e-08   32.0   0.2   112   245   222   358   210   366 0.76 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 83755at6656          -            256     2e-18   63.9   9.1   1   2   7.2e-05    0.0016   15.1   0.6   115   166     3    66     1   116 0.79 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 83755at6656          -            256     2e-18   63.9   9.1   2   2     8e-15   1.8e-13   47.7   2.8    92   248   111   268    97   269 0.84 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 83755at6656          -            256   3.3e-17   59.9   3.6   1   5      0.67        15    2.1   0.0   194   245     5    54     2    65 0.73 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 83755at6656          -            256   3.3e-17   59.9   3.6   2   5   4.3e-10   9.7e-09   32.2   0.1   191   252    91   152    79   156 0.91 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 83755at6656          -            256   3.3e-17   59.9   3.6   3   5   2.5e-06   5.6e-05   19.9   0.1   102   171   130   205   130   215 0.81 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 83755at6656          -            256   3.3e-17   59.9   3.6   4   5     0.075       1.7    5.2   0.0    94   129   391   425   379   444 0.78 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 83755at6656          -            256   3.3e-17   59.9   3.6   5   5      0.27       6.1    3.3   0.0   139   164   488   513   465   546 0.64 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 83755at6656          -            256   4.4e-17   59.5   2.2   1   4   1.5e-06   3.3e-05   20.6   0.1    37    98     3    76     2    77 0.84 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 83755at6656          -            256   4.4e-17   59.5   2.2   2   4    0.0028     0.064    9.8   0.2   196   249    58   111    50   119 0.76 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 83755at6656          -            256   4.4e-17   59.5   2.2   3   4   1.3e-09   2.9e-08   30.6   0.1    99   166   142   215   109   227 0.85 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 83755at6656          -            256   4.4e-17   59.5   2.2   4   4       1.2        27    1.2   0.0   223   241   280   298   262   312 0.77 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 83755at6656          -            256   6.2e-17   59.0   3.9   1   4      0.04      0.91    6.1   0.0   113   169     8    71     2    76 0.57 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 83755at6656          -            256   6.2e-17   59.0   3.9   2   4   1.2e-06   2.6e-05   21.0   0.1    99   166    81   155    67   161 0.73 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 83755at6656          -            256   6.2e-17   59.0   3.9   3   4   4.3e-05   0.00096   15.8   0.0   106   216   131   247   120   259 0.76 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 83755at6656          -            256   6.2e-17   59.0   3.9   4   4   4.1e-09   9.2e-08   29.0   0.7   123   237   204   311   196   312 0.88 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 83755at6656          -            256   8.2e-17   58.6   6.2   1   3    0.0033     0.074    9.6   0.0   111   165   127   182   114   184 0.79 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 83755at6656          -            256   8.2e-17   58.6   6.2   2   3   2.1e-07   4.6e-06   23.4   0.0   193   247   159   216   150   227 0.80 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 83755at6656          -            256   8.2e-17   58.6   6.2   3   3   4.8e-10   1.1e-08   32.0   3.3    36   217   273   483   270   485 0.70 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 83755at6656          -            256   1.6e-16   57.7   0.4   1   2       1.1        25    1.4   0.0    14    79    67   130    61   131 0.64 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 83755at6656          -            256   1.6e-16   57.7   0.4   2   2   2.2e-17     5e-16   56.1   0.3    19   169   114   288    99   293 0.79 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 83755at6656          -            256   1.7e-16   57.6   2.4   1   3     0.072       1.6    5.2   0.0   192   241     5    54     2    66 0.81 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 83755at6656          -            256   1.7e-16   57.6   2.4   2   3   1.6e-10   3.5e-09   33.6   0.1   126   235    72   175    62   177 0.85 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 83755at6656          -            256   1.7e-16   57.6   2.4   3   3   1.5e-09   3.4e-08   30.4   0.4   114   246   138   273   127   282 0.78 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 83755at6656          -            256     3e-16   56.8   6.2   1   3   1.3e-06   2.9e-05   20.8   0.1   131   218   257   342   253   378 0.81 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 83755at6656          -            256     3e-16   56.8   6.2   2   3   3.1e-11     7e-10   35.9   1.7   102   244   394   536   383   547 0.84 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 83755at6656          -            256     3e-16   56.8   6.2   3   3      0.56        13    2.3   0.0    84    99   535   550   531   568 0.82 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   1   6     0.024      0.55    6.8   0.0   106   154    20    73    16    86 0.78 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   2   6     0.038      0.85    6.2   0.2    82   129   171   218   138   223 0.71 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   3   6    0.0054      0.12    8.9   0.2   135   217   345   420   281   427 0.60 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   4   6   1.5e-10   3.3e-09   33.7   0.0   105   239   394   528   392   539 0.83 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   5   6   0.00041    0.0091   12.6   0.1   195   239   483   528   476   562 0.71 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 83755at6656          -            256   3.6e-16   56.5   9.1   6   6      0.35         8    3.0   0.4    95   119   618   642   530   675 0.51 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 83755at6656          -            256     8e-16   55.4   2.9   1   5       1.1        25    1.4   0.0    37    62     9    37     6    46 0.74 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 83755at6656          -            256     8e-16   55.4   2.9   2   5   0.00019    0.0044   13.7   0.3    37    92    54   111    47   113 0.87 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 83755at6656          -            256     8e-16   55.4   2.9   3   5      0.06       1.3    5.5   0.0    36    68    94   126    87   132 0.77 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 83755at6656          -            256     8e-16   55.4   2.9   4   5   1.7e-06   3.9e-05   20.4   0.1    37    73   138   174   133   199 0.84 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 83755at6656          -            256     8e-16   55.4   2.9   5   5   0.00019    0.0042   13.7   0.0   128   164   257   293   224   307 0.77 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 83755at6656          -            256     8e-16   55.4   0.7   1   2     6e-15   1.3e-13   48.1   0.5    37   217     6   190     1   196 0.75 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 83755at6656          -            256     8e-16   55.4   0.7   2   2     0.058       1.3    5.5   0.0    53   109   218   244   206   265 0.43 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 83755at6656          -            256   4.5e-15   52.9   2.7   1   4     2e-07   4.5e-06   23.5   0.0   134   239     1    98     1   111 0.90 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 83755at6656          -            256   4.5e-15   52.9   2.7   2   4      0.42       9.5    2.7   0.0   189   239   146   199   141   214 0.66 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 83755at6656          -            256   4.5e-15   52.9   2.7   3   4   2.6e-06   5.8e-05   19.8   1.1    38   165   186   317   172   318 0.58 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 83755at6656          -            256   4.5e-15   52.9   2.7   4   4   1.2e-06   2.6e-05   21.0   0.2   100   201   245   350   241   352 0.76 -
