#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109174at6656_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-   -            316 109174at6656         -            256   4.6e-68  226.8   2.1   1   1   5.6e-68   4.2e-66  220.4   2.1     1   248     2   315     2   316 0.82 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 109174at6656         -            256   0.00091   16.1   0.3   2   3   0.00093     0.069    9.9   0.0   168   227   324   392   314   399 0.72 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 109174at6656         -            256   0.00091   16.1   0.3   3   3    0.0055      0.41    7.4   0.1    95   161   378   435   367   453 0.78 -
83755at6656_39758_0:001a6c|TRINITY_DN79341_c9_g1_i1:196-903|+     -            236 109174at6656         -            256   0.00098   16.0   0.0   1   3      0.17        13    2.5   0.0   170   192    48    70    28    79 0.79 -
83755at6656_39758_0:001a6c|TRINITY_DN79341_c9_g1_i1:196-903|+     -            236 109174at6656         -            256   0.00098   16.0   0.0   2   3     0.001     0.075    9.8   0.0    91   164    52   125    46   191 0.74 -
83755at6656_39758_0:001a6c|TRINITY_DN79341_c9_g1_i1:196-903|+     -            236 109174at6656         -            256   0.00098   16.0   0.0   3   3      0.94        70    0.1   0.0   176   203   198   224   193   233 0.81 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 109174at6656         -            256     0.001   15.9   0.0   1   2   0.00098     0.073    9.9   0.0   159   207   101   151    88   155 0.78 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 109174at6656         -            256     0.001   15.9   0.0   2   2      0.11       8.5    3.1   0.0    63    97   158   190   155   225 0.87 -
83755at6656_7394_0:0008ec|TRINITY_DN79703_c11_g1_i4:1846-2694|-   -            283 109174at6656         -            256    0.0014   15.5   0.5   1   5       1.1        83   -0.2   0.0   122   122    99    99    67   130 0.51 -
83755at6656_7394_0:0008ec|TRINITY_DN79703_c11_g1_i4:1846-2694|-   -            283 109174at6656         -            256    0.0014   15.5   0.5   2   5       1.7   1.2e+02   -0.7   0.0    65    80   115   130   105   141 0.83 -
83755at6656_7394_0:0008ec|TRINITY_DN79703_c11_g1_i4:1846-2694|-   -            283 109174at6656         -            256    0.0014   15.5   0.5   3   5    0.0076      0.56    7.0   0.0    89   112   171   194   166   197 0.86 -
83755at6656_7394_0:0008ec|TRINITY_DN79703_c11_g1_i4:1846-2694|-   -            283 109174at6656         -            256    0.0014   15.5   0.5   4   5       8.3   6.2e+02   -3.0   0.0   176   191   220   235   213   239 0.60 -
83755at6656_7394_0:0008ec|TRINITY_DN79703_c11_g1_i4:1846-2694|-   -            283 109174at6656         -            256    0.0014   15.5   0.5   5   5     0.093       6.9    3.4   0.0    57    79   259   281   254   283 0.81 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 109174at6656         -            256    0.0014   15.4   0.2   1   3      0.23        17    2.1   0.0    81   113    10    42     2    51 0.73 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 109174at6656         -            256    0.0014   15.4   0.2   2   3    0.0027       0.2    8.4   0.0    45   109   134   190    93   195 0.71 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 109174at6656         -            256    0.0014   15.4   0.2   3   3       1.5   1.1e+02   -0.6   0.0    94   124   221   251   215   254 0.84 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 109174at6656         -            256    0.0015   15.3   0.6   1   4       6.3   4.7e+02   -2.6   0.0    65    81   228   244   225   251 0.77 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 109174at6656         -            256    0.0015   15.3   0.6   2   4      0.55        41    0.9   0.0    88   112   274   298   243   309 0.76 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 109174at6656         -            256    0.0015   15.3   0.6   3   4     0.026       1.9    5.2   0.0   209   233   320   344   309   352 0.88 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 109174at6656         -            256    0.0015   15.3   0.6   4   4     0.071       5.3    3.8   0.0    64    89   362   386   351   409 0.68 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+ -            295 109174at6656         -            256    0.0018   15.1   0.1   1   3      0.23        17    2.1   0.0    91   110    54    73    46   115 0.84 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+ -            295 109174at6656         -            256    0.0018   15.1   0.1   2   3     0.002      0.15    8.9   0.1    71   124   194   252   183   270 0.69 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+ -            295 109174at6656         -            256    0.0018   15.1   0.1   3   3       1.3        99   -0.4   0.0    66   226   265   280   244   292 0.62 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 109174at6656         -            256    0.0021   14.9   0.1   1   2    0.0014       0.1    9.4   0.0    90   117   105   132   102   229 0.74 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 109174at6656         -            256    0.0021   14.9   0.1   2   2      0.16        12    2.6   0.0   209   226   275   292   214   308 0.82 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 109174at6656         -            256    0.0025   14.7   0.1   1   2     0.084       6.3    3.5   0.0   209   226    71    88    41    98 0.74 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 109174at6656         -            256    0.0025   14.7   0.1   2   2     0.019       1.4    5.7   0.0    88   109   114   135    96   142 0.79 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 109174at6656         -            256    0.0025   14.7   1.0   1   4      0.13       9.7    2.9   0.0    84   112     4    32     2    36 0.85 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 109174at6656         -            256    0.0025   14.7   1.0   2   4     0.011       0.8    6.5   0.0    90   114    93   117    38   124 0.88 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 109174at6656         -            256    0.0025   14.7   1.0   3   4       1.7   1.2e+02   -0.7   0.0    89   109   135   157   132   161 0.80 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 109174at6656         -            256    0.0025   14.7   1.0   4   4         1        77   -0.0   0.0    21    46   161   186   149   191 0.87 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 109174at6656         -            256    0.0026   14.6   0.3   1   3     0.059       4.3    4.0   0.0   140   194    36    97     6   112 0.63 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 109174at6656         -            256    0.0026   14.6   0.3   2   3     0.026       1.9    5.2   0.1   150   193   127   176    71   180 0.62 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 109174at6656         -            256    0.0026   14.6   0.3   3   3      0.36        27    1.5   0.0    91   107   256   272   222   286 0.64 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 109174at6656         -            256    0.0027   14.5   0.0   1   3     0.028       2.1    5.1   0.0    87   114    35    62    22    68 0.81 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 109174at6656         -            256    0.0027   14.5   0.0   2   3      0.19        14    2.4   0.0    91   229   125   145    78   158 0.53 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 109174at6656         -            256    0.0027   14.5   0.0   3   3      0.32        23    1.6   0.0    91   119   207   235   194   247 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 109174at6656         -            256    0.0034   14.2   0.5   1   5      0.43        32    1.2   0.0    92   114    61    83    52    94 0.76 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 109174at6656         -            256    0.0034   14.2   0.5   2   5     0.078       5.8    3.6   0.0    90   231   101   124    96   161 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 109174at6656         -            256    0.0034   14.2   0.5   3   5       3.3   2.5e+02   -1.7   0.0   210   232   145   167   139   171 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 109174at6656         -            256    0.0034   14.2   0.5   4   5       0.9        67    0.2   0.0    98   113   194   209   184   230 0.71 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 109174at6656         -            256    0.0034   14.2   0.5   5   5      0.18        13    2.5   0.0    92   113   233   254   225   262 0.65 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 109174at6656         -            256    0.0046   13.8   0.0   1   3     0.092       6.8    3.4   0.0   173   201   100   130    74   173 0.76 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 109174at6656         -            256    0.0046   13.8   0.0   2   3       1.4   1.1e+02   -0.5   0.0    89   112   184   207   174   212 0.74 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 109174at6656         -            256    0.0046   13.8   0.0   3   3     0.013         1    6.1   0.0    39   231   267   290   246   307 0.66 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 109174at6656         -            256    0.0059   13.4   0.0   1   3     0.017       1.3    5.8   0.0    90   158     9    72     5    87 0.72 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 109174at6656         -            256    0.0059   13.4   0.0   2   3      0.68        50    0.6   0.0   207   228    96   117    93   122 0.86 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 109174at6656         -            256    0.0059   13.4   0.0   3   3      0.19        14    2.4   0.0    89   114   140   166   128   169 0.89 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 109174at6656         -            256    0.0062   13.4   0.3   1   5     0.026       1.9    5.2   0.0    13    46   129   162   121   167 0.88 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 109174at6656         -            256    0.0062   13.4   0.3   2   5      0.97        72    0.1   0.0    47    88   189   231   185   244 0.62 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 109174at6656         -            256    0.0062   13.4   0.3   3   5      0.53        39    0.9   0.1   194   229   230   270   211   279 0.69 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 109174at6656         -            256    0.0062   13.4   0.3   4   5       3.9   2.9e+02   -1.9   0.0    84   115   285   317   282   353 0.76 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 109174at6656         -            256    0.0062   13.4   0.3   5   5      0.67        49    0.6   0.0    90   227   381   400   370   405 0.60 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 109174at6656         -            256    0.0064   13.3   0.0   1   3     0.058       4.3    4.1   0.0    90   110   174   194   165   198 0.88 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 109174at6656         -            256    0.0064   13.3   0.0   2   3      0.89        66    0.2   0.0    95   112   221   238   206   244 0.70 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 109174at6656         -            256    0.0064   13.3   0.0   3   3      0.13       9.3    3.0   0.0   144   191   262   318   258   326 0.54 -
44504at6656_123851_0:000908|TRINITY_DN89994_c8_g2_i2:1293-1808|+  -            172 109174at6656         -            256    0.0071   13.2   0.2   1   4         3   2.2e+02   -1.5   0.0    91   109    11    29     8    41 0.67 -
44504at6656_123851_0:000908|TRINITY_DN89994_c8_g2_i2:1293-1808|+  -            172 109174at6656         -            256    0.0071   13.2   0.2   2   4      0.11         8    3.2   0.0   207   235    65    93    61   105 0.84 -
44504at6656_123851_0:000908|TRINITY_DN89994_c8_g2_i2:1293-1808|+  -            172 109174at6656         -            256    0.0071   13.2   0.2   3   4       3.1   2.3e+02   -1.6   0.0   168   190   102   124    96   126 0.71 -
44504at6656_123851_0:000908|TRINITY_DN89994_c8_g2_i2:1293-1808|+  -            172 109174at6656         -            256    0.0071   13.2   0.2   4   4     0.012      0.91    6.3   0.1    77   107   142   172   133   172 0.73 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 109174at6656         -            256     0.015   12.1   0.0   1   3     0.038       2.8    4.6   0.0    89   110   109   131    88   140 0.72 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 109174at6656         -            256     0.015   12.1   0.0   2   3    0.0027       0.2    8.4   0.0   171   241   108   186   102   194 0.79 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 109174at6656         -            256     0.015   12.1   0.0   3   3       1.2        91   -0.3   0.0   178   208   240   272   214   300 0.66 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 109174at6656         -            256     0.018   11.8   0.2   1   2     0.079       5.9    3.6   0.0   176   192    54    70     4   171 0.63 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 109174at6656         -            256     0.018   11.8   0.2   2   2     0.093       6.9    3.4   0.0    93   107   186   202   182   203 0.77 -
103749at6656_54969_0:00096d|TRINITY_DN84623_c10_g1_i1:3907-4620|+ -            238 109174at6656         -            256     0.022   11.6   0.0   1   3     0.065       4.8    3.9   0.0   173   194     6    27     2    46 0.71 -
