#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 45131at6656          -            346   1.2e-55  186.2   0.0   1   1   6.2e-57   1.4e-55  186.0   0.0     4   120    61   179    58   179 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 45131at6656          -            346     8e-26   88.1   6.8   3   4   0.00029    0.0063   12.8   0.2    63   127   190   256   171   259 0.72 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 45131at6656          -            346     8e-26   88.1   6.8   4   4     0.019      0.43    6.8   0.0   314   337   260   283   252   287 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 45131at6656          -            346   7.7e-25   84.9   7.1   1   4   1.3e-18   2.9e-17   60.0   1.4     9   130    10   137     2   140 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 45131at6656          -            346   7.7e-25   84.9   7.1   2   4    0.0012     0.027   10.8   0.1    12    75   147   214   140   219 0.74 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 45131at6656          -            346   7.7e-25   84.9   7.1   3   4       4.6     1e+02   -1.0   0.0    61    75   258   272   243   284 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 45131at6656          -            346   7.7e-25   84.9   7.1   4   4   0.00035    0.0078   12.5   0.0    42    75   289   324   277   325 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 45131at6656          -            346   7.3e-23   78.4   0.1   1   4    0.0021     0.046   10.0   0.0    82   120    47    85    41    95 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 45131at6656          -            346   7.3e-23   78.4   0.1   2   4   6.7e-13   1.5e-11   41.2   0.1     6   122    97   214    92   238 0.84 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 45131at6656          -            346   7.3e-23   78.4   0.1   3   4   8.1e-05    0.0018   14.6   0.0    67   129   202   263   184   271 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 45131at6656          -            346   7.3e-23   78.4   0.1   4   4   6.9e-05    0.0015   14.9   0.0    55   118   282   344   269   346 0.86 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 45131at6656          -            346   6.2e-22   75.3   4.1   1   5     0.056       1.2    5.3   0.0    59   122    73   136    25   153 0.69 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 45131at6656          -            346   6.2e-22   75.3   4.1   2   5   1.2e-05   0.00026   17.4   0.0    68   131   169   233   164   246 0.83 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 45131at6656          -            346   6.2e-22   75.3   4.1   3   5   1.6e-06   3.6e-05   20.2   0.0    18   124   353   462   344   466 0.85 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 45131at6656          -            346   6.2e-22   75.3   4.1   4   5   1.5e-08   3.3e-07   26.9   0.2    43   123   480   560   466   563 0.89 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 45131at6656          -            346   6.2e-22   75.3   4.1   5   5   3.7e-08   8.2e-07   25.6   0.1    17   118   495   597   494   602 0.85 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 45131at6656          -            346   7.2e-22   75.1   1.4   1   4       5.1   1.1e+02   -1.2   0.0   320   342     4    26     1    30 0.70 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 45131at6656          -            346   7.2e-22   75.1   1.4   2   4    0.0079      0.17    8.1   0.7    85   121    36    72    24    79 0.88 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 45131at6656          -            346   7.2e-22   75.1   1.4   3   4     5e-10   1.1e-08   31.8   0.0    45   118    79   154    71   165 0.82 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 45131at6656          -            346   7.2e-22   75.1   1.4   4   4   1.5e-10   3.4e-09   33.4   0.0    28   125   147   247   143   258 0.84 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 45131at6656          -            346   1.3e-21   74.3   1.2   1   5   9.4e-05    0.0021   14.4   0.2    84   141    35    93    28   100 0.77 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 45131at6656          -            346   1.3e-21   74.3   1.2   2   5      0.16       3.5    3.8   0.0   314   342    82   110    71   114 0.82 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 45131at6656          -            346   1.3e-21   74.3   1.2   3   5     2e-08   4.5e-07   26.5   0.0    12   121    88   204    84   212 0.79 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 45131at6656          -            346   1.3e-21   74.3   1.2   4   5   0.00051     0.011   12.0   0.0    45   103   212   272   204   274 0.75 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 45131at6656          -            346   1.3e-21   74.3   1.2   5   5   4.8e-06   0.00011   18.7   0.0     7    74   259   328   250   329 0.86 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 45131at6656          -            346   1.9e-21   73.8   6.2   1   3   0.00016    0.0035   13.7   0.0    81   126    27    72     8    76 0.90 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 45131at6656          -            346   1.9e-21   73.8   6.2   2   3   1.2e-09   2.7e-08   30.5   0.0    12   122    83   194    77   199 0.82 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 45131at6656          -            346   1.9e-21   73.8   6.2   3   3     6e-14   1.3e-12   44.7   1.5    11   127   124   241   118   267 0.84 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-   -            169 45131at6656          -            346   8.5e-21   71.6   0.8   1   2   7.9e-11   1.7e-09   34.4   0.4    45   122     2    81     1    84 0.88 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-   -            169 45131at6656          -            346   8.5e-21   71.6   0.8   2   2   3.4e-11   7.5e-10   35.6   0.0    44   122    87   167    81   168 0.91 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   1   6    0.0097      0.22    7.8   0.0    13    69    61   118    46   131 0.90 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   2   6      0.22       4.8    3.4   0.1    56   120   154   219   129   224 0.74 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   3   6   1.3e-06   2.8e-05   20.6   0.1     9   125   305   424   296   431 0.81 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   4   6   1.3e-07   2.9e-06   23.8   0.0    43   128   384   469   370   473 0.85 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   5   6     3e-09   6.7e-08   29.2   0.0     9   156   433   586   431   590 0.79 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 45131at6656          -            346   9.4e-21   71.4   2.9   6   6       2.9        63   -0.3   0.0    12    36   628   652   618   678 0.70 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 45131at6656          -            346   1.7e-20   70.6   0.4   1   4     3e-08   6.8e-07   25.9   0.0    47   127   161   237   151   246 0.83 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 45131at6656          -            346   1.7e-20   70.6   0.4   2   4   1.1e-09   2.5e-08   30.6   0.1    61   136   260   334   245   338 0.91 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 45131at6656          -            346   1.7e-20   70.6   0.4   3   4    0.0086      0.19    8.0   0.0    61   128   344   408   329   413 0.78 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 45131at6656          -            346   1.7e-20   70.6   0.4   4   4       1.2        27    0.9   0.0     7    36   420   449   415   458 0.84 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 45131at6656          -            346   5.1e-20   69.0   2.5   1   3   5.6e-07   1.3e-05   21.7   0.1    46   121     3    78     1    80 0.88 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 45131at6656          -            346   5.1e-20   69.0   2.5   2   3   3.5e-09   7.7e-08   29.0   0.4    64   120    64   119    59   123 0.93 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 45131at6656          -            346   5.1e-20   69.0   2.5   3   3   7.7e-09   1.7e-07   27.9   0.1    44   119   165   242   153   242 0.85 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 45131at6656          -            346   1.3e-19   67.7   1.2   1   3       4.4        99   -1.0   0.0    86   118     6    39     2    46 0.77 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 45131at6656          -            346   1.3e-19   67.7   1.2   2   3   1.2e-12   2.7e-11   40.4   0.1    45   129    54   143    44   146 0.85 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 45131at6656          -            346   1.3e-19   67.7   1.2   3   3   2.1e-10   4.6e-09   33.0   0.1    43   119    99   179    93   179 0.86 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 45131at6656          -            346   2.2e-19   67.0   8.3   1   4   1.5e-10   3.3e-09   33.5   0.1    45   122   159   238   149   261 0.85 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 45131at6656          -            346   2.2e-19   67.0   8.3   2   4   1.9e-07   4.2e-06   23.3   0.1    18    75   261   320   242   326 0.83 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 45131at6656          -            346   2.2e-19   67.0   8.3   3   4   0.00015    0.0032   13.8   0.3    59   127   347   419   329   427 0.86 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 45131at6656          -            346   2.2e-19   67.0   8.3   4   4       4.8   1.1e+02   -1.1   0.1   101   118   436   453   419   453 0.82 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 45131at6656          -            346   5.5e-19   65.6  11.8   1   4   5.8e-05    0.0013   15.1   1.7    47   123    99   183    92   189 0.76 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 45131at6656          -            346   5.5e-19   65.6  11.8   2   4    0.0012     0.027   10.8   0.7    58   125   161   231   161   237 0.81 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 45131at6656          -            346   5.5e-19   65.6  11.8   3   4    0.0059      0.13    8.5   0.1    43    76   261   294   253   304 0.87 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 45131at6656          -            346   5.5e-19   65.6  11.8   4   4   6.7e-13   1.5e-11   41.2   0.1     9   117   308   421   299   424 0.83 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 45131at6656          -            346   1.6e-18   64.1   3.1   1   3      0.68        15    1.7   0.1    61    77    19    35     2    91 0.51 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 45131at6656          -            346   1.6e-18   64.1   3.1   2   3     2e-11   4.5e-10   36.3   0.1     5   111    99   205    95   210 0.89 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 45131at6656          -            346   1.6e-18   64.1   3.1   3   3   1.3e-07   2.8e-06   23.9   0.1    55   120   230   294   217   304 0.86 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 45131at6656          -            346   1.8e-18   63.9   1.1   1   3    0.0008     0.018   11.3   0.0    61   118   167   223   140   237 0.86 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 45131at6656          -            346   1.8e-18   63.9   1.1   2   3   1.3e-12   2.8e-11   40.3   0.2     6   123   276   394   271   402 0.88 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 45131at6656          -            346   1.8e-18   63.9   1.1   3   3    0.0033     0.074    9.3   0.0    51   124   406   486   401   486 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 45131at6656          -            346   2.3e-18   63.6   0.0   1   2   9.9e-10   2.2e-08   30.8   0.0    17   121    18   123     8   132 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 45131at6656          -            346   2.3e-18   63.6   0.0   2   2   1.9e-09   4.2e-08   29.8   0.0    44   123   130   209   123   224 0.90 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 45131at6656          -            346   2.6e-18   63.4   0.0   1   4      0.68        15    1.7   0.0   251   295    44    87    34    93 0.74 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 45131at6656          -            346   2.6e-18   63.4   0.0   2   4    0.0004    0.0089   12.3   0.0    58   119    80   148    64   153 0.80 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 45131at6656          -            346   2.6e-18   63.4   0.0   3   4   1.8e-09   4.1e-08   29.9   0.0    12   120   165   274   160   278 0.88 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 45131at6656          -            346   2.6e-18   63.4   0.0   4   4   3.8e-10   8.5e-09   32.1   0.0     8   117   245   356   242   357 0.91 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 45131at6656          -            346   2.8e-18   63.3   4.8   1   2   9.1e-12     2e-10   37.5   1.4     8   124    35   154    28   171 0.84 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 45131at6656          -            346   2.8e-18   63.3   4.8   2   2   9.2e-08     2e-06   24.3   0.0     8   154   172   320   165   324 0.86 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 45131at6656          -            346     1e-17   61.5   0.0   1   2     1e-13   2.3e-12   43.9   0.0    11   121    92   204    84   214 0.88 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 45131at6656          -            346     1e-17   61.5   0.0   2   2   4.4e-05   0.00098   15.5   0.0    70   186   236   354   229   375 0.81 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 45131at6656          -            346   1.3e-17   61.1   0.2   1   2   3.1e-08     7e-07   25.8   0.0     7   121     4   121     2   159 0.88 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 45131at6656          -            346   1.3e-17   61.1   0.2   2   2   1.8e-10     4e-09   33.2   0.0     3   117   249   367   247   367 0.85 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 45131at6656          -            346   2.5e-17   60.2   7.9   1   3   1.6e-10   3.6e-09   33.4   0.6    61   123    30    91     9    96 0.88 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 45131at6656          -            346   2.5e-17   60.2   7.9   2   3   1.2e-08   2.7e-07   27.2   0.9    45   117    97   169    92   178 0.88 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 45131at6656          -            346   2.5e-17   60.2   7.9   3   3   0.00014    0.0031   13.9   0.5    46   100   140   194   135   201 0.81 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 45131at6656          -            346   8.7e-17   58.4   0.3   1   3   2.1e-05   0.00046   16.6   0.0    72   126   248   301   218   309 0.80 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 45131at6656          -            346   8.7e-17   58.4   0.3   2   3   5.9e-11   1.3e-09   34.8   0.0     8   129   308   432   301   440 0.82 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 45131at6656          -            346   8.7e-17   58.4   0.3   3   3      0.12       2.7    4.2   0.0    10    74   439   503   436   504 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 45131at6656          -            346   3.5e-16   56.4   0.5   1   3   2.9e-05   0.00064   16.1   0.0    39   110    36   108     5   110 0.69 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 45131at6656          -            346   3.5e-16   56.4   0.5   2   3   3.9e-08   8.7e-07   25.5   0.0    60   145   102   188    91   194 0.83 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 45131at6656          -            346   3.5e-16   56.4   0.5   3   3   0.00027    0.0061   12.9   0.1    69   122   202   260   198   265 0.88 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 45131at6656          -            346   4.2e-16   56.2   0.1   1   3     0.011      0.25    7.6   0.0     4    78     4    82     3    87 0.73 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 45131at6656          -            346   4.2e-16   56.2   0.1   2   3   2.9e-14   6.5e-13   45.7   0.0    13   157    57   203    49   206 0.91 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 45131at6656          -            346   4.2e-16   56.2   0.1   3   3     0.054       1.2    5.3   0.0    46    80   259   295   229   319 0.73 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 45131at6656          -            346   7.5e-16   55.3   1.3   1   3   1.7e-10   3.8e-09   33.3   0.1     8   123    18   136    11   146 0.82 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 45131at6656          -            346   7.5e-16   55.3   1.3   2   3    0.0025     0.056    9.7   0.0   284   343   197   263   193   266 0.75 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-    -            307 45131at6656          -            346   7.5e-16   55.3   1.3   3   3     0.005      0.11    8.7   0.1   311   336   274   299   265   307 0.82 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 45131at6656          -            346     8e-16   55.2   0.4   1   3   8.4e-07   1.9e-05   21.1   0.1     7   120   195   309   189   316 0.89 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 45131at6656          -            346     8e-16   55.2   0.4   2   3     1e-10   2.3e-09   34.0   0.0    28   121   300   400   298   405 0.83 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+ -            458 45131at6656          -            346     8e-16   55.2   0.4   3   3       1.9        43    0.2   0.0     8    29   416   437   409   440 0.80 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 45131at6656          -            346   1.1e-15   54.7   0.0   1   2   2.7e-12   5.9e-11   39.2   0.0     7   149    57   200    52   209 0.95 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 45131at6656          -            346   1.1e-15   54.7   0.0   2   2   0.00021    0.0046   13.3   0.0     9    77   225   295   220   305 0.87 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 45131at6656          -            346   1.4e-15   54.4   2.3   1   3   3.3e-05   0.00073   15.9   0.0    58   124     8    72     6    83 0.85 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 45131at6656          -            346   1.4e-15   54.4   2.3   2   3   0.00016    0.0036   13.6   0.0    49   122    83   157    73   193 0.61 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 45131at6656          -            346   1.4e-15   54.4   2.3   3   3   2.2e-07   4.8e-06   23.1   0.7    46   121   215   291   206   299 0.92 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 45131at6656          -            346   4.6e-15   52.7   0.0   1   3       1.3        28    0.8   0.0   113   152     2    47     1    76 0.65 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 45131at6656          -            346   4.6e-15   52.7   0.0   2   3   4.5e-11     1e-09   35.2   0.0    13   124    32   146    23   153 0.81 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+   -            257 45131at6656          -            346   4.6e-15   52.7   0.0   3   3   5.7e-05    0.0013   15.1   0.0     8   109   154   254   148   257 0.87 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 45131at6656          -            346   7.2e-15   52.1  11.7   1   3   4.3e-06   9.4e-05   18.8   0.9    61   124     2    65     1    83 0.82 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 45131at6656          -            346   7.2e-15   52.1  11.7   2   3   5.7e-10   1.3e-08   31.6   0.5    49   123    73   148    62   154 0.84 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 45131at6656          -            346   7.2e-15   52.1  11.7   3   3   8.5e-07   1.9e-05   21.1   0.2    46    92   114   159   113   183 0.87 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 45131at6656          -            346   1.9e-14   50.7   0.2   1   2   7.7e-12   1.7e-10   37.7   0.0     5   124    11   131     7   163 0.87 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 45131at6656          -            346   1.9e-14   50.7   0.2   2   2    0.0022     0.048    9.9   0.0    79   144   210   277   167   290 0.63 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 45131at6656          -            346   2.5e-14   50.3   7.3   1   3     7e-07   1.6e-05   21.4   0.2     8   118    17   122    10   128 0.81 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 45131at6656          -            346   2.5e-14   50.3   7.3   2   3   2.3e-06     5e-05   19.7   0.4    19   121   106   205   105   213 0.83 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 45131at6656          -            346   2.5e-14   50.3   7.3   3   3   7.6e-06   0.00017   18.0   0.8    19    76   186   246   182   246 0.71 -
