#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+    -            318 107802at6656         -            224   8.2e-96  317.4   0.6   1   1   7.3e-97     2e-95  316.1   0.6     1   224    36   304    36   304 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 107802at6656         -            224     2e-21   74.0   0.0   2   5    0.0012     0.032   11.3   0.0   175   213    82   120    78   125 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 107802at6656         -            224     2e-21   74.0   0.0   3   5     1e-05   0.00027   18.0   0.0   179   219   128   168   121   170 0.92 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 107802at6656         -            224     2e-21   74.0   0.0   4   5   0.00044     0.012   12.6   0.0   174   213   165   204   163   209 0.93 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 107802at6656         -            224     2e-21   74.0   0.0   5   5      0.36       9.7    3.1   0.0   180   204   213   237   204   251 0.79 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   1   6   0.00099     0.027   11.5   0.0   182   215     2    35     1    41 0.90 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   2   6     0.024      0.66    7.0   0.0   188   214    63    89    51    97 0.87 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   3   6      0.62        17    2.4   0.0   182   217    98   133    89   140 0.76 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   4   6       2.5        67    0.4   0.0    95   119   115   141   104   154 0.75 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   5   6   4.4e-06   0.00012   19.2   0.0   156   211   155   210   147   215 0.84 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 107802at6656         -            224   2.7e-21   73.7   1.8   6   6   1.8e-08   4.8e-07   27.0   0.3   164   219   243   298   224   303 0.87 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 107802at6656         -            224   6.6e-21   72.4   1.5   1   4       1.9        51    0.8   0.0   182   217     3    38     1    41 0.86 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 107802at6656         -            224   6.6e-21   72.4   1.5   2   4   7.9e-07   2.1e-05   21.6   0.1    12    52    38    79    27   116 0.81 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 107802at6656         -            224   6.6e-21   72.4   1.5   3   4   8.6e-07   2.3e-05   21.5   0.0   155   214   155   214   132   224 0.89 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 107802at6656         -            224   6.6e-21   72.4   1.5   4   4   7.1e-08   1.9e-06   25.1   0.0   175   211   275   311   259   314 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 107802at6656         -            224   1.7e-20   71.0   1.4   1   5     0.014      0.39    7.7   0.0   181   216    37    72    31    80 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 107802at6656         -            224   1.7e-20   71.0   1.4   2   5   0.00061     0.016   12.2   0.1   152   217    92   161    71   168 0.75 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 107802at6656         -            224   1.7e-20   71.0   1.4   3   5   8.4e-10   2.3e-08   31.4   0.0   153   215   183   245   163   254 0.90 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 107802at6656         -            224   1.7e-20   71.0   1.4   4   5      0.57        16    2.5   0.0   188   216   262   290   253   296 0.85 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-  -            329 107802at6656         -            224   1.7e-20   71.0   1.4   5   5   0.00067     0.018   12.1   0.0   179   212   295   328   289   329 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 107802at6656         -            224   2.1e-19   67.4   2.0   1   5      0.56        15    2.5   0.0   187   214     1    28     1    34 0.93 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 107802at6656         -            224   2.1e-19   67.4   2.0   2   5   1.6e-09   4.4e-08   30.4   0.0   158   213    55   110    39   114 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 107802at6656         -            224   2.1e-19   67.4   2.0   3   5   0.00014    0.0039   14.3   0.0   177   218   116   159   110   165 0.83 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 107802at6656         -            224   2.1e-19   67.4   2.0   4   5   0.00017    0.0047   14.0   0.0   166   220   193   247   177   251 0.80 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 107802at6656         -            224   2.1e-19   67.4   2.0   5   5       1.6        43    1.0   0.0   183   212   253   282   242   282 0.86 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 107802at6656         -            224   6.2e-19   65.9   0.0   1   4       7.2   1.9e+02   -1.1   0.0   183   215   418   450   413   459 0.73 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 107802at6656         -            224   6.2e-19   65.9   0.0   2   4   2.7e-08   7.2e-07   26.4   0.0   161   213   469   521   424   527 0.86 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 107802at6656         -            224   6.2e-19   65.9   0.0   3   4   1.3e-05   0.00034   17.7   0.0   175   218   525   568   521   572 0.89 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 107802at6656         -            224   6.2e-19   65.9   0.0   4   4   1.4e-05   0.00037   17.6   0.0   178   217   570   609   565   615 0.90 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   1   7     0.022      0.61    7.1   0.0   181   206    91   117    77   122 0.81 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   2   7       2.8        75    0.2   0.0   183   212   143   172   136   180 0.83 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   3   7       1.3        34    1.4   0.0   151   213   313   375   293   383 0.78 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   4   7   2.9e-08   7.8e-07   26.3   0.0   170   216   374   420   361   426 0.90 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   5   7      0.41        11    3.0   0.0   180   213   426   459   421   470 0.87 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   6   7     5e-05    0.0014   15.7   0.0   155   215   486   549   473   557 0.83 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 107802at6656         -            224     5e-18   63.0   0.6   7   7       7.7   2.1e+02   -1.2   0.0   190   219   566   595   562   598 0.86 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 107802at6656         -            224   1.1e-17   61.8   0.2   1   4    0.0025     0.068   10.2   0.0   181   215     1    35     1    44 0.90 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 107802at6656         -            224   1.1e-17   61.8   0.2   2   4   6.5e-05    0.0018   15.4   0.0   159   214    63   118    56   130 0.88 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 107802at6656         -            224   1.1e-17   61.8   0.2   3   4    0.0059      0.16    9.0   0.0   181   218   165   202   141   205 0.86 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-   -            242 107802at6656         -            224   1.1e-17   61.8   0.2   4   4   9.8e-07   2.7e-05   21.3   0.0   176   213   204   241   197   242 0.92 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 107802at6656         -            224   3.4e-17   60.2   0.8   1   4      0.11         3    4.8   0.0   175   213   152   191   147   196 0.84 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 107802at6656         -            224   3.4e-17   60.2   0.8   2   4    0.0041      0.11    9.5   0.0   172   217   193   238   190   245 0.93 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 107802at6656         -            224   3.4e-17   60.2   0.8   3   4   5.4e-08   1.5e-06   25.5   0.0   150   213   257   320   245   325 0.95 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 107802at6656         -            224   3.4e-17   60.2   0.8   4   4   2.9e-05   0.00079   16.5   0.1   152   224   344   421   334   421 0.79 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   1   6     0.018      0.48    7.4   0.0   181   214     4    37     1    47 0.62 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   2   6   3.8e-05     0.001   16.1   0.0   182   217    50    85    39    89 0.90 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   3   6     0.031      0.83    6.6   0.1   180   214    92   126    83   136 0.73 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   4   6     0.013      0.36    7.8   0.0   181   215   138   172   129   179 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   5   6    0.0075       0.2    8.6   0.1   183   214   184   215   176   223 0.66 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 107802at6656         -            224   1.1e-16   58.5   6.0   6   6     0.011       0.3    8.1   0.0   180   213   290   324   253   325 0.81 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 107802at6656         -            224   1.4e-16   58.2   1.9   1   4   7.2e-05    0.0019   15.2   0.0   182   218    13    49     8    55 0.89 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 107802at6656         -            224   1.4e-16   58.2   1.9   2   4   0.00032    0.0087   13.1   0.1   171   213    44    86    44    89 0.68 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 107802at6656         -            224   1.4e-16   58.2   1.9   3   4   5.3e-06   0.00014   18.9   0.1   156   216    71   131    67   133 0.92 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 107802at6656         -            224   1.4e-16   58.2   1.9   4   4   5.1e-06   0.00014   19.0   0.0   173   216   130   173   128   181 0.91 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 107802at6656         -            224   1.9e-15   54.5   0.1   1   5     0.083       2.2    5.2   0.0   147   211    12    81     6    86 0.67 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 107802at6656         -            224   1.9e-15   54.5   0.1   2   5   0.00023    0.0064   13.6   0.0   154   221    66   134    64   137 0.82 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 107802at6656         -            224   1.9e-15   54.5   0.1   3   5     0.031      0.84    6.6   0.0   174   214   129   170   127   178 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 107802at6656         -            224   1.9e-15   54.5   0.1   4   5   6.5e-05    0.0018   15.4   0.0   150   213   189   252   175   257 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 107802at6656         -            224   1.9e-15   54.5   0.1   5   5   0.00024    0.0065   13.5   0.0   150   211   281   342   257   345 0.82 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 107802at6656         -            224   2.5e-15   54.1   0.0   1   4   0.00069     0.019   12.0   0.0   153   217    45   107    29   112 0.90 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 107802at6656         -            224   2.5e-15   54.1   0.0   2   4   7.7e-06   0.00021   18.4   0.0   174   212   130   168   127   174 0.90 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 107802at6656         -            224   2.5e-15   54.1   0.0   3   4       6.6   1.8e+02   -1.0   0.0   178   218   176   216   170   222 0.77 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 107802at6656         -            224   2.5e-15   54.1   0.0   4   4   5.5e-06   0.00015   18.9   0.0   156   212   235   291   201   291 0.84 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 107802at6656         -            224   2.6e-15   54.1   3.4   1   5    0.0025     0.069   10.2   0.0   188   219   217   248   208   253 0.87 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 107802at6656         -            224   2.6e-15   54.1   3.4   2   5     0.011      0.29    8.1   0.0   176   218   255   297   250   302 0.88 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 107802at6656         -            224   2.6e-15   54.1   3.4   3   5     4e-05    0.0011   16.1   0.1   153   214   317   378   306   388 0.87 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 107802at6656         -            224   2.6e-15   54.1   3.4   4   5       1.1        30    1.5   0.0   149   198   406   455   392   458 0.79 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 107802at6656         -            224   2.6e-15   54.1   3.4   5   5   6.3e-05    0.0017   15.4   0.0   156   213   455   512   450   513 0.93 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 107802at6656         -            224   4.8e-15   53.2   3.4   1   4    0.0036     0.099    9.7   0.0    16   215    30    66    18    76 0.64 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 107802at6656         -            224   4.8e-15   53.2   3.4   2   4      0.31       8.4    3.3   0.0   190   211    83   104    74   116 0.81 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 107802at6656         -            224   4.8e-15   53.2   3.4   3   4   8.9e-06   0.00024   18.2   0.0   153   213   130   190   122   198 0.87 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 107802at6656         -            224   4.8e-15   53.2   3.4   4   4     5e-06   0.00013   19.0   0.5   152   206   213   267   207   269 0.94 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 107802at6656         -            224   7.9e-15   52.5   0.2   1   3   1.8e-08   4.8e-07   27.0   0.1   149   214    79   144    59   152 0.86 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 107802at6656         -            224   7.9e-15   52.5   0.2   2   3   1.3e-05   0.00035   17.7   0.0   158   221   211   277   206   280 0.89 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 107802at6656         -            224   7.9e-15   52.5   0.2   3   3      0.41        11    2.9   0.0   153   211   347   406   319   408 0.81 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   1   7     0.033      0.91    6.5   0.0   180   213    64    97    53   103 0.85 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   2   7       0.6        16    2.4   0.0   178   213   104   147    98   155 0.66 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   3   7       2.8        75    0.2   0.0   191   217   166   192   157   197 0.69 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   4   7    0.0001    0.0027   14.8   0.0   173   218   190   235   178   239 0.88 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   5   7   1.3e-05   0.00035   17.7   0.0   176   215   235   274   230   282 0.86 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   6   7       2.8        75    0.2   0.0   179   212   280   314   273   320 0.70 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 107802at6656         -            224   8.6e-15   52.4   0.3   7   7      0.56        15    2.5   0.0    17    48   324   356   316   359 0.76 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 107802at6656         -            224   9.1e-15   52.3   0.0   1   4   9.5e-07   2.6e-05   21.4   0.0   152   223   232   303   226   304 0.92 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 107802at6656         -            224   9.1e-15   52.3   0.0   2   4     0.093       2.5    5.0   0.0   184   213   350   379   334   384 0.87 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 107802at6656         -            224   9.1e-15   52.3   0.0   3   4     1e-05   0.00028   18.0   0.0   175   220   383   428   379   432 0.88 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 107802at6656         -            224   9.1e-15   52.3   0.0   4   4      0.64        17    2.3   0.0   160   211   453   502   444   503 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 107802at6656         -            224   1.3e-14   51.8   2.1   1   5      0.01      0.27    8.2   0.1    12    50     6    43     2    46 0.77 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 107802at6656         -            224   1.3e-14   51.8   2.1   2   5   2.8e-05   0.00076   16.6   0.1   155   217    26    86    22    90 0.77 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 107802at6656         -            224   1.3e-14   51.8   2.1   3   5   8.8e-06   0.00024   18.2   0.0    18   109    92   202    84   205 0.65 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 107802at6656         -            224   1.3e-14   51.8   2.1   4   5    0.0077      0.21    8.6   0.0    10    52   164   205   163   216 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 107802at6656         -            224   1.3e-14   51.8   2.1   5   5    0.0012     0.032   11.2   0.0   155   213   186   245   183   246 0.80 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 107802at6656         -            224   1.7e-14   51.4   0.0   1   4   0.00026    0.0069   13.4   0.0   184   218     3    37     1    44 0.93 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 107802at6656         -            224   1.7e-14   51.4   0.0   2   4   0.00076     0.021   11.9   0.0   180   217    85   122    77   127 0.88 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 107802at6656         -            224   1.7e-14   51.4   0.0   3   4    0.0069      0.19    8.7   0.0   157   199   225   267   213   277 0.71 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 107802at6656         -            224   1.7e-14   51.4   0.0   4   4   0.00076     0.021   11.9   0.0   184   218   296   330   268   336 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 107802at6656         -            224   2.4e-14   50.9   1.4   1   7   0.00014    0.0037   14.3   0.0   181   218   158   195   151   200 0.91 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 107802at6656         -            224   2.4e-14   50.9   1.4   2   7      0.22         6    3.8   0.0    95   119   218   242   201   250 0.79 -
