#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81292at6656_407821_0:004d4f|TRINITY_DN81046_c10_g2_i1:65-475|+   -            137 81292at6656          -            249   3.5e-63  210.8   0.7   1   1   3.4e-65   4.5e-63  210.4   0.7     1   122     1   137     1   137 0.94 -
81292at6656_32264_0:0012da|TRINITY_DN74614_c4_g1_i5:574-1425|-   -            284 81292at6656          -            249     6e-14   49.5   6.2   4   4   1.6e-06   0.00021   18.2   0.6   139   205   155   231   153   284 0.78 -
81292at6656_1155016_0:002c93|TRINITY_DN79539_c7_g1_i4:244-978|-  -            245 81292at6656          -            249   7.4e-12   42.7   0.0   1   1   2.5e-13   3.3e-11   40.5   0.0    45   218     1   198     1   220 0.75 -
81292at6656_48709_0:001acb|TRINITY_DN74440_c10_g1_i1:241-1053|+  -            271 81292at6656          -            249   5.3e-11   39.9   2.4   1   4   2.5e-07   3.3e-05   20.9   0.1    19    63     2    58     1    61 0.76 -
81292at6656_48709_0:001acb|TRINITY_DN74440_c10_g1_i1:241-1053|+  -            271 81292at6656          -            249   5.3e-11   39.9   2.4   2   4   7.1e-05    0.0094   12.8   0.0   138   206    55   125    52   156 0.80 -
81292at6656_48709_0:001acb|TRINITY_DN74440_c10_g1_i1:241-1053|+  -            271 81292at6656          -            249   5.3e-11   39.9   2.4   3   4      0.12        16    2.2   0.1    84   114   182   212   160   241 0.71 -
81292at6656_48709_0:001acb|TRINITY_DN74440_c10_g1_i1:241-1053|+  -            271 81292at6656          -            249   5.3e-11   39.9   2.4   4   4      0.15        20    1.9   0.2    40    65   224   251   221   271 0.78 -
81292at6656_6850_0:003591|TRINITY_DN89514_c10_g1_i3:568-1086|+   -            173 81292at6656          -            249   5.5e-11   39.8   3.0   1   2   9.4e-09   1.2e-06   25.5   1.2    42    86    26    72     1    80 0.92 -
81292at6656_6850_0:003591|TRINITY_DN89514_c10_g1_i3:568-1086|+   -            173 81292at6656          -            249   5.5e-11   39.8   3.0   2   2   6.9e-05    0.0092   12.9   0.0    14    88    91   171    82   173 0.83 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-   -            185 81292at6656          -            249   7.1e-11   39.4   0.4   1   3   3.3e-09   4.4e-07   27.0   0.2    14    72    10    73     2    93 0.78 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-   -            185 81292at6656          -            249   7.1e-11   39.4   0.4   2   3   2.1e-05    0.0027   14.6   0.1   135   223    58   155    58   162 0.71 -
81292at6656_34638_0:000b66|TRINITY_DN79679_c10_g1_i1:435-989|-   -            185 81292at6656          -            249   7.1e-11   39.4   0.4   3   3   0.00079       0.1    9.4   0.0    20    65   111   168   103   183 0.57 -
67583at6656_568069_0:002b9a|TRINITY_DN80251_c5_g1_i5:1154-1885|- -            244 81292at6656          -            249   9.5e-11   39.0   0.4   1   1   7.7e-12     1e-09   35.7   0.4    25   207    13   209     8   221 0.69 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-  -            266 81292at6656          -            249   3.6e-09   33.9   0.4   1   3     5e-05    0.0066   13.3   0.1    39    64    26    53     2    61 0.80 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-  -            266 81292at6656          -            249   3.6e-09   33.9   0.4   2   3     0.024       3.2    4.5   0.0   175   203    93   121    83   128 0.74 -
81292at6656_6945_0:004cd0|TRINITY_DN88941_c16_g3_i1:1162-1959|-  -            266 81292at6656          -            249   3.6e-09   33.9   0.4   3   3   0.00021     0.028   11.3   0.0   134   200   143   217   126   223 0.75 -
81292at6656_568069_0:000c6b|TRINITY_DN86645_c3_g1_i1:445-1230|+  -            262 81292at6656          -            249   6.1e-09   33.1   3.7   1   3    0.0057      0.76    6.6   0.0   179   200     2    23     1    29 0.89 -
81292at6656_568069_0:000c6b|TRINITY_DN86645_c3_g1_i1:445-1230|+  -            262 81292at6656          -            249   6.1e-09   33.1   3.7   2   3    0.0023       0.3    7.9   0.1    20    59    96   138    88   146 0.78 -
81292at6656_568069_0:000c6b|TRINITY_DN86645_c3_g1_i1:445-1230|+  -            262 81292at6656          -            249   6.1e-09   33.1   3.7   3   3     2e-06   0.00027   17.9   0.1   150   240   154   261   139   262 0.73 -
81292at6656_121225_0:001559|TRINITY_DN90278_c7_g1_i2:194-709|+   -            172 81292at6656          -            249   7.8e-08   29.5   0.2   1   2   2.6e-07   3.4e-05   20.8   0.0    28    88     1    73     1    78 0.77 -
81292at6656_121225_0:001559|TRINITY_DN90278_c7_g1_i2:194-709|+   -            172 81292at6656          -            249   7.8e-08   29.5   0.2   2   2    0.0042      0.55    7.0   0.0   170   200    80   112    53   127 0.78 -
81292at6656_568069_0:000c6b|TRINITY_DN85484_c11_g1_i2:608-1111|+ -            168 81292at6656          -            249     1e-07   29.1   0.9   1   2   2.5e-05    0.0033   14.3   0.4    23    88     3    76     1    80 0.83 -
81292at6656_568069_0:000c6b|TRINITY_DN85484_c11_g1_i2:608-1111|+ -            168 81292at6656          -            249     1e-07   29.1   0.9   2   2   5.6e-05    0.0074   13.2   0.0    20    80   101   167    90   168 0.75 -
81292at6656_6850_0:003d4d|TRINITY_DN80054_c5_g1_i4:3259-4083|-   -            275 81292at6656          -            249   3.6e-07   27.3   6.1   1   4       1.3   1.7e+02   -1.1   0.0   190   202     1    13     1    35 0.75 -
81292at6656_6850_0:003d4d|TRINITY_DN80054_c5_g1_i4:3259-4083|-   -            275 81292at6656          -            249   3.6e-07   27.3   6.1   2   4      0.15        20    2.0   0.0   169   206    82   120    19   126 0.62 -
81292at6656_6850_0:003d4d|TRINITY_DN80054_c5_g1_i4:3259-4083|-   -            275 81292at6656          -            249   3.6e-07   27.3   6.1   3   4   0.00081      0.11    9.4   0.1    36    92   121   180   115   210 0.71 -
81292at6656_6850_0:003d4d|TRINITY_DN80054_c5_g1_i4:3259-4083|-   -            275 81292at6656          -            249   3.6e-07   27.3   6.1   4   4   2.8e-06   0.00037   17.4   0.7    18    64   203   252   189   259 0.70 -
81292at6656_7217_0:0000f9|TRINITY_DN82216_c10_g1_i1:221-913|+    -            231 81292at6656          -            249   4.7e-07   26.9   0.1   1   3   2.9e-05    0.0039   14.1   0.0    27    66     1    50     1    76 0.87 -
81292at6656_7217_0:0000f9|TRINITY_DN82216_c10_g1_i1:221-913|+    -            231 81292at6656          -            249   4.7e-07   26.9   0.1   2   3      0.18        24    1.7   0.0    90   141   122   172    92   175 0.66 -
81292at6656_7217_0:0000f9|TRINITY_DN82216_c10_g1_i1:221-913|+    -            231 81292at6656          -            249   4.7e-07   26.9   0.1   3   3    0.0026      0.34    7.7   0.0    31    57   201   231   187   231 0.87 -
81292at6656_7091_0:0002a7|TRINITY_DN82893_c7_g2_i1:655-1176|+    -            174 81292at6656          -            249   8.9e-07   26.0   0.0   1   2     8e-07   0.00011   19.2   0.0   137   204    52   127     1   129 0.70 -
81292at6656_7091_0:0002a7|TRINITY_DN82893_c7_g2_i1:655-1176|+    -            174 81292at6656          -            249   8.9e-07   26.0   0.0   2   2     0.012       1.6    5.5   0.0    42    64   128   152   126   166 0.86 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+   -            211 81292at6656          -            249   1.8e-06   25.0   3.3   1   4    0.0025      0.33    7.8   0.3    42    63    26    49     1    77 0.75 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+   -            211 81292at6656          -            249   1.8e-06   25.0   3.3   2   4    0.0014      0.19    8.6   0.1   169   204    83   118    65   138 0.82 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+   -            211 81292at6656          -            249   1.8e-06   25.0   3.3   3   4      0.25        33    1.2   0.0    44    64   122   144   116   172 0.85 -
81292at6656_568069_0:000c6b|TRINITY_DN82654_c8_g2_i3:165-797|+   -            211 81292at6656          -            249   1.8e-06   25.0   3.3   4   4    0.0097       1.3    5.8   0.0   170   202   179   211   160   211 0.80 -
81292at6656_62625_0:000afd|TRINITY_DN91862_c5_g2_i1:378-1043|-   -            222 81292at6656          -            249   3.8e-06   23.9   0.4   1   3   0.00025     0.033   11.0   0.0   177   205     2    30     1    73 0.70 -
81292at6656_62625_0:000afd|TRINITY_DN91862_c5_g2_i1:378-1043|-   -            222 81292at6656          -            249   3.8e-06   23.9   0.4   2   3     0.072       9.5    3.0   0.0    42    63   130   153   125   185 0.72 -
81292at6656_62625_0:000afd|TRINITY_DN91862_c5_g2_i1:378-1043|-   -            222 81292at6656          -            249   3.8e-06   23.9   0.4   3   3    0.0066      0.87    6.4   0.1   170   200   189   219   181   222 0.85 -
81292at6656_35570_0:002bab|TRINITY_DN83450_c8_g1_i2:1065-1853|-  -            263 81292at6656          -            249   8.8e-06   22.8   0.7   1   4     0.021       2.8    4.7   0.1    31    63     1    38     1    65 0.86 -
81292at6656_35570_0:002bab|TRINITY_DN83450_c8_g1_i2:1065-1853|-  -            263 81292at6656          -            249   8.8e-06   22.8   0.7   2   4      0.02       2.7    4.8   0.0   136   210    33   118    32   136 0.59 -
81292at6656_35570_0:002bab|TRINITY_DN83450_c8_g1_i2:1065-1853|-  -            263 81292at6656          -            249   8.8e-06   22.8   0.7   3   4   0.00035     0.046   10.6   0.1    90   127   183   220    91   238 0.58 -
81292at6656_35570_0:002bab|TRINITY_DN83450_c8_g1_i2:1065-1853|-  -            263 81292at6656          -            249   8.8e-06   22.8   0.7   4   4   0.00031     0.041   10.7   0.0    25    70   196   245   190   263 0.74 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-  -            248 81292at6656          -            249   3.7e-05   20.7   0.2   1   3   0.00072     0.095    9.5   0.0    24    64     6    51     1    76 0.78 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-  -            248 81292at6656          -            249   3.7e-05   20.7   0.2   2   3     0.016       2.1    5.2   0.0    14    64    93   148    86   176 0.76 -
81292at6656_13164_0:003717|TRINITY_DN85102_c0_g2_i1:1012-1755|-  -            248 81292at6656          -            249   3.7e-05   20.7   0.2   3   3     0.074       9.7    3.0   0.0   169   219   190   240   172   248 0.80 -
81292at6656_7217_0:0000f9|TRINITY_DN84964_c12_g2_i3:971-1768|-   -            266 81292at6656          -            249     4e-05   20.6   0.5   1   3   0.00022      0.03   11.2   0.0   181   241     3    73     1    79 0.62 -
81292at6656_7217_0:0000f9|TRINITY_DN84964_c12_g2_i3:971-1768|-   -            266 81292at6656          -            249     4e-05   20.6   0.5   2   3     0.026       3.5    4.4   0.1   170   197   185   212   116   214 0.59 -
81292at6656_7217_0:0000f9|TRINITY_DN84964_c12_g2_i3:971-1768|-   -            266 81292at6656          -            249     4e-05   20.6   0.5   3   3     0.026       3.5    4.4   0.0   171   200   186   215   179   228 0.78 -
81292at6656_438503_0:001cfc|TRINITY_DN93074_c5_g1_i1:0-248|-     -             83 81292at6656          -            249   7.3e-05   19.7   0.1   1   1   6.9e-07   9.1e-05   19.4   0.1    27    69     4    57     1    78 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/81292at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/81292at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/81292at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
