#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 448514at33208        -            271   7.7e-45  149.0   0.1   1   1   1.4e-45   9.7e-45  148.7   0.1     3    98    79   179    77   179 0.93 -
380583at33208_6500_0:000e99|TRINITY_DN84398_c2_g1_i4:470-1078|+      -            203 448514at33208        -            271   3.2e-17   58.4   3.7   3   3   1.9e-07   1.4e-06   23.6   0.1     5    77   117   189   113   201 0.91 -
380583at33208_50429_0:0004db|TRINITY_DN79934_c8_g3_i2:3228-3713|-    -            162 448514at33208        -            271   4.6e-17   57.9   7.8   1   2   2.2e-10   1.6e-09   33.2   0.8    42   101    16    78     1    83 0.84 -
380583at33208_50429_0:0004db|TRINITY_DN79934_c8_g3_i2:3228-3713|-    -            162 448514at33208        -            271   4.6e-17   57.9   7.8   2   2   0.00063    0.0044   12.1   0.3    28    56   127   156   121   161 0.87 -
380583at33208_259920_0:004281|TRINITY_DN79895_c5_g1_i1:917-1543|-    -            209 448514at33208        -            271   1.3e-16   56.5   0.7   1   3   2.3e-06   1.6e-05   20.1   0.0    27    99     6    84     2    91 0.82 -
380583at33208_259920_0:004281|TRINITY_DN79895_c5_g1_i1:917-1543|-    -            209 448514at33208        -            271   1.3e-16   56.5   0.7   2   3   2.4e-07   1.7e-06   23.3   0.0     9    61    74   127    66   137 0.87 -
380583at33208_259920_0:004281|TRINITY_DN79895_c5_g1_i1:917-1543|-    -            209 448514at33208        -            271   1.3e-16   56.5   0.7   3   3   6.5e-05   0.00046   15.3   0.2    33    79   142   189   134   209 0.78 -
380583at33208_43151_0:0025c1|TRINITY_DN92485_c10_g1_i1:644-1381|-    -            246 448514at33208        -            271     2e-16   55.8   6.3   1   3     0.028       0.2    6.7   0.0    64   100     5    44     1    53 0.72 -
380583at33208_43151_0:0025c1|TRINITY_DN92485_c10_g1_i1:644-1381|-    -            246 448514at33208        -            271     2e-16   55.8   6.3   2   3       0.4       2.8    2.9   0.0   246   268    60    82    54    85 0.88 -
380583at33208_43151_0:0025c1|TRINITY_DN92485_c10_g1_i1:644-1381|-    -            246 448514at33208        -            271     2e-16   55.8   6.3   3   3   9.3e-14   6.5e-13   44.3   3.4    12   127   120   239   110   246 0.87 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 448514at33208        -            271   4.5e-16   54.7   4.3   1   3     1e-07   7.4e-07   24.5   0.8    30   100     2    77     1    82 0.73 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 448514at33208        -            271   4.5e-16   54.7   4.3   2   3   2.2e-06   1.5e-05   20.2   0.1    33   109    89   171    84   193 0.73 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 448514at33208        -            271   4.5e-16   54.7   4.3   3   3    0.0065     0.045    8.8   0.0    40    80   189   229   173   241 0.89 -
380583at33208_6087_0:003198|TRINITY_DN85835_c6_g3_i3:5148-5774|-     -            209 448514at33208        -            271     5e-16   54.5   2.3   1   2   2.7e-09   1.9e-08   29.7   0.1    29    98     2    75     1    81 0.84 -
380583at33208_6087_0:003198|TRINITY_DN85835_c6_g3_i3:5148-5774|-     -            209 448514at33208        -            271     5e-16   54.5   2.3   2   2   8.5e-08   5.9e-07   24.8   0.2    13    99   108   200   101   204 0.84 -
380583at33208_1049336_0:00137f|TRINITY_DN73614_c11_g1_i4:1134-1898|+ -            255 448514at33208        -            271   1.4e-15   53.0   3.8   1   3   1.4e-07   9.6e-07   24.1   0.3    23    99     7    89     2   114 0.79 -
380583at33208_1049336_0:00137f|TRINITY_DN73614_c11_g1_i4:1134-1898|+ -            255 448514at33208        -            271   1.4e-15   53.0   3.8   2   3   4.6e-09   3.2e-08   28.9   0.1     2    57   116   172   115   178 0.93 -
380583at33208_1049336_0:00137f|TRINITY_DN73614_c11_g1_i4:1134-1898|+ -            255 448514at33208        -            271   1.4e-15   53.0   3.8   3   3       5.4        38   -0.8   0.0   125   148   202   225   186   253 0.52 -
380583at33208_56086_0:001811|TRINITY_DN80523_c6_g1_i3:1192-1791|-    -            200 448514at33208        -            271     2e-15   52.5   0.0   1   2   1.5e-06   1.1e-05   20.7   0.0    40   102    13    78     1    98 0.86 -
380583at33208_56086_0:001811|TRINITY_DN80523_c6_g1_i3:1192-1791|-    -            200 448514at33208        -            271     2e-15   52.5   0.0   2   2   1.7e-09   1.2e-08   30.4   0.0    45   134   104   198    89   200 0.87 -
380583at33208_6412_0:0052ab|TRINITY_DN87686_c12_g1_i5:1098-1739|-    -            214 448514at33208        -            271   4.9e-15   51.3   2.5   1   3   2.5e-06   1.7e-05   20.0   0.1    42   105    21    89    15   100 0.81 -
380583at33208_6412_0:0052ab|TRINITY_DN87686_c12_g1_i5:1098-1739|-    -            214 448514at33208        -            271   4.9e-15   51.3   2.5   2   3   4.3e-05    0.0003   15.9   0.1    23    72   102   152    93   162 0.86 -
380583at33208_6412_0:0052ab|TRINITY_DN87686_c12_g1_i5:1098-1739|-    -            214 448514at33208        -            271   4.9e-15   51.3   2.5   3   3   0.00012   0.00085   14.4   0.1    42    72   164   194   155   203 0.87 -
380583at33208_10228_0:002359|TRINITY_DN87761_c2_g1_i2:1054-1722|+    -            223 448514at33208        -            271     8e-15   50.6   1.6   1   3   1.1e-08   7.9e-08   27.7   0.2    46   102     3    62     1    77 0.85 -
380583at33208_10228_0:002359|TRINITY_DN87761_c2_g1_i2:1054-1722|+    -            223 448514at33208        -            271     8e-15   50.6   1.6   2   3   6.4e-05   0.00045   15.3   0.1    44    96    94   149    89   150 0.77 -
380583at33208_10228_0:002359|TRINITY_DN87761_c2_g1_i2:1054-1722|+    -            223 448514at33208        -            271     8e-15   50.6   1.6   3   3    0.0082     0.058    8.4   0.0    46   127   138   222   131   223 0.81 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 448514at33208        -            271     1e-14   50.3   0.0   1   5       2.9        21    0.1   0.0   205   219    34    48    19   106 0.48 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 448514at33208        -            271     1e-14   50.3   0.0   2   5   6.7e-05   0.00047   15.3   0.0    22    96    68   147    55   157 0.77 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 448514at33208        -            271     1e-14   50.3   0.0   3   5      0.17       1.2    4.1   0.0    27    58   160   192   151   200 0.84 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 448514at33208        -            271     1e-14   50.3   0.0   4   5   1.9e-05   0.00013   17.1   0.0    23    97   242   319   229   363 0.72 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 448514at33208        -            271     1e-14   50.3   0.0   5   5     0.018      0.13    7.3   0.0     3    56   427   483   390   483 0.83 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 448514at33208        -            271   1.6e-14   49.6  10.4   1   5       5.2        36   -0.7   0.0    42    57    15    30     1    33 0.58 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 448514at33208        -            271   1.6e-14   49.6  10.4   2   5   2.6e-11   1.8e-10   36.3   1.8    24    99    41   122    15   132 0.82 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 448514at33208        -            271   1.6e-14   49.6  10.4   3   5     0.096      0.67    4.9   0.0    25    80   131   189   124   192 0.74 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 448514at33208        -            271   1.6e-14   49.6  10.4   4   5    0.0029     0.021    9.9   0.4    28    57   178   208   172   210 0.79 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 448514at33208        -            271   1.6e-14   49.6  10.4   5   5      0.44       3.1    2.7   0.0    18    56   226   265   223   265 0.75 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 448514at33208        -            271   1.9e-14   49.4   4.3   1   4      0.21       1.5    3.8   0.0    45    71    28    54    10    57 0.86 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 448514at33208        -            271   1.9e-14   49.4   4.3   2   4   2.3e-06   1.6e-05   20.1   1.2     6    77    30   102    27   107 0.81 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 448514at33208        -            271   1.9e-14   49.4   4.3   3   4   1.8e-05   0.00013   17.2   0.0    44    97   111   166   102   174 0.86 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 448514at33208        -            271   1.9e-14   49.4   4.3   4   4     0.008     0.056    8.5   0.0    27    60   176   209   167   218 0.88 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 448514at33208        -            271     2e-14   49.3   4.9   1   5       1.9        14    0.6   0.0   240   261     2    23     1    34 0.59 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 448514at33208        -            271     2e-14   49.3   4.9   2   5       1.9        13    0.7   0.0    44   103    17    37    10    49 0.59 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 448514at33208        -            271     2e-14   49.3   4.9   3   5       4.3        30   -0.5   0.0   235   263    52    80    36    90 0.74 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 448514at33208        -            271     2e-14   49.3   4.9   4   5   2.9e-05   0.00021   16.5   0.4     4    80   114   190   111   192 0.92 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 448514at33208        -            271     2e-14   49.3   4.9   5   5   1.6e-11   1.1e-10   37.0   0.1    27    98   178   253   174   262 0.88 -
380583at33208_7719_0:000f00|TRINITY_DN76830_c5_g1_i5:1257-2006|+     -            250 448514at33208        -            271   4.3e-14   48.2   0.5   1   2     7e-05   0.00049   15.2   0.1     4    72    31   100    28   131 0.83 -
380583at33208_7719_0:000f00|TRINITY_DN76830_c5_g1_i5:1257-2006|+     -            250 448514at33208        -            271   4.3e-14   48.2   0.5   2   2   4.7e-09   3.3e-08   28.9   0.1    40   102   154   219   112   222 0.84 -
380583at33208_7237_0:0006d5|TRINITY_DN76209_c5_g1_i2:896-1387|+      -            164 448514at33208        -            271   1.5e-13   46.4   1.2   1   2   0.00098    0.0069   11.5   0.1    28    59     5    36     2    51 0.84 -
380583at33208_7237_0:0006d5|TRINITY_DN76209_c5_g1_i2:896-1387|+      -            164 448514at33208        -            271   1.5e-13   46.4   1.2   2   2   1.2e-10   8.3e-10   34.1   0.1     2    91    61   158    59   163 0.79 -
380583at33208_7719_0:000f00|TRINITY_DN77260_c8_g1_i1:355-960|+       -            202 448514at33208        -            271   1.9e-13   46.1   2.1   1   3     2e-09   1.4e-08   30.1   0.2    21    98     4    86     1    93 0.83 -
380583at33208_7719_0:000f00|TRINITY_DN77260_c8_g1_i1:355-960|+       -            202 448514at33208        -            271   1.9e-13   46.1   2.1   2   3      0.01     0.072    8.1   0.0    43    66    70    93    62   103 0.81 -
380583at33208_7719_0:000f00|TRINITY_DN77260_c8_g1_i1:355-960|+       -            202 448514at33208        -            271   1.9e-13   46.1   2.1   3   3   0.00013   0.00091   14.3   0.1    10    61   118   170   111   178 0.87 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 448514at33208        -            271     2e-13   46.0   0.0   1   3     0.064      0.45    5.5   0.0    42    79    19    56     8    59 0.82 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 448514at33208        -            271     2e-13   46.0   0.0   2   3   1.1e-05   7.4e-05   17.9   0.0     6    79    24    98    19   101 0.84 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 448514at33208        -            271     2e-13   46.0   0.0   3   3   8.3e-08   5.8e-07   24.8   0.0    43   122   104   187   100   199 0.82 -
380583at33208_7209_0:001a44|TRINITY_DN85375_c3_g2_i8:2681-3238|-     -            186 448514at33208        -            271   2.2e-13   45.9   5.1   1   2   6.3e-06   4.4e-05   18.6   0.6     7    67    15    77     8    83 0.83 -
380583at33208_7209_0:001a44|TRINITY_DN85375_c3_g2_i8:2681-3238|-     -            186 448514at33208        -            271   2.2e-13   45.9   5.1   2   2   1.1e-08     8e-08   27.6   0.3    32   101    82   156    78   178 0.80 -
472352at33208_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 448514at33208        -            271   4.3e-13   44.9   0.4   1   3      0.17       1.2    4.1   0.0    82   101    62    81    57    92 0.67 -
472352at33208_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 448514at33208        -            271   4.3e-13   44.9   0.4   2   3   5.5e-07   3.9e-06   22.1   0.3    38    99   102   167    85   189 0.80 -
472352at33208_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 448514at33208        -            271   4.3e-13   44.9   0.4   3   3   7.8e-05   0.00054   15.1   0.0    40    96   191   252   172   259 0.88 -
380583at33208_7536_0:00293c|TRINITY_DN86007_c3_g3_i1:1244-1987|-     -            248 448514at33208        -            271   5.3e-13   44.6   0.0   1   2   8.8e-13   6.2e-12   41.1   0.0     7   137    27   161    21   168 0.89 -
380583at33208_7536_0:00293c|TRINITY_DN86007_c3_g3_i1:1244-1987|-     -            248 448514at33208        -            271   5.3e-13   44.6   0.0   2   2         1       7.1    1.6   0.0    26    58   214   248   189   248 0.70 -
380583at33208_294128_0:0041aa|TRINITY_DN73002_c10_g2_i3:657-1391|+   -            245 448514at33208        -            271   8.2e-13   44.0   0.9   1   3      0.96       6.8    1.6   0.0   237   268     5    36     2    40 0.81 -
380583at33208_294128_0:0041aa|TRINITY_DN73002_c10_g2_i3:657-1391|+   -            245 448514at33208        -            271   8.2e-13   44.0   0.9   2   3   9.9e-06   6.9e-05   18.0   0.1    11    97    31   121    21   130 0.85 -
380583at33208_294128_0:0041aa|TRINITY_DN73002_c10_g2_i3:657-1391|+   -            245 448514at33208        -            271   8.2e-13   44.0   0.9   3   3   2.1e-07   1.5e-06   23.5   0.0    28   103   131   217   125   225 0.77 -
111730at33208_411798_0:00107d|TRINITY_DN79169_c10_g1_i2:2936-3739|-  -            268 448514at33208        -            271   1.3e-12   43.4   1.2   1   3       6.4        45   -1.0   0.0    36    57     9    30     2    57 0.58 -
111730at33208_411798_0:00107d|TRINITY_DN79169_c10_g1_i2:2936-3739|-  -            268 448514at33208        -            271   1.3e-12   43.4   1.2   2   3     5e-05   0.00035   15.7   0.3    43   100    67   125    16   165 0.79 -
111730at33208_411798_0:00107d|TRINITY_DN79169_c10_g1_i2:2936-3739|-  -            268 448514at33208        -            271   1.3e-12   43.4   1.2   3   3     4e-08   2.8e-07   25.8   0.1    18    95   169   247   154   257 0.83 -
380583at33208_7668_0:0069b4|TRINITY_DN83983_c5_g2_i1:1018-1446|-     -            143 448514at33208        -            271   1.8e-12   42.9   0.5   1   2   1.3e-05   9.4e-05   17.6   0.1    27    64    29    68     4    72 0.81 -
380583at33208_7668_0:0069b4|TRINITY_DN83983_c5_g2_i1:1018-1446|-     -            143 448514at33208        -            271   1.8e-12   42.9   0.5   2   2     8e-08   5.6e-07   24.9   0.1    20    79    69   132    64   139 0.82 -
448514at33208_38123_0:000bea|TRINITY_DN74397_c12_g2_i1:120-359|+     -             80 448514at33208        -            271   3.4e-12   42.0   0.0   1   1   5.8e-13   4.1e-12   41.7   0.0   145   189    26    80    19    80 0.86 -
448514at33208_108931_0:001866|TRINITY_DN71112_c3_g1_i1:128-472|-     -            115 448514at33208        -            271   6.5e-12   41.1   0.3   1   1   1.3e-12   9.4e-12   40.5   0.3    39   123     8    98     1   115 0.85 -
380583at33208_29031_0:0013b6|TRINITY_DN82757_c9_g2_i2:397-768|-      -            124 448514at33208        -            271     2e-11   39.5   0.2   1   2   1.9e-08   1.3e-07   26.9   0.0    27    99     1    81     1    84 0.85 -
380583at33208_29031_0:0013b6|TRINITY_DN82757_c9_g2_i2:397-768|-      -            124 448514at33208        -            271     2e-11   39.5   0.2   2   2    0.0011    0.0074   11.4   0.0    21    58    84   122    80   124 0.81 -
380583at33208_9915_0:001e2c|TRINITY_DN75784_c6_g1_i2:2149-2652|-     -            168 448514at33208        -            271   2.1e-11   39.4   0.2   1   2   0.00064    0.0045   12.1   0.1    40    98    15    76     2    83 0.74 -
380583at33208_9915_0:001e2c|TRINITY_DN75784_c6_g1_i2:2149-2652|-     -            168 448514at33208        -            271   2.1e-11   39.4   0.2   2   2   3.1e-07   2.2e-06   22.9   0.0    28    97    86   159    81   163 0.87 -
380583at33208_7536_0:00293c|TRINITY_DN90217_c3_g1_i1:342-917|+       -            192 448514at33208        -            271   3.5e-11   38.6   0.0   1   2   5.1e-09   3.6e-08   28.8   0.0    23   100    14    98     5   118 0.78 -
380583at33208_7536_0:00293c|TRINITY_DN90217_c3_g1_i1:342-917|+       -            192 448514at33208        -            271   3.5e-11   38.6   0.0   2   2     0.003     0.021    9.8   0.0    13    60    91   140    79   145 0.75 -
380583at33208_158441_0:000949|TRINITY_DN93240_c4_g1_i8:1281-1799|+   -            173 448514at33208        -            271   6.1e-11   37.9   0.4   1   2    0.0011    0.0078   11.3   0.1    40    77    28    65     1    67 0.81 -
380583at33208_158441_0:000949|TRINITY_DN93240_c4_g1_i8:1281-1799|+   -            173 448514at33208        -            271   6.1e-11   37.9   0.4   2   2   5.6e-09   3.9e-08   28.7   0.0    28   102    57   137    51   146 0.79 -
380583at33208_29159_0:002c90|TRINITY_DN81367_c0_g1_i1:15-341|-       -            109 448514at33208        -            271   1.5e-10   36.6   6.8   1   2     4e-07   2.8e-06   22.6   1.2    48   101     1    57     1    61 0.84 -
380583at33208_29159_0:002c90|TRINITY_DN81367_c0_g1_i1:15-341|-       -            109 448514at33208        -            271   1.5e-10   36.6   6.8   2   2   2.6e-07   1.8e-06   23.2   0.4    38    98    34   100    28   104 0.75 -
380583at33208_39758_0:002baf|TRINITY_DN82339_c12_g2_i1:532-789|+     -             86 448514at33208        -            271   1.7e-10   36.4   0.4   1   1   2.6e-11   1.8e-10   36.3   0.4    29   100     9    80     1    85 0.82 -
472352at33208_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 448514at33208        -            271   2.5e-10   35.8   3.4   1   3     0.076      0.53    5.3   0.1    81   103     3    25     2    32 0.83 -
472352at33208_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 448514at33208        -            271   2.5e-10   35.8   3.4   2   3     2e-07   1.4e-06   23.6   0.0    20   107    25   118    21   125 0.84 -
472352at33208_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 448514at33208        -            271   2.5e-10   35.8   3.4   3   3     0.012     0.087    7.8   0.4    43    97   137   197   131   197 0.83 -
380583at33208_104452_0:000528|TRINITY_DN77348_c7_g1_i3:1829-2608|+   -            260 448514at33208        -            271   2.7e-10   35.7   1.5   1   2   6.1e-07   4.3e-06   22.0   0.2    29   107     1    80     1    96 0.66 -
380583at33208_104452_0:000528|TRINITY_DN77348_c7_g1_i3:1829-2608|+   -            260 448514at33208        -            271   2.7e-10   35.7   1.5   2   2     0.003     0.021    9.9   0.1    88   219   126   258   118   259 0.60 -
111730at33208_294128_0:000d9d|TRINITY_DN82468_c10_g1_i3:2360-3268|-  -            303 448514at33208        -            271   2.8e-10   35.7   0.1   1   3       1.4       9.5    1.2   0.0    81   104     8    31     5    70 0.63 -
111730at33208_294128_0:000d9d|TRINITY_DN82468_c10_g1_i3:2360-3268|-  -            303 448514at33208        -            271   2.8e-10   35.7   0.1   2   3     0.036      0.25    6.3   0.0    26    57    89   121    81   133 0.79 -
111730at33208_294128_0:000d9d|TRINITY_DN82468_c10_g1_i3:2360-3268|-  -            303 448514at33208        -            271   2.8e-10   35.7   0.1   3   3   1.2e-07   8.2e-07   24.3   0.1    43   135   164   265   146   282 0.74 -
380583at33208_133434_0:003b86|TRINITY_DN88294_c4_g1_i9:2167-3094|+   -            211 448514at33208        -            271   2.8e-10   35.7   0.3   1   4     0.047      0.33    5.9   0.0   201   245     5    50     1    57 0.76 -
380583at33208_133434_0:003b86|TRINITY_DN88294_c4_g1_i9:2167-3094|+   -            211 448514at33208        -            271   2.8e-10   35.7   0.3   2   4    0.0042      0.03    9.4   0.2    42    60    61    79    51    83 0.90 -
380583at33208_133434_0:003b86|TRINITY_DN88294_c4_g1_i9:2167-3094|+   -            211 448514at33208        -            271   2.8e-10   35.7   0.3   3   4   0.00016    0.0011   14.0   0.0    42    97   109   167   104   171 0.88 -
380583at33208_133434_0:003b86|TRINITY_DN88294_c4_g1_i9:2167-3094|+   -            211 448514at33208        -            271   2.8e-10   35.7   0.3   4   4       1.2       8.3    1.3   0.0   237   260   181   204   176   211 0.82 -
472352at33208_37653_0:002944|TRINITY_DN90607_c6_g1_i9:2079-2681|+    -            201 448514at33208        -            271   3.2e-10   35.5   2.7   1   2       2.6        18    0.3   0.0    83   108    60    84    49    96 0.78 -
