#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-      -            156 111730at33208        -            629   1.2e-76  254.0   0.4   1   1   1.8e-77   1.3e-76  253.8   0.4   161   311     2   156     1   156 0.96 -
380583at33208_378494_0:000e7b|TRINITY_DN84760_c5_g1_i6:997-1614|-    -            206 111730at33208        -            629   4.8e-13   43.9   2.1   1   2   6.4e-10   4.9e-09   30.6   0.1    84   195     7   127     2   132 0.86 -
380583at33208_378494_0:000e7b|TRINITY_DN84760_c5_g1_i6:997-1614|-    -            206 111730at33208        -            629   4.8e-13   43.9   2.1   2   2   6.3e-07   4.8e-06   20.7   1.9    86   187    95   206    94   206 0.77 -
380583at33208_6087_0:003198|TRINITY_DN85835_c6_g3_i3:5148-5774|-     -            209 111730at33208        -            629   6.1e-13   43.5   1.2   1   3   6.5e-07     5e-06   20.7   0.1   143   197    22    76     5    78 0.89 -
380583at33208_6087_0:003198|TRINITY_DN85835_c6_g3_i3:5148-5774|-     -            209 111730at33208        -            629   6.1e-13   43.5   1.2   2   3     0.019      0.15    5.9   0.0   163   196   122   155   114   165 0.85 -
380583at33208_6087_0:003198|TRINITY_DN85835_c6_g3_i3:5148-5774|-     -            209 111730at33208        -            629   6.1e-13   43.5   1.2   3   3     4e-05    0.0003   14.8   0.0   161   197   164   200   155   206 0.88 -
380583at33208_1049336_0:00137f|TRINITY_DN73614_c11_g1_i4:1134-1898|+ -            255 111730at33208        -            629   1.4e-12   42.4   0.6   1   2   0.00018    0.0014   12.6   0.3   155   196     3    45     1    48 0.86 -
380583at33208_1049336_0:00137f|TRINITY_DN73614_c11_g1_i4:1134-1898|+ -            255 111730at33208        -            629   1.4e-12   42.4   0.6   2   2   2.1e-09   1.6e-08   28.9   0.0    78   194    47   172    44   208 0.85 -
380583at33208_112268_0:001d60|TRINITY_DN81477_c5_g1_i2:1439-2284|-   -            282 111730at33208        -            629   1.8e-12   41.9   3.1   1   2   0.00017    0.0013   12.7   0.1    84   122    15    53     9    73 0.85 -
380583at33208_112268_0:001d60|TRINITY_DN81477_c5_g1_i2:1439-2284|-   -            282 111730at33208        -            629   1.8e-12   41.9   3.1   2   2   5.2e-09   3.9e-08   27.6   0.5     9   144   113   262   110   278 0.80 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 111730at33208        -            629   1.9e-12   41.9   0.1   1   3   3.6e-06   2.7e-05   18.2   0.0   164   226     6    68     2   109 0.84 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 111730at33208        -            629   1.9e-12   41.9   0.1   2   3   5.1e-06   3.9e-05   17.7   0.0    10   117    48   163    48   174 0.77 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 111730at33208        -            629   1.9e-12   41.9   0.1   3   3    0.0038     0.029    8.2   0.0   163   200   175   214   167   230 0.87 -
380583at33208_7719_0:000f00|TRINITY_DN77260_c8_g1_i1:355-960|+       -            202 111730at33208        -            629   2.9e-12   41.3   0.0   1   2   1.6e-06   1.2e-05   19.4   0.0   140   228    29   121    15   129 0.85 -
380583at33208_7719_0:000f00|TRINITY_DN77260_c8_g1_i1:355-960|+       -            202 111730at33208        -            629   2.9e-12   41.3   0.0   2   2   8.5e-07   6.4e-06   20.3   0.0   161   222   133   197   117   200 0.86 -
380583at33208_64838_0:000af8|TRINITY_DN85368_c12_g1_i1:289-879|+     -            197 111730at33208        -            629   6.7e-12   40.1   0.0   1   2   5.2e-08   3.9e-07   24.3   0.0   127   222     5   105     2   111 0.86 -
380583at33208_64838_0:000af8|TRINITY_DN85368_c12_g1_i1:289-879|+     -            197 111730at33208        -            629   6.7e-12   40.1   0.0   2   2   9.4e-05   0.00071   13.6   0.0   127   193   130   197   124   197 0.72 -
380583at33208_1737458_0:004c3d|TRINITY_DN82628_c4_g1_i7:1337-1813|+  -            159 111730at33208        -            629   1.1e-11   39.4   3.9   1   2   1.7e-07   1.3e-06   22.6   2.2   165   254     1    98     1    99 0.78 -
380583at33208_1737458_0:004c3d|TRINITY_DN82628_c4_g1_i7:1337-1813|+  -            159 111730at33208        -            629   1.1e-11   39.4   3.9   2   2   9.9e-09   7.5e-08   26.7   1.5    85   193    40   159    37   159 0.85 -
380583at33208_7719_0:000f00|TRINITY_DN76830_c5_g1_i5:1257-2006|+     -            250 111730at33208        -            629   2.1e-11   38.4   0.2   1   2     2e-08   1.5e-07   25.7   0.1     8   116    57   170    51   176 0.79 -
380583at33208_7719_0:000f00|TRINITY_DN76830_c5_g1_i5:1257-2006|+     -            250 111730at33208        -            629   2.1e-11   38.4   0.2   2   2   1.8e-05   0.00014   15.9   0.1   143   196   162   215   162   249 0.79 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 111730at33208        -            629   5.7e-11   37.0   0.9   1   3    0.0041     0.031    8.1   0.0    82   117    20    53    11    56 0.87 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 111730at33208        -            629   5.7e-11   37.0   0.9   2   3     0.035      0.26    5.1   0.0   164   193    89   118    77   128 0.88 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 111730at33208        -            629   5.7e-11   37.0   0.9   3   3   8.1e-07   6.2e-06   20.4   0.4     9   116   134   241   128   241 0.80 -
380583at33208_7668_0:0069b4|TRINITY_DN83983_c5_g2_i1:1018-1446|-     -            143 111730at33208        -            629   8.3e-11   36.5   0.9   1   2    0.0047     0.036    7.9   0.0   161   195    27    62    12    71 0.85 -
380583at33208_7668_0:0069b4|TRINITY_DN83983_c5_g2_i1:1018-1446|-     -            143 111730at33208        -            629   8.3e-11   36.5   0.9   2   2     1e-10   7.7e-10   33.3   0.9   127   216    34   136    29   143 0.77 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 111730at33208        -            629   9.8e-11   36.2   0.1   1   4      0.13      0.95    3.2   0.0   158   195    40    77    23    85 0.80 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 111730at33208        -            629   9.8e-11   36.2   0.1   2   4   4.5e-06   3.4e-05   17.9   0.0   163   196    87   120    77   127 0.63 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 111730at33208        -            629   9.8e-11   36.2   0.1   3   4    0.0021     0.016    9.1   0.0    80   118   123   162   119   165 0.87 -
380583at33208_125878_0:0009cc|TRINITY_DN91122_c1_g3_i1:483-1088|+    -            202 111730at33208        -            629   9.8e-11   36.2   0.1   4   4      0.18       1.4    2.7   0.0   162   193   171   202   164   202 0.92 -
380583at33208_6500_0:000e99|TRINITY_DN84398_c2_g1_i4:470-1078|+      -            203 111730at33208        -            629   1.1e-10   36.0   2.2   1   2   2.5e-07   1.9e-06   22.1   0.0   127   214    10   103     7   112 0.89 -
380583at33208_6500_0:000e99|TRINITY_DN84398_c2_g1_i4:470-1078|+      -            203 111730at33208        -            629   1.1e-10   36.0   2.2   2   2   0.00012    0.0009   13.2   0.5    67   122   119   175   112   186 0.79 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 111730at33208        -            629   1.9e-10   35.3  12.3   1   3   3.5e-07   2.7e-06   21.6   0.3   165   225     1    68     1    69 0.82 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 111730at33208        -            629   1.9e-10   35.3  12.3   2   3   6.8e-07   5.2e-06   20.6   0.3   158   223    39   110    35   110 0.82 -
380583at33208_7868_0:002ed8|TRINITY_DN92254_c0_g4_i1:95-889|+        -            265 111730at33208        -            629   1.9e-10   35.3  12.3   3   3   0.00035    0.0026   11.7   0.3   161   225    86   157    81   167 0.77 -
380583at33208_7998_0:001a80|TRINITY_DN91792_c15_g1_i2:701-1321|-     -            207 111730at33208        -            629   2.1e-10   35.2   0.1   1   3   6.4e-08   4.9e-07   24.0   0.0   128   198     6    77     2    95 0.85 -
380583at33208_7998_0:001a80|TRINITY_DN91792_c15_g1_i2:701-1321|-     -            207 111730at33208        -            629   2.1e-10   35.2   0.1   2   3    0.0066      0.05    7.4   0.0    53   130    97   180    78   189 0.81 -
380583at33208_7998_0:001a80|TRINITY_DN91792_c15_g1_i2:701-1321|-     -            207 111730at33208        -            629   2.1e-10   35.2   0.1   3   3     0.017      0.13    6.1   0.0    77   116   168   207   162   207 0.93 -
380583at33208_158441_0:000949|TRINITY_DN93240_c4_g1_i8:1281-1799|+   -            173 111730at33208        -            629   2.1e-10   35.1   0.0   1   2   2.1e-07   1.6e-06   22.3   0.0   155   224     6    79     2    90 0.85 -
380583at33208_158441_0:000949|TRINITY_DN93240_c4_g1_i8:1281-1799|+   -            173 111730at33208        -            629   2.1e-10   35.1   0.0   2   2   0.00063    0.0048   10.8   0.0   162   196    96   133    87   137 0.84 -
380583at33208_7536_0:00293c|TRINITY_DN88363_c11_g1_i3:1250-1939|+    -            230 111730at33208        -            629   4.2e-10   34.1   1.2   1   3    0.0028     0.021    8.7   0.0   162   194    47    79    26    84 0.86 -
380583at33208_7536_0:00293c|TRINITY_DN88363_c11_g1_i3:1250-1939|+    -            230 111730at33208        -            629   4.2e-10   34.1   1.2   2   3   3.2e-06   2.4e-05   18.4   0.2   128   198    54   129    50   137 0.81 -
380583at33208_7536_0:00293c|TRINITY_DN88363_c11_g1_i3:1250-1939|+    -            230 111730at33208        -            629   4.2e-10   34.1   1.2   3   3   1.1e-07   8.1e-07   23.3   0.4    87   197    91   212    86   223 0.82 -
380583at33208_50429_0:0004db|TRINITY_DN79934_c8_g3_i2:3228-3713|-    -            162 111730at33208        -            629   6.1e-10   33.6   2.9   1   2    0.0089     0.068    7.0   0.0   165   195     2    32     1    37 0.84 -
380583at33208_50429_0:0004db|TRINITY_DN79934_c8_g3_i2:3228-3713|-    -            162 111730at33208        -            629   6.1e-10   33.6   2.9   2   2   3.4e-08   2.6e-07   24.9   1.7    79   194    35   157    33   162 0.79 -
380583at33208_259920_0:004281|TRINITY_DN79895_c5_g1_i1:917-1543|-    -            209 111730at33208        -            629     7e-10   33.4   0.2   1   2   1.3e-06   9.8e-06   19.7   0.0   130   224    14   115     5   126 0.76 -
380583at33208_259920_0:004281|TRINITY_DN79895_c5_g1_i1:917-1543|-    -            209 111730at33208        -            629     7e-10   33.4   0.2   2   2   0.00034    0.0026   11.7   0.1   170   225   143   202   126   208 0.84 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 111730at33208        -            629     7e-10   33.4   1.1   1   4   0.00056    0.0042   11.0   0.1   158   220     2    70     1    75 0.69 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 111730at33208        -            629     7e-10   33.4   1.1   2   4      0.14       1.1    3.1   0.1   161   194    48    82    41    87 0.85 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 111730at33208        -            629     7e-10   33.4   1.1   3   4     0.023      0.18    5.7   0.1   159   197    89   129    75   134 0.75 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 111730at33208        -            629     7e-10   33.4   1.1   4   4   0.00016    0.0012   12.8   0.0   159   196   133   170   127   187 0.87 -
380583at33208_50429_0:0004db|TRINITY_DN73327_c12_g1_i2:1381-1863|-   -            161 111730at33208        -            629   7.7e-10   33.3   0.1   1   2   8.3e-07   6.3e-06   20.3   0.1   145   196    24    76     1   109 0.63 -
380583at33208_50429_0:0004db|TRINITY_DN73327_c12_g1_i2:1381-1863|-   -            161 111730at33208        -            629   7.7e-10   33.3   0.1   2   2    0.0014     0.011    9.7   0.0    82   116   125   159    97   161 0.92 -
380583at33208_125878_0:0009cc|TRINITY_DN88422_c3_g1_i29:1751-2407|+  -            219 111730at33208        -            629   8.7e-10   33.1   0.0   1   2      0.26         2    2.2   0.0   163   195     9    40     2    54 0.82 -
380583at33208_125878_0:0009cc|TRINITY_DN88422_c3_g1_i29:1751-2407|+  -            219 111730at33208        -            629   8.7e-10   33.1   0.0   2   2   2.1e-09   1.6e-08   29.0   0.0    94   222    63   203    55   209 0.84 -
380583at33208_136037_0:00162a|TRINITY_DN79765_c9_g1_i4:1235-1894|+   -            220 111730at33208        -            629   9.8e-10   32.9   0.1   1   1   5.9e-10   4.5e-09   30.7   0.0    77   195    89   214    34   219 0.72 -
380583at33208_7536_0:00293c|TRINITY_DN71446_c0_g2_i2:474-1172|+      -            233 111730at33208        -            629   1.3e-09   32.5   1.8   1   3     0.072      0.55    4.0   0.0   164   195     2    33     1    43 0.87 -
380583at33208_7536_0:00293c|TRINITY_DN71446_c0_g2_i2:474-1172|+      -            233 111730at33208        -            629   1.3e-09   32.5   1.8   2   3    0.0001   0.00076   13.5   0.7   161   222    41   105    34   112 0.69 -
380583at33208_7536_0:00293c|TRINITY_DN71446_c0_g2_i2:474-1172|+      -            233 111730at33208        -            629   1.3e-09   32.5   1.8   3   3   0.00013   0.00095   13.1   0.1    49   194   141   211   130   233 0.56 -
472352at33208_6412_0:0003f4|TRINITY_DN88922_c5_g1_i4:283-858|+       -            192 111730at33208        -            629   2.1e-09   31.8   0.1   1   2   9.1e-06   6.9e-05   16.9   0.0   160   194    16    51    10    55 0.87 -
472352at33208_6412_0:0003f4|TRINITY_DN88922_c5_g1_i4:283-858|+       -            192 111730at33208        -            629   2.1e-09   31.8   0.1   2   2   0.00033    0.0025   11.7   0.0   128   196    75   145    71   177 0.67 -
472352at33208_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 111730at33208        -            629   5.9e-09   30.3   0.9   1   1   1.4e-09   1.1e-08   29.5   0.9    60   215    60   234    36   255 0.71 -
435253at33208_121845_0:002a3f|TRINITY_DN77327_c10_g2_i3:387-932|+    -            182 111730at33208        -            629   6.4e-09   30.2   0.7   1   1   1.2e-09   8.9e-09   29.8   0.7    62   194     9   148     4   152 0.89 -
380583at33208_56086_0:001811|TRINITY_DN80523_c6_g1_i3:1192-1791|-    -            200 111730at33208        -            629   6.9e-09   30.1   0.4   1   1     6e-08   4.6e-07   24.1   0.4    88   269     1   199     1   200 0.68 -
111730at33208_294128_0:000d9d|TRINITY_DN82468_c10_g1_i3:2360-3268|-  -            303 111730at33208        -            629   7.2e-09   30.1   1.0   1   2      0.11      0.81    3.5   0.1   157   194    84   121    50   129 0.82 -
111730at33208_294128_0:000d9d|TRINITY_DN82468_c10_g1_i3:2360-3268|-  -            303 111730at33208        -            629   7.2e-09   30.1   1.0   2   2   3.3e-08   2.5e-07   25.0   0.1    10   113   152   264   147   268 0.77 -
380583at33208_400682_0:000ee4|TRINITY_DN86919_c6_g1_i6:277-996|-     -            240 111730at33208        -            629     9e-09   29.7   0.2   1   2   7.2e-09   5.5e-08   27.1   0.1    87   196    41   161     5   174 0.83 -
380583at33208_400682_0:000ee4|TRINITY_DN86919_c6_g1_i6:277-996|-     -            240 111730at33208        -            629     9e-09   29.7   0.2   2   2       0.8       6.1    0.6   0.0    81   195   185   222   178   233 0.62 -
380583at33208_125878_0:0009cc|TRINITY_DN71308_c0_g1_i2:388-1023|-    -            212 111730at33208        -            629   1.3e-08   29.2   1.8   1   2   9.4e-05   0.00071   13.6   0.0   169   268     4   110     2   117 0.65 -
380583at33208_125878_0:0009cc|TRINITY_DN71308_c0_g1_i2:388-1023|-    -            212 111730at33208        -            629   1.3e-08   29.2   1.8   2   2   4.8e-05   0.00037   14.5   0.5    83   143   130   197   127   205 0.77 -
448514at33208_108931_0:001866|TRINITY_DN71112_c3_g1_i1:128-472|-     -            115 111730at33208        -            629   1.3e-08   29.2   1.1   1   2   0.00039     0.003   11.5   0.0   169   201     1    33     1    41 0.89 -
448514at33208_108931_0:001866|TRINITY_DN71112_c3_g1_i1:128-472|-     -            115 111730at33208        -            629   1.3e-08   29.2   1.1   2   2   1.9e-05   0.00015   15.8   0.3   128   194    44   113    40   115 0.83 -
472352at33208_70779_0:0021c5|TRINITY_DN79845_c2_g1_i13:64-678|+      -            205 111730at33208        -            629   1.7e-08   28.8   0.5   1   2    0.0014     0.011    9.6   0.1   127   196    43   118    30   134 0.76 -
472352at33208_70779_0:0021c5|TRINITY_DN79845_c2_g1_i13:64-678|+      -            205 111730at33208        -            629   1.7e-08   28.8   0.5   2   2   7.7e-06   5.8e-05   17.2   0.0   171   225   135   194   133   202 0.81 -
380583at33208_50429_0:0004db|TRINITY_DN93656_c5_g4_i7:188-616|+      -            143 111730at33208        -            629     2e-08   28.6   0.0   1   1     3e-09   2.3e-08   28.4   0.0   132   228     2   103     1   119 0.88 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 111730at33208        -            629   2.1e-08   28.5   0.3   1   2   5.3e-07     4e-06   21.0   0.1    79   223     2   157     1   165 0.76 -
380583at33208_259920_0:004281|TRINITY_DN89724_c10_g1_i6:664-1455|+   -            264 111730at33208        -            629   2.1e-08   28.5   0.3   2   2      0.68       5.2    0.8   0.0    91   116   230   255   224   258 0.88 -
380583at33208_79782_0:0027d3|TRINITY_DN71312_c0_g1_i1:306-920|-      -            205 111730at33208        -            629   2.3e-08   28.4   0.2   1   2     8e-06     6e-05   17.1   0.0   145   196    29    80     7    84 0.85 -
380583at33208_79782_0:0027d3|TRINITY_DN71312_c0_g1_i1:306-920|-      -            205 111730at33208        -            629   2.3e-08   28.4   0.2   2   2    0.0015     0.012    9.5   0.1    92   194    97   204    82   205 0.82 -
380583at33208_29159_0:002c90|TRINITY_DN71555_c11_g1_i1:767-1138|+    -            124 111730at33208        -            629   3.9e-08   27.6   0.4   1   3    0.0029     0.022    8.6   0.0   169   195     3    29     1    36 0.90 -
380583at33208_29159_0:002c90|TRINITY_DN71555_c11_g1_i1:767-1138|+    -            124 111730at33208        -            629   3.9e-08   27.6   0.4   2   3     0.047      0.36    4.6   0.0   169   200    47    78    35    81 0.88 -
380583at33208_29159_0:002c90|TRINITY_DN71555_c11_g1_i1:767-1138|+    -            124 111730at33208        -            629   3.9e-08   27.6   0.4   3   3    0.0002    0.0015   12.5   0.1    80   117    77   114    74   123 0.79 -
111730at33208_411798_0:00107d|TRINITY_DN79169_c10_g1_i2:2936-3739|-  -            268 111730at33208        -            629   5.3e-08   27.2   3.9   1   2   0.00016    0.0012   12.8   0.6   117   195    46   122    36   140 0.92 -
111730at33208_411798_0:00107d|TRINITY_DN79169_c10_g1_i2:2936-3739|-  -            268 111730at33208        -            629   5.3e-08   27.2   3.9   2   2   3.8e-05   0.00029   14.9   0.2   100   210   152   264   142   268 0.80 -
111730at33208_6958_0:0028c1|TRINITY_DN83861_c9_g1_i1:345-722|-       -            126 111730at33208        -            629   6.7e-08   26.9   0.1   1   2   2.2e-05   0.00017   15.6   0.0   531   568     1    41     1    61 0.82 -
111730at33208_6958_0:0028c1|TRINITY_DN83861_c9_g1_i1:345-722|-       -            126 111730at33208        -            629   6.7e-08   26.9   0.1   2   2    0.0014      0.01    9.7   0.1   568   615    71   118    57   125 0.82 -
380583at33208_7237_0:0006d5|TRINITY_DN76209_c5_g1_i2:896-1387|+      -            164 111730at33208        -            629   7.8e-08   26.6   9.0   1   2   4.7e-06   3.6e-05   17.9   5.2    88   195     6   122     4   126 0.71 -
380583at33208_7237_0:0006d5|TRINITY_DN76209_c5_g1_i2:896-1387|+      -            164 111730at33208        -            629   7.8e-08   26.6   9.0   2   2    0.0071     0.054    7.3   0.1   162   192   132   161   124   164 0.78 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 111730at33208        -            629   8.5e-08   26.5   5.6   1   5     0.026       0.2    5.5   0.1   156   195    21    58     2    66 0.71 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 111730at33208        -            629   8.5e-08   26.5   5.6   2   5      0.02      0.15    5.9   0.0   166   202    71   106    60   131 0.68 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 111730at33208        -            629   8.5e-08   26.5   5.6   3   5      0.56       4.2    1.1   0.0   181   195   124   138   103   152 0.75 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 111730at33208        -            629   8.5e-08   26.5   5.6   4   5    0.0041     0.031    8.2   0.1   175   199   158   183   145   191 0.80 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 111730at33208        -            629   8.5e-08   26.5   5.6   5   5     0.049      0.37    4.6   0.0    87   117   192   220   189   229 0.73 -
380583at33208_52283_0:00236e|TRINITY_DN86669_c5_g1_i3:605-1312|-     -            236 111730at33208        -            629   1.3e-07   25.9   0.0   1   2   0.00056    0.0042   11.0   0.0   136   196     9    72     1   116 0.76 -
380583at33208_52283_0:00236e|TRINITY_DN86669_c5_g1_i3:605-1312|-     -            236 111730at33208        -            629   1.3e-07   25.9   0.0   2   2   0.00032    0.0025   11.8   0.0   131   220   135   233   133   236 0.66 -
380583at33208_1049336_0:00137f|TRINITY_DN79185_c7_g1_i6:749-1774|-   -            342 111730at33208        -            629   1.3e-07   25.9   0.3   1   3   5.8e-06   4.4e-05   17.6   0.0   158   221     5    71     2    80 0.86 -
