#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31480at6656_39758_0:00101b|TRINITY_DN79780_c7_g2_i2:5-642|-        -            130 31480at6656          -            350   1.3e-21   74.0   2.2   1   1     3e-23   3.4e-21   72.6   2.2   220   313     1   130     1   130 0.74 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i6:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   2   3   1.5e-17   1.7e-15   53.8   0.0    28   107   132   219   127   238 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i6:213-1781|-     -            523 31480at6656          -            350   2.9e-19   66.3   0.0   3   3     0.033       3.7    3.4   0.0   242   301   436   505   430   516 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i7:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   1   3      0.01       1.2    5.1   0.1     1    32    90   125    90   129 0.86 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i7:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   2   3   1.6e-17   1.8e-15   53.8   0.0    28   107   140   227   135   246 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i7:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   3   3     0.035       3.9    3.4   0.0   242   300   444   512   438   523 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i8:219-2034|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   1   3      0.01       1.2    5.1   0.1     1    32    90   125    90   129 0.86 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i8:219-2034|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   2   3   1.6e-17   1.8e-15   53.8   0.0    28   107   140   227   135   246 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i8:219-2034|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   3   3     0.035       3.9    3.4   0.0   242   300   444   512   438   523 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i9:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   1   3      0.01       1.2    5.1   0.1     1    32    90   125    90   129 0.86 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i9:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   2   3   1.6e-17   1.8e-15   53.8   0.0    28   107   140   227   135   246 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN86473_c5_g1_i9:232-2047|-    -            529 31480at6656          -            350   3.1e-19   66.2   0.0   3   3     0.035       3.9    3.4   0.0   242   300   444   512   438   523 0.81 -
31480at6656_1155016_0:0016a7|TRINITY_DN79780_c7_g2_i1:20-325|-     -            102 31480at6656          -            350   1.3e-15   54.3   0.3   1   1   3.5e-17     4e-15   52.7   0.3   193   266     2   102     1   102 0.81 -
31480at6656_7425_0:002a5d|TRINITY_DN91289_c4_g2_i3:45-1643|+       -            533 31480at6656          -            350   2.8e-14   49.9   0.2   1   2     1e-13   1.1e-11   41.3   0.0    29    96   128   201   126   217 0.88 -
31480at6656_7425_0:002a5d|TRINITY_DN91289_c4_g2_i3:45-1643|+       -            533 31480at6656          -            350   2.8e-14   49.9   0.2   2   2    0.0044       0.5    6.3   0.2   243   301   435   503   361   532 0.78 -
31480at6656_121225_0:0029ae|TRINITY_DN83224_c10_g2_i8:308-1816|+   -            503 31480at6656          -            350   3.6e-14   49.5   0.1   1   3    0.0099       1.1    5.1   0.0     1    32    78   113    78   118 0.80 -
31480at6656_121225_0:0029ae|TRINITY_DN83224_c10_g2_i8:308-1816|+   -            503 31480at6656          -            350   3.6e-14   49.5   0.1   2   3   6.6e-13   7.5e-11   38.6   0.0    29    97   129   203   127   237 0.81 -
31480at6656_121225_0:0029ae|TRINITY_DN83224_c10_g2_i8:308-1816|+   -            503 31480at6656          -            350   3.6e-14   49.5   0.1   3   3     0.089        10    2.0   0.0   246   300   435   499   431   503 0.65 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i11:268-1080|+ -            271 31480at6656          -            350   7.4e-14   48.5   0.0   1   2    0.0044      0.49    6.3   0.0     1    32    55    90    55    95 0.80 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i11:268-1080|+ -            271 31480at6656          -            350   7.4e-14   48.5   0.0   2   2   2.1e-13   2.4e-11   40.2   0.0    29    97   106   180   104   216 0.81 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i1:268-1080|+  -            271 31480at6656          -            350   7.4e-14   48.5   0.0   1   2    0.0044      0.49    6.3   0.0     1    32    55    90    55    95 0.80 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i1:268-1080|+  -            271 31480at6656          -            350   7.4e-14   48.5   0.0   2   2   2.1e-13   2.4e-11   40.2   0.0    29    97   106   180   104   216 0.81 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i7:268-1080|+  -            271 31480at6656          -            350   7.4e-14   48.5   0.0   1   2    0.0044      0.49    6.3   0.0     1    32    55    90    55    95 0.80 -
31480at6656_1049336_0:003a6e|TRINITY_DN83224_c10_g2_i7:268-1080|+  -            271 31480at6656          -            350   7.4e-14   48.5   0.0   2   2   2.1e-13   2.4e-11   40.2   0.0    29    97   106   180   104   216 0.81 -
31480at6656_126957_0:000662|TRINITY_DN83224_c10_g2_i10:367-1365|+  -            333 31480at6656          -            350   1.4e-13   47.6   0.0   1   2    0.0058      0.66    5.9   0.0     1    32    22    57    22    62 0.80 -
31480at6656_126957_0:000662|TRINITY_DN83224_c10_g2_i10:367-1365|+  -            333 31480at6656          -            350   1.4e-13   47.6   0.0   2   2   3.2e-13   3.7e-11   39.6   0.0    29    97    73   147    71   182 0.81 -
31480at6656_126957_0:000662|TRINITY_DN83224_c10_g2_i5:476-1474|+   -            333 31480at6656          -            350   1.4e-13   47.6   0.0   1   2    0.0058      0.66    5.9   0.0     1    32    22    57    22    62 0.80 -
31480at6656_126957_0:000662|TRINITY_DN83224_c10_g2_i5:476-1474|+   -            333 31480at6656          -            350   1.4e-13   47.6   0.0   2   2   3.2e-13   3.7e-11   39.6   0.0    29    97    73   147    71   182 0.81 -
31480at6656_286306_0:003096|TRINITY_DN91289_c4_g2_i7:45-1499|+     -            485 31480at6656          -            350   6.8e-13   45.3   0.0   1   2   8.8e-14   9.9e-12   41.5   0.0    29    96   128   201   126   217 0.88 -
31480at6656_286306_0:003096|TRINITY_DN91289_c4_g2_i7:45-1499|+     -            485 31480at6656          -            350   6.8e-13   45.3   0.0   2   2      0.13        15    1.5   0.0   243   267   435   459   357   485 0.76 -
31480at6656_1049336_0:003a6e|TRINITY_DN91289_c4_g2_i2:147-767|+    -            207 31480at6656          -            350   1.2e-12   44.6   0.0   1   1   1.8e-14     2e-12   43.8   0.0    29    96    94   167    91   184 0.88 -
31480at6656_1049336_0:003a6e|TRINITY_DN91289_c4_g2_i6:147-767|+    -            207 31480at6656          -            350   1.2e-12   44.6   0.0   1   1   1.8e-14     2e-12   43.8   0.0    29    96    94   167    91   184 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/31480at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/31480at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/31480at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:50 2026
# [ok]
