#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+        -            106 83303at6656          -            284   2.4e-62  207.7   1.5   1   1   1.4e-63   2.8e-62  207.5   1.5    27   126     5   106     2   106 0.97 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-   -            194 83303at6656          -            284   1.9e-11   40.6   2.5   2   2   2.4e-10   5.1e-09   32.7   0.6    27   195    33   193    27   194 0.80 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i7:736-1890|-   -            194 83303at6656          -            284   1.9e-11   40.6   2.5   1   2    0.0059      0.12    8.5   0.0    36    69     1    34     1    36 0.74 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i7:736-1890|-   -            194 83303at6656          -            284   1.9e-11   40.6   2.5   2   2   2.4e-10   5.1e-09   32.7   0.6    27   195    33   193    27   194 0.80 -
83303at6656_38123_0:0010c7|TRINITY_DN84760_c5_g1_i5:952-1560|-    -            203 83303at6656          -            284   4.9e-11   39.3   1.0   1   2   6.8e-05    0.0014   14.8   0.0    84   144     2    59     1    64 0.82 -
83303at6656_38123_0:0010c7|TRINITY_DN84760_c5_g1_i5:952-1560|-    -            203 83303at6656          -            284   4.9e-11   39.3   1.0   2   2   2.1e-07   4.3e-06   23.1   0.4    27   147    74   193    69   197 0.86 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i2:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   1   3   0.00055     0.011   11.9   0.0   173   210     1    38     1    41 0.93 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i2:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   2   3   0.00028     0.006   12.8   0.0   169   209    39    79    37    84 0.85 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i2:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   3   3    0.0044     0.092    8.9   0.0   171   206    83   118    74   124 0.85 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   1   3   0.00055     0.011   11.9   0.0   173   210     1    38     1    41 0.93 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   2   3   0.00028     0.006   12.8   0.0   169   209    39    79    37    84 0.85 -
45131at6656_104452_0:002ee9|TRINITY_DN73621_c6_g1_i3:353-805|+    -            151 83303at6656          -            284   2.7e-10   36.9   0.2   3   3    0.0044     0.092    8.9   0.0   171   206    83   118    74   124 0.85 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   9.5e-10   35.1   0.9   1   3   6.7e-05    0.0014   14.9   0.1   173   249     2    88     1   112 0.80 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   9.5e-10   35.1   0.9   2   3         1        21    1.2   0.0    28    61   120   153    88   156 0.80 -
45131at6656_126957_0:0005ae|TRINITY_DN76940_c7_g1_i3:474-1193|+   -            240 83303at6656          -            284   9.5e-10   35.1   0.9   3   3   3.9e-05   0.00082   15.6   0.0    17    65   158   207   153   238 0.76 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i2:1174-1824|-  -            217 83303at6656          -            284   9.7e-09   31.8   2.3   1   1   7.2e-09   1.5e-07   27.9   2.3    27   199    35   197     1   207 0.73 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-  -            217 83303at6656          -            284   9.7e-09   31.8   2.3   1   1   7.2e-09   1.5e-07   27.9   2.3    27   199    35   197     1   207 0.73 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+   -            201 83303at6656          -            284   1.4e-08   31.2   0.5   1   2   0.00012    0.0026   14.0   0.2    43   102    10    68     2    78 0.78 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+   -            201 83303at6656          -            284   1.4e-08   31.2   0.5   2   2     4e-07   8.4e-06   22.2   0.3    22   198    31   198    28   201 0.83 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i8:43-645|+      -            201 83303at6656          -            284   1.4e-08   31.2   0.5   1   2   0.00012    0.0026   14.0   0.2    43   102    10    68     2    78 0.78 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i8:43-645|+      -            201 83303at6656          -            284   1.4e-08   31.2   0.5   2   2     4e-07   8.4e-06   22.2   0.3    22   198    31   198    28   201 0.83 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i9:801-1403|+    -            201 83303at6656          -            284   1.4e-08   31.2   0.5   1   2   0.00012    0.0026   14.0   0.2    43   102    10    68     2    78 0.78 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i9:801-1403|+    -            201 83303at6656          -            284   1.4e-08   31.2   0.5   2   2     4e-07   8.4e-06   22.2   0.3    22   198    31   198    28   201 0.83 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i1:1091-1906|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   1   3      0.72        15    1.6   0.0   133   149    40    56    36    63 0.88 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i1:1091-1906|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   2   3   6.4e-06   0.00013   18.2   1.9    19   102    56   140    43   150 0.85 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i1:1091-1906|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   3   3   3.5e-05   0.00073   15.8   0.0    28   156   108   235   104   240 0.76 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i2:2021-2836|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   1   3      0.72        15    1.6   0.0   133   149    40    56    36    63 0.88 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i2:2021-2836|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   2   3   6.4e-06   0.00013   18.2   1.9    19   102    56   140    43   150 0.85 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i2:2021-2836|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   3   3   3.5e-05   0.00073   15.8   0.0    28   156   108   235   104   240 0.76 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   1   3      0.72        15    1.6   0.0   133   149    40    56    36    63 0.88 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   2   3   6.4e-06   0.00013   18.2   1.9    19   102    56   140    43   150 0.85 -
45131at6656_113334_0:003788|TRINITY_DN82372_c8_g1_i4:2637-3452|-  -            272 83303at6656          -            284   2.1e-08   30.7   3.8   3   3   3.5e-05   0.00073   15.8   0.0    28   156   108   235   104   240 0.76 -
83303at6656_407821_0:004a31|TRINITY_DN84760_c5_g1_i1:96-530|-     -            145 83303at6656          -            284   9.4e-08   28.6   0.3   1   1   1.1e-08   2.2e-07   27.3   0.3    27   142    35   145     1   145 0.77 -
83303at6656_52283_0:0008bc|TRINITY_DN82334_c12_g1_i2:117-830|+    -            238 83303at6656          -            284   4.7e-07   26.3   0.8   1   2    0.0013     0.027   10.6   0.3    79   150     5    78     1    93 0.88 -
83303at6656_52283_0:0008bc|TRINITY_DN82334_c12_g1_i2:117-830|+    -            238 83303at6656          -            284   4.7e-07   26.3   0.8   2   2   2.2e-05   0.00046   16.4   0.2    32   210    47   216    42   218 0.70 -
45131at6656_108931_0:001866|TRINITY_DN73327_c12_g1_i2:631-978|-   -            116 83303at6656          -            284   5.2e-07   26.1   0.8   1   1   2.8e-08   5.8e-07   26.0   0.8    36   148     3   114     2   116 0.83 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i1:968-1459|-   -            164 83303at6656          -            284   1.3e-06   24.8   0.0   1   1   8.4e-08   1.8e-06   24.4   0.0    26   150    16   140     7   150 0.86 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i5:968-1459|-   -            164 83303at6656          -            284   1.3e-06   24.8   0.0   1   1   8.4e-08   1.8e-06   24.4   0.0    26   150    16   140     7   150 0.86 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i8:968-1459|-   -            164 83303at6656          -            284   1.3e-06   24.8   0.0   1   1   8.4e-08   1.8e-06   24.4   0.0    26   150    16   140     7   150 0.86 -
45131at6656_108931_0:001866|TRINITY_DN91122_c1_g3_i1:759-1088|+   -            110 83303at6656          -            284   1.3e-06   24.8   0.0   1   2    0.0084      0.18    8.0   0.0    36    62     1    27     1    35 0.90 -
45131at6656_108931_0:001866|TRINITY_DN91122_c1_g3_i1:759-1088|+   -            110 83303at6656          -            284   1.3e-06   24.8   0.0   2   2   8.8e-05    0.0018   14.5   0.0    27    60    77   110    70   110 0.91 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i10:3348-3836|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i10:3348-3836|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i10:3348-3836|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i11:2761-3249|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i11:2761-3249|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i11:2761-3249|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i12:3303-3791|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i12:3303-3791|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i12:3303-3791|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i13:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i13:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i13:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i14:2764-3252|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i14:2764-3252|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i14:2764-3252|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i16:2806-3294|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i16:2806-3294|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i16:2806-3294|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i1:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i1:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i1:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i20:2819-3307|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i20:2819-3307|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i20:2819-3307|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i21:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i21:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i21:2751-3239|- -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i2:2764-3252|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i2:2764-3252|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i2:2764-3252|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i3:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i3:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i3:2806-3294|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i5:2819-3307|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i5:2819-3307|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i5:2819-3307|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i7:2761-3249|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i7:2761-3249|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i7:2761-3249|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i8:3293-3781|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i8:3293-3781|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i8:3293-3781|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i9:3348-3836|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   1   3    0.0061      0.13    8.4   0.0    23    63     6    46     2    53 0.90 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i9:3348-3836|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   2   3     0.001     0.022   11.0   0.0   123   206    17    94    16    96 0.82 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i9:3348-3836|-  -            163 83303at6656          -            284   1.5e-06   24.6   0.1   3   3    0.0078      0.16    8.1   0.0   159   204    90   134    87   139 0.89 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i1:442-1020|-   -            193 83303at6656          -            284     2e-06   24.2   0.2   1   1   1.3e-07   2.8e-06   23.7   0.2     3   134    48   187    30   193 0.74 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i2:1502-2080|-  -            193 83303at6656          -            284     2e-06   24.2   0.2   1   1   1.3e-07   2.8e-06   23.7   0.2     3   134    48   187    30   193 0.74 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i3:1196-1774|-  -            193 83303at6656          -            284     2e-06   24.2   0.2   1   1   1.3e-07   2.8e-06   23.7   0.2     3   134    48   187    30   193 0.74 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i10:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i10:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i10:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i11:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i11:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i11:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i13:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i13:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i13:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i14:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i14:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i14:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i16:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i16:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i16:617-1027|- -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i2:617-1027|-  -            137 83303at6656          -            284     2e-06   24.2   0.4   3   3      0.01      0.22    7.7   0.0    26    61   101   136    96   137 0.91 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i5:617-1027|-  -            137 83303at6656          -            284     2e-06   24.2   0.4   1   3      0.05       1.1    5.4   0.1    76   102    24    50     8    56 0.70 -
45131at6656_108931_0:001866|TRINITY_DN93367_c10_g1_i5:617-1027|-  -            137 83303at6656          -            284     2e-06   24.2   0.4   2   3    0.0076      0.16    8.1   0.0    27    62    60    95    55   103 0.90 -
