#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69403at6656_294128_0:002eec|TRINITY_DN76693_c10_g2_i5:360-1037|- -            226 69403at6656          -            315   2.6e-85  283.2   0.4   1   1   5.8e-87     5e-85  282.2   0.4   120   314     1   222     1   223 0.89 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   7.5e-45  150.2   0.0   2   3   0.00018     0.015   11.3   0.0    83   121   116   154   110   172 0.92 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   7.5e-45  150.2   0.0   3   3   2.4e-32   2.1e-30  102.8   0.0   119   315   205   419   167   419 0.85 -
69403at6656_6973_0:001666|TRINITY_DN76693_c10_g2_i2:86-526|-     -            147 69403at6656          -            315   7.5e-44  147.0   0.7   1   1     2e-45   1.7e-43  145.8   0.7   121   242     1   147     1   147 0.85 -
69403at6656_29030_0:0009e2|TRINITY_DN78694_c6_g1_i5:1130-2008|+  -            293 69403at6656          -            315   1.2e-39  133.2   0.1   1   2      0.29        25    0.7   0.0    82   102     1    21     1    66 0.79 -
69403at6656_29030_0:0009e2|TRINITY_DN78694_c6_g1_i5:1130-2008|+  -            293 69403at6656          -            315   1.2e-39  133.2   0.1   2   2   9.3e-41     8e-39  130.5   0.0   120   315    70   293    63   293 0.80 -
69403at6656_7176_0:0006fa|TRINITY_DN78694_c6_g1_i10:1023-1709|+  -            229 69403at6656          -            315   2.6e-39  132.0   0.0   1   1   4.3e-41   3.7e-39  131.5   0.0   120   315     6   229     2   229 0.79 -
69403at6656_7176_0:0006fa|TRINITY_DN78694_c6_g1_i3:1407-2093|+   -            229 69403at6656          -            315   2.6e-39  132.0   0.0   1   1   4.3e-41   3.7e-39  131.5   0.0   120   315     6   229     2   229 0.79 -
69403at6656_34740_0:001d40|TRINITY_DN76693_c10_g2_i4:363-596|-   -             78 69403at6656          -            315   1.4e-35  119.8   0.0   1   1   1.8e-37   1.6e-35  119.6   0.0   242   314     1    75     1    76 0.96 -
69403at6656_438502_0:000aa9|TRINITY_DN76298_c9_g4_i2:231-782|+   -            184 69403at6656          -            315   1.1e-29  100.4   0.0   1   1   1.7e-31   1.4e-29  100.1   0.0   151   314    11   184     6   184 0.87 -
69403at6656_69820_0:003340|TRINITY_DN78694_c6_g1_i4:227-1171|+   -            315 69403at6656          -            315   3.5e-12   42.9   0.0   1   3   4.2e-07   3.6e-05   19.9   0.0     3    64    23    84    21    98 0.90 -
69403at6656_69820_0:003340|TRINITY_DN78694_c6_g1_i4:227-1171|+   -            315 69403at6656          -            315   3.5e-12   42.9   0.0   2   3     0.084       7.2    2.5   0.0    80   102   172   194   163   239 0.81 -
69403at6656_69820_0:003340|TRINITY_DN78694_c6_g1_i4:227-1171|+   -            315 69403at6656          -            315   3.5e-12   42.9   0.0   3   3   3.1e-06   0.00026   17.1   0.1   120   179   243   314   235   315 0.70 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i13:90-377|-  -             96 69403at6656          -            315     0.002   14.1   0.2   1   1   2.7e-05    0.0023   13.9   0.2    59   102    33    76    21    83 0.85 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i3:5-337|-    -            111 69403at6656          -            315    0.0025   13.8   0.2   1   1   3.4e-05    0.0029   13.6   0.2    59   102    48    91    35    99 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i1:30-413|-   -            128 69403at6656          -            315    0.0036   13.3   0.2   1   1   5.4e-05    0.0046   13.0   0.2    59   102    43    86    32    93 0.84 -
153534at6656_112268_0:001982|TRINITY_DN89742_c3_g1_i12:51-290|-  -             80 69403at6656          -            315    0.0043   13.1   0.2   1   1   5.9e-05     0.005   12.8   0.2    65   102    10    47     4    55 0.86 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i7:96-413|-   -            106 69403at6656          -            315    0.0053   12.8   0.3   1   1   7.2e-05    0.0062   12.5   0.3    65   102    49    86    30    93 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i9:30-296|-   -             89 69403at6656          -            315    0.0054   12.8   0.2   1   1   7.7e-05    0.0066   12.5   0.2    65   102    10    47     4    55 0.86 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i8:83-370|-   -             96 69403at6656          -            315    0.0071   12.3   0.2   1   1   9.3e-05     0.008   12.2   0.2    59   100    33    74    21    84 0.84 -
153534at6656_6850_0:0041da|TRINITY_DN92093_c0_g1_i1:2-250|-      -             83 69403at6656          -            315    0.0088   12.0   0.1   1   1   0.00012      0.01   11.9   0.1    64    97    46    79    26    82 0.83 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i6:90-407|-   -            106 69403at6656          -            315    0.0089   12.0   0.2   1   1   0.00012      0.01   11.8   0.2    59   100    43    84    31    94 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i5:13-345|-   -            111 69403at6656          -            315     0.013   11.5   0.2   1   1   0.00018     0.015   11.3   0.2    59   101    48    90    36    99 0.83 -
153534at6656_6973_0:003c95|TRINITY_DN92093_c0_g1_i11:2-226|-     -             75 69403at6656          -            315     0.016   11.2   0.0   1   1    0.0002     0.017   11.1   0.0    64    92    46    74    26    75 0.82 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i11:83-400|-  -            106 69403at6656          -            315     0.019   11.0   0.2   1   1   0.00025     0.021   10.8   0.2    65   100    49    84    30    94 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/69403at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:44 2026
# [ok]
