#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91468at6656_1049336_0:001070|TRINITY_DN81005_c8_g3_i2:2-367|+    -            122 91468at6656          -            286   3.3e-50  167.6   9.3   1   1   1.1e-51   6.8e-50  166.6   9.3    29   129    17   121     1   122 0.87 -
91468at6656_52283_0:000ec5|TRINITY_DN81453_c9_g5_i1:507-926|+    -            140 91468at6656          -            286   8.8e-17   57.9  15.8   1   1   3.1e-18   1.9e-16   56.8  15.8    98   226     1   134     1   139 0.77 -
91468at6656_52283_0:000ec5|TRINITY_DN81453_c9_g5_i2:682-1101|+   -            140 91468at6656          -            286   8.8e-17   57.9  15.8   1   1   3.1e-18   1.9e-16   56.8  15.8    98   226     1   134     1   139 0.77 -
91468at6656_52612_0:0018e6|TRINITY_DN87796_c12_g1_i4:0-365|+     -            122 91468at6656          -            286   2.8e-15   52.9   0.0   1   1   5.3e-17   3.2e-15   52.8   0.0   151   234    40   121    36   122 0.80 -
77987at6656_113334_0:0037ad|TRINITY_DN81902_c9_g1_i1:106-375|-   -             90 91468at6656          -            286   2.7e-12   43.1  13.9   1   1   1.1e-13   6.5e-12   41.9  13.9    94   128    56    90     5    90 0.91 -
91468at6656_29031_0:00298c|TRINITY_DN82036_c4_g2_i1:292-594|+    -            101 91468at6656          -            286   7.1e-12   41.8   6.9   1   1   1.3e-13   8.1e-12   41.6   6.9    45   126    15   101     2   101 0.74 -
91468at6656_418985_0:00252f|TRINITY_DN88717_c1_g5_i1:1555-1905|+ -            117 91468at6656          -            286   3.5e-11   39.5  19.2   1   1   9.7e-13   5.9e-11   38.8  19.2    96   146    64   114     2   117 0.90 -
91468at6656_418985_0:00252f|TRINITY_DN88717_c1_g5_i2:1796-2146|+ -            117 91468at6656          -            286   3.5e-11   39.5  19.2   1   1   9.7e-13   5.9e-11   38.8  19.2    96   146    64   114     2   117 0.90 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i1:224-511|-    -             96 91468at6656          -            286   8.2e-11   38.3   7.7   1   2       2.3   1.4e+02   -1.9   0.3   144   158     8    22     6    29 0.79 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i1:224-511|-    -             96 91468at6656          -            286   8.2e-11   38.3   7.7   2   2   1.3e-12   8.2e-11   38.3   7.7    94   141    49    96    40    96 0.94 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i2:641-928|-    -             96 91468at6656          -            286   8.2e-11   38.3   7.7   1   2       2.3   1.4e+02   -1.9   0.3   144   158     8    22     6    29 0.79 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i2:641-928|-    -             96 91468at6656          -            286   8.2e-11   38.3   7.7   2   2   1.3e-12   8.2e-11   38.3   7.7    94   141    49    96    40    96 0.94 -
77987at6656_52612_0:003023|TRINITY_DN86807_c11_g1_i3:810-1175|+  -            122 91468at6656          -            286   2.2e-05   20.5   0.2   1   1   4.1e-07   2.5e-05   20.3   0.2    42   122    25   115    11   122 0.68 -
77987at6656_52612_0:003023|TRINITY_DN86807_c11_g1_i5:809-1132|+  -            108 91468at6656          -            286    0.0002   17.3   0.3   1   1   3.7e-06   0.00023   17.2   0.3    41   115    24   108     9   108 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/91468at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/91468at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/91468at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:45 2026
# [ok]
