#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80693at6656_13249_0:00256d|TRINITY_DN91554_c9_g11_i1:1518-2240|-  -            241 80693at6656          -            259     1e-49  166.2   0.0   1   1   2.9e-51   1.3e-49  165.8   0.0   164   259    74   174    66   174 0.94 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i2:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i3:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i4:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i5:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i6:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_7536_0:001092|TRINITY_DN93277_c1_g1_i9:1899-2216|+    -            106 80693at6656          -            259   1.6e-10   37.6   0.0   1   1     4e-12   1.8e-10   37.5   0.0   164   242     1    90     1   103 0.82 -
80693at6656_197043_0:001eae|TRINITY_DN91478_c11_g4_i1:1076-1375|+ -            100 80693at6656          -            259     2e-10   37.4   0.0   1   1   4.9e-12   2.2e-10   37.2   0.0   161   244     2    87     1    96 0.85 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i11:898-1143|- -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i13:898-1143|- -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i15:799-1044|- -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i2:685-930|-   -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i4:799-1044|-  -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i6:1218-1463|- -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i7:685-930|-   -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i8:998-1243|-  -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_1218281_0:0015f5|TRINITY_DN72494_c7_g1_i9:998-1243|-  -             82 80693at6656          -            259   4.7e-10   36.1   0.0   1   1   1.2e-11   5.6e-10   35.9   0.0   164   238     5    81     2    82 0.92 -
80693at6656_197043_0:001eae|TRINITY_DN81655_c9_g1_i1:434-691|+    -             86 80693at6656          -            259     6e-10   35.8   0.0   1   1   1.4e-11   6.6e-10   35.7   0.0   165   242     1    81     1    86 0.85 -
80693at6656_197043_0:001eae|TRINITY_DN81655_c9_g1_i8:591-848|+    -             86 80693at6656          -            259     6e-10   35.8   0.0   1   1   1.4e-11   6.6e-10   35.7   0.0   165   242     1    81     1    86 0.85 -
80693at6656_1218281_0:0015f5|TRINITY_DN77745_c8_g1_i1:463-708|-   -             82 80693at6656          -            259   2.1e-09   34.0   0.0   1   1     5e-11   2.3e-09   33.9   0.0   164   238     1    80     1    82 0.90 -
80693at6656_1218281_0:0015f5|TRINITY_DN77745_c8_g1_i2:1797-2042|- -             82 80693at6656          -            259   2.1e-09   34.0   0.0   1   1     5e-11   2.3e-09   33.9   0.0   164   238     1    80     1    82 0.90 -
101349at6656_6973_0:005b54|TRINITY_DN84489_c15_g1_i4:212-832|-    -            207 80693at6656          -            259   5.9e-09   32.5   0.0   1   1   1.6e-10   7.3e-09   32.2   0.0   158   243    50   137    41   154 0.88 -
101349at6656_6973_0:005b54|TRINITY_DN84489_c15_g1_i5:715-1335|-   -            207 80693at6656          -            259   5.9e-09   32.5   0.0   1   1   1.6e-10   7.3e-09   32.2   0.0   158   243    50   137    41   154 0.88 -
80693at6656_1218281_0:0015f5|TRINITY_DN77745_c8_g1_i3:1797-2039|- -             81 80693at6656          -            259   8.3e-09   32.1   0.0   1   1     2e-10   8.9e-09   31.9   0.0   165   238     1    79     1    81 0.89 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i1:813-1118|+     -            102 80693at6656          -            259   2.5e-08   30.5   0.0   1   1   6.5e-10     3e-08   30.2   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i2:813-1118|+     -            102 80693at6656          -            259   2.5e-08   30.5   0.0   1   1   6.5e-10     3e-08   30.2   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i4:813-1118|+     -            102 80693at6656          -            259   2.5e-08   30.5   0.0   1   1   6.5e-10     3e-08   30.2   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i6:813-1118|+     -            102 80693at6656          -            259   2.5e-08   30.5   0.0   1   1   6.5e-10     3e-08   30.2   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i3:813-1187|+     -            125 80693at6656          -            259   4.5e-08   29.7   0.0   1   1   1.3e-09   5.7e-08   29.3   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i5:813-1187|+     -            125 80693at6656          -            259   4.5e-08   29.7   0.0   1   1   1.3e-09   5.7e-08   29.3   0.0   163   241     4    85     2    90 0.87 -
80693at6656_7536_0:001092|TRINITY_DN87288_c5_g1_i7:813-1187|+     -            125 80693at6656          -            259   4.5e-08   29.7   0.0   1   1   1.3e-09   5.7e-08   29.3   0.0   163   241     4    85     2    90 0.87 -
80693at6656_197043_0:001eae|TRINITY_DN93075_c8_g1_i1:242-487|+    -             82 80693at6656          -            259   1.1e-07   28.3   0.0   1   1   2.6e-09   1.2e-07   28.2   0.0   165   240     1    82     1    82 0.81 -
80693at6656_197043_0:001eae|TRINITY_DN93075_c8_g1_i2:242-487|+    -             82 80693at6656          -            259   1.1e-07   28.3   0.0   1   1   2.6e-09   1.2e-07   28.2   0.0   165   240     1    82     1    82 0.81 -
101349at6656_7038_0:00117c|TRINITY_DN84489_c15_g1_i1:218-874|-    -            219 80693at6656          -            259   6.8e-06   22.5   0.0   1   1   3.4e-07   1.6e-05   21.3   0.0   158   207    50   101    46   166 0.85 -
101349at6656_7038_0:00117c|TRINITY_DN84489_c15_g1_i2:721-1416|-   -            232 80693at6656          -            259   7.8e-06   22.3   0.0   1   1   3.9e-07   1.8e-05   21.2   0.0   158   207    63   114    59   179 0.85 -
80693at6656_104452_0:000cfd|TRINITY_DN85749_c14_g1_i2:161-469|-   -            103 80693at6656          -            259   9.2e-06   22.1   0.0   1   1   2.4e-07   1.1e-05   21.8   0.0   161   242    14    98     8   103 0.70 -
80693at6656_104452_0:000cfd|TRINITY_DN85749_c14_g1_i3:161-469|-   -            103 80693at6656          -            259   9.2e-06   22.1   0.0   1   1   2.4e-07   1.1e-05   21.8   0.0   161   242    14    98     8   103 0.70 -
80693at6656_104452_0:000cfd|TRINITY_DN85749_c14_g1_i1:404-706|-   -            101 80693at6656          -            259   2.8e-05   20.5   0.0   1   1   9.5e-07   4.3e-05   19.9   0.0   161   209    14    63     8    72 0.77 -
80693at6656_104452_0:000cfd|TRINITY_DN85749_c14_g1_i4:404-706|-   -            101 80693at6656          -            259   2.8e-05   20.5   0.0   1   1   9.5e-07   4.3e-05   19.9   0.0   161   209    14    63     8    72 0.77 -
80693at6656_407821_0:0010a3|TRINITY_DN94238_c0_g1_i1:105-524|+    -            140 80693at6656          -            259   0.00018   17.9   1.4   1   2   0.00031     0.014   11.7   1.1     1    21    19    39    19    78 0.76 -
80693at6656_407821_0:0010a3|TRINITY_DN94238_c0_g1_i1:105-524|+    -            140 80693at6656          -            259   0.00018   17.9   1.4   2   2      0.14       6.2    3.0   0.0    11    49   102   140    95   140 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/80693at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/80693at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/80693at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:51 2026
# [ok]
