#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54527at6656_294128_0:002acd|TRINITY_DN76475_c5_g3_i1:49-930|-    -            294 54527at6656          -            350  6.7e-117  387.2   0.0   1   1    9e-118  2.7e-116  385.2   0.0   110   350     1   292     1   292 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i7:0-272|-      -             91 54527at6656          -            350   8.5e-23   77.7   0.0   1   1     3e-24     9e-23   77.6   0.0    46   129     4    91     1    91 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i2:4-336|-      -            111 54527at6656          -            350   2.7e-20   69.5   0.0   1   1     1e-21     3e-20   69.3   0.0     3   110     1   111     1   111 0.91 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i2:149-1198|+ -            350 54527at6656          -            350     1e-19   67.6   0.0   1   3   2.5e-05   0.00077   15.4   0.0     3    37     7    41     5    46 0.92 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i2:149-1198|+ -            350 54527at6656          -            350     1e-19   67.6   0.0   2   3   7.8e-11   2.3e-09   33.5   0.0    77   198    61   180    51   203 0.89 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i2:149-1198|+ -            350 54527at6656          -            350     1e-19   67.6   0.0   3   3   2.7e-05    0.0008   15.3   0.0   253   328   271   348   248   350 0.67 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   1.4e-19   67.2   0.0   1   3   2.6e-05   0.00078   15.4   0.0     3    37     7    41     5    46 0.92 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   1.4e-19   67.2   0.0   2   3   7.9e-11   2.4e-09   33.5   0.0    77   198    61   180    51   203 0.89 -
54527at6656_1629725_0:0000db|TRINITY_DN92836_c9_g1_i1:149-1207|+ -            353 54527at6656          -            350   1.4e-19   67.2   0.0   3   3   3.8e-05    0.0011   14.8   0.0   253   300   271   318   248   350 0.70 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i27:5-307|-     -            101 54527at6656          -            350   3.5e-19   65.8   0.0   1   1   1.3e-20   3.9e-19   65.7   0.0     3   100     1   101     1   101 0.90 -
54527at6656_13249_0:002cd0|TRINITY_DN87965_c9_g1_i1:35-478|+     -            148 54527at6656          -            350   4.2e-19   65.6   0.0   1   1   1.6e-20   4.8e-19   65.4   0.0     2   149     2   148     1   148 0.90 -
54527at6656_72036_0:00205e|TRINITY_DN80721_c7_g1_i3:1153-2607|-  -            353 54527at6656          -            350   1.4e-18   63.8   0.1   1   1   5.8e-20   1.8e-18   63.5   0.1     6   318     2   316     1   342 0.75 -
54527at6656_72036_0:00205e|TRINITY_DN80721_c7_g1_i4:1166-2620|-  -            353 54527at6656          -            350   1.4e-18   63.8   0.1   1   1   5.8e-20   1.8e-18   63.5   0.1     6   318     2   316     1   342 0.75 -
54527at6656_7070_0:000d29|TRINITY_DN86232_c5_g3_i6:1828-2940|+   -            371 54527at6656          -            350   2.3e-18   63.1   0.0   1   1   6.2e-18   1.9e-16   56.9   0.0     6   297     2   320     1   338 0.74 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i43:0-278|-     -             93 54527at6656          -            350   5.2e-18   62.0   0.0   1   1   1.9e-19   5.7e-18   61.9   0.0    14   103     1    93     1    93 0.89 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i4:4-336|-      -            111 54527at6656          -            350   1.9e-17   60.2   0.0   1   1   6.9e-19   2.1e-17   60.0   0.0     3   110     1   111     1   111 0.89 -
54527at6656_52283_0:001503|TRINITY_DN80721_c7_g1_i1:1153-2331|-  -            393 54527at6656          -            350   8.9e-17   57.9   0.0   1   2   4.4e-12   1.3e-10   37.6   0.1     5   214     8   219     4   241 0.77 -
54527at6656_52283_0:001503|TRINITY_DN80721_c7_g1_i1:1153-2331|-  -            393 54527at6656          -            350   8.9e-17   57.9   0.0   2   2   2.5e-06   7.5e-05   18.7   0.0   231   317   269   355   222   382 0.68 -
54527at6656_52283_0:001503|TRINITY_DN80721_c7_g1_i2:1166-2344|-  -            393 54527at6656          -            350   8.9e-17   57.9   0.0   1   2   4.4e-12   1.3e-10   37.6   0.1     5   214     8   219     4   241 0.77 -
54527at6656_52283_0:001503|TRINITY_DN80721_c7_g1_i2:1166-2344|-  -            393 54527at6656          -            350   8.9e-17   57.9   0.0   2   2   2.5e-06   7.5e-05   18.7   0.0   231   317   269   355   222   382 0.68 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i40:4-318|-     -            105 54527at6656          -            350   3.6e-16   55.9   0.0   1   1   1.3e-17     4e-16   55.8   0.0    10   110     2   105     1   105 0.89 -
54527at6656_6973_0:00155a|TRINITY_DN83555_c0_g1_i2:29-346|-      -            106 54527at6656          -            350   3.3e-15   52.8   0.0   1   1   1.2e-16   3.6e-15   52.6   0.0   123   216     1    95     1   105 0.88 -
54527at6656_6973_0:00155a|TRINITY_DN83555_c0_g1_i1:11-346|-      -            112 54527at6656          -            350   3.4e-15   52.7   0.0   1   1   1.1e-16   3.4e-15   52.7   0.0   123   222     1    97     1   112 0.88 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i28:4-303|-     -            100 54527at6656          -            350   4.1e-15   52.5   0.0   1   1   1.5e-16   4.5e-15   52.3   0.0    14   110     1   100     1   100 0.89 -
54527at6656_13249_0:002cd1|TRINITY_DN83555_c2_g1_i6:5-487|-      -            161 54527at6656          -            350   5.5e-15   52.0   0.0   1   1   2.3e-16     7e-15   51.7   0.0   186   329     4   158     1   161 0.78 -
54527at6656_72036_0:00205e|TRINITY_DN84603_c13_g1_i2:1414-2130|- -            239 54527at6656          -            350   1.2e-14   50.9   0.0   1   1   4.7e-16   1.4e-14   50.7   0.0     4   219     2   225     1   237 0.81 -
54527at6656_197043_0:00454e|TRINITY_DN83555_c2_g1_i20:23-475|-   -            151 54527at6656          -            350   1.3e-14   50.8   0.0   1   1   5.5e-16   1.7e-14   50.5   0.0   162   294     1   151     1   151 0.82 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i47:5-274|-     -             90 54527at6656          -            350     3e-13   46.3   0.0   1   1   1.1e-14   3.3e-13   46.2   0.0    14   100     1    90     1    90 0.89 -
54527at6656_13249_0:002cd1|TRINITY_DN77833_c3_g1_i6:38-421|+     -            128 54527at6656          -            350     3e-12   43.0   0.0   1   1   1.2e-13   3.5e-12   42.8   0.0   235   332     4   101     1   115 0.82 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i19:5-289|-     -             95 54527at6656          -            350   3.3e-12   42.9   0.0   1   1   1.2e-13   3.7e-12   42.8   0.0    10   100     2    95     1    95 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i13:2-280|-     -             93 54527at6656          -            350   1.8e-11   40.5   0.0   1   1   6.6e-13     2e-11   40.3   0.0    10    98     2    93     1    93 0.87 -
54527at6656_13249_0:002cd1|TRINITY_DN83555_c2_g1_i19:23-412|-    -            130 54527at6656          -            350     5e-10   35.7   0.0   1   1   2.1e-11   6.4e-10   35.4   0.0   186   294     4   130     1   130 0.72 -
54527at6656_6973_0:00155a|TRINITY_DN87347_c1_g1_i2:2-322|+       -            107 54527at6656          -            350   1.2e-08   31.2   0.0   1   1   4.3e-10   1.3e-08   31.1   0.0   151   239     1    88     1   104 0.81 -
54527at6656_13249_0:002cd1|TRINITY_DN75674_c0_g1_i10:1-381|-     -            127 54527at6656          -            350   7.6e-07   25.3   0.0   1   1     3e-08   9.1e-07   25.0   0.0   172   278     3   127     1   127 0.77 -
54527at6656_13249_0:002cd1|TRINITY_DN75674_c0_g1_i11:1-381|-     -            127 54527at6656          -            350   2.6e-06   23.5   0.0   1   1     1e-07     3e-06   23.3   0.0   172   278     3   127     1   127 0.78 -
54527at6656_6973_0:00155a|TRINITY_DN79487_c1_g1_i5:39-329|-      -             97 54527at6656          -            350   8.9e-05   18.5   0.0   1   1   3.2e-06   9.6e-05   18.4   0.0   163   246     1    83     1    97 0.78 -
54527at6656_13249_0:002cd1|TRINITY_DN75674_c0_g1_i6:7-372|-      -            122 54527at6656          -            350   0.00011   18.2   0.0   1   1   4.8e-06   0.00014   17.8   0.0   172   273     3   122     1   122 0.75 -
54527at6656_6958_0:000dd0|TRINITY_DN83090_c0_g1_i1:60-209|-      -             50 54527at6656          -            350    0.0027   13.6   0.0   1   1   9.2e-05    0.0028   13.6   0.0   305   341     2    41     1    46 0.85 -
54527at6656_6958_0:000dd0|TRINITY_DN83090_c0_g1_i2:31-198|-      -             56 54527at6656          -            350    0.0045   12.9   0.0   1   1   0.00016    0.0049   12.8   0.0   305   340     2    40     1    46 0.83 -
54527at6656_6958_0:000dd0|TRINITY_DN92997_c1_g1_i1:74-268|-      -             65 54527at6656          -            350    0.0065   12.3   0.0   1   1   0.00022    0.0065   12.3   0.0   298   332    10    44     1    59 0.77 -
54527at6656_6958_0:000dd0|TRINITY_DN77833_c3_g1_i2:41-190|+      -             46 54527at6656          -            350     0.014   11.2   0.0   1   1    0.0005     0.015   11.1   0.0   305   341     2    37     1    42 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/54527at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:45 2026
# [ok]
