#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107353at6656_91411_0:001757|TRINITY_DN85362_c8_g2_i4:128-1450|+    -            198 107353at6656         -            205   3.9e-22   76.0   0.1   1   1   2.8e-22   2.9e-20   69.9   0.1    20   161    40   194     1   198 0.73 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i3:1950-2678|- -            243 107353at6656         -            205   1.1e-06   25.5   1.4   1   2    0.0001      0.01   12.6   0.4    48    85     3    47     1    68 0.75 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i3:1950-2678|- -            243 107353at6656         -            205   1.1e-06   25.5   1.4   2   2    0.0002      0.02   11.6   0.0    87   184   120   224   106   233 0.69 -
107353at6656_79782_0:002749|TRINITY_DN85185_c7_g1_i2:265-864|+     -            200 107353at6656         -            205   4.2e-06   23.6   1.5   1   1   2.2e-07   2.3e-05   21.2   1.5    34   140    56   180     2   196 0.72 -
107353at6656_456900_0:0019a2|TRINITY_DN89836_c8_g1_i1:483-1187|-   -            235 107353at6656         -            205   2.8e-05   20.9   0.1   1   1   3.7e-06   0.00037   17.3   0.1     4    85     8   100     5   180 0.66 -
107353at6656_456900_0:0019a2|TRINITY_DN89836_c8_g1_i3:483-1187|-   -            235 107353at6656         -            205   2.8e-05   20.9   0.1   1   1   3.7e-06   0.00037   17.3   0.1     4    85     8   100     5   180 0.66 -
107353at6656_456900_0:0019a2|TRINITY_DN89836_c8_g1_i2:483-1274|-   -            264 107353at6656         -            205   4.7e-05   20.2   0.0   1   2   1.3e-05    0.0013   15.5   0.0     4    82     8    97     5   103 0.68 -
107353at6656_456900_0:0019a2|TRINITY_DN89836_c8_g1_i2:483-1274|-   -            264 107353at6656         -            205   4.7e-05   20.2   0.0   2   2      0.11        11    2.6   0.0   114   135   150   173   105   209 0.66 -
107353at6656_40932_0:00532f|TRINITY_DN37144_c0_g1_i1:1-288|+       -             96 107353at6656         -            205    0.0002   18.2   0.1   1   1   1.2e-05    0.0012   15.7   0.1     9    73     5    96     1    96 0.59 -
107353at6656_32264_0:00268c|TRINITY_DN92825_c10_g2_i1:807-1520|-   -            238 107353at6656         -            205    0.0024   14.6  10.0   1   2     0.012       1.2    5.8   1.6    36    78    74   122    16   130 0.72 -
107353at6656_32264_0:00268c|TRINITY_DN92825_c10_g2_i1:807-1520|-   -            238 107353at6656         -            205    0.0024   14.6  10.0   2   2   0.00014     0.015   12.1   1.6    81   153   150   225   138   238 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107353at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/107353at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107353at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:45 2026
# [ok]
