knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN93132_c17_g2
	TRINITY_DN82828_c13_g1
	TRINITY_DN77971_c23_g1
	TRINITY_DN75504_c12_g1
	TRINITY_DN73434_c10_g7
	TRINITY_DN91470_c4_g1
	TRINITY_DN85437_c3_g6
	TRINITY_DN74601_c17_g2
	TRINITY_DN75179_c3_g4
	TRINITY_DN93526_c4_g1
	TRINITY_DN93344_c7_g1
	TRINITY_DN89150_c12_g1
	TRINITY_DN85095_c3_g1
	TRINITY_DN86647_c0_g1
	TRINITY_DN82146_c7_g1
	TRINITY_DN85095_c2_g4
	TRINITY_DN82346_c14_g1
	TRINITY_DN73052_c14_g3
	TRINITY_DN90595_c13_g1
	TRINITY_DN93054_c12_g1
	TRINITY_DN77971_c18_g1
	TRINITY_DN86288_c14_g2
	TRINITY_DN93701_c4_g2
	TRINITY_DN91284_c4_g1
	TRINITY_DN67860_c0_g1
	TRINITY_DN93379_c13_g2
	TRINITY_DN76955_c3_g1
	TRINITY_DN92057_c1_g1
	TRINITY_DN85314_c14_g1
	TRINITY_DN75179_c3_g3
	TRINITY_DN89478_c5_g4
	TRINITY_DN84616_c8_g3
	TRINITY_DN91759_c10_g1
	TRINITY_DN77007_c1_g1
	TRINITY_DN65756_c0_g1
	TRINITY_DN89527_c4_g1
	TRINITY_DN93155_c5_g5
	TRINITY_DN93344_c6_g2
	TRINITY_DN87971_c9_g2
	TRINITY_DN93344_c5_g3
	TRINITY_DN82129_c10_g1
	TRINITY_DN88050_c13_g1
	TRINITY_DN74058_c7_g1
	TRINITY_DN76872_c13_g2
	TRINITY_DN90172_c6_g4
	TRINITY_DN84985_c0_g1
	TRINITY_DN74024_c11_g1
	TRINITY_DN77963_c7_g2
	TRINITY_DN75949_c4_g1
	TRINITY_DN88050_c13_g2
	TRINITY_DN51726_c0_g1
	TRINITY_DN74618_c11_g2
	TRINITY_DN81092_c8_g3
	TRINITY_DN84738_c6_g1
	TRINITY_DN91796_c11_g1
	TRINITY_DN80188_c10_g2
	TRINITY_DN84095_c9_g2
	TRINITY_DN87250_c13_g2
	TRINITY_DN71421_c11_g1
	TRINITY_DN87049_c13_g1
	TRINITY_DN75194_c12_g1
	TRINITY_DN90677_c9_g5
	TRINITY_DN75963_c11_g2
	TRINITY_DN11295_c0_g1
	TRINITY_DN93155_c5_g2
	TRINITY_DN73418_c14_g1
	TRINITY_DN84567_c7_g1
	TRINITY_DN75949_c4_g3
	TRINITY_DN117262_c0_g1
	TRINITY_DN83281_c15_g1
	TRINITY_DN79998_c7_g1
	TRINITY_DN87908_c7_g1
	TRINITY_DN93624_c1_g7
	TRINITY_DN85889_c11_g1
	TRINITY_DN73331_c9_g2
	TRINITY_DN83493_c3_g3
	TRINITY_DN73599_c16_g1
	TRINITY_DN89332_c16_g1
	TRINITY_DN79256_c5_g1
	TRINITY_DN82998_c5_g4
	TRINITY_DN88237_c19_g4
	TRINITY_DN88594_c14_g1
	TRINITY_DN92213_c4_g2
	TRINITY_DN88354_c11_g1
	TRINITY_DN78435_c12_g1
	TRINITY_DN81343_c4_g1
	TRINITY_DN90356_c3_g1
	TRINITY_DN87677_c11_g3
	TRINITY_DN92350_c4_g2
	TRINITY_DN78204_c6_g1
	TRINITY_DN75984_c7_g1
	TRINITY_DN91982_c5_g1
	TRINITY_DN73011_c13_g3
	TRINITY_DN88611_c4_g1
	TRINITY_DN83408_c0_g1
	TRINITY_DN86412_c3_g1
	TRINITY_DN89928_c8_g1
	TRINITY_DN72268_c16_g1
	TRINITY_DN89122_c12_g1
	TRINITY_DN93519_c15_g1
	TRINITY_DN90878_c13_g1
	TRINITY_DN86452_c19_g4
	TRINITY_DN89716_c2_g1
	TRINITY_DN91641_c8_g1
	TRINITY_DN92751_c2_g1
	TRINITY_DN93155_c5_g4
	TRINITY_DN81272_c7_g1
	TRINITY_DN73052_c19_g1
	TRINITY_DN81726_c5_g1
	TRINITY_DN89641_c6_g1
	TRINITY_DN91105_c5_g9
	TRINITY_DN91728_c12_g4
	TRINITY_DN91080_c2_g1
	TRINITY_DN84857_c9_g2
	TRINITY_DN74190_c5_g1
	TRINITY_DN89887_c7_g6
	TRINITY_DN109267_c2_g1
	TRINITY_DN84918_c10_g1
	TRINITY_DN76831_c11_g4
	TRINITY_DN85356_c14_g2
	TRINITY_DN75187_c12_g1
	TRINITY_DN74005_c14_g1
	TRINITY_DN92410_c4_g2
	TRINITY_DN87665_c5_g6
	TRINITY_DN87366_c10_g4
	TRINITY_DN90677_c13_g1
	TRINITY_DN90134_c7_g1
	TRINITY_DN73948_c11_g1
	TRINITY_DN84633_c7_g2
	TRINITY_DN87192_c0_g1
	TRINITY_DN92003_c3_g1
