#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 45131at6656          -            346   3.4e-56  186.2   0.0   1   1   3.5e-57   3.8e-56  186.0   0.0     4   120    61   179    58   179 0.96 -
83303at6656_568069_0:002f12|TRINITY_DN84760_c5_g1_i6:1174-1824|-   -            217 45131at6656          -            346   1.9e-17   58.8   2.4   4   4     9e-06    0.0001   16.9   0.1    28    91   147   212   143   217 0.79 -
45131at6656_1218281_0:001263|TRINITY_DN79934_c8_g3_i2:3270-3755|-  -            162 45131at6656          -            346   1.5e-16   55.8   3.2   1   2     5e-11   5.6e-10   34.2   0.7    61   123    31    92    13    98 0.88 -
45131at6656_1218281_0:001263|TRINITY_DN79934_c8_g3_i2:3270-3755|-  -            162 45131at6656          -            346   1.5e-16   55.8   3.2   2   2   2.9e-07   3.2e-06   21.8   0.1    44   106    97   158    92   162 0.80 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|-  -            163 45131at6656          -            346   7.9e-16   53.4   0.0   1   2   6.7e-06   7.5e-05   17.3   0.0    74   121     1    47     1    51 0.89 -
45131at6656_113334_0:003788|TRINITY_DN87264_c2_g1_i15:3361-3849|-  -            163 45131at6656          -            346   7.9e-16   53.4   0.0   2   2   4.3e-11   4.8e-10   34.4   0.0    44   123    54   133    46   158 0.88 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+    -            201 45131at6656          -            346   1.5e-15   52.5   0.0   1   2     3e-06   3.4e-05   18.5   0.1    77   126    29    78     6    85 0.79 -
83303at6656_52612_0:00208c|TRINITY_DN76830_c5_g1_i5:1302-1904|+    -            201 45131at6656          -            346   1.5e-15   52.5   0.0   2   2   1.3e-10   1.5e-09   32.8   0.0     8   120    85   200    78   201 0.83 -
45131at6656_110193_0:001ede|TRINITY_DN80523_c6_g1_i3:1186-1791|-   -            202 45131at6656          -            346   1.6e-15   52.4   0.0   1   2   4.7e-08   5.2e-07   24.4   0.0    58   128    13    82     1    87 0.87 -
45131at6656_110193_0:001ede|TRINITY_DN80523_c6_g1_i3:1186-1791|-   -            202 45131at6656          -            346   1.6e-15   52.4   0.0   2   2   1.2e-08   1.4e-07   26.3   0.0    63   156   104   199    88   202 0.81 -
84925at6656_7394_0:000385|TRINITY_DN79845_c2_g1_i13:127-918|+      -            264 45131at6656          -            346   1.3e-14   49.4   0.1   1   3   1.1e-05   0.00013   16.6   0.0    37   111    55   130    21   132 0.69 -
84925at6656_7394_0:000385|TRINITY_DN79845_c2_g1_i13:127-918|+      -            264 45131at6656          -            346   1.3e-14   49.4   0.1   2   3   2.1e-08   2.4e-07   25.6   0.0    60   145   123   209   112   215 0.83 -
84925at6656_7394_0:000385|TRINITY_DN79845_c2_g1_i13:127-918|+      -            264 45131at6656          -            346   1.3e-14   49.4   0.1   3   3     0.033      0.36    5.2   0.0    69   100   223   254   219   257 0.90 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|-  -            334 45131at6656          -            346   1.5e-14   49.2   0.0   1   3       0.6       6.7    1.1   0.0    41    78    28    66     4    75 0.55 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|-  -            334 45131at6656          -            346   1.5e-14   49.2   0.0   2   3   3.2e-06   3.5e-05   18.4   0.0    29   118   105   195    72   205 0.79 -
83303at6656_218467_0:0012e6|TRINITY_DN73327_c12_g1_i2:1357-2358|-  -            334 45131at6656          -            346   1.5e-14   49.2   0.0   3   3   1.7e-08   1.9e-07   25.8   0.0     7   121   211   328   208   333 0.85 -
45131at6656_110193_0:001ede|TRINITY_DN87686_c12_g1_i5:1080-1565|-  -            162 45131at6656          -            346     3e-14   48.3   0.8   1   3       1.4        16   -0.2   0.0   104   124     8    28     3    44 0.71 -
45131at6656_110193_0:001ede|TRINITY_DN87686_c12_g1_i5:1080-1565|-  -            162 45131at6656          -            346     3e-14   48.3   0.8   2   3   4.5e-10     5e-09   31.1   0.2    43   123    46   126    31   129 0.89 -
45131at6656_110193_0:001ede|TRINITY_DN87686_c12_g1_i5:1080-1565|-  -            162 45131at6656          -            346     3e-14   48.3   0.8   3   3   2.2e-07   2.4e-06   22.2   0.0    45   117    90   162    86   162 0.88 -
84925at6656_13249_0:0033d4|TRINITY_DN82628_c4_g1_i7:944-1561|+     -            206 45131at6656          -            346   3.8e-14   47.9   0.1   1   2   1.9e-11   2.1e-10   35.6   0.0    10   121    53   164    49   167 0.92 -
84925at6656_13249_0:0033d4|TRINITY_DN82628_c4_g1_i7:944-1561|+     -            206 45131at6656          -            346   3.8e-14   47.9   0.1   2   2   7.4e-06   8.2e-05   17.2   0.0    58   118   144   206   144   206 0.82 -
84925at6656_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 45131at6656          -            346   5.6e-14   47.4   0.1   1   3   9.5e-08   1.1e-06   23.4   0.1    61   123    62   126    48   139 0.78 -
84925at6656_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 45131at6656          -            346   5.6e-14   47.4   0.1   2   3   6.8e-07   7.6e-06   20.6   0.0    62   133   151   223   147   241 0.86 -
84925at6656_43041_0:001167|TRINITY_DN90801_c6_g1_i1:158-946|+      -            263 45131at6656          -            346   5.6e-14   47.4   0.1   3   3       1.8        21   -0.5   0.0    58    75   235   252   216   258 0.57 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-    -            194 45131at6656          -            346     7e-14   47.0   1.3   1   3       4.3        48   -1.8   0.0    95   117     3    25     1    28 0.72 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-    -            194 45131at6656          -            346     7e-14   47.0   1.3   2   3     4e-12   4.4e-11   37.8   0.1     5   109    37   141    33   146 0.89 -
83303at6656_52283_0:0008bc|TRINITY_DN86682_c13_g1_i6:736-1890|-    -            194 45131at6656          -            346     7e-14   47.0   1.3   3   3   0.00052    0.0058   11.1   0.1    60   114   135   192   133   194 0.79 -
83303at6656_116153_0:000adb|TRINITY_DN85368_c12_g1_i1:274-894|+    -            207 45131at6656          -            346     9e-14   46.7   0.0   1   2   5.3e-10   5.9e-09   30.8   0.0    46   149     6   110     2   119 0.94 -
83303at6656_116153_0:000adb|TRINITY_DN85368_c12_g1_i1:274-894|+    -            207 45131at6656          -            346     9e-14   46.7   0.0   2   2   8.1e-05    0.0009   13.8   0.0     9    76   135   204   129   206 0.88 -
45131at6656_108931_0:001866|TRINITY_DN77260_c8_g1_i1:277-606|+     -            110 45131at6656          -            346   1.2e-13   46.3   0.0   1   1   1.1e-14   1.3e-13   46.2   0.0    12   118     2   110     1   110 0.90 -
83303at6656_13249_0:0026cd|TRINITY_DN83983_c5_g2_i1:1099-1677|-    -            193 45131at6656          -            346   3.2e-13   44.9   0.7   1   2     0.043      0.48    4.8   0.0    47    84     2    42     1   100 0.67 -
83303at6656_13249_0:0026cd|TRINITY_DN83983_c5_g2_i1:1099-1677|-    -            193 45131at6656          -            346   3.2e-13   44.9   0.7   2   2   3.4e-12   3.8e-11   38.0   0.1    45   125   106   191   100   193 0.85 -
45131at6656_1218281_0:001263|TRINITY_DN85835_c6_g3_i3:5550-5939|-  -            130 45131at6656          -            346   3.5e-13   44.8   0.4   1   2   9.6e-05    0.0011   13.5   0.0    46   102    14    70     4    76 0.84 -
45131at6656_1218281_0:001263|TRINITY_DN85835_c6_g3_i3:5550-5939|-  -            130 45131at6656          -            346   3.5e-13   44.8   0.4   2   2     1e-09   1.1e-08   29.9   0.5    64   119    75   129    71   130 0.94 -
45131at6656_108931_0:001866|TRINITY_DN76209_c5_g1_i2:950-1330|+    -            127 45131at6656          -            346   1.6e-12   42.6   0.6   1   2       0.3       3.3    2.1   0.2    62    76     3    17     1    28 0.85 -
45131at6656_108931_0:001866|TRINITY_DN76209_c5_g1_i2:950-1330|+    -            127 45131at6656          -            346   1.6e-12   42.6   0.6   2   2   1.4e-12   1.5e-11   39.4   0.0     9    99    31   127    22   127 0.85 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i1:968-1459|-    -            164 45131at6656          -            346   2.3e-12   42.1   0.0   1   3   8.8e-05   0.00098   13.7   0.0    68   121     2    56     1    65 0.86 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i1:968-1459|-    -            164 45131at6656          -            346   2.3e-12   42.1   0.0   2   3   0.00034    0.0038   11.7   0.0    45    78    64    98    55   104 0.86 -
45131at6656_113334_0:003788|TRINITY_DN79895_c5_g1_i1:968-1459|-    -            164 45131at6656          -            346   2.3e-12   42.1   0.0   3   3   8.2e-05   0.00091   13.8   0.0     7    55   111   160   102   163 0.83 -
45131at6656_41427_0:00348e|TRINITY_DN86007_c3_g3_i1:1436-1894|-    -            153 45131at6656          -            346   2.3e-12   42.0   0.0   1   1   2.6e-13   2.9e-12   41.7   0.0    38   157    10   129     2   133 0.90 -
45131at6656_123851_0:001e35|TRINITY_DN80473_c9_g2_i2:636-1097|-    -            154 45131at6656          -            346   2.5e-12   41.9   3.0   1   2   2.4e-12   2.7e-11   38.5   0.6    25   122     7   105     1   110 0.82 -
45131at6656_123851_0:001e35|TRINITY_DN80473_c9_g2_i2:636-1097|-    -            154 45131at6656          -            346   2.5e-12   41.9   3.0   2   2     0.001     0.012   10.1   0.1    64    87    90   113    87   127 0.88 -
45131at6656_45779_0:0018f1|TRINITY_DN89724_c10_g1_i6:706-1170|+    -            155 45131at6656          -            346   2.9e-12   41.7   0.3   1   2    0.0036      0.04    8.4   0.0    63   109    14    59     9    59 0.85 -
45131at6656_45779_0:0018f1|TRINITY_DN89724_c10_g1_i6:706-1170|+    -            155 45131at6656          -            346   2.9e-12   41.7   0.3   2   2   6.2e-11   6.9e-10   33.9   0.1    61   136    54   128    51   147 0.91 -
45131at6656_1218281_0:001263|TRINITY_DN73614_c11_g1_i4:1143-1550|+ -            136 45131at6656          -            346   3.2e-12   41.6   0.5   1   2   6.7e-12   7.5e-11   37.1   0.1    45   123     8    88     1   110 0.85 -
45131at6656_1218281_0:001263|TRINITY_DN73614_c11_g1_i4:1143-1550|+ -            136 45131at6656          -            346   3.2e-12   41.6   0.5   2   2      0.11       1.3    3.4   0.0   100   121   109   130   101   135 0.73 -
45131at6656_7536_0:004257|TRINITY_DN77528_c5_g4_i1:403-984|-       -            194 45131at6656          -            346   5.1e-12   40.9   7.4   1   3   1.1e-06   1.2e-05   19.9   0.3    28   118    10    97     1   105 0.78 -
45131at6656_7536_0:004257|TRINITY_DN77528_c5_g4_i1:403-984|-       -            194 45131at6656          -            346   5.1e-12   40.9   7.4   2   3   8.8e-07   9.8e-06   20.2   0.1    46   129    69   148    64   154 0.82 -
45131at6656_7536_0:004257|TRINITY_DN77528_c5_g4_i1:403-984|-       -            194 45131at6656          -            346   5.1e-12   40.9   7.4   3   3   8.3e-06   9.2e-05   17.0   0.2    46   121   109   180   102   189 0.83 -
45131at6656_108931_0:001866|TRINITY_DN71112_c3_g1_i1:128-472|-     -            115 45131at6656          -            346   1.5e-11   39.3   0.2   1   1     2e-12   2.2e-11   38.8   0.2    11   120     2   115     1   115 0.85 -
84925at6656_108931_0:0001ed|TRINITY_DN88922_c5_g1_i4:274-906|+     -            211 45131at6656          -            346   4.1e-11   37.9   0.0   1   2   5.2e-10   5.8e-09   30.9   0.0    57   123    36   109    22   117 0.83 -
84925at6656_108931_0:0001ed|TRINITY_DN88922_c5_g1_i4:274-906|+     -            211 45131at6656          -            346   4.1e-11   37.9   0.0   2   2     0.034      0.38    5.2   0.0     8    83   119   201   112   205 0.71 -
45131at6656_1218281_0:001263|TRINITY_DN69814_c0_g1_i1:884-1318|-   -            145 45131at6656          -            346   8.1e-11   37.0   0.6   1   1     9e-12     1e-10   36.6   0.6    46   122     9    85     1    91 0.85 -
45131at6656_438502_0:0051b4|TRINITY_DN87790_c10_g1_i2:973-1224|-   -             84 45131at6656          -            346   1.8e-10   35.8   0.1   1   1   1.7e-11   1.9e-10   35.7   0.1    15    88     1    81     1    84 0.83 -
45131at6656_108931_0:001866|TRINITY_DN73327_c12_g1_i2:631-978|-    -            116 45131at6656          -            346   2.2e-10   35.5   0.0   1   1   2.2e-11   2.4e-10   35.4   0.0     8   118     1   115     1   116 0.84 -
45131at6656_108931_0:001866|TRINITY_DN91122_c1_g3_i1:759-1088|+    -            110 45131at6656          -            346   4.8e-10   34.4   0.0   1   1     5e-11   5.6e-10   34.2   0.0    11   117     2   110     1   110 0.91 -
83303at6656_13686_0:00342e|TRINITY_DN75784_c6_g1_i2:2182-2520|-    -            113 45131at6656          -            346   5.7e-10   34.2   0.0   1   2   2.1e-08   2.3e-07   25.6   0.0    61   130    16    84     1    89 0.84 -
83303at6656_13686_0:00342e|TRINITY_DN75784_c6_g1_i2:2182-2520|-    -            113 45131at6656          -            346   5.7e-10   34.2   0.0   2   2     0.003     0.033    8.6   0.0   312   341    83   112    75   113 0.79 -
45131at6656_1218281_0:001263|TRINITY_DN86669_c5_g1_i3:1034-1432|-  -            133 45131at6656          -            346     7e-10   33.9   0.0   1   1   7.5e-11   8.4e-10   33.6   0.0    12   123     1   115     1   124 0.82 -
45131at6656_1218281_0:001263|TRINITY_DN82560_c3_g1_i5:811-1230|+   -            140 45131at6656          -            346   7.4e-10   33.8   0.0   1   2   0.00017    0.0019   12.7   0.0    89   122     1    34     1    40 0.88 -
45131at6656_1218281_0:001263|TRINITY_DN82560_c3_g1_i5:811-1230|+   -            140 45131at6656          -            346   7.4e-10   33.8   0.0   2   2   1.6e-06   1.8e-05   19.4   0.0     6    80    48   124    43   132 0.88 -
84925at6656_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 45131at6656          -            346   1.3e-09   33.0   1.9   1   3     0.028      0.31    5.5   0.0   102   124     2    24     1    27 0.89 -
84925at6656_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 45131at6656          -            346   1.3e-09   33.0   1.9   2   3   1.2e-05   0.00014   16.5   0.0    41   133    28   122    23   128 0.85 -
84925at6656_34740_0:002eea|TRINITY_DN92405_c11_g1_i2:286-876|+     -            197 45131at6656          -            346   1.3e-09   33.0   1.9   3   3    0.0014     0.016    9.7   0.2    61   119   137   197   133   197 0.73 -
45131at6656_74869_0:0028ef|TRINITY_DN90217_c3_g1_i1:399-827|+      -            143 45131at6656          -            346   1.4e-09   32.9   0.0   1   2   3.7e-08   4.1e-07   24.8   0.0    47   119     1    76     1    86 0.82 -
45131at6656_74869_0:0028ef|TRINITY_DN90217_c3_g1_i1:399-827|+      -            143 45131at6656          -            346   1.4e-09   32.9   0.0   2   2     0.014      0.16    6.4   0.0    60    80   103   123    81   133 0.78 -
45131at6656_108931_0:001866|TRINITY_DN84398_c2_g1_i4:404-703|+     -            100 45131at6656          -            346   1.6e-09   32.7   0.0   1   1   1.7e-10   1.9e-09   32.5   0.0    35   118    17   100     2   100 0.84 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i2:1502-2080|-   -            193 45131at6656          -            346   2.1e-09   32.3   2.2   1   2   7.4e-07   8.3e-06   20.5   0.4    47   129    43   125    19   129 0.86 -
83303at6656_222816_0:000d6d|TRINITY_DN81477_c5_g1_i2:1502-2080|-   -            193 45131at6656          -            346   2.1e-09   32.3   2.2   2   2   3.4e-06   3.8e-05   18.3   0.1    62   134   101   175    96   192 0.78 -
84925at6656_6832_0:003332|TRINITY_DN86640_c10_g1_i3:696-1652|+     -            319 45131at6656          -            346   3.1e-09   31.7   0.8   1   2   2.8e-07   3.1e-06   21.9   0.3    39   126    93   182    83   188 0.80 -
84925at6656_6832_0:003332|TRINITY_DN86640_c10_g1_i3:696-1652|+     -            319 45131at6656          -            346   3.1e-09   31.7   0.8   2   2    0.0049     0.054    7.9   0.0    61   121   204   264   186   268 0.78 -
84925at6656_13249_0:0033d4|TRINITY_DN79169_c10_g1_i2:3059-3619|-   -            187 45131at6656          -            346   4.1e-09   31.3   0.1   1   2    0.0021     0.024    9.1   0.0    63   118    29    81    15    91 0.87 -
84925at6656_13249_0:0033d4|TRINITY_DN79169_c10_g1_i2:3059-3619|-   -            187 45131at6656          -            346   4.1e-09   31.3   0.1   2   2   7.4e-07   8.3e-06   20.5   0.0    45    95   138   186   111   187 0.78 -
45131at6656_38123_0:000be9|TRINITY_DN71308_c0_g1_i2:400-957|-      -            186 45131at6656          -            346   5.1e-09   31.0   1.2   1   2     0.013      0.15    6.5   0.0    70   126     2    58     1    90 0.90 -
45131at6656_38123_0:000be9|TRINITY_DN71308_c0_g1_i2:400-957|-      -            186 45131at6656          -            346   5.1e-09   31.0   1.2   2   2   1.4e-07   1.5e-06   22.9   0.6    46   118   112   185   101   186 0.92 -
84925at6656_76194_0:0024ef|TRINITY_DN88294_c4_g1_i9:2570-3091|+    -            174 45131at6656          -            346   1.2e-08   29.8   0.1   1   3     0.017      0.19    6.2   0.0    60    78    25    43    16    50 0.91 -
84925at6656_76194_0:0024ef|TRINITY_DN88294_c4_g1_i9:2570-3091|+    -            174 45131at6656          -            346   1.2e-08   29.8   0.1   2   3   1.5e-06   1.7e-05   19.5   0.0    60   120    73   132    65   136 0.91 -
84925at6656_76194_0:0024ef|TRINITY_DN88294_c4_g1_i9:2570-3091|+    -            174 45131at6656          -            346   1.2e-08   29.8   0.1   3   3      0.98        11    0.4   0.0   313   334   146   167   141   172 0.86 -
45131at6656_1218281_0:001263|TRINITY_DN86602_c12_g1_i1:30-551|-    -            174 45131at6656          -            346   1.8e-08   29.3   0.2   1   2    0.0054      0.06    7.8   0.0    83   119    26    62    21    70 0.91 -
45131at6656_1218281_0:001263|TRINITY_DN86602_c12_g1_i1:30-551|-    -            174 45131at6656          -            346   1.8e-08   29.3   0.2   2   2   1.5e-06   1.7e-05   19.5   0.4    60   120   115   174    79   174 0.82 -
45131at6656_1218281_0:001263|TRINITY_DN87761_c2_g1_i2:1285-1740|+  -            152 45131at6656          -            346   1.9e-08   29.1   0.0   1   1   1.9e-09   2.1e-08   29.0   0.0     9   153     4   150     1   152 0.87 -
45131at6656_108931_0:001866|TRINITY_DN76062_c4_g3_i5:3439-3816|-   -            126 45131at6656          -            346   2.7e-08   28.7   0.1   1   2   3.4e-08   3.8e-07   24.9   0.0    58   123    11    75     1    86 0.73 -
45131at6656_108931_0:001866|TRINITY_DN76062_c4_g3_i5:3439-3816|-   -            126 45131at6656          -            346   2.7e-08   28.7   0.1   2   2      0.28       3.1    2.1   0.1   316   342    98   124    89   126 0.78 -
83303at6656_88015_0:00425f|TRINITY_DN82468_c10_g1_i3:2435-3130|-   -            232 45131at6656          -            346   3.5e-08   28.3   0.3   1   2     0.011      0.12    6.8   0.0    84   129    41    86     5    92 0.68 -
83303at6656_88015_0:00425f|TRINITY_DN82468_c10_g1_i3:2435-3130|-   -            232 45131at6656          -            346   3.5e-08   28.3   0.3   2   2   1.5e-06   1.6e-05   19.5   0.1    61   156   118   219   108   228 0.74 -
45131at6656_38123_0:000be9|TRINITY_DN79765_c9_g1_i4:1316-1624|+    -            103 45131at6656          -            346   3.9e-08   28.2   0.0   1   1   3.5e-09   3.9e-08   28.1   0.0    44   119    28   103     1   103 0.72 -
45131at6656_104452_0:002ee9|TRINITY_DN82556_c9_g1_i14:128-601|+    -            158 45131at6656          -            346   5.8e-08   27.6   0.0   1   2   1.2e-07   1.3e-06   23.1   0.0     9    76    16    84    12    91 0.86 -
45131at6656_104452_0:002ee9|TRINITY_DN82556_c9_g1_i14:128-601|+    -            158 45131at6656          -            346   5.8e-08   27.6   0.0   2   2      0.21       2.4    2.5   0.0   311   336    91   116    87   124 0.85 -
45131at6656_45779_0:0018f1|TRINITY_DN87964_c7_g1_i3:1115-1594|+    -            160 45131at6656          -            346   9.9e-08   26.8   0.0   1   1   1.1e-08   1.2e-07   26.5   0.0    14   121     5   118     1   122 0.82 -
45131at6656_108931_0:001866|TRINITY_DN74606_c10_g1_i7:1402-1737|-  -            112 45131at6656          -            346   1.7e-07   26.1   0.8   1   2    0.0016     0.018    9.5   0.2    64    86    15    37     9    56 0.65 -
45131at6656_108931_0:001866|TRINITY_DN74606_c10_g1_i7:1402-1737|-  -            112 45131at6656          -            346   1.7e-07   26.1   0.8   2   2   6.9e-06   7.6e-05   17.3   0.1    40   107    39   110    32   112 0.78 -
84925at6656_69319_0:001927|TRINITY_DN77327_c10_g2_i3:1602-2222|+   -            207 45131at6656          -            346   1.7e-07   26.0   0.0   1   2       5.6        62   -2.1   0.0    83    83    66    66    30   109 0.59 -
84925at6656_69319_0:001927|TRINITY_DN77327_c10_g2_i3:1602-2222|+   -            207 45131at6656          -            346   1.7e-07   26.0   0.0   2   2   3.2e-08   3.6e-07   25.0   0.0    11    81   131   204   121   207 0.86 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+    -            200 45131at6656          -            346   2.2e-07   25.7   1.2   1   3    0.0012     0.014    9.9   0.1    86   119    47    80    14    93 0.52 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+    -            200 45131at6656          -            346   2.2e-07   25.7   1.2   2   3   2.5e-06   2.8e-05   18.7   0.5    46   124    49   145    38   157 0.74 -
83303at6656_246812_0:002e7f|TRINITY_DN80667_c15_g1_i2:176-775|+    -            200 45131at6656          -            346   2.2e-07   25.7   1.2   3   3       1.5        17   -0.3   0.0     8    42   154   188   147   195 0.76 -
45131at6656_1218281_0:001263|TRINITY_DN87111_c8_g1_i2:930-1376|+   -            149 45131at6656          -            346   2.2e-07   25.6   0.0   1   1   3.1e-08   3.5e-07   25.0   0.0    45   121     7    86     2   101 0.87 -
84925at6656_123851_0:003ce5|TRINITY_DN88363_c11_g1_i3:1316-1684|+  -            123 45131at6656          -            346   2.5e-07   25.5   0.0   1   2   3.1e-06   3.5e-05   18.4   0.0    64   126     2    65     1    72 0.86 -
84925at6656_123851_0:003ce5|TRINITY_DN88363_c11_g1_i3:1316-1684|+  -            123 45131at6656          -            346   2.5e-07   25.5   0.0   2   2    0.0093       0.1    7.0   0.0    83   119    64   103    62   117 0.83 -
83303at6656_211228_0:0013e0|TRINITY_DN92934_c7_g1_i5:648-1397|-    -            250 45131at6656          -            346   2.6e-07   25.4   0.1   1   2      0.21       2.4    2.5   0.0    87   121     3    37     1    42 0.80 -
83303at6656_211228_0:0013e0|TRINITY_DN92934_c7_g1_i5:648-1397|-    -            250 45131at6656          -            346   2.6e-07   25.4   0.1   2   2   7.2e-07     8e-06   20.5   0.0    14   118    54   163    48   178 0.82 -
