#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63193at6656_178035_0:001334|TRINITY_DN77971_c23_g1_i2:0-635|+     -            212 63193at6656          -            327     4e-78  258.4   0.0   1   1   3.9e-79   1.6e-77  256.4   0.0   152   327     3   210     1   210 0.90 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i8:3-242|+      -             80 63193at6656          -            327   5.3e-16   54.2   0.0   1   1   1.3e-17   5.4e-16   54.2   0.0   109   171     2    67     1    80 0.81 -
63193at6656_168631_0:002082|TRINITY_DN89501_c6_g5_i1:3224-3643|-  -            140 63193at6656          -            327   1.1e-14   49.9   0.0   1   1   4.5e-16   1.8e-14   49.2   0.0    96   195     5   119     3   127 0.80 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c11_g1_i1:167-418|-   -             84 63193at6656          -            327   1.7e-14   49.2   0.1   1   1   4.5e-16   1.8e-14   49.2   0.1    96   154    21    81     7    84 0.77 -
63193at6656_168631_0:0009c7|TRINITY_DN74178_c15_g1_i2:183-548|+   -            122 63193at6656          -            327     1e-09   33.5   0.0   1   1     3e-11   1.2e-09   33.3   0.0    99   183    27   111    10   121 0.78 -
63193at6656_168631_0:002082|TRINITY_DN74688_c9_g5_i1:1156-1476|-  -            107 63193at6656          -            327   2.5e-08   29.0   0.0   1   1   6.3e-10   2.5e-08   29.0   0.0    19    74    22    77     1   103 0.66 -
63193at6656_168631_0:002082|TRINITY_DN83762_c5_g4_i1:1504-1740|-  -             79 63193at6656          -            327   1.8e-07   26.2   0.0   1   1     5e-09     2e-07   26.0   0.0    11    77     3    76     1    78 0.68 -
63193at6656_168631_0:002082|TRINITY_DN93485_c13_g1_i9:6371-6631|- -             87 63193at6656          -            327   8.9e-06   20.6   0.0   1   1   2.5e-07     1e-05   20.5   0.0   106   155    16    63     4    86 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/63193at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/rerun_results/63193at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/63193at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:28:10 2026
# [ok]
