#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 118807at6656         -            237   3.6e-97  323.7   5.5   1   1   4.5e-98   7.7e-97  322.6   5.5     1   237     9   277     9   277 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   1   3   4.9e-28   8.3e-27   93.4   0.9     4   125     4   126     1   127 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   2   3   4.1e-16     7e-15   54.4   0.0    61   128   104   171   103   179 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 118807at6656         -            237   4.6e-56  189.2   5.7   3   3   7.5e-17   1.3e-15   56.7   0.1     8   111   177   284   170   288 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   4.5e-50  169.6   1.5   1   3   5.7e-28   9.8e-27   93.1   0.3     3   138    53   190    51   193 0.90 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   4.5e-50  169.6   1.5   2   3     1e-11   1.8e-10   39.9   0.0    58   121   194   257   183   260 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 118807at6656         -            237   4.5e-50  169.6   1.5   3   3   2.3e-14   3.9e-13   48.6   0.0    16   113   235   341   235   346 0.88 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 118807at6656         -            237   1.2e-42  145.3   4.1   1   3   4.7e-12   8.1e-11   41.0   0.2    38   117     9    88     1    96 0.92 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 118807at6656         -            237   1.2e-42  145.3   4.1   2   3   1.8e-20   3.1e-19   68.6   0.6    43   163    98   220    87   222 0.66 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 118807at6656         -            237   1.2e-42  145.3   4.1   3   3   1.2e-14     2e-13   49.5   0.0    12   116   192   297   191   298 0.94 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237   1.4e-41  141.8  19.4   1   3   1.9e-13   3.2e-12   45.6   2.3    32   120     1    86     1    96 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237   1.4e-41  141.8  19.4   2   3   3.6e-10   6.2e-09   34.9   0.6    59   115    67   121    63   122 0.94 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 118807at6656         -            237   1.4e-41  141.8  19.4   3   3   1.4e-25   2.4e-24   85.3   2.7     6   157    97   246    92   246 0.92 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 118807at6656         -            237   1.2e-40  138.7   2.8   1   5   2.5e-05   0.00044   19.0   0.0    83   122    97   136    85   141 0.71 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 118807at6656         -            237   1.2e-40  138.7   2.8   2   5   5.9e-08     1e-06   27.6   0.0    41   140   139   246   137   250 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 118807at6656         -            237   1.2e-40  138.7   2.8   3   5   6.3e-07   1.1e-05   24.3   0.1    22   106   211   295   206   303 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 118807at6656         -            237   1.2e-40  138.7   2.8   4   5   3.4e-18   5.9e-17   61.1   0.0    21   121   335   438   328   443 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 118807at6656         -            237   1.2e-40  138.7   2.8   5   5    0.0017     0.029   13.0   0.1    44    73   445   474   441   475 0.94 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 118807at6656         -            237   1.2e-40  138.7   2.8   1   5   2.5e-05   0.00043   19.0   0.0    83   122    97   136    85   141 0.71 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 118807at6656         -            237   1.2e-40  138.7   2.8   2   5   5.9e-08     1e-06   27.6   0.0    41   140   139   246   137   250 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 118807at6656         -            237   1.2e-40  138.7   2.8   3   5   6.3e-07   1.1e-05   24.3   0.1    22   106   211   295   206   303 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 118807at6656         -            237   1.2e-40  138.7   2.8   4   5   3.4e-18   5.9e-17   61.1   0.0    21   121   334   437   327   442 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 118807at6656         -            237   1.2e-40  138.7   2.8   5   5    0.0017     0.029   13.0   0.1    44    73   444   473   440   474 0.94 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 118807at6656         -            237   9.5e-37  125.9  10.9   1   3   6.4e-14   1.1e-12   47.2   0.4    59   137    12    90     5    93 0.96 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 118807at6656         -            237   9.5e-37  125.9  10.9   2   3   3.7e-17   6.3e-16   57.8   2.9     5   102    83   181    79   194 0.92 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 118807at6656         -            237   9.5e-37  125.9  10.9   3   3   1.9e-08   3.2e-07   29.3   0.0    60   118   201   259   197   260 0.93 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i3:246-1106|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   1   3   7.5e-10   1.3e-08   33.8   0.1    38   122    35   119    22   128 0.93 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i3:246-1106|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   2   3     5e-17   8.6e-16   57.3   0.1    50   168   134   255   123   259 0.87 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i3:246-1106|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   3   3   4.4e-13   7.6e-12   44.4   0.0    41   141   167   269   164   287 0.86 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i9:220-1080|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   1   3   7.5e-10   1.3e-08   33.8   0.1    38   122    35   119    22   128 0.93 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i9:220-1080|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   2   3     5e-17   8.6e-16   57.3   0.1    50   168   134   255   123   259 0.87 -
71018at6656_37001_0:002946|TRINITY_DN93240_c4_g1_i9:220-1080|+     -            287 118807at6656         -            237   1.9e-35  121.6   3.6   3   3   4.4e-13   7.6e-12   44.4   0.0    41   141   167   269   164   287 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   1   3   8.3e-17   1.4e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   2   3   4.2e-21   7.2e-20   70.7   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   3   3       3.1        53    2.4   0.0     2    47   228   274   227   291 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   1   3   8.3e-17   1.4e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   2   3   4.2e-21   7.2e-20   70.7   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 118807at6656         -            237   4.3e-35  120.5   0.0   3   3       3.1        53    2.4   0.0     2    47   228   274   227   291 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 118807at6656         -            237   4.4e-35  120.5   0.0   1   3   8.4e-17   1.4e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 118807at6656         -            237   4.4e-35  120.5   0.0   2   3   4.2e-21   7.2e-20   70.7   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 118807at6656         -            237   4.4e-35  120.5   0.0   3   3       3.1        53    2.4   0.0     2    47   228   274   227   291 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-   -            833 118807at6656         -            237   4.7e-35  120.4   0.0   1   3   8.6e-17   1.5e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-   -            833 118807at6656         -            237   4.7e-35  120.4   0.0   2   3   4.3e-21   7.4e-20   70.6   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-   -            833 118807at6656         -            237   4.7e-35  120.4   0.0   3   3       3.1        54    2.3   0.0     2    47   228   274   227   291 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   1   3   8.6e-17   1.5e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   2   3   4.3e-21   7.4e-20   70.6   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   3   3       3.1        54    2.3   0.0     2    47   228   274   227   291 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   1   3   8.6e-17   1.5e-15   56.6   0.0    37   158    11   135     5   136 0.89 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   2   3   4.3e-21   7.4e-20   70.6   0.0     4   120   104   221   101   230 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-   -            834 118807at6656         -            237   4.7e-35  120.4   0.0   3   3       3.1        54    2.3   0.0     2    47   228   274   227   291 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   1   3   5.6e-25   9.6e-24   83.4   0.3     6   172   163   333   158   347 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   2   3   4.9e-07   8.4e-06   24.6   0.0    60   127   344   409   327   413 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   3   3     0.051      0.88    8.2   0.0     8    34   423   449   417   456 0.86 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   1   3   5.6e-25   9.6e-24   83.4   0.3     6   172   163   333   158   347 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   2   3   4.9e-07   8.4e-06   24.6   0.0    60   127   344   409   327   413 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 118807at6656         -            237   8.8e-35  119.5   0.2   3   3     0.051      0.88    8.2   0.0     8    34   423   449   417   456 0.86 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   1   3   5.3e-25   9.1e-24   83.4   0.2     6   172   163   333   158   345 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   2   3   4.6e-07   7.9e-06   24.7   0.0    60   127   344   409   327   413 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   3   3     0.057      0.99    8.0   0.0     8    34   423   449   417   453 0.87 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   1   3   5.3e-25   9.1e-24   83.4   0.2     6   172   163   333   158   345 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   2   3   4.6e-07   7.9e-06   24.7   0.0    60   127   344   409   327   413 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+    -            453 118807at6656         -            237   9.7e-35  119.3   0.3   3   3     0.057      0.99    8.0   0.0     8    34   423   449   417   453 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   1   3   1.8e-16   3.1e-15   55.5   0.0    42   160     3   124     1   128 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   2   3   4.4e-21   7.6e-20   70.6   0.0     4   120    91   208    88   216 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   3   3       3.1        54    2.3   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   1   3   1.8e-16   3.1e-15   55.5   0.0    42   160     3   124     1   128 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   2   3   4.4e-21   7.6e-20   70.6   0.0     4   120    91   208    88   216 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 118807at6656         -            237   9.8e-35  119.3   0.0   3   3       3.1        54    2.3   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   1   3   1.8e-16   3.1e-15   55.5   0.0    42   160     3   124     1   128 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   2   3   4.4e-21   7.6e-20   70.6   0.0     4   120    91   208    88   216 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   3   3       3.1        54    2.3   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   1   3   1.8e-16   3.1e-15   55.5   0.0    42   160     3   124     1   128 0.87 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   2   3   4.4e-21   7.6e-20   70.6   0.0     4   120    91   208    88   216 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 118807at6656         -            237   9.9e-35  119.3   0.0   3   3       3.1        54    2.3   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 118807at6656         -            237   1.5e-34  118.7   0.0   1   3     3e-16   5.2e-15   54.8   0.0    42   159     3   123     1   125 0.88 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 118807at6656         -            237   1.5e-34  118.7   0.0   2   3   4.1e-21     7e-20   70.7   0.0     4   120    91   208    88   217 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 118807at6656         -            237   1.5e-34  118.7   0.0   3   3         3        52    2.4   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 118807at6656         -            237   1.5e-34  118.7   0.0   1   3     3e-16   5.2e-15   54.8   0.0    42   159     3   123     1   125 0.88 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 118807at6656         -            237   1.5e-34  118.7   0.0   2   3   4.1e-21     7e-20   70.7   0.0     4   120    91   208    88   217 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 118807at6656         -            237   1.5e-34  118.7   0.0   3   3         3        52    2.4   0.0     2    47   215   261   214   277 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 118807at6656         -            237   1.5e-34  118.7   0.0   1   3     3e-16   5.2e-15   54.8   0.0    42   159     3   123     1   125 0.88 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 118807at6656         -            237   1.5e-34  118.7   0.0   2   3   4.1e-21     7e-20   70.7   0.0     4   120    91   208    88   217 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 118807at6656         -            237   1.5e-34  118.7   0.0   3   3         3        52    2.4   0.0     2    47   215   261   214   277 0.81 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 118807at6656         -            237   1.9e-34  118.4   0.1   1   4   2.2e-05   0.00038   19.2   0.0    83   122    97   136    85   141 0.70 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 118807at6656         -            237   1.9e-34  118.4   0.1   2   4     5e-08   8.5e-07   27.9   0.0    41   140   139   246   137   250 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 118807at6656         -            237   1.9e-34  118.4   0.1   3   4   5.3e-07   9.1e-06   24.5   0.1    22   106   211   295   206   303 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 118807at6656         -            237   1.9e-34  118.4   0.1   4   4   1.7e-15   2.9e-14   52.3   0.0    21   112   335   429   328   430 0.90 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237     2e-34  118.3   0.1   1   4   2.2e-05   0.00038   19.2   0.0    83   122    97   136    85   141 0.70 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237     2e-34  118.3   0.1   2   4   4.9e-08   8.5e-07   27.9   0.0    41   140   139   246   137   250 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237     2e-34  118.3   0.1   3   4   5.3e-07   9.1e-06   24.5   0.1    22   106   211   295   206   303 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237     2e-34  118.3   0.1   4   4   1.7e-15   2.9e-14   52.3   0.0    21   112   334   428   327   429 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-   -            821 118807at6656         -            237   2.3e-34  118.1   0.0   1   3   3.5e-16     6e-15   54.6   0.0    43   159     4   123     1   126 0.87 -
