#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38819at6656_136037_0:001e83|TRINITY_DN85110_c12_g1_i4:278-1789|-  -            504 38819at6656          -            450  5.4e-223  739.9   0.4   1   1  5.3e-225    1e-222  739.0   0.4     1   444    21   502    21   504 0.95 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i11:504-794|+  -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i12:244-534|+  -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i1:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i2:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i4:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i7:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i8:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
131751at6656_158441_0:001dca|TRINITY_DN93010_c5_g1_i9:244-534|+   -             97 38819at6656          -            450   9.1e-07   27.2   0.0   1   1   5.5e-09   1.1e-06   27.0   0.0   144   222    10    89     5    92 0.88 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i1:787-1293|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   1   2   1.8e-06   0.00035   18.7   0.4     4    86    12    83    10   110 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i1:787-1293|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   2   2      0.82   1.6e+02    0.0   0.0     9    28   120   139   111   169 0.64 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i4:788-1294|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   1   2   1.8e-06   0.00035   18.7   0.4     4    86    12    83    10   110 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i4:788-1294|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   2   2      0.82   1.6e+02    0.0   0.0     9    28   120   139   111   169 0.64 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i7:505-1011|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   1   2   1.8e-06   0.00035   18.7   0.4     4    86    12    83    10   110 0.79 -
13051at6656_7536_0:0020dc|TRINITY_DN85428_c4_g1_i7:505-1011|-     -            169 38819at6656          -            450   6.2e-05   21.1   0.7   2   2      0.82   1.6e+02    0.0   0.0     9    28   120   139   111   169 0.64 -
147852at6656_438503_0:000f3b|TRINITY_DN92834_c4_g1_i11:738-974|+  -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_438503_0:000f3b|TRINITY_DN92834_c4_g1_i8:636-872|+   -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i13:2157-2393|+ -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i16:2157-2393|+ -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i3:2181-2417|+  -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i4:2235-2471|+  -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i6:2244-2480|+  -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
147852at6656_48709_0:001165|TRINITY_DN92834_c4_g1_i7:2244-2480|+  -             79 38819at6656          -            450   0.00016   19.8   0.1   1   1   8.6e-07   0.00017   19.7   0.1    42    93    22    73    16    79 0.94 -
52320at6656_30019_0:00059a|TRINITY_DN92265_c6_g3_i3:261-659|+     -            133 38819at6656          -            450   0.00026   19.1   0.1   1   1   1.6e-06    0.0003   18.9   0.1    32    88    38    95    14   103 0.81 -
52320at6656_30019_0:00059a|TRINITY_DN92265_c6_g3_i2:261-894|+     -            128 38819at6656          -            450   0.00061   17.9   0.1   1   1   3.5e-06   0.00069   17.7   0.1    32    84    38    91    14    99 0.83 -
38819at6656_76194_0:0021a4|TRINITY_DN81135_c11_g2_i1:21-305|+     -             95 38819at6656          -            450    0.0012   17.0   0.0   1   1   6.3e-06    0.0012   16.9   0.0    42    93    22    73     1    81 0.90 -
147852at6656_438503_0:000f3b|TRINITY_DN86745_c8_g1_i1:845-1219|-  -            125 38819at6656          -            450    0.0019   16.3   0.0   1   1   1.1e-05    0.0021   16.1   0.0    43    85    68   110    40   122 0.86 -
147852at6656_438503_0:000f3b|TRINITY_DN86745_c8_g1_i4:845-1219|-  -            125 38819at6656          -            450    0.0019   16.3   0.0   1   1   1.1e-05    0.0021   16.1   0.0    43    85    68   110    40   122 0.86 -
131751at6656_294128_0:0029fa|TRINITY_DN89537_c7_g1_i5:463-930|-   -            156 38819at6656          -            450    0.0057   14.7   0.1   1   1   3.7e-05    0.0072   14.3   0.1   146   218    63   144    38   151 0.78 -
52320at6656_30019_0:00059a|TRINITY_DN92834_c4_g1_i4:3621-3935|+   -            105 38819at6656          -            450    0.0069   14.4   0.0   1   1   4.2e-05    0.0081   14.2   0.0    42    82    36    77    30    90 0.78 -
131751at6656_126957_0:003262|TRINITY_DN89537_c7_g1_i2:729-1204|-  -            109 38819at6656          -            450    0.0072   14.3   0.0   1   1   4.5e-05    0.0086   14.1   0.0   146   217    14    94     6   106 0.77 -
131751at6656_294128_0:0029fa|TRINITY_DN89537_c7_g1_i1:729-1202|-  -            158 38819at6656          -            450     0.013   13.5   0.0   1   1   7.9e-05     0.015   13.3   0.0   146   217    63   143    38   155 0.75 -
147852at6656_319348_0:00228b|TRINITY_DN87263_c7_g2_i3:950-1120|-  -             57 38819at6656          -            450     0.014   13.4   0.0   1   1   7.5e-05     0.015   13.3   0.0    42    83    16    57     6    57 0.93 -
147852at6656_319348_0:00228b|TRINITY_DN87263_c7_g2_i4:740-910|-   -             57 38819at6656          -            450     0.014   13.4   0.0   1   1   7.5e-05     0.015   13.3   0.0    42    83    16    57     6    57 0.93 -
147852at6656_319348_0:00228b|TRINITY_DN87263_c7_g2_i5:998-1168|-  -             57 38819at6656          -            450     0.018   13.0   0.0   1   1   9.7e-05     0.019   13.0   0.0    42    83    16    57     6    57 0.93 -
147852at6656_319348_0:00228b|TRINITY_DN87263_c7_g2_i7:788-958|-   -             57 38819at6656          -            450     0.018   13.0   0.0   1   1   9.7e-05     0.019   13.0   0.0    42    83    16    57     6    57 0.93 -
147852at6656_104452_0:003420|TRINITY_DN91650_c5_g3_i1:955-1122|-  -             56 38819at6656          -            450     0.026   12.5   0.0   1   1   0.00014     0.027   12.4   0.0    44    85     7    48     3    55 0.89 -
147852at6656_104452_0:003420|TRINITY_DN91650_c5_g3_i5:955-1122|-  -             56 38819at6656          -            450     0.026   12.5   0.0   1   1   0.00014     0.027   12.4   0.0    44    85     7    48     3    55 0.89 -
147852at6656_114398_0:003c65|TRINITY_DN90424_c11_g1_i2:256-438|+  -             61 38819at6656          -            450     0.064   11.2   0.0   1   1   0.00033     0.064   11.2   0.0    43    83    19    61     3    61 0.77 -
147852at6656_114398_0:003c65|TRINITY_DN90424_c11_g1_i4:256-438|+  -             61 38819at6656          -            450     0.064   11.2   0.0   1   1   0.00033     0.064   11.2   0.0    43    83    19    61     3    61 0.77 -
147852at6656_114398_0:003c65|TRINITY_DN90424_c11_g1_i8:256-438|+  -             61 38819at6656          -            450     0.064   11.2   0.0   1   1   0.00033     0.064   11.2   0.0    43    83    19    61     3    61 0.77 -
147852at6656_114398_0:003c65|TRINITY_DN90424_c11_g1_i9:567-749|+  -             61 38819at6656          -            450     0.064   11.2   0.0   1   1   0.00033     0.064   11.2   0.0    43    83    19    61     3    61 0.77 -
147852at6656_158441_0:0020fb|TRINITY_DN90424_c11_g1_i1:304-573|+  -             90 38819at6656          -            450      0.08   10.9   0.0   1   1   0.00041      0.08   10.9   0.0    41    83    46    90    12    90 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/38819at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/38819at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/38819at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:49 2026
# [ok]
