#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 143626at6656         -             90   4.3e-60  199.1   0.4   1   1   5.9e-62     5e-60  198.9   0.4     1    90    10    99    10    99 0.99 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i1:385-918|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   1   2   3.5e-05     0.003   16.9   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i1:385-918|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   2   2   0.00019     0.016   14.6   0.0    10    65    94   152    83   158 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i7:115-648|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   1   2   3.5e-05     0.003   16.9   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i7:115-648|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   2   2   0.00019     0.016   14.6   0.0    10    65    94   152    83   158 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i8:385-918|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   1   2   3.5e-05     0.003   16.9   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i8:385-918|-      -            178 143626at6656         -             90   2.6e-08   33.1   0.0   2   2   0.00019     0.016   14.6   0.0    10    65    94   152    83   158 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   1   3   4.4e-05    0.0037   16.6   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   2   3       8.3     7e+02   -0.3   0.0    10    21    94   105    83   110 0.79 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   3   3   0.00061     0.051   13.0   0.0    10    65   111   169   104   175 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   1   3   4.4e-05    0.0037   16.6   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   2   3       8.3     7e+02   -0.3   0.0    10    21    94   105    83   110 0.79 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 143626at6656         -             90   3.4e-08   32.8   0.2   3   3   0.00061     0.051   13.0   0.0    10    65   111   169   104   175 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   1   3   4.4e-05    0.0037   16.6   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   2   3       8.3     7e+02   -0.3   0.0    10    21    94   105    83   110 0.79 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   3   3   0.00061     0.051   13.0   0.0    10    65   111   169   104   175 0.80 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   1   3   4.4e-05    0.0037   16.6   0.0    10    81     7    82     2    92 0.81 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   2   3       8.3     7e+02   -0.3   0.0    10    21    94   105    83   110 0.79 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 143626at6656         -             90   3.4e-08   32.8   0.2   3   3   0.00061     0.051   13.0   0.0    10    65   111   169   104   175 0.80 -
137711at6656_7425_0:001fb1|TRINITY_DN84616_c7_g1_i3:372-644|+       -             91 143626at6656         -             90   1.4e-07   30.8   0.0   1   1   1.9e-09   1.6e-07   30.6   0.0    11    79     1    72     1    82 0.85 -
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 143626at6656         -             90   3.1e-07   29.7   0.0   1   2   8.2e-07   6.9e-05   22.2   0.0     5    71    20    88    13   100 0.87 -
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 143626at6656         -             90   3.1e-07   29.7   0.0   2   2      0.12        10    5.6   0.0    23    69   119   162   106   166 0.80 -
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 143626at6656         -             90   8.9e-07   28.2   0.0   1   1   1.4e-08   1.2e-06   27.8   0.0    12    80    39   110    35   120 0.84 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i2:1117-1377|-    -             87 143626at6656         -             90   1.1e-06   27.9   0.1   1   1   1.5e-08   1.3e-06   27.7   0.1    19    87     7    78     1    80 0.85 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i4:1693-1953|-    -             87 143626at6656         -             90   1.1e-06   27.9   0.1   1   1   1.5e-08   1.3e-06   27.7   0.1    19    87     7    78     1    80 0.85 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i5:1693-1953|-    -             87 143626at6656         -             90   1.1e-06   27.9   0.1   1   1   1.5e-08   1.3e-06   27.7   0.1    19    87     7    78     1    80 0.85 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 143626at6656         -             90   1.6e-06   27.4   0.0   1   2   2.2e-06   0.00018   20.8   0.0    11    67     2    64     1    71 0.80 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 143626at6656         -             90   1.6e-06   27.4   0.0   2   2      0.21        18    4.8   0.0    12    56    83   130    77   150 0.80 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c8_g1_i1:79-306|-      -             76 143626at6656         -             90   2.2e-06   27.0   0.0   1   1   2.9e-08   2.5e-06   26.8   0.0    11    73     1    65     1    73 0.85 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 143626at6656         -             90     3e-06   26.5   0.0   1   2         2   1.7e+02    1.7   0.0    10    63     7    63     2    73 0.77 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 143626at6656         -             90     3e-06   26.5   0.0   2   2   6.9e-07   5.8e-05   22.4   0.0     9    81    93   169    87   176 0.85 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c8_g1_i2:40-252|-        -             71 143626at6656         -             90   3.6e-06   26.3   0.0   1   1   4.5e-08   3.8e-06   26.2   0.0    11    72     1    64     1    71 0.85 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i1:181-405|+       -             75 143626at6656         -             90   4.7e-06   25.9   0.0   1   1   6.2e-08   5.2e-06   25.8   0.0    12    77     2    70     1    74 0.85 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i3:121-345|+       -             75 143626at6656         -             90   4.7e-06   25.9   0.0   1   1   6.2e-08   5.2e-06   25.8   0.0    12    77     2    70     1    74 0.85 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i6:181-405|+       -             75 143626at6656         -             90   4.7e-06   25.9   0.0   1   1   6.2e-08   5.2e-06   25.8   0.0    12    77     2    70     1    74 0.85 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i7:181-405|+       -             75 143626at6656         -             90   4.7e-06   25.9   0.0   1   1   6.2e-08   5.2e-06   25.8   0.0    12    77     2    70     1    74 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 143626at6656         -             90   7.3e-06   25.3   0.0   1   2     0.012         1    8.8   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 143626at6656         -             90   7.3e-06   25.3   0.0   2   2   0.00033     0.028   13.8   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 143626at6656         -             90   7.3e-06   25.3   0.0   1   2     0.012         1    8.8   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 143626at6656         -             90   7.3e-06   25.3   0.0   2   2   0.00033     0.028   13.8   0.0     9    79   182   254   175   256 0.88 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i1:725-955|+      -             77 143626at6656         -             90   7.8e-06   25.2   0.0   1   1     1e-07   8.4e-06   25.1   0.0    16    79     9    75     2    77 0.84 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i2:423-653|+      -             77 143626at6656         -             90   7.8e-06   25.2   0.0   1   1     1e-07   8.4e-06   25.1   0.0    16    79     9    75     2    77 0.84 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 143626at6656         -             90   8.2e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 143626at6656         -             90   8.2e-06   25.1   0.0   2   2   0.00036      0.03   13.7   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 143626at6656         -             90   8.2e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 143626at6656         -             90   8.2e-06   25.1   0.0   2   2   0.00036      0.03   13.7   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 143626at6656         -             90   8.4e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 143626at6656         -             90   8.4e-06   25.1   0.0   2   2   0.00036      0.03   13.7   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 143626at6656         -             90   8.4e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 143626at6656         -             90   8.4e-06   25.1   0.0   2   2   0.00036      0.03   13.7   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 143626at6656         -             90   8.4e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 143626at6656         -             90   8.4e-06   25.1   0.0   2   2   0.00036      0.03   13.7   0.0     9    79   182   254   175   256 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 143626at6656         -             90   8.5e-06   25.1   0.0   1   2     0.013       1.1    8.7   0.0    11    76    86   154    81   158 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 143626at6656         -             90   8.5e-06   25.1   0.0   2   2   0.00034     0.029   13.8   0.0     9    79   212   284   204   286 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 143626at6656         -             90   9.4e-06   24.9   0.0   1   2     0.014       1.2    8.6   0.0    11    76   108   176   103   181 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 143626at6656         -             90   9.4e-06   24.9   0.0   2   2   0.00038     0.032   13.6   0.0     9    79   204   276   197   278 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 143626at6656         -             90   9.5e-06   24.9   0.0   1   2     0.015       1.2    8.5   0.0    11    76    86   154    81   158 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 143626at6656         -             90   9.5e-06   24.9   0.0   2   2   0.00037     0.031   13.6   0.0     9    79   212   284   204   286 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 143626at6656         -             90   9.7e-06   24.9   0.0   1   2     0.015       1.2    8.5   0.0    11    76    86   154    81   158 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 143626at6656         -             90   9.7e-06   24.9   0.0   2   2   0.00038     0.032   13.6   0.0     9    79   212   284   204   286 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 143626at6656         -             90   9.7e-06   24.9   0.0   1   2     0.015       1.2    8.5   0.0    11    76    86   154    81   158 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 143626at6656         -             90   9.7e-06   24.9   0.0   2   2   0.00038     0.032   13.6   0.0     9    79   212   284   204   286 0.88 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c7_g13_i1:0-215|+        -             72 143626at6656         -             90   1.9e-05   24.0   0.0   1   1   2.5e-07   2.1e-05   23.8   0.0    11    66    13    70     8    72 0.87 -
137711at6656_7397_0:004a22|TRINITY_DN76980_c8_g1_i3:40-246|-        -             69 143626at6656         -             90   2.3e-05   23.7   0.0   1   1   2.8e-07   2.3e-05   23.7   0.0    14    77     2    67     1    69 0.82 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c7_g1_i1:7-222|+       -             72 143626at6656         -             90   2.9e-05   23.4   0.0   1   1   3.8e-07   3.2e-05   23.2   0.0    11    69     9    69     3    72 0.86 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i1:1117-1332|-    -             72 143626at6656         -             90   3.4e-05   23.2   0.1   1   1   4.7e-07   3.9e-05   22.9   0.1    28    87     1    63     1    65 0.87 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i3:1693-1908|-    -             72 143626at6656         -             90   3.4e-05   23.2   0.1   1   1   4.7e-07   3.9e-05   22.9   0.1    28    87     1    63     1    65 0.87 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i14:1068-1283|-   -             72 143626at6656         -             90   3.6e-05   23.1   0.0   1   1   4.3e-07   3.6e-05   23.0   0.0     9    67     1    59     1    71 0.93 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i5:2200-2415|-    -             72 143626at6656         -             90   3.6e-05   23.1   0.0   1   1   4.3e-07   3.6e-05   23.0   0.0     9    67     1    59     1    71 0.93 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 143626at6656         -             90   4.1e-05   22.9   0.0   1   2    0.0014      0.12   11.8   0.0    23    58    16    51     2    79 0.81 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 143626at6656         -             90   4.1e-05   22.9   0.0   2   2     0.009      0.76    9.2   0.0    11    53    99   144    96   152 0.78 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i10:932-1429|+     -            166 143626at6656         -             90   5.9e-05   22.4   0.0   1   2      0.11       8.9    5.8   0.0    11    68     2    64     1    81 0.72 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i10:932-1429|+     -            166 143626at6656         -             90   5.9e-05   22.4   0.0   2   2    0.0002     0.017   14.5   0.0     9    72    95   153    90   160 0.76 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 143626at6656         -             90   5.9e-05   22.4   0.0   1   2      0.11       8.9    5.8   0.0    11    68     2    64     1    81 0.72 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 143626at6656         -             90   5.9e-05   22.4   0.0   2   2    0.0002     0.017   14.5   0.0     9    72    95   153    90   160 0.76 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i4:932-1429|+      -            166 143626at6656         -             90   5.9e-05   22.4   0.0   1   2      0.11       8.9    5.8   0.0    11    68     2    64     1    81 0.72 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i4:932-1429|+      -            166 143626at6656         -             90   5.9e-05   22.4   0.0   2   2    0.0002     0.017   14.5   0.0     9    72    95   153    90   160 0.76 -
143626at6656_294128_0:0013b9|TRINITY_DN93756_c5_g1_i9:3302-3487|-   -             62 143626at6656         -             90   6.6e-05   22.2   0.0   1   1   8.5e-07   7.2e-05   22.1   0.0    11    73     1    61     1    62 0.93 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i1:76-558|+       -            161 143626at6656         -             90   0.00014   21.2   0.1   1   1   3.8e-06   0.00032   20.0   0.0    11    71     3    62     1    74 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i2:76-558|+       -            161 143626at6656         -             90   0.00014   21.2   0.1   1   1   3.8e-06   0.00032   20.0   0.0    11    71     3    62     1    74 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i3:76-558|+       -            161 143626at6656         -             90   0.00014   21.2   0.1   1   1   3.8e-06   0.00032   20.0   0.0    11    71     3    62     1    74 0.88 -
