#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-  -            329 126074at6656         -            265   1.4e-69  233.3   0.2   1   1   4.6e-69   1.1e-67  227.1   0.1    12   250    10   296     4   313 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   1   6   4.4e-06    0.0001   20.7   0.1    38   123     3    94     1    96 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   2   6     1e-05   0.00025   19.4   0.1    37   113    44   123    35   128 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   3   6   1.8e-05   0.00042   18.7   0.0    36   109    85   161    76   170 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   4   6   0.00096     0.023   13.0   0.0    38   108   129   203   121   204 0.70 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   5   6     0.001     0.024   12.9   0.1    43   125   177   268   170   271 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 126074at6656         -            265   3.9e-16   58.1   5.6   6   6       2.1        50    2.0   0.0     9    30   261   282   252   286 0.82 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i2:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   1   4      0.54        13    4.0   0.0   145   174     3    32     1    36 0.87 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i2:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   2   4   2.5e-08   5.8e-07   28.0   0.2    37   108    38   111    36   120 0.88 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i2:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   3   4         4        93    1.1   0.0   217   244   124   154   113   159 0.67 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i2:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   4   4   8.4e-05     0.002   16.5   0.0    34   107   162   240   155   244 0.81 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   1   4      0.54        13    4.0   0.0   145   174     3    32     1    36 0.87 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   2   4   2.5e-08   5.8e-07   28.0   0.2    37   108    38   111    36   120 0.88 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   3   4         4        93    1.1   0.0   217   244   124   154   113   159 0.67 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 126074at6656         -            265   6.4e-15   54.1   2.1   4   4   8.4e-05     0.002   16.5   0.0    34   107   162   240   155   244 0.81 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 126074at6656         -            265   1.1e-14   53.3   3.1   1   4   3.4e-05    0.0008   17.7   0.0   199   253    23    73    17    83 0.87 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 126074at6656         -            265   1.1e-14   53.3   3.1   2   4   1.9e-07   4.4e-06   25.1   0.1    32   109   112   192    78   198 0.73 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 126074at6656         -            265   1.1e-14   53.3   3.1   3   4   5.3e-07   1.3e-05   23.7   0.2    33   113   155   238   154   253 0.81 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-   -            269 126074at6656         -            265   1.1e-14   53.3   3.1   4   4       7.8   1.8e+02    0.2   0.1    33    60   239   266   235   269 0.83 -
81307at6656_79782_0:000650|TRINITY_DN92485_c10_g1_i2:223-912|-    -            230 126074at6656         -            265   2.2e-14   52.4   3.1   1   3   0.00015    0.0035   15.7   0.0   214   253    14    49     1    61 0.80 -
81307at6656_79782_0:000650|TRINITY_DN92485_c10_g1_i2:223-912|-    -            230 126074at6656         -            265   2.2e-14   52.4   3.1   2   3   1.3e-07     3e-06   25.7   0.1    32   109    88   168    55   175 0.73 -
81307at6656_79782_0:000650|TRINITY_DN92485_c10_g1_i2:223-912|-    -            230 126074at6656         -            265   2.2e-14   52.4   3.1   3   3   4.5e-07     1e-05   23.9   0.1    33   111   131   212   130   222 0.82 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 126074at6656         -            265   2.2e-14   52.4   0.5   1   4       5.6   1.3e+02    0.6   0.0    44   245    59    84    41    92 0.56 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 126074at6656         -            265   2.2e-14   52.4   0.5   2   4     2e-10   4.6e-09   34.9   0.5    37   122    95   184    58   215 0.76 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 126074at6656         -            265   2.2e-14   52.4   0.5   3   4     0.024      0.56    8.4   0.0   219   248   226   256   193   264 0.77 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 126074at6656         -            265   2.2e-14   52.4   0.5   4   4       2.6        61    1.7   0.0    33    67   309   344   296   346 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 126074at6656         -            265   2.5e-14   52.2   1.3   1   3   1.1e-06   2.5e-05   22.7   0.0    38   110     4    79     1    87 0.88 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 126074at6656         -            265   2.5e-14   52.2   1.3   2   3   0.00042    0.0098   14.2   0.1    39   114    88   178    79   183 0.66 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 126074at6656         -            265   2.5e-14   52.2   1.3   3   3    0.0023     0.054   11.7   0.0    37    86   182   232   177   238 0.84 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 126074at6656         -            265   4.2e-14   51.5   0.4   1   3     0.016      0.37    9.0   0.0    37    75    10    49     5    62 0.80 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 126074at6656         -            265   4.2e-14   51.5   0.4   2   3   4.2e-06   9.9e-05   20.7   0.0    36   110    51   128    45   176 0.78 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 126074at6656         -            265   4.2e-14   51.5   0.4   3   3   1.2e-05   0.00029   19.2   0.1    41   108   180   252   139   257 0.80 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 126074at6656         -            265   1.8e-13   49.4   0.8   1   3     0.087       2.1    6.6   0.0   192   247    11    69     6    74 0.77 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 126074at6656         -            265   1.8e-13   49.4   0.8   2   3     8e-09   1.9e-07   29.6   0.0    32   110    74   156    68   163 0.82 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 126074at6656         -            265   1.8e-13   49.4   0.8   3   3     0.031      0.73    8.0   0.1    36    86   256   308   223   312 0.72 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   1   4     0.024      0.56    8.4   0.0    50   110    31    94    12   102 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   2   4   3.1e-07   7.3e-06   24.4   0.0    33   115    98   183    93   193 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   3   4      0.05       1.2    7.4   0.0   229   254   201   227   191   233 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   4   4       0.6        14    3.8   0.0    37    97   228   289   223   306 0.75 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   1   4     0.024      0.56    8.4   0.0    50   110    31    94    12   102 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   2   4   3.1e-07   7.3e-06   24.4   0.0    33   115    98   183    93   193 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   3   4      0.05       1.2    7.4   0.0   229   254   201   227   191   233 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 126074at6656         -            265   2.4e-13   48.9   0.0   4   4       0.6        14    3.8   0.0    37    97   228   289   223   306 0.75 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 126074at6656         -            265   2.5e-13   48.9   0.0   1   4     0.024      0.56    8.4   0.0    50   110    31    94    12   102 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 126074at6656         -            265   2.5e-13   48.9   0.0   2   4   3.1e-07   7.4e-06   24.4   0.0    33   115    98   183    93   193 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 126074at6656         -            265   2.5e-13   48.9   0.0   3   4     0.048       1.1    7.4   0.0   228   254   200   227   190   233 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 126074at6656         -            265   2.5e-13   48.9   0.0   4   4      0.48        11    4.1   0.0    35    97   226   289   219   306 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 126074at6656         -            265   2.7e-13   48.8   0.0   1   4     0.024      0.57    8.4   0.0    50   110    31    94    12   102 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 126074at6656         -            265   2.7e-13   48.8   0.0   2   4   3.2e-07   7.6e-06   24.4   0.0    33   115    98   183    93   193 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 126074at6656         -            265   2.7e-13   48.8   0.0   3   4     0.049       1.2    7.4   0.0   228   254   200   227   190   233 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 126074at6656         -            265   2.7e-13   48.8   0.0   4   4      0.49        11    4.1   0.0    35    97   226   289   219   306 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 126074at6656         -            265   2.7e-13   48.8   0.0   1   4     0.024      0.57    8.4   0.0    50   110    31    94    12   102 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 126074at6656         -            265   2.7e-13   48.8   0.0   2   4   3.2e-07   7.6e-06   24.4   0.0    33   115    98   183    93   193 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 126074at6656         -            265   2.7e-13   48.8   0.0   3   4     0.049       1.2    7.4   0.0   228   254   200   227   190   233 0.77 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 126074at6656         -            265   2.7e-13   48.8   0.0   4   4      0.49        11    4.1   0.0    35    97   226   289   219   306 0.76 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-  -            834 126074at6656         -            265   2.7e-13   48.8   0.0   1   4     0.024      0.57    8.4   0.0    50   110    31    94    12   102 0.77 -
