#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
113817at6656_132113_0:002d6c|TRINITY_DN86577_c6_g1_i2:448-1038|+    -            197 113817at6656         -            193   1.4e-74  248.8   3.5   1   1   1.2e-76   1.6e-74  248.7   3.5    20   192     7   193     1   194 0.86 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   2   2     1e-06   0.00014   20.5   0.0    81   138    66   123    56   130 0.70 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   1   2   2.3e-06   0.00031   19.3   0.1    86   139     3    56     1    58 0.91 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   2   2     1e-06   0.00014   20.5   0.0    81   138    66   123    56   130 0.70 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+      -            358 113817at6656         -            193     9e-10   37.4   0.2   1   3   2.5e-09   3.3e-07   29.0   0.0    58   136    92   172    81   183 0.89 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+      -            358 113817at6656         -            193     9e-10   37.4   0.2   2   3      0.27        36    2.8   0.0    42   137   212   309   182   313 0.72 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+      -            358 113817at6656         -            193     9e-10   37.4   0.2   3   3      0.08        11    4.5   0.0    50   140   254   346   250   354 0.74 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+      -            357 113817at6656         -            193     1e-09   37.2   0.2   1   3   2.4e-09   3.2e-07   29.1   0.0    58   136    95   175    84   187 0.89 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+      -            357 113817at6656         -            193     1e-09   37.2   0.2   2   3      0.25        33    2.9   0.0    42   137   215   312   186   320 0.74 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+      -            357 113817at6656         -            193     1e-09   37.2   0.2   3   3      0.09        12    4.4   0.0    50   139   257   348   253   354 0.73 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+    -            375 113817at6656         -            193   1.1e-09   37.2   0.0   1   1   1.6e-11   2.1e-09   36.2   0.0    43   140     4   103     1   110 0.92 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 113817at6656         -            193   1.1e-09   37.2   0.0   1   1   1.6e-11   2.1e-09   36.2   0.0    43   140     4   103     1   110 0.92 -
66597at6656_438503_0:001b3b|TRINITY_DN90105_c5_g2_i3:78-587|+       -            170 113817at6656         -            193     1e-08   34.0   0.1   1   1   2.9e-09   3.9e-07   28.8   0.1    35   160    25   148    20   156 0.84 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+      -            302 113817at6656         -            193   4.9e-08   31.7   0.1   1   2    0.0098       1.3    7.5   0.0    85   138    11    64     7    73 0.90 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+      -            302 113817at6656         -            193   4.9e-08   31.7   0.1   2   2   3.8e-07   5.1e-05   21.9   0.1    50   134   112   198    78   207 0.86 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+    -            329 113817at6656         -            193     6e-08   31.5   0.1   1   2     0.011       1.4    7.4   0.0    85   138   127   180   122   189 0.90 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+    -            329 113817at6656         -            193     6e-08   31.5   0.1   2   2   4.6e-07   6.1e-05   21.6   0.1    50   134   228   314   194   323 0.86 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+    -            329 113817at6656         -            193     6e-08   31.5   0.1   1   2     0.011       1.4    7.4   0.0    85   138   127   180   122   189 0.90 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+    -            329 113817at6656         -            193     6e-08   31.5   0.1   2   2   4.6e-07   6.1e-05   21.6   0.1    50   134   228   314   194   323 0.86 -
14090at6656_133901_0:0007ab|TRINITY_DN93353_c6_g1_i4:188-2686|-     -            767 113817at6656         -            193   2.1e-06   26.4   0.4   1   1   3.3e-08   4.4e-06   25.4   0.4    96   152     2    62     1    82 0.80 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+    -            371 113817at6656         -            193   4.7e-06   25.3   1.2   1   3   0.00059     0.079   11.5   0.1    35   138    28   133    20   138 0.87 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+    -            371 113817at6656         -            193   4.7e-06   25.3   1.2   2   3     0.021       2.8    6.4   0.0    86   140   115   169   111   200 0.57 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+    -            371 113817at6656         -            193   4.7e-06   25.3   1.2   3   3     0.016       2.2    6.8   0.1    47   136   210   301   202   322 0.85 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+     -            498 113817at6656         -            193   7.4e-06   24.6   2.9   1   4       2.5   3.4e+02   -0.4   0.0    86   116   166   196   162   201 0.85 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+     -            498 113817at6656         -            193   7.4e-06   24.6   2.9   2   4      0.34        45    2.5   0.0    98   152   204   257   196   279 0.80 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+     -            498 113817at6656         -            193   7.4e-06   24.6   2.9   3   4     2e-05    0.0026   16.3   0.1    81   135   323   377   310   383 0.88 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+     -            498 113817at6656         -            193   7.4e-06   24.6   2.9   4   4      0.41        54    2.2   0.1    92   124   402   434   396   455 0.85 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   1   3    0.0009      0.12   10.9   0.1    35   138   108   213   102   218 0.87 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   2   3     0.018       2.4    6.7   0.0    52   140   193   249   165   280 0.57 -
