#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91468at6656_1049336_0:001070|TRINITY_DN81005_c8_g3_i2:2-367|+    -            122 91468at6656          -            286   1.6e-49  167.6   9.3   1   1   1.1e-51   3.3e-49  166.6   9.3    29   129    17   121     1   122 0.87 -
77987at6656_91411_0:0000b2|TRINITY_DN90811_c11_g1_i3:1048-1653|- -            202 91468at6656          -            286   4.7e-25   87.3  11.4   1   1   1.8e-27   5.7e-25   87.0  11.4    97   249     3   145     1   155 0.86 -
77987at6656_91411_0:0000b2|TRINITY_DN90811_c11_g1_i6:1048-1653|- -            202 91468at6656          -            286   4.7e-25   87.3  11.4   1   1   1.8e-27   5.7e-25   87.0  11.4    97   249     3   145     1   155 0.86 -
77987at6656_126957_0:002aaf|TRINITY_DN86807_c11_g1_i2:810-1295|+ -            162 91468at6656          -            286   1.5e-24   85.6   5.6   1   1     6e-27   1.9e-24   85.3   5.6    43   158    26   151    14   161 0.74 -
77987at6656_126957_0:002aaf|TRINITY_DN86807_c11_g1_i4:810-1295|+ -            162 91468at6656          -            286   1.5e-24   85.6   5.6   1   1     6e-27   1.9e-24   85.3   5.6    43   158    26   151    14   161 0.74 -
77987at6656_113334_0:0037ad|TRINITY_DN81902_c9_g1_i2:1744-2112|- -            123 91468at6656          -            286   3.8e-24   84.3   9.6   1   1   2.5e-26   7.7e-24   83.3   9.6    94   154    56   116     6   121 0.91 -
77987at6656_7536_0:00482b|TRINITY_DN82036_c4_g2_i2:502-963|+     -            154 91468at6656          -            286   4.9e-23   80.6  11.3   1   1   2.1e-25   6.6e-23   80.2  11.3    98   230     3   142     1   152 0.81 -
77987at6656_7536_0:00482b|TRINITY_DN82036_c4_g2_i3:1269-1730|+   -            154 91468at6656          -            286   4.9e-23   80.6  11.3   1   1   2.1e-25   6.6e-23   80.2  11.3    98   230     3   142     1   152 0.81 -
77987at6656_6832_0:002284|TRINITY_DN81294_c8_g2_i3:1149-1847|+   -            233 91468at6656          -            286   1.9e-21   75.5  10.8   1   1   9.7e-24     3e-21   74.8  10.8    97   259    57   220    52   229 0.73 -
77987at6656_6832_0:002284|TRINITY_DN81294_c8_g2_i4:1354-2052|+   -            233 91468at6656          -            286   1.9e-21   75.5  10.8   1   1   9.7e-24     3e-21   74.8  10.8    97   259    57   220    52   229 0.73 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i3:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   1   2       3.7   1.2e+03   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i3:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   2   2     3e-22   9.3e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i4:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   1   2       3.7   1.2e+03   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i4:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   2   2     3e-22   9.3e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i5:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   1   2       3.7   1.2e+03   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i5:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   2   2     3e-22   9.3e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i7:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   1   2       3.7   1.2e+03   -2.6   0.1    70    90    33    53    23    57 0.71 -
77987at6656_28612_0:004023|TRINITY_DN85161_c10_g1_i7:106-543|+   -            146 91468at6656          -            286   9.3e-20   69.9  16.1   2   2     3e-22   9.3e-20   69.9  16.1    92   158    78   144    68   146 0.88 -
91468at6656_52612_0:0018e6|TRINITY_DN87796_c12_g1_i4:0-365|+     -            122 91468at6656          -            286   1.4e-14   52.9   0.0   1   1     5e-17   1.6e-14   52.8   0.0   151   234    40   121    36   122 0.80 -
77987at6656_113334_0:0037ad|TRINITY_DN81902_c9_g1_i1:106-375|-   -             90 91468at6656          -            286   1.3e-11   43.1  13.9   1   1     1e-13   3.1e-11   41.9  13.9    94   128    56    90     5    90 0.91 -
91468at6656_29031_0:00298c|TRINITY_DN82036_c4_g2_i1:292-594|+    -            101 91468at6656          -            286   3.4e-11   41.8   6.9   1   1   1.2e-13   3.9e-11   41.6   6.9    45   126    15   101     2   101 0.74 -
91468at6656_418985_0:00252f|TRINITY_DN88717_c1_g5_i1:1555-1905|+ -            117 91468at6656          -            286   1.7e-10   39.5  19.2   1   1   9.2e-13   2.9e-10   38.8  19.2    96   146    64   114     2   117 0.90 -
91468at6656_418985_0:00252f|TRINITY_DN88717_c1_g5_i2:1796-2146|+ -            117 91468at6656          -            286   1.7e-10   39.5  19.2   1   1   9.2e-13   2.9e-10   38.8  19.2    96   146    64   114     2   117 0.90 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i1:224-511|-    -             96 91468at6656          -            286     4e-10   38.3   7.7   1   2       2.2   6.8e+02   -1.9   0.3   144   158     8    22     6    29 0.79 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i1:224-511|-    -             96 91468at6656          -            286     4e-10   38.3   7.7   2   2   1.3e-12     4e-10   38.3   7.7    94   141    49    96    40    96 0.94 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i2:641-928|-    -             96 91468at6656          -            286     4e-10   38.3   7.7   1   2       2.2   6.8e+02   -1.9   0.3   144   158     8    22     6    29 0.79 -
91468at6656_7460_0:002918|TRINITY_DN86479_c10_g2_i2:641-928|-    -             96 91468at6656          -            286     4e-10   38.3   7.7   2   2   1.3e-12     4e-10   38.3   7.7    94   141    49    96    40    96 0.94 -
77987at6656_52612_0:003023|TRINITY_DN86807_c11_g1_i3:810-1175|+  -            122 91468at6656          -            286   0.00011   20.5   0.2   1   1   3.9e-07   0.00012   20.3   0.2    42   122    25   115    11   122 0.68 -
77987at6656_52612_0:003023|TRINITY_DN86807_c11_g1_i5:809-1132|+  -            108 91468at6656          -            286   0.00097   17.3   0.3   1   1   3.5e-06    0.0011   17.2   0.3    41   115    24   108     9   108 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/91468at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/91468at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/91468at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:53 2026
# [ok]
