#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
159231at6656_294128_0:003f1b|TRINITY_DN85658_c12_g3_i1:164-466|+   -            101 159231at6656         -             79   1.9e-45  152.3   0.8   1   1   6.4e-48   2.2e-45  152.1   0.8     1    79    14    98    14    98 0.96 -
159231at6656_13686_0:001c78|TRINITY_DN88950_c2_g1_i1:316-477|+     -             54 159231at6656         -             79   0.00024   20.6   0.0   1   1     8e-07   0.00027   20.4   0.0     2    43     3    50     2    54 0.81 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i12:89-289|+    -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i2:89-289|+     -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i3:89-289|+     -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i5:89-289|+     -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i6:89-289|+     -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
165142at6656_294128_0:00226b|TRINITY_DN91153_c6_g2_i7:89-289|+     -             67 159231at6656         -             79   0.00076   19.0   0.0   1   1   9.8e-06    0.0034   16.9   0.0    12    46     4    38     1    64 0.88 -
157579at6656_6850_0:000ae9|TRINITY_DN85605_c15_g1_i1:192-392|+     -             67 159231at6656         -             79    0.0011   18.5   0.1   1   1   4.6e-06    0.0016   18.0   0.1    15    73    12    67     3    67 0.81 -
165142at6656_294128_0:00226b|TRINITY_DN74035_c8_g3_i1:253-480|+    -             76 159231at6656         -             79      0.01   15.4   0.0   1   1    0.0001     0.034   13.7   0.0    12    47    12    47     4    72 0.85 -
165142at6656_294128_0:00226b|TRINITY_DN74035_c8_g3_i4:458-685|+    -             76 159231at6656         -             79      0.01   15.4   0.0   1   1    0.0001     0.034   13.7   0.0    12    47    12    47     4    72 0.85 -
165142at6656_294128_0:00226b|TRINITY_DN74035_c8_g3_i5:531-758|+    -             76 159231at6656         -             79      0.01   15.4   0.0   1   1    0.0001     0.034   13.7   0.0    12    47    12    47     4    72 0.85 -
165142at6656_378494_0:00496e|TRINITY_DN70344_c0_g1_i1:95-325|+     -             77 159231at6656         -             79     0.016   14.7   0.0   1   1    0.0002      0.07   12.7   0.0     4    77     7    73     4    75 0.73 -
165142at6656_378494_0:00496e|TRINITY_DN70344_c0_g1_i2:95-325|+     -             77 159231at6656         -             79     0.016   14.7   0.0   1   1    0.0002      0.07   12.7   0.0     4    77     7    73     4    75 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/159231at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/159231at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/159231at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:47 2026
# [ok]
