#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117586at6656_7004_0:0028f3|TRINITY_DN72266_c12_g1_i6:154-1347|-   -            398 117586at6656         -            306  4.6e-122  406.1  10.7   1   1  6.8e-121  1.9e-118  394.2  10.7     2   305    25   391    24   392 0.88 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i13:335-979|+   -            215 117586at6656         -            306   1.7e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i9:335-979|+    -            215 117586at6656         -            306   1.7e-11   42.9   1.1   1   2     0.015       4.2    5.5   0.0    67   124     8    65     3    95 0.63 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i9:335-979|+    -            215 117586at6656         -            306   1.7e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i1:394-1038|+   -            215 117586at6656         -            306   1.8e-11   42.9   1.1   1   2     0.016       4.5    5.4   0.0    67   122     8    63     3    93 0.63 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i1:394-1038|+   -            215 117586at6656         -            306   1.8e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i6:394-1038|+   -            215 117586at6656         -            306   1.8e-11   42.9   1.1   1   2     0.016       4.5    5.4   0.0    67   122     8    63     3    93 0.63 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i6:394-1038|+   -            215 117586at6656         -            306   1.8e-11   42.9   1.1   2   2   5.4e-12   1.5e-09   36.5   0.2   209   289   128   212   110   215 0.77 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i3:700-1134|+   -            145 117586at6656         -            306   4.1e-10   38.4   0.2   1   1   1.8e-12   5.1e-10   38.1   0.2   209   289    58   142    38   145 0.77 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i2:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   1   2      0.67   1.9e+02    0.1   4.2    47    84   135   176   103   185 0.75 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i2:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   2   2   1.8e-11     5e-09   34.8   0.1   223   287   332   401   315   401 0.80 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i5:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   1   2      0.67   1.9e+02    0.1   4.2    47    84   135   176   103   185 0.75 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i5:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   2   2   1.8e-11     5e-09   34.8   0.1   223   287   332   401   315   401 0.80 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i8:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   1   2      0.67   1.9e+02    0.1   4.2    47    84   135   176   103   185 0.75 -
164354at6656_7176_0:003cd5|TRINITY_DN90921_c5_g1_i8:505-1707|-    -            401 117586at6656         -            306     5e-09   34.8   0.1   2   2   1.8e-11     5e-09   34.8   0.1   223   287   332   401   315   401 0.80 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i10:1491-2486|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i10:1491-2486|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i11:1491-2486|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i11:1491-2486|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i12:1456-2451|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i12:1456-2451|- -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i1:1491-2486|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i1:1491-2486|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i2:1421-2416|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i2:1421-2416|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i4:1456-2451|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i4:1456-2451|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i5:1491-2486|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i5:1491-2486|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i8:1456-2451|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i8:1456-2451|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i9:1421-2416|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   1   2     0.042        12    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i9:1421-2416|-  -            332 117586at6656         -            306   1.1e-08   33.7   4.9   2   2   1.7e-09   4.7e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i1:421-2037|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   1   2     0.084        23    3.1   1.1    35    87   254   309   233   368 0.68 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i1:421-2037|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   2   2   1.1e-10   3.1e-08   32.2   0.3   216   287   463   538   450   539 0.83 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i2:317-1933|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   1   2     0.084        23    3.1   1.1    35    87   254   309   233   368 0.68 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i2:317-1933|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   2   2   1.1e-10   3.1e-08   32.2   0.3   216   287   463   538   450   539 0.83 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i3:458-2074|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   1   2     0.084        23    3.1   1.1    35    87   254   309   233   368 0.68 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i3:458-2074|+    -            539 117586at6656         -            306   2.2e-08   32.7   6.3   2   2   1.1e-10   3.1e-08   32.2   0.3   216   287   463   538   450   539 0.83 -
117586at6656_52283_0:0006d4|TRINITY_DN87504_c1_g1_i1:586-1356|-   -            257 117586at6656         -            306   3.1e-08   32.2   2.0   1   2      0.36        99    1.0   0.0    69    88     1    21     1    50 0.67 -
117586at6656_52283_0:0006d4|TRINITY_DN87504_c1_g1_i1:586-1356|-   -            257 117586at6656         -            306   3.1e-08   32.2   2.0   2   2   3.8e-10   1.1e-07   30.5   0.6   217   291   175   252   166   257 0.77 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i13:1053-1898|+ -            282 117586at6656         -            306     5e-07   28.3  12.6   1   2   0.00034     0.094   10.9   6.9     2    84    10    82     9   101 0.86 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i13:1053-1898|+ -            282 117586at6656         -            306     5e-07   28.3  12.6   2   2   4.2e-07   0.00012   20.5   0.3   217   258   237   282   205   282 0.83 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i2:607-1578|-   -            324 117586at6656         -            306   7.7e-07   27.6  13.2   1   2     0.042        12    4.1   5.7     5    84    23    93    19   119 0.58 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i2:607-1578|-   -            324 117586at6656         -            306   7.7e-07   27.6  13.2   2   2     3e-09   8.4e-07   27.5   0.8   217   288   249   323   241   324 0.77 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i3:607-1578|-   -            324 117586at6656         -            306   7.7e-07   27.6  13.2   1   2     0.042        12    4.1   5.7     5    84    23    93    19   119 0.58 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i3:607-1578|-   -            324 117586at6656         -            306   7.7e-07   27.6  13.2   2   2     3e-09   8.4e-07   27.5   0.8   217   288   249   323   241   324 0.77 -
117586at6656_121225_0:0005da|TRINITY_DN72266_c12_g1_i5:158-403|-  -             82 117586at6656         -            306   8.9e-07   27.4   9.7   1   1   5.4e-07   0.00015   20.1   8.8    44    87     1    65     1    78 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/117586at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/117586at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/117586at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:45 2026
# [ok]
