#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30184at6656_294128_0:00394c|TRINITY_DN90358_c6_g1_i5:2408-4927|-  -            840 30184at6656          -            625         0 1016.4  28.9   1   1         0         0 1014.0  28.9     1   625     8   730     8   730 0.93 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 30184at6656          -            625     0.021   12.8   5.0   1   3    0.0053       7.9    4.2   0.2   390   418    44    72    37   123 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 30184at6656          -            625     0.021   12.8   5.0   2   3       0.1   1.5e+02    0.0   0.1   385   415   112   142    83   148 0.83 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 30184at6656          -            625     0.021   12.8   5.0   3   3    0.0026       3.8    5.3   0.0   379   416   358   395   353   416 0.72 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i6:1918-3222|-   -            435 30184at6656          -            625     0.022   12.6   5.1   1   3    0.0054       7.9    4.2   0.2   390   418    44    72    37   123 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i6:1918-3222|-   -            435 30184at6656          -            625     0.022   12.6   5.1   2   3       0.1   1.5e+02    0.0   0.1   385   415   112   142    83   148 0.83 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i6:1918-3222|-   -            435 30184at6656          -            625     0.022   12.6   5.1   3   3    0.0024       3.6    5.4   0.0   378   416   358   396   349   417 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i7:2392-3696|-   -            435 30184at6656          -            625     0.022   12.6   5.1   1   3    0.0054       7.9    4.2   0.2   390   418    44    72    37   123 0.74 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i7:2392-3696|-   -            435 30184at6656          -            625     0.022   12.6   5.1   2   3       0.1   1.5e+02    0.0   0.1   385   415   112   142    83   148 0.83 -
31886at6656_30069_0:002af7|TRINITY_DN89121_c9_g1_i7:2392-3696|-   -            435 30184at6656          -            625     0.022   12.6   5.1   3   3    0.0024       3.6    5.4   0.0   378   416   358   396   349   417 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/30184at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/30184at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/30184at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:48 2026
# [ok]
