#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55094at6656_294128_0:002e5b|TRINITY_DN90053_c5_g5_i2:186-1379|+   -            398 55094at6656          -            446  2.6e-104  348.4   5.8   1   1  2.7e-106  1.4e-103  346.0   5.8    19   333    37   398    32   398 0.89 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i3:124-1425|+   -            434 55094at6656          -            446   7.4e-14   50.2   2.4   1   1   8.9e-16   4.6e-13   47.6   2.4   122   425    84   408     1   427 0.65 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i2:41-1609|+    -            523 55094at6656          -            446   5.2e-12   44.2   0.1   1   2     0.088        46    1.5   0.0    48    64   206   222   194   227 0.82 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i2:41-1609|+    -            523 55094at6656          -            446   5.2e-12   44.2   0.1   2   2   1.1e-12   5.7e-10   37.4   0.0    50   275   247   506   223   510 0.75 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 55094at6656          -            446    0.0059   14.3   0.1   1   3   0.00041      0.21    9.2   0.0    11    45    39    73    34   117 0.92 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 55094at6656          -            446    0.0059   14.3   0.1   2   3      0.15        77    0.8   0.0    13    46   328   362   317   384 0.68 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 55094at6656          -            446    0.0059   14.3   0.1   3   3      0.67   3.4e+02   -1.4   0.1    12    40   561   590   553   612 0.64 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 55094at6656          -            446     0.006   14.3   0.1   1   3   0.00041      0.21    9.2   0.0    11    45    39    73    34   117 0.92 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 55094at6656          -            446     0.006   14.3   0.1   2   3      0.15        78    0.8   0.0    13    46   334   368   323   390 0.68 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 55094at6656          -            446     0.006   14.3   0.1   3   3      0.68   3.5e+02   -1.4   0.1    12    40   567   596   559   618 0.64 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 55094at6656          -            446    0.0074   14.0   0.1   1   3   0.00047      0.24    9.0   0.0    11    45    90   124    85   166 0.91 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 55094at6656          -            446    0.0074   14.0   0.1   2   3      0.17        89    0.6   0.0    13    46   385   419   374   440 0.68 -
13934at6656_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 55094at6656          -            446    0.0074   14.0   0.1   3   3      0.77     4e+02   -1.6   0.1    12    37   618   643   610   668 0.64 -
22468at6656_197043_0:0007b1|TRINITY_DN82556_c9_g1_i23:116-616|+   -            167 55094at6656          -            446     0.011   13.4   0.1   1   1   3.1e-05     0.016   12.9   0.1    16   108    58   152    41   162 0.80 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 55094at6656          -            446     0.011   13.4   0.1   1   3   0.00055      0.28    8.8   0.0    11    45    90   124    85   165 0.91 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 55094at6656          -            446     0.011   13.4   0.1   2   3       0.2     1e+02    0.3   0.0    13    46   385   419   374   440 0.68 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 55094at6656          -            446     0.011   13.4   0.1   3   3       0.9   4.6e+02   -1.8   0.1    12    37   618   643   610   668 0.64 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 55094at6656          -            446     0.011   13.4   0.1   1   3   0.00055      0.28    8.8   0.0    11    45    90   124    85   165 0.91 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 55094at6656          -            446     0.011   13.4   0.1   2   3       0.2     1e+02    0.3   0.0    13    46   385   419   374   440 0.68 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 55094at6656          -            446     0.011   13.4   0.1   3   3       0.9   4.6e+02   -1.8   0.1    12    37   618   643   610   668 0.64 -
58110at6656_123851_0:00295a|TRINITY_DN73327_c12_g1_i1:227-1222|-  -            332 55094at6656          -            446     0.062   11.0   0.2   1   2     0.003       1.5    6.4   0.0   216   309   129   232   104   234 0.60 -
58110at6656_123851_0:00295a|TRINITY_DN73327_c12_g1_i1:227-1222|-  -            332 55094at6656          -            446     0.062   11.0   0.2   2   2     0.017       8.9    3.8   0.0   212   230   212   230   205   256 0.81 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i3:47-1270|+    -            408 55094at6656          -            446       0.2    9.3   0.7   1   2    0.0011      0.57    7.8   0.3   248   313   106   177    62   182 0.70 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i3:47-1270|+    -            408 55094at6656          -            446       0.2    9.3   0.7   2   2      0.48   2.5e+02   -0.9   0.0   272   310   316   356   306   377 0.79 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i5:47-1424|+    -            408 55094at6656          -            446       0.2    9.3   0.7   1   2    0.0011      0.57    7.8   0.3   248   313   106   177    62   182 0.70 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i5:47-1424|+    -            408 55094at6656          -            446       0.2    9.3   0.7   2   2      0.48   2.5e+02   -0.9   0.0   272   310   316   356   306   377 0.79 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i2:47-1535|+    -            409 55094at6656          -            446      0.21    9.2   0.7   1   2    0.0011      0.57    7.8   0.3   248   313   106   177    62   182 0.70 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i2:47-1535|+    -            409 55094at6656          -            446      0.21    9.2   0.7   2   2      0.48   2.5e+02   -0.9   0.0   272   310   316   356   306   377 0.79 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 55094at6656          -            446      0.21    9.2   0.7   1   2    0.0011      0.57    7.8   0.3   248   313   106   177    62   182 0.70 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 55094at6656          -            446      0.21    9.2   0.7   2   2      0.48   2.5e+02   -0.9   0.0   272   310   316   356   306   377 0.79 -
129593at6656_69319_0:001ecf|TRINITY_DN93624_c1_g7_i1:57-602|+     -            182 55094at6656          -            446       1.6    6.3   5.3   1   1     0.004         2    6.0   5.3   399   441    31    74    27    78 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/55094at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/55094at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/55094at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:54 2026
# [ok]
