#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85509at6656_1629725_0:0006ba|TRINITY_DN125161_c0_g1_i1:62-499|+   -            146 85509at6656          -            253   1.8e-77  259.6   0.2   1   1   6.9e-80     2e-77  259.4   0.2     1   131     2   138     2   145 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i4:2444-3493|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i5:1006-2055|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i6:2129-3178|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i8:2628-3677|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i9:1179-2228|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/85509at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/85509at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/85509at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:53 2026
# [ok]
