#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
58027at6656_294128_0:000434|TRINITY_DN77081_c8_g9_i1:614-2290|-   -            559 58027at6656          -            463  2.3e-197  655.9  11.9   1   1  7.8e-199  1.2e-196  653.5  11.9     5   462    20   559    16   559 0.90 -
58027at6656_7165_0:0007dd|TRINITY_DN89162_c9_g1_i2:881-1591|+     -            237 58027at6656          -            463   1.7e-16   59.5   0.0   1   1   1.6e-18   2.5e-16   59.0   0.0    13   163     3   177     1   184 0.82 -
58027at6656_7165_0:0007dd|TRINITY_DN89162_c9_g1_i6:929-1639|+     -            237 58027at6656          -            463   1.7e-16   59.5   0.0   1   1   1.6e-18   2.5e-16   59.0   0.0    13   163     3   177     1   184 0.82 -
58027at6656_7165_0:0007dd|TRINITY_DN89162_c9_g1_i10:929-1648|+    -            240 58027at6656          -            463   4.9e-16   58.0   0.0   1   1   4.6e-18   6.9e-16   57.5   0.0    13   163     3   180     1   187 0.81 -
58027at6656_7165_0:0007dd|TRINITY_DN89162_c9_g1_i7:881-1600|+     -            240 58027at6656          -            463   4.9e-16   58.0   0.0   1   1   4.6e-18   6.9e-16   57.5   0.0    13   163     3   180     1   187 0.81 -
58027at6656_7165_0:0007dd|TRINITY_DN89162_c9_g1_i8:881-1600|+     -            240 58027at6656          -            463   4.9e-16   58.0   0.0   1   1   4.6e-18   6.9e-16   57.5   0.0    13   163     3   180     1   187 0.81 -
58027at6656_6945_0:001d9a|TRINITY_DN91198_c9_g3_i3:339-1049|+     -            237 58027at6656          -            463   9.6e-16   57.1   3.6   1   1   6.8e-17     1e-14   53.7   3.6    10   194     2   225     1   236 0.73 -
58027at6656_30069_0:000742|TRINITY_DN85900_c10_g1_i7:1935-2495|-  -            187 58027at6656          -            463   2.4e-15   55.8   0.2   1   1   1.9e-17   2.9e-15   55.5   0.2     6   164     7   177     3   183 0.76 -
58027at6656_30069_0:000742|TRINITY_DN85900_c10_g1_i4:2105-2683|-  -            193 58027at6656          -            463   2.6e-15   55.7   0.2   1   1     2e-17     3e-15   55.4   0.2     6   164    13   183     8   189 0.76 -
58027at6656_30069_0:000742|TRINITY_DN85900_c10_g1_i6:39-617|-     -            193 58027at6656          -            463   2.6e-15   55.7   0.2   1   1     2e-17     3e-15   55.4   0.2     6   164    13   183     8   189 0.76 -
58027at6656_218467_0:00253e|TRINITY_DN85900_c10_g1_i1:2074-2688|- -            205 58027at6656          -            463     3e-15   55.4   0.6   1   1   2.4e-17   3.7e-15   55.2   0.6     6   164    14   184    10   203 0.77 -
58027at6656_30069_0:000742|TRINITY_DN85900_c10_g1_i8:2532-3161|-  -            210 58027at6656          -            463   3.1e-15   55.4   0.6   1   1   2.4e-17   3.6e-15   55.2   0.6     6   165    13   184     8   203 0.77 -
58027at6656_7237_0:001938|TRINITY_DN90071_c4_g3_i1:1150-1638|+    -            163 58027at6656          -            463   6.1e-15   54.4   3.1   1   1   4.6e-17     7e-15   54.2   3.1    16   154     7   156     1   161 0.81 -
58027at6656_7237_0:001938|TRINITY_DN90071_c4_g3_i2:1248-1736|+    -            163 58027at6656          -            463   6.1e-15   54.4   3.1   1   1   4.6e-17     7e-15   54.2   3.1    16   154     7   156     1   161 0.81 -
58027at6656_6945_0:001d9a|TRINITY_DN91198_c9_g3_i2:339-929|+      -            197 58027at6656          -            463   2.1e-14   52.7   1.4   1   1   1.7e-16   2.6e-14   52.3   1.4    10   165     2   180     1   191 0.72 -
58027at6656_6945_0:001d9a|TRINITY_DN73758_c15_g1_i2:210-887|+     -            226 58027at6656          -            463   2.8e-14   52.3   0.7   1   2   8.7e-16   1.3e-13   50.0   0.3    15   133     6   132     1   178 0.79 -
58027at6656_6945_0:001d9a|TRINITY_DN73758_c15_g1_i2:210-887|+     -            226 58027at6656          -            463   2.8e-14   52.3   0.7   2   2      0.78   1.2e+02    0.8   0.0   165   187   195   217   185   223 0.85 -
58027at6656_37001_0:002c06|TRINITY_DN89162_c9_g1_i3:896-1315|+    -            140 58027at6656          -            463   2.9e-14   52.2   0.0   1   1   2.1e-16   3.2e-14   52.1   0.0    18   123     3   121     1   139 0.81 -
58027at6656_7237_0:002090|TRINITY_DN81620_c12_g1_i2:788-1408|+    -            207 58027at6656          -            463   1.1e-13   50.3   0.3   1   1   8.7e-16   1.3e-13   50.0   0.3    20   166     4   173     1   206 0.77 -
58027at6656_7237_0:002090|TRINITY_DN81620_c12_g1_i4:788-1408|+    -            207 58027at6656          -            463   1.1e-13   50.3   0.3   1   1   8.7e-16   1.3e-13   50.0   0.3    20   166     4   173     1   206 0.77 -
58027at6656_7237_0:002090|TRINITY_DN81620_c12_g1_i5:788-1408|+    -            207 58027at6656          -            463   1.1e-13   50.3   0.3   1   1   8.7e-16   1.3e-13   50.0   0.3    20   166     4   173     1   206 0.77 -
58027at6656_7237_0:002090|TRINITY_DN81620_c12_g1_i6:788-1408|+    -            207 58027at6656          -            463   1.1e-13   50.3   0.3   1   1   8.7e-16   1.3e-13   50.0   0.3    20   166     4   173     1   206 0.77 -
58027at6656_7237_0:002090|TRINITY_DN81620_c12_g1_i7:788-1408|+    -            207 58027at6656          -            463   1.1e-13   50.3   0.3   1   1   8.7e-16   1.3e-13   50.0   0.3    20   166     4   173     1   206 0.77 -
58027at6656_37001_0:002c06|TRINITY_DN89162_c9_g1_i1:896-1324|+    -            143 58027at6656          -            463     2e-13   49.4   0.0   1   1   1.4e-15   2.1e-13   49.3   0.0    19   123     4   124     1   142 0.78 -
58027at6656_7282_0:0008f2|TRINITY_DN84776_c6_g1_i1:1179-1733|-    -            185 58027at6656          -            463   4.1e-13   48.4   0.1   1   1   3.4e-15   5.1e-13   48.1   0.1     6   146    15   172    12   182 0.74 -
58027at6656_7282_0:0008f2|TRINITY_DN84776_c6_g1_i3:1179-1733|-    -            185 58027at6656          -            463   4.1e-13   48.4   0.1   1   1   3.4e-15   5.1e-13   48.1   0.1     6   146    15   172    12   182 0.74 -
58027at6656_7282_0:0008f2|TRINITY_DN84776_c6_g1_i4:1179-1733|-    -            185 58027at6656          -            463   4.1e-13   48.4   0.1   1   1   3.4e-15   5.1e-13   48.1   0.1     6   146    15   172    12   182 0.74 -
58027at6656_123851_0:00374a|TRINITY_DN82850_c20_g2_i1:97-609|-    -            171 58027at6656          -            463     1e-12   47.1   0.4   1   1   8.3e-15   1.3e-12   46.8   0.4    13   121    30   149    18   169 0.73 -
58027at6656_199890_0:001813|TRINITY_DN71507_c12_g2_i1:350-976|+   -            209 58027at6656          -            463   1.8e-12   46.3   1.0   1   1   1.6e-14   2.4e-12   45.9   1.0     7   133     2   139     1   181 0.81 -
58027at6656_38123_0:000d46|TRINITY_DN82850_c20_g2_i2:103-513|-    -            137 58027at6656          -            463   2.3e-12   45.9   0.1   1   1   1.6e-14   2.5e-12   45.8   0.1    18   122     3   118     1   137 0.74 -
58027at6656_168631_0:0021e2|TRINITY_DN72080_c14_g1_i2:704-925|-   -             74 58027at6656          -            463   3.1e-12   45.5   0.0   1   1   2.2e-14   3.3e-12   45.4   0.0    10    76     3    73     1    74 0.87 -
58027at6656_168631_0:0021e2|TRINITY_DN72080_c14_g1_i3:427-648|-   -             74 58027at6656          -            463   3.1e-12   45.5   0.0   1   1   2.2e-14   3.3e-12   45.4   0.0    10    76     3    73     1    74 0.87 -
58027at6656_30069_0:000742|TRINITY_DN84723_c5_g2_i1:1052-1552|+   -            167 58027at6656          -            463   6.9e-12   44.4   0.0   1   2   9.7e-14   1.5e-11   43.3   0.0     7   108     2   114     1   120 0.82 -
58027at6656_30069_0:000742|TRINITY_DN84723_c5_g2_i1:1052-1552|+   -            167 58027at6656          -            463   6.9e-12   44.4   0.0   2   2       5.8   8.8e+02   -2.1   0.0    79    97   127   145   125   156 0.81 -
58027at6656_30069_0:000742|TRINITY_DN84723_c5_g2_i5:1052-1552|+   -            167 58027at6656          -            463   6.9e-12   44.4   0.0   1   2   9.7e-14   1.5e-11   43.3   0.0     7   108     2   114     1   120 0.82 -
58027at6656_30069_0:000742|TRINITY_DN84723_c5_g2_i5:1052-1552|+   -            167 58027at6656          -            463   6.9e-12   44.4   0.0   2   2       5.8   8.8e+02   -2.1   0.0    79    97   127   145   125   156 0.81 -
58027at6656_168631_0:0021e2|TRINITY_DN93325_c12_g2_i2:243-431|+   -             63 58027at6656          -            463   8.6e-12   44.0   0.0   1   1   5.9e-14     9e-12   44.0   0.0    19    75     1    61     1    63 0.87 -
58027at6656_168631_0:0021e2|TRINITY_DN93325_c12_g2_i3:243-431|+   -             63 58027at6656          -            463   8.6e-12   44.0   0.0   1   1   5.9e-14     9e-12   44.0   0.0    19    75     1    61     1    63 0.87 -
58027at6656_7282_0:00277b|TRINITY_DN73907_c9_g1_i1:366-830|+      -            155 58027at6656          -            463   1.1e-11   43.7   0.0   1   1   8.1e-14   1.2e-11   43.6   0.0    13   126     2   131     1   154 0.79 -
58027at6656_7282_0:00277b|TRINITY_DN73907_c9_g1_i5:1013-1477|+    -            155 58027at6656          -            463   1.1e-11   43.7   0.0   1   1   8.1e-14   1.2e-11   43.6   0.0    13   126     2   131     1   154 0.79 -
58027at6656_168631_0:0021e2|TRINITY_DN72080_c14_g1_i1:704-901|-   -             66 58027at6656          -            463   2.7e-11   42.4   0.0   1   1   1.9e-13   2.9e-11   42.3   0.0    17    76     2    65     1    66 0.87 -
58027at6656_37001_0:002c06|TRINITY_DN72080_c14_g1_i1:2-409|-      -            136 58027at6656          -            463   4.7e-11   41.6   0.1   1   1   3.7e-13   5.6e-11   41.4   0.1    18   129     1   135     1   136 0.75 -
58027at6656_37001_0:002c06|TRINITY_DN72080_c14_g1_i2:2-409|-      -            136 58027at6656          -            463   4.7e-11   41.6   0.1   1   1   3.7e-13   5.6e-11   41.4   0.1    18   129     1   135     1   136 0.75 -
58027at6656_7237_0:00183b|TRINITY_DN87279_c11_g1_i2:83-742|+      -            220 58027at6656          -            463   1.1e-07   30.5   0.6   1   1   9.5e-10   1.4e-07   30.1   0.6    29   167    38   204    18   218 0.73 -
58027at6656_7237_0:00183b|TRINITY_DN87279_c11_g1_i4:83-742|+      -            220 58027at6656          -            463   1.1e-07   30.5   0.6   1   1   9.5e-10   1.4e-07   30.1   0.6    29   167    38   204    18   218 0.73 -
58027at6656_218467_0:00253e|TRINITY_DN84776_c6_g1_i4:1752-2354|-  -            201 58027at6656          -            463   5.2e-07   28.3   7.9   1   2   1.9e-07   2.8e-05   22.6   0.0     6    54     2    52     1    67 0.85 -
58027at6656_218467_0:00253e|TRINITY_DN84776_c6_g1_i4:1752-2354|-  -            201 58027at6656          -            463   5.2e-07   28.3   7.9   2   2     0.028       4.2    5.5   5.2    80   148   117   190    76   196 0.73 -
58027at6656_168631_0:0021e2|TRINITY_DN91187_c10_g1_i4:113-304|-   -             64 58027at6656          -            463     7e-07   27.9   0.0   1   1   4.9e-09   7.4e-07   27.8   0.0    20    75     1    63     1    64 0.82 -
58027at6656_168631_0:0021e2|TRINITY_DN91187_c10_g1_i5:340-528|-   -             63 58027at6656          -            463   1.3e-06   27.0   0.0   1   1     9e-09   1.4e-06   26.9   0.0    20    75     1    63     1    63 0.82 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i1:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i2:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i4:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i5:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i6:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i7:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_168631_0:0021e2|TRINITY_DN90062_c8_g2_i8:70-339|+     -             90 58027at6656          -            463     3e-06   25.8   0.0   1   1     2e-08     3e-06   25.8   0.0    13    52    23    62    13    90 0.72 -
58027at6656_38123_0:000d46|TRINITY_DN83039_c12_g1_i2:1458-1925|-  -            156 58027at6656          -            463   6.4e-05   21.4   0.0   1   1   6.6e-07    0.0001   20.8   0.0    21    95     4    94     1   148 0.65 -
58027at6656_38123_0:000d46|TRINITY_DN83039_c12_g1_i3:1691-2158|-  -            156 58027at6656          -            463   6.4e-05   21.4   0.0   1   1   6.6e-07    0.0001   20.8   0.0    21    95     4    94     1   148 0.65 -
58027at6656_38123_0:000d46|TRINITY_DN83039_c12_g1_i5:1793-2260|-  -            156 58027at6656          -            463   6.4e-05   21.4   0.0   1   1   6.6e-07    0.0001   20.8   0.0    21    95     4    94     1   148 0.65 -
58027at6656_7237_0:002090|TRINITY_DN93057_c7_g1_i10:18-596|+      -            193 58027at6656          -            463     0.002   16.5   0.0   1   1   1.3e-05     0.002   16.5   0.0    10    44     3    37     1   130 0.92 -
58027at6656_7237_0:002090|TRINITY_DN93057_c7_g1_i11:18-596|+      -            193 58027at6656          -            463     0.002   16.5   0.0   1   1   1.3e-05     0.002   16.5   0.0    10    44     3    37     1   130 0.92 -
58027at6656_7237_0:002090|TRINITY_DN93057_c7_g1_i19:18-596|+      -            193 58027at6656          -            463     0.002   16.5   0.0   1   1   1.3e-05     0.002   16.5   0.0    10    44     3    37     1   130 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/58027at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/58027at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/58027at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:51 2026
# [ok]
