#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107453at6656_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+    -            281 107453at6656         -            215  1.3e-100  334.8   0.9   1   1  5.1e-103  1.8e-100  334.3   0.9     1   212     8   232     8   235 0.94 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 107453at6656         -            215   0.00015   20.7   0.1   2   2   0.00021     0.076   11.9   0.0    57   117   172   233   158   244 0.83 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 107453at6656         -            215   0.00015   20.7   0.1   1   2     0.014         5    6.0   0.0   175   208   118   151    74   161 0.87 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 107453at6656         -            215   0.00015   20.7   0.1   2   2   0.00021     0.076   11.9   0.0    57   117   172   233   158   244 0.83 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 107453at6656         -            215   0.00021   20.3   0.1   1   3         5   1.8e+03   -2.4   0.0   178   196    61    79    49    88 0.77 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 107453at6656         -            215   0.00021   20.3   0.1   2   3     0.019       6.6    5.6   0.0   175   208    92   125    81   135 0.84 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 107453at6656         -            215   0.00021   20.3   0.1   3   3   0.00022     0.078   11.9   0.0    57   117   146   207   132   219 0.83 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   1   3    0.0045       1.6    7.6   0.1   101   199    21   116    12   126 0.86 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   2   3   0.00019     0.067   12.1   1.0    68   195   124   248   118   258 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   3   3     0.036        13    4.7   0.0    68   113   226   271   220   273 0.90 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   1   3    0.0045       1.6    7.6   0.1   101   199    21   116    12   126 0.86 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   2   3   0.00019     0.067   12.1   1.0    68   195   124   248   118   258 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   3   3     0.036        13    4.7   0.0    68   113   226   271   220   273 0.90 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 107453at6656         -            215   0.00047   19.1   4.2   1   3    0.0045       1.6    7.6   0.1   101   199    21   116    12   126 0.86 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 107453at6656         -            215   0.00047   19.1   4.2   2   3   0.00019     0.067   12.1   1.0    68   195   124   248   118   258 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 107453at6656         -            215   0.00047   19.1   4.2   3   3     0.036        13    4.7   0.0    68   113   226   271   220   273 0.90 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   1   3    0.0045       1.6    7.6   0.1   101   199    21   116    12   126 0.86 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   2   3   0.00019     0.067   12.1   1.0    68   195   124   248   118   258 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 107453at6656         -            215   0.00047   19.1   4.2   3   3     0.036        13    4.7   0.0    68   113   226   271   220   273 0.90 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   1   3      0.85     3e+02    0.2   0.0    75   111    22    58     3   115 0.62 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   2   3      0.02         7    5.5   1.6    71   115   248   292   223   342 0.67 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   3   3   1.7e-05     0.006   15.5   0.2    56   203   334   478   322   487 0.90 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   1   3      0.85     3e+02    0.2   0.0    75   111    22    58     3   115 0.62 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   2   3      0.02         7    5.5   1.6    71   115   248   292   223   342 0.67 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 107453at6656         -            215   0.00065   18.7   8.3   3   3   1.7e-05     0.006   15.5   0.2    56   203   334   478   322   487 0.90 -
66597at6656_438503_0:001b3b|TRINITY_DN90105_c5_g2_i3:78-587|+      -            170 107453at6656         -            215   0.00075   18.5   0.0   1   2   0.00023      0.08   11.9   0.0    60   120    29    89     6    98 0.82 -
66597at6656_438503_0:001b3b|TRINITY_DN90105_c5_g2_i3:78-587|+      -            170 107453at6656         -            215   0.00075   18.5   0.0   2   2     0.034        12    4.7   0.1    71   112   108   149    93   154 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+    -            135 107453at6656         -            215    0.0029   16.5   0.2   1   1     1e-05    0.0035   16.3   0.2    92   196    20   121     2   133 0.86 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+    -            135 107453at6656         -            215    0.0029   16.5   0.2   1   1     1e-05    0.0035   16.3   0.2    92   196    20   121     2   133 0.86 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+    -            135 107453at6656         -            215    0.0029   16.5   0.2   1   1     1e-05    0.0035   16.3   0.2    92   196    20   121     2   133 0.86 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+    -            135 107453at6656         -            215    0.0029   16.5   0.2   1   1     1e-05    0.0035   16.3   0.2    92   196    20   121     2   133 0.86 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i2:312-995|-    -            228 107453at6656         -            215    0.0053   15.7   1.3   1   1   2.8e-05    0.0098   14.8   1.3    57   160    97   200    83   208 0.89 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i5:1584-2648|-  -            355 107453at6656         -            215     0.015   14.2   1.3   1   1   7.3e-05     0.026   13.5   1.3    57   159    97   199    83   207 0.89 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 107453at6656         -            215      0.32    9.9   2.9   1   2      0.92   3.3e+02    0.1   0.1   135   150     4    19     1    62 0.55 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 107453at6656         -            215      0.32    9.9   2.9   2   2    0.0019      0.66    8.9   1.0   127   203   100   173    38   184 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107453at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/107453at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107453at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
