#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116117at6656_294128_0:001c3f|TRINITY_DN73748_c12_g1_i2:89-637|+    -            183 116117at6656         -            167   2.5e-95  316.1   0.3   1   1   1.4e-97   2.8e-95  316.0   0.3     1   167     4   182     4   182 0.96 -
132760at6656_7004_0:000112|TRINITY_DN89167_c5_g1_i2:391-738|+      -            116 116117at6656         -            167     1e-21   76.7   0.0   1   1     6e-24   1.2e-21   76.5   0.0    64   158     2    99     1   107 0.89 -
116117at6656_104452_0:00158e|TRINITY_DN90692_c1_g3_i1:1-189|+      -             63 116117at6656         -            167   8.8e-21   73.6   0.0   1   1   4.8e-23   9.5e-21   73.5   0.0    89   151     1    63     1    63 0.98 -
43540at6656_197043_0:007f2e|TRINITY_DN6800_c0_g1_i1:0-167|+        -             56 116117at6656         -            167   4.5e-20   71.3   0.6   1   1   2.4e-22   4.7e-20   71.3   0.6    34    89     1    54     1    56 0.94 -
43540at6656_197043_0:007f2e|TRINITY_DN76215_c2_g1_i7:19-183|+      -             55 116117at6656         -            167   3.8e-18   65.1   0.1   1   1   2.1e-20   4.1e-18   65.0   0.1    59   111     1    55     1    55 0.97 -
43540at6656_197043_0:007f2e|TRINITY_DN76215_c2_g1_i8:19-183|+      -             55 116117at6656         -            167   1.1e-17   63.6   0.0   1   1   5.7e-20   1.1e-17   63.5   0.0    59   111     1    55     1    55 0.97 -
116117at6656_104452_0:00158e|TRINITY_DN76215_c2_g1_i9:1-228|+      -             76 116117at6656         -            167   4.7e-17   61.5   0.0   1   1   2.5e-19   4.9e-17   61.5   0.0    87   152     1    66     1    76 0.89 -
116117at6656_112268_0:001411|TRINITY_DN91970_c11_g1_i1:1028-1507|- -            160 116117at6656         -            167   6.5e-17   61.0   0.8   1   1   4.4e-19   8.7e-17   60.6   0.8    20   150    12   148     2   156 0.79 -
116117at6656_112268_0:001411|TRINITY_DN91970_c11_g1_i3:1028-1507|- -            160 116117at6656         -            167   6.5e-17   61.0   0.8   1   1   4.4e-19   8.7e-17   60.6   0.8    20   150    12   148     2   156 0.79 -
116117at6656_104452_0:00158e|TRINITY_DN76215_c2_g1_i10:1-201|+     -             67 116117at6656         -            167     1e-16   60.4   0.0   1   1   5.1e-19     1e-16   60.4   0.0    87   147     1    61     1    67 0.95 -
116117at6656_1218281_0:002ada|TRINITY_DN86129_c5_g2_i1:20-205|+    -             62 116117at6656         -            167   6.2e-15   54.6   0.0   1   1   3.6e-17   7.2e-15   54.4   0.0     7    60     8    62     4    62 0.88 -
132760at6656_126957_0:001c24|TRINITY_DN90135_c10_g1_i1:1684-2178|- -            165 116117at6656         -            167   1.2e-14   53.7   0.1   1   1   8.7e-17   1.7e-14   53.2   0.1    21   160     8   153     1   159 0.78 -
132760at6656_126957_0:001c24|TRINITY_DN90135_c10_g1_i3:1224-1718|- -            165 116117at6656         -            167   1.2e-14   53.7   0.1   1   1   8.7e-17   1.7e-14   53.2   0.1    21   160     8   153     1   159 0.78 -
116117at6656_1218281_0:002ada|TRINITY_DN90692_c1_g1_i4:59-244|+    -             62 116117at6656         -            167   5.6e-14   51.5   0.1   1   1   3.1e-16   6.1e-14   51.4   0.1    13    73     1    62     1    62 0.91 -
116117at6656_104452_0:00158e|TRINITY_DN86129_c7_g1_i1:33-209|-     -             59 116117at6656         -            167   4.1e-13   48.7   0.0   1   1   2.1e-15   4.2e-13   48.6   0.0    95   149     1    55     1    59 0.95 -
132760at6656_7130_0:000f08|TRINITY_DN92728_c7_g1_i1:42-272|-       -             77 116117at6656         -            167   4.6e-09   35.5   0.0   1   1   2.7e-11   5.3e-09   35.3   0.0    18    86     3    66     1    72 0.87 -
116117at6656_34638_0:00157e|TRINITY_DN81676_c6_g2_i1:272-709|+     -            146 116117at6656         -            167   5.5e-09   35.3   0.0   1   1   3.3e-11   6.6e-09   35.0   0.0    12   148     6   144     3   146 0.78 -
116117at6656_1218281_0:002ada|TRINITY_DN86129_c5_g2_i2:463-606|+   -             48 116117at6656         -            167   9.2e-07   28.0   0.0   1   1   4.8e-09   9.4e-07   28.0   0.0    25    59    15    48     6    48 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/116117at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/116117at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/116117at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
