#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69403at6656_294128_0:002eec|TRINITY_DN76693_c10_g2_i5:360-1037|- -            226 69403at6656          -            315   1.2e-84  283.2   0.4   1   1   5.6e-87   2.4e-84  282.2   0.4   120   314     1   222     1   223 0.89 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i7:96-413|-   -            106 69403at6656          -            315     0.026   12.8   0.3   1   1     7e-05      0.03   12.5   0.3    65   102    49    86    30    93 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i9:30-296|-   -             89 69403at6656          -            315     0.026   12.8   0.2   1   1   7.4e-05     0.032   12.5   0.2    65   102    10    47     4    55 0.86 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i8:83-370|-   -             96 69403at6656          -            315     0.034   12.3   0.2   1   1   8.9e-05     0.038   12.2   0.2    59   100    33    74    21    84 0.84 -
153534at6656_6850_0:0041da|TRINITY_DN92093_c0_g1_i1:2-250|-      -             83 69403at6656          -            315     0.042   12.0   0.1   1   1   0.00011     0.048   11.9   0.1    64    97    46    79    26    82 0.83 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i6:90-407|-   -            106 69403at6656          -            315     0.043   12.0   0.2   1   1   0.00011     0.049   11.8   0.2    59   100    43    84    31    94 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i5:13-345|-   -            111 69403at6656          -            315     0.062   11.5   0.2   1   1   0.00017     0.073   11.3   0.2    59   101    48    90    36    99 0.83 -
153534at6656_6973_0:003c95|TRINITY_DN92093_c0_g1_i11:2-226|-     -             75 69403at6656          -            315     0.079   11.2   0.0   1   1   0.00019     0.081   11.1   0.0    64    92    46    74    26    75 0.82 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i11:83-400|-  -            106 69403at6656          -            315      0.09   11.0   0.2   1   1   0.00024       0.1   10.8   0.2    65   100    49    84    30    94 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/69403at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:51 2026
# [ok]
