#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 71018at6656          -            402  4.3e-118  393.8   1.7   1   1  1.8e-118    3e-117  391.0   1.7    98   402     1   359     1   359 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 71018at6656          -            402   2.4e-51  174.0   1.6   1   4   1.5e-15   2.5e-14   52.1   0.1   292   367    14    89    11    95 0.96 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 71018at6656          -            402   2.4e-51  174.0   1.6   2   4   1.3e-18   2.2e-17   62.1   0.1   293   375    99   181    95   189 0.94 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 71018at6656          -            402   2.4e-51  174.0   1.6   3   4   2.8e-16   4.7e-15   54.5   0.0   298   388   188   278   182   280 0.95 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 71018at6656          -            402   2.4e-51  174.0   1.6   4   4   8.1e-05    0.0014   16.7   0.0   280   323   254   297   252   298 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 71018at6656          -            402   3.3e-47  160.4   3.9   1   4   3.8e-14   6.3e-13   47.4   0.1   285   384    92   192    83   196 0.92 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 71018at6656          -            402   3.3e-47  160.4   3.9   2   4   6.4e-11   1.1e-09   36.8   0.2   308   389   207   287   196   294 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 71018at6656          -            402   3.3e-47  160.4   3.9   3   4   1.2e-09     2e-08   32.6   0.0   309   378   333   403   324   403 0.94 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 71018at6656          -            402   3.3e-47  160.4   3.9   4   4   7.9e-16   1.3e-14   53.0   0.1   278   365   387   474   386   475 0.98 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 71018at6656          -            402   3.4e-47  160.3   4.0   1   4   3.8e-14   6.4e-13   47.4   0.1   285   384    92   192    83   196 0.92 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 71018at6656          -            402   3.4e-47  160.3   4.0   2   4   6.4e-11   1.1e-09   36.8   0.2   308   389   207   287   197   295 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 71018at6656          -            402   3.4e-47  160.3   4.0   3   4   1.2e-09     2e-08   32.6   0.0   309   378   334   404   325   404 0.94 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 71018at6656          -            402   3.4e-47  160.3   4.0   4   4     8e-16   1.3e-14   53.0   0.1   278   365   388   475   387   476 0.98 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   5.9e-46  156.2   1.1   1   3   3.2e-15   5.3e-14   51.0   0.1   293   366     1    74     1    79 0.97 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   5.9e-46  156.2   1.1   2   3   5.2e-19   8.7e-18   63.5   0.1   293   376    85   168    81   178 0.90 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 71018at6656          -            402   5.9e-46  156.2   1.1   3   3   5.6e-12   9.4e-11   40.3   0.0   298   363   174   239   169   242 0.95 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+      -            289 71018at6656          -            402   6.7e-46  156.0   1.5   1   3   1.7e-14   2.8e-13   48.6   0.1   264   360    17   115    11   119 0.94 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+      -            289 71018at6656          -            402   6.7e-46  156.0   1.5   2   3   2.4e-19     4e-18   64.6   0.0   281   376   120   217   116   221 0.91 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+      -            289 71018at6656          -            402   6.7e-46  156.0   1.5   3   3   2.3e-16   3.8e-15   54.8   0.1   293   399   176   288   174   289 0.86 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   1   3   4.8e-14   8.1e-13   47.1   0.1   264   360   232   330   226   333 0.94 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   2   3   5.7e-19   9.5e-18   63.3   0.0   281   376   335   432   330   437 0.90 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   3   3     6e-16     1e-14   53.4   0.1   293   399   391   503   388   504 0.86 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i9:132-1643|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   1   3   4.8e-14   8.1e-13   47.1   0.1   264   360   232   330   226   333 0.94 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i9:132-1643|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   2   3   5.7e-19   9.5e-18   63.3   0.0   281   376   335   432   330   437 0.90 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i9:132-1643|+    -            504 71018at6656          -            402   4.1e-44  150.2   1.6   3   3     6e-16     1e-14   53.4   0.1   293   399   391   503   388   504 0.86 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   2.8e-43  147.4   1.8   1   3     4e-15   6.8e-14   50.6   0.1   288   387    48   148    44   152 0.93 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   2.8e-43  147.4   1.8   2   3     9e-17   1.5e-15   56.1   0.1   269   371   157   258   154   260 0.95 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   2.8e-43  147.4   1.8   3   3   2.8e-13   4.8e-12   44.6   0.0   278   361   249   340   249   344 0.89 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 71018at6656          -            402   3.4e-43  147.1   8.3   1   3     4e-19   6.7e-18   63.8   0.7   300   385     4    89     1    90 0.94 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 71018at6656          -            402   3.4e-43  147.1   8.3   2   3   3.9e-19   6.6e-18   63.9   1.3   279   387    67   175    67   186 0.96 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-    -            260 71018at6656          -            402   3.4e-43  147.1   8.3   3   3   1.1e-10   1.8e-09   36.1   0.0   307   366   199   258   185   260 0.90 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   1   4    0.0011     0.018   13.0   0.0   290   327     7    44     5    50 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   2   4     2e-09   3.4e-08   31.9   0.0   296   365    68   136    65   138 0.89 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   3   4   7.3e-17   1.2e-15   56.4   0.8   271   384   126   238   125   240 0.96 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   4   4   9.8e-20   1.6e-18   65.8   0.3   280   379   218   326   218   333 0.90 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   1   4    0.0011     0.018   13.0   0.0   290   327     7    44     5    50 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   2   4     2e-09   3.4e-08   31.9   0.0   296   365    68   136    65   138 0.89 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   3   4   7.3e-17   1.2e-15   56.4   0.8   271   384   126   238   125   240 0.96 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 71018at6656          -            402   7.2e-43  146.1   5.1   4   4   9.8e-20   1.6e-18   65.8   0.3   280   379   218   326   218   333 0.90 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   1   3   1.1e-06   1.8e-05   22.9   0.0   291   364    37   110    34   114 0.95 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   2   3   2.3e-09   3.9e-08   31.7   0.0   298   396    86   188    84   189 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   3   3   1.3e-27   2.1e-26   91.8   0.4   269   400   189   329   184   329 0.90 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i5:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   1   3   1.1e-06   1.8e-05   22.9   0.0   291   364    37   110    34   114 0.95 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i5:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   2   3   2.3e-09   3.9e-08   31.7   0.0   298   396    86   188    84   189 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i5:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   3   3   1.3e-27   2.1e-26   91.8   0.4   269   400   189   329   184   329 0.90 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i8:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   1   3   1.1e-06   1.8e-05   22.9   0.0   291   364    37   110    34   114 0.95 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i8:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   2   3   2.3e-09   3.9e-08   31.7   0.0   298   396    86   188    84   189 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i8:917-1903|-   -            329 71018at6656          -            402   5.8e-41  139.8   2.4   3   3   1.3e-27   2.1e-26   91.8   0.4   269   400   189   329   184   329 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 71018at6656          -            402   5.4e-39  133.3   0.0   1   3   3.8e-11   6.4e-10   37.6   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 71018at6656          -            402   5.4e-39  133.3   0.0   2   3   4.1e-19   6.8e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i8:1059-4009|-   -            802 71018at6656          -            402   5.4e-39  133.3   0.0   3   3   1.5e-13   2.6e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 71018at6656          -            402   5.4e-39  133.3   0.0   1   3   3.8e-11   6.4e-10   37.6   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 71018at6656          -            402   5.4e-39  133.3   0.0   2   3   4.1e-19   6.8e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|-  -            803 71018at6656          -            402   5.4e-39  133.3   0.0   3   3   1.5e-13   2.6e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 71018at6656          -            402   5.4e-39  133.3   0.0   1   3   3.8e-11   6.4e-10   37.6   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 71018at6656          -            402   5.4e-39  133.3   0.0   2   3   4.1e-19   6.8e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-   -            803 71018at6656          -            402   5.4e-39  133.3   0.0   3   3   1.5e-13   2.6e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|-  -            805 71018at6656          -            402   5.5e-39  133.3   0.0   1   3   3.8e-11   6.4e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|-  -            805 71018at6656          -            402   5.5e-39  133.3   0.0   2   3   4.1e-19   6.9e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|-  -            805 71018at6656          -            402   5.5e-39  133.3   0.0   3   3   1.5e-13   2.6e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-   -            806 71018at6656          -            402   5.6e-39  133.3   0.0   1   3   3.8e-11   6.4e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-   -            806 71018at6656          -            402   5.6e-39  133.3   0.0   2   3   4.1e-19   6.9e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-   -            806 71018at6656          -            402   5.6e-39  133.3   0.0   3   3   1.5e-13   2.6e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   1   3   3.9e-11   6.6e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   2   3   4.2e-19     7e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   1   3   3.9e-11   6.6e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   2   3   4.2e-19     7e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   6.2e-39  133.1   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   1   3   3.9e-11   6.6e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   2   3   4.2e-19   7.1e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   1   3   3.9e-11   6.6e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   2   3   4.2e-19   7.1e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|-  -            821 71018at6656          -            402   6.2e-39  133.1   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-   -            821 71018at6656          -            402   6.2e-39  133.1   0.0   1   3   3.9e-11   6.6e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-   -            821 71018at6656          -            402   6.2e-39  133.1   0.0   2   3   4.2e-19   7.1e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-   -            821 71018at6656          -            402   6.2e-39  133.1   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   151   267   150   272 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   1   3   4.2e-11     7e-10   37.4   0.0   306   386    32   112    17   114 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   2   3   4.2e-19     7e-18   63.8   0.1   271   364    81   174    77   174 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   3   3   1.6e-13   2.6e-12   45.4   0.0   270   387   164   280   163   285 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   1   3   4.2e-11     7e-10   37.4   0.0   306   386    32   112    17   114 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   2   3   4.2e-19     7e-18   63.8   0.1   271   364    81   174    77   174 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|-  -            816 71018at6656          -            402   6.5e-39  133.0   0.0   3   3   1.6e-13   2.6e-12   45.4   0.0   270   387   164   280   163   285 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 71018at6656          -            402   6.7e-39  133.0   0.0   1   3   4.2e-11   7.1e-10   37.4   0.0   306   386    32   112    17   114 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 71018at6656          -            402   6.7e-39  133.0   0.0   2   3   4.2e-19   7.1e-18   63.8   0.1   271   364    81   174    77   174 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|-  -            819 71018at6656          -            402   6.7e-39  133.0   0.0   3   3   1.6e-13   2.7e-12   45.4   0.0   270   387   164   280   163   285 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-   -            833 71018at6656          -            402   7.6e-39  132.8   0.0   1   3   4.4e-11   7.4e-10   37.3   0.0   306   386    32   112    18   114 0.94 -
