#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109174at6656_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-   -            316 109174at6656         -            256   1.6e-67  226.8   2.1   1   1     2e-67   1.4e-65  220.4   2.1     1   248     2   315     2   316 0.82 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|- -            805 109174at6656         -            256   5.8e-06   25.0   0.1   4   5     0.098       7.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i12:1060-4019|- -            805 109174at6656         -            256   5.8e-06   25.0   0.1   5   5       4.2     3e+02   -0.3   0.0    69   116   311   363   308   367 0.79 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   1   5       3.5   2.6e+02   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   2   5      0.81        58    2.1   0.0    90   113    62    85    52    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   3   5    0.0041       0.3    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   4   5       0.1       7.2    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i10:1060-4064|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   5   5       4.1     3e+02   -0.2   0.0    69   116   311   363   308   368 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   1   5       3.5   2.6e+02   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   2   5      0.81        58    2.1   0.0    90   113    62    85    52    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   3   5    0.0041       0.3    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   4   5       0.1       7.2    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 109174at6656         -            256   6.5e-06   24.9   0.2   5   5       4.1     3e+02   -0.2   0.0    69   116   311   363   308   368 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 109174at6656         -            256     7e-06   24.8   0.2   1   5       3.5   2.6e+02   -0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 109174at6656         -            256     7e-06   24.8   0.2   2   5       0.8        58    2.1   0.0    90   113    75    98    66   106 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 109174at6656         -            256     7e-06   24.8   0.2   3   5    0.0043      0.31    9.5   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 109174at6656         -            256     7e-06   24.8   0.2   4   5      0.12       8.4    4.8   0.0    89   112   158   181   149   217 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i9:1060-4103|-  -            833 109174at6656         -            256     7e-06   24.8   0.2   5   5       4.2     3e+02   -0.3   0.0    69   116   324   376   321   381 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|- -            803 109174at6656         -            256   1.5e-05   23.7   0.3   1   4       3.4   2.5e+02    0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|- -            803 109174at6656         -            256   1.5e-05   23.7   0.3   2   4      0.81        59    2.1   0.0    90   113    62    85    54    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|- -            803 109174at6656         -            256   1.5e-05   23.7   0.3   3   4     0.004      0.29    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i13:1059-3467|- -            803 109174at6656         -            256   1.5e-05   23.7   0.3   4   4     0.098       7.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-  -            803 109174at6656         -            256   1.5e-05   23.7   0.3   1   4       3.4   2.5e+02    0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-  -            803 109174at6656         -            256   1.5e-05   23.7   0.3   2   4      0.81        59    2.1   0.0    90   113    62    85    54    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-  -            803 109174at6656         -            256   1.5e-05   23.7   0.3   3   4     0.004      0.29    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i2:1072-3480|-  -            803 109174at6656         -            256   1.5e-05   23.7   0.3   4   4     0.098       7.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-  -            806 109174at6656         -            256   1.5e-05   23.7   0.3   1   4       3.5   2.5e+02    0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-  -            806 109174at6656         -            256   1.5e-05   23.7   0.3   2   4      0.82        59    2.1   0.0    90   113    62    85    54    90 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-  -            806 109174at6656         -            256   1.5e-05   23.7   0.3   3   4     0.004      0.29    9.6   0.0    91   118   105   132    88   144 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i7:1060-3477|-  -            806 109174at6656         -            256   1.5e-05   23.7   0.3   4   4     0.098       7.1    5.1   0.0    90   112   146   168   136   209 0.80 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   1   4       3.5   2.5e+02    0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   2   4      0.84        61    2.0   0.0    90   112    75    97    66   101 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   3   4    0.0042      0.31    9.6   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i14:1072-3519|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   4   4       0.1       7.4    5.0   0.0    90   112   159   181   149   220 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   1   4       3.5   2.5e+02    0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   2   4      0.84        61    2.0   0.0    90   112    75    97    66   101 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   3   4    0.0042      0.31    9.6   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i21:1059-3506|- -            816 109174at6656         -            256   1.5e-05   23.6   0.3   4   4       0.1       7.4    5.0   0.0    90   112   159   181   149   220 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 109174at6656         -            256   1.5e-05   23.6   0.3   1   4       3.5   2.5e+02   -0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 109174at6656         -            256   1.5e-05   23.6   0.3   2   4      0.84        61    2.0   0.0    90   112    75    97    66   101 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 109174at6656         -            256   1.5e-05   23.6   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i11:1060-3516|- -            819 109174at6656         -            256   1.5e-05   23.6   0.3   4   4       0.1       7.5    5.0   0.0    90   112   159   181   149   220 0.81 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   1   4       3.5   2.6e+02   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   2   4      0.79        57    2.1   0.0    90   113    62    85    53    93 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   105   132    88   143 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i16:1060-3522|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   4   4      0.11       8.2    4.9   0.0    89   112   145   168   136   204 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   1   4       3.5   2.6e+02   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   2   4      0.79        57    2.1   0.0    90   113    62    85    53    93 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   105   132    88   143 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i20:1073-3535|- -            821 109174at6656         -            256   1.6e-05   23.6   0.3   4   4      0.11       8.2    4.9   0.0    89   112   145   168   136   204 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-  -            821 109174at6656         -            256   1.6e-05   23.6   0.3   1   4       3.5   2.6e+02   -0.0   0.0    90   113    20    43    14    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-  -            821 109174at6656         -            256   1.6e-05   23.6   0.3   2   4      0.79        57    2.1   0.0    90   113    62    85    53    93 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-  -            821 109174at6656         -            256   1.6e-05   23.6   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   105   132    88   143 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i3:1060-3522|-  -            821 109174at6656         -            256   1.6e-05   23.6   0.3   4   4      0.11       8.2    4.9   0.0    89   112   145   168   136   204 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   1   4       3.6   2.6e+02   -0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   2   4      0.81        58    2.1   0.0    90   113    75    98    66   106 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i1:1060-3561|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   4   4      0.12       8.4    4.8   0.0    89   112   158   181   149   217 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   1   4       3.6   2.6e+02   -0.0   0.0    90   113    33    56    26    60 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   2   4      0.81        58    2.1   0.0    90   113    75    98    66   106 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   3   4    0.0043      0.31    9.5   0.0    91   118   118   145   101   156 0.85 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i5:1073-3574|-  -            834 109174at6656         -            256   1.7e-05   23.5   0.3   4   4      0.12       8.4    4.8   0.0    89   112   158   181   149   217 0.86 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 109174at6656         -            256     2e-05   23.2   0.9   1   5       2.3   1.7e+02    0.6   0.0    88   113    18    43    15    54 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 109174at6656         -            256     2e-05   23.2   0.9   2   5       2.8     2e+02    0.3   0.0    62    81    61    80    51    98 0.75 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 109174at6656         -            256     2e-05   23.2   0.9   3   5     0.031       2.2    6.7   0.0    94   208   152   185    61   206 0.68 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 109174at6656         -            256     2e-05   23.2   0.9   4   5      0.02       1.5    7.3   0.0    13    69   208   264   199   271 0.84 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 109174at6656         -            256     2e-05   23.2   0.9   5   5      0.92        66    1.9   0.0   208   223   273   288   266   289 0.91 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   5.5e-05   21.8   0.0   1   3     0.013      0.93    8.0   0.0   125   166    11    52     5    65 0.87 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   5.5e-05   21.8   0.0   2   3      0.22        16    3.9   0.0   170   193   114   137    61   140 0.62 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 109174at6656         -            256   5.5e-05   21.8   0.0   3   3     0.083         6    5.3   0.0    89   113   161   186   147   195 0.87 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i1:1059-1610|-   -            184 109174at6656         -            256   5.8e-05   21.7   0.5   1   1   4.7e-06   0.00034   19.2   0.5   122   232    25   151    16   163 0.79 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i4:1042-1593|-   -            184 109174at6656         -            256   5.8e-05   21.7   0.5   1   1   4.7e-06   0.00034   19.2   0.5   122   232    25   151    16   163 0.79 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i6:2661-3212|-   -            184 109174at6656         -            256   5.8e-05   21.7   0.5   1   1   4.7e-06   0.00034   19.2   0.5   122   232    25   151    16   163 0.79 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i7:2660-3211|-   -            184 109174at6656         -            256   5.8e-05   21.7   0.5   1   1   4.7e-06   0.00034   19.2   0.5   122   232    25   151    16   163 0.79 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 109174at6656         -            256   5.8e-05   21.7   0.5   1   1   4.7e-06   0.00034   19.2   0.5   122   232    25   151    16   163 0.79 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   6.3e-05   21.6   0.0   1   4       7.4   5.4e+02   -1.1   0.0   209   232    26    49     8    59 0.70 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   6.3e-05   21.6   0.0   2   4       3.7   2.7e+02   -0.1   0.0   210   233    69    92    65   102 0.86 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   6.3e-05   21.6   0.0   3   4   5.1e-05    0.0037   15.9   0.0   167   236   102   179    91   191 0.74 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-  -            292 109174at6656         -            256   6.3e-05   21.6   0.0   4   4         4   2.9e+02   -0.2   0.0   170   191   232   253   214   262 0.68 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i2:800-1699|-   -            300 109174at6656         -            256   6.9e-05   21.5   0.0   1   4     0.014         1    7.9   0.0   125   166    29    70    22    82 0.87 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i2:800-1699|-   -            300 109174at6656         -            256   6.9e-05   21.5   0.0   2   4     0.056       4.1    5.9   0.0    92   193    46   155    44   158 0.70 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i2:800-1699|-   -            300 109174at6656         -            256   6.9e-05   21.5   0.0   3   4     0.039       2.8    6.4   0.0   137   191   132   198   124   200 0.59 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i2:800-1699|-   -            300 109174at6656         -            256   6.9e-05   21.5   0.0   4   4     0.096         7    5.1   0.0    89   113   179   204   174   216 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i4:237-1724|+   -            496 109174at6656         -            256   0.00017   20.2   0.2   1   3    0.0083       0.6    8.6   0.0   172   208    56    93    44   107 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i4:237-1724|+   -            496 109174at6656         -            256   0.00017   20.2   0.2   2   3      0.58        42    2.5   0.0    72   111   119   161   100   176 0.57 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i4:237-1724|+   -            496 109174at6656         -            256   0.00017   20.2   0.2   3   3      0.27        19    3.7   0.0   162   191   435   466   386   470 0.76 -
22611at6656_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 109174at6656         -            256   0.00019   20.1   0.5   1   3       1.7   1.2e+02    1.0   0.0    42    83    10    53     4    65 0.80 -
22611at6656_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 109174at6656         -            256   0.00019   20.1   0.5   2   3    0.0015      0.11   11.0   0.0    25   115   105   195   100   210 0.77 -
22611at6656_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 109174at6656         -            256   0.00019   20.1   0.5   3   3         3   2.2e+02    0.2   0.0    66   113   215   235   195   255 0.68 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i2:331-873|-      -            181 109174at6656         -            256   0.00021   20.0   0.1   1   2    0.0054      0.39    9.2   0.0   141   193    16    79     5    98 0.73 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i2:331-873|-      -            181 109174at6656         -            256   0.00021   20.0   0.1   2   2    0.0088      0.64    8.5   0.0    89   109   101   121    87   128 0.87 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 109174at6656         -            256   0.00021   20.0   0.1   1   2    0.0054      0.39    9.2   0.0   141   193    16    79     5    98 0.73 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 109174at6656         -            256   0.00021   20.0   0.1   2   2    0.0088      0.64    8.5   0.0    89   109   101   121    87   128 0.87 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   0.00025   19.6   0.2   1   3    0.0089      0.65    8.5   0.0   171   208    55    93    41   107 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   0.00025   19.6   0.2   2   3      0.68        49    2.3   0.0    72   111   119   161   100   175 0.57 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 109174at6656         -            256   0.00025   19.6   0.2   3   3      0.31        22    3.4   0.0   162   191   435   466   387   470 0.76 -
118807at6656_28612_0:0030d0|TRINITY_DN71112_c3_g1_i2:2-631|-      -            210 109174at6656         -            256   0.00026   19.6   0.1   1   4      0.37        27    3.2   0.0    94   126    24    57    16    67 0.77 -
118807at6656_28612_0:0030d0|TRINITY_DN71112_c3_g1_i2:2-631|-      -            210 109174at6656         -            256   0.00026   19.6   0.1   2   4       3.6   2.6e+02   -0.0   0.0    63    80    63    80    50    92 0.62 -
118807at6656_28612_0:0030d0|TRINITY_DN71112_c3_g1_i2:2-631|-      -            210 109174at6656         -            256   0.00026   19.6   0.1   3   4       0.1       7.4    5.0   0.0   209   237   109   137   105   149 0.88 -
118807at6656_28612_0:0030d0|TRINITY_DN71112_c3_g1_i2:2-631|-      -            210 109174at6656         -            256   0.00026   19.6   0.1   4   4     0.042       3.1    6.3   0.0    90   115   150   175   141   208 0.90 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   0.00026   19.6   0.1   1   3      0.51        37    2.7   0.0    90   113   153   176    97   186 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   0.00026   19.6   0.1   2   3   0.00081     0.059   11.9   0.0   148   225   161   253   145   273 0.68 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 109174at6656         -            256   0.00026   19.6   0.1   3   3    0.0019      0.14   10.7   0.1    91   122   195   226   184   346 0.53 -
19590at6656_680683_0:002049|TRINITY_DN92405_c11_g1_i5:88-1131|+   -            348 109174at6656         -            256   0.00029   19.5   0.1   1   2    0.0013     0.097   11.2   0.0   160   207   101   150    91   153 0.77 -
19590at6656_680683_0:002049|TRINITY_DN92405_c11_g1_i5:88-1131|+   -            348 109174at6656         -            256   0.00029   19.5   0.1   2   2      0.14        10    4.6   0.0    63    97   157   189   153   221 0.87 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00036   19.2   0.4   1   5       4.7   3.4e+02   -0.4   0.0    88   113   233   258   230   268 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 109174at6656         -            256   0.00036   19.2   0.4   2   5       4.5   3.3e+02   -0.4   0.0    62    81   276   295   250   317 0.77 -
