#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 137711at6656         -            119   8.2e-65  215.1   0.2   1   1   1.8e-66   1.1e-64  214.7   0.2     1   115     1   121     1   125 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 137711at6656         -            119   7.5e-25   86.1   0.0   2   2     4e-12   2.5e-10   39.3   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 137711at6656         -            119   7.5e-25   86.1   0.0   1   2   1.2e-13   7.6e-12   44.2   0.0    26   109    80   163    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 137711at6656         -            119   7.5e-25   86.1   0.0   2   2     4e-12   2.5e-10   39.3   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 137711at6656         -            119   7.7e-25   86.1   0.0   1   2   1.1e-13   6.6e-12   44.4   0.0    23   109    77   163    56   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 137711at6656         -            119   7.7e-25   86.1   0.0   2   2   3.6e-12   2.3e-10   39.4   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 137711at6656         -            119   7.7e-25   86.1   0.0   1   2   1.1e-13   6.6e-12   44.4   0.0    23   109    77   163    56   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 137711at6656         -            119   7.7e-25   86.1   0.0   2   2   3.6e-12   2.3e-10   39.4   0.0    31   104   182   255   175   260 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 137711at6656         -            119   8.4e-25   86.0   0.0   1   2   1.3e-13     8e-12   44.1   0.0    26   109   102   185    79   193 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 137711at6656         -            119   8.4e-25   86.0   0.0   2   2   4.2e-12   2.6e-10   39.2   0.0    31   104   204   277   197   282 0.95 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 137711at6656         -            119   9.4e-25   85.8   0.0   1   2   1.6e-13   9.8e-12   43.8   0.0    26   108    80   162    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 137711at6656         -            119   9.4e-25   85.8   0.0   2   2   3.9e-12   2.5e-10   39.3   0.0    31   104   212   285   201   290 0.94 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 137711at6656         -            119   9.7e-25   85.8   0.0   1   2   1.6e-13     1e-11   43.8   0.0    26   108    80   162    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 137711at6656         -            119   9.7e-25   85.8   0.0   2   2     4e-12   2.5e-10   39.3   0.0    31   104   212   285   201   290 0.94 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 137711at6656         -            119   9.7e-25   85.8   0.0   1   2   1.6e-13     1e-11   43.8   0.0    26   108    80   162    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 137711at6656         -            119   9.7e-25   85.8   0.0   2   2     4e-12   2.5e-10   39.3   0.0    31   104   212   285   201   290 0.94 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 137711at6656         -            119     1e-24   85.7   0.0   1   2   1.4e-13     9e-12   43.9   0.0    26   108    80   162    57   171 0.88 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 137711at6656         -            119     1e-24   85.7   0.0   2   2   3.6e-12   2.3e-10   39.4   0.0    31   104   212   285   201   290 0.94 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 137711at6656         -            119   1.8e-24   84.9   0.2   1   2   5.8e-13   3.6e-11   42.0   0.0    32    97     2    71     1    81 0.77 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 137711at6656         -            119   1.8e-24   84.9   0.2   2   2   6.1e-13   3.8e-11   41.9   0.0    31    82    81   132    69   155 0.91 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 137711at6656         -            119   2.8e-23   81.0   0.5   1   4   9.6e-08     6e-06   25.1   0.1    46   108    19    80     3    88 0.86 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 137711at6656         -            119   2.8e-23   81.0   0.5   2   4   1.3e-08   8.1e-07   28.0   0.0    27   106   125   203   109   217 0.88 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 137711at6656         -            119   2.8e-23   81.0   0.5   3   4   2.4e-05    0.0015   17.4   0.0    32    83   351   402   343   416 0.90 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 137711at6656         -            119   2.8e-23   81.0   0.5   4   4      0.14         9    5.2   0.0    58    92   540   574   506   599 0.83 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 137711at6656         -            119   1.4e-21   75.5   0.0   1   2   2.1e-05    0.0013   17.6   0.0    37   111     6    79     1    87 0.81 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 137711at6656         -            119   1.4e-21   75.5   0.0   2   2     3e-17   1.8e-15   55.8   0.0    32   113    99   180    90   184 0.94 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 137711at6656         -            119   2.8e-21   74.6   0.1   1   2     5e-13   3.1e-11   42.2   0.0    30    81    10    61     2    87 0.87 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 137711at6656         -            119   2.8e-21   74.6   0.1   2   2   2.1e-09   1.3e-07   30.5   0.1    32    82   103   153    99   160 0.94 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 137711at6656         -            119   7.4e-21   73.3   0.1   1   5    0.0015     0.096   11.6   0.0    49   109    21    79     4    86 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 137711at6656         -            119   7.4e-21   73.3   0.1   2   5   5.3e-07   3.3e-05   22.8   0.0    28   103   345   420   334   437 0.90 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 137711at6656         -            119   7.4e-21   73.3   0.1   3   5       3.8   2.3e+02    0.6   0.0    28    61   527   560   514   572 0.83 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 137711at6656         -            119   7.4e-21   73.3   0.1   4   5   0.00015    0.0092   14.9   0.1    31   107   647   721   640   735 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 137711at6656         -            119   7.4e-21   73.3   0.1   5   5   9.6e-05     0.006   15.5   0.0    27    86   740   799   729   825 0.87 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 137711at6656         -            119   8.3e-21   73.1   0.1   1   5    0.0016     0.098   11.5   0.0    49   109    21    79     4    86 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 137711at6656         -            119   8.3e-21   73.1   0.1   2   5   5.4e-07   3.4e-05   22.7   0.0    28   103   345   420   334   437 0.90 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 137711at6656         -            119   8.3e-21   73.1   0.1   3   5       3.8   2.4e+02    0.6   0.0    28    61   527   560   514   572 0.83 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 137711at6656         -            119   8.3e-21   73.1   0.1   4   5   0.00015    0.0096   14.8   0.1    31   107   647   721   641   735 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 137711at6656         -            119   8.3e-21   73.1   0.1   5   5   9.8e-05    0.0061   15.4   0.0    27    86   740   799   729   825 0.87 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i13:2940-3293|+ -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i13:2940-3293|+ -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i2:292-645|+    -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i2:292-645|+    -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i3:2678-3031|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i3:2678-3031|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i5:292-645|+    -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i5:292-645|+    -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i7:2940-3293|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i7:2940-3293|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i8:2940-3293|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   1   2   1.4e-12   8.6e-11   40.8   0.0    32    82     1    51     1    80 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i8:2940-3293|+  -            118 137711at6656         -            119   1.1e-17   63.0   0.0   2   2   1.7e-06    0.0001   21.1   0.0    31    67    80   116    68   118 0.91 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-    -             86 137711at6656         -            119   2.4e-17   61.9   0.0   1   1     4e-19   2.5e-17   61.9   0.0    32   111     1    80     1    86 0.94 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i2:1112-1369|-    -             86 137711at6656         -            119   2.4e-17   61.9   0.0   1   1     4e-19   2.5e-17   61.9   0.0    32   111     1    80     1    86 0.94 -
137711at6656_7425_0:001fb1|TRINITY_DN84616_c7_g1_i3:372-644|+       -             91 137711at6656         -            119     1e-16   59.9   0.0   1   1   1.7e-18   1.1e-16   59.8   0.0    32   113     1    82     1    87 0.95 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 137711at6656         -            119   8.1e-16   57.0   0.0   1   2   1.3e-07   7.9e-06   24.8   0.0    33   105     9    82     4    92 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 137711at6656         -            119   8.1e-16   57.0   0.0   2   2   2.5e-09   1.6e-07   30.2   0.0    31    94   111   174   102   191 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 137711at6656         -            119   8.1e-16   57.0   0.0   1   2   1.3e-07   7.9e-06   24.8   0.0    33   105     9    82     4    92 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 137711at6656         -            119   8.1e-16   57.0   0.0   2   2   2.5e-09   1.6e-07   30.2   0.0    31    94   111   174   102   191 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 137711at6656         -            119   8.1e-16   57.0   0.0   1   2   1.3e-07   7.9e-06   24.8   0.0    33   105     9    82     4    92 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 137711at6656         -            119   8.1e-16   57.0   0.0   2   2   2.5e-09   1.6e-07   30.2   0.0    31    94   111   174   102   191 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 137711at6656         -            119   8.1e-16   57.0   0.0   1   2   1.3e-07   7.9e-06   24.8   0.0    33   105     9    82     4    92 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 137711at6656         -            119   8.1e-16   57.0   0.0   2   2   2.5e-09   1.6e-07   30.2   0.0    31    94   111   174   102   191 0.90 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 137711at6656         -            119   1.1e-15   56.5   0.1   1   2   4.3e-06   0.00027   19.8   0.0    37   112     6    80     1    89 0.82 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 137711at6656         -            119   1.1e-15   56.5   0.1   2   2   7.5e-11   4.7e-09   35.2   0.0    32    78    99   145    88   154 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i10:115-648|-     -            178 137711at6656         -            119   1.2e-15   56.5   0.0   1   2   9.8e-08   6.1e-06   25.1   0.0    33   106     9    83     4    93 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i10:115-648|-     -            178 137711at6656         -            119   1.2e-15   56.5   0.0   2   2   3.6e-09   2.3e-07   29.7   0.0    32    94    95   157    88   174 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i1:385-918|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   1   2   9.8e-08   6.1e-06   25.1   0.0    33   106     9    83     4    93 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i1:385-918|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   2   2   3.6e-09   2.3e-07   29.7   0.0    32    94    95   157    88   174 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i7:115-648|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   1   2   9.8e-08   6.1e-06   25.1   0.0    33   106     9    83     4    93 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i7:115-648|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   2   2   3.6e-09   2.3e-07   29.7   0.0    32    94    95   157    88   174 0.90 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i8:385-918|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   1   2   9.8e-08   6.1e-06   25.1   0.0    33   106     9    83     4    93 0.93 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i8:385-918|-      -            178 137711at6656         -            119   1.2e-15   56.5   0.0   2   2   3.6e-09   2.3e-07   29.7   0.0    32    94    95   157    88   174 0.90 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   1   3    0.0071      0.44    9.4   0.0    31   111     5    89     1    95 0.84 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   2   3     4e-13   2.5e-11   42.5   0.0    31   106   124   199   119   212 0.92 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   3   3       7.4   4.6e+02   -0.3   0.0    46   102   258   316   250   327 0.72 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   1   3    0.0071      0.44    9.4   0.0    31   111     5    89     1    95 0.84 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   2   3     4e-13   2.5e-11   42.5   0.0    31   106   124   199   119   212 0.92 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   3   3       7.4   4.6e+02   -0.3   0.0    46   102   258   316   250   327 0.72 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   1   3    0.0071      0.44    9.4   0.0    31   111     5    89     1    95 0.84 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   2   3     4e-13   2.5e-11   42.5   0.0    31   106   124   199   119   212 0.92 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 137711at6656         -            119   1.6e-15   56.1   0.0   3   3       7.4   4.6e+02   -0.3   0.0    46   102   258   316   250   327 0.72 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 137711at6656         -            119   3.5e-14   51.7   0.0   1   2   6.5e-09     4e-07   28.9   0.0    32   106     1    75     1    88 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 137711at6656         -            119   3.5e-14   51.7   0.0   2   2   1.4e-06   8.8e-05   21.4   0.0    22   102    99   173    78   173 0.81 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   1   2   6.5e-09     4e-07   28.9   0.0    32   106     1    75     1    88 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   2   2   1.4e-06   8.8e-05   21.4   0.0    22   102    99   173    78   173 0.81 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   1   2   6.5e-09     4e-07   28.9   0.0    32   106     1    75     1    88 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   2   2   1.4e-06   8.8e-05   21.4   0.0    22   102    99   173    78   173 0.81 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 137711at6656         -            119   3.5e-14   51.7   0.0   1   2   6.5e-09     4e-07   28.9   0.0    32   106     1    75     1    88 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 137711at6656         -            119   3.5e-14   51.7   0.0   2   2   1.4e-06   8.8e-05   21.4   0.0    22   102    99   173    78   173 0.81 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   1   2   6.5e-09     4e-07   28.9   0.0    32   106     1    75     1    88 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 137711at6656         -            119   3.5e-14   51.7   0.0   2   2   1.4e-06   8.8e-05   21.4   0.0    22   102    99   173    78   173 0.81 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i2:765-1082|-    -            106 137711at6656         -            119   1.9e-13   49.3   0.0   1   1   3.5e-15   2.2e-13   49.1   0.0    21    88    28    97    22   106 0.90 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i4:1551-1868|-   -            106 137711at6656         -            119   1.9e-13   49.3   0.0   1   1   3.5e-15   2.2e-13   49.1   0.0    21    88    28    97    22   106 0.90 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i5:1548-1865|-   -            106 137711at6656         -            119   1.9e-13   49.3   0.0   1   1   3.5e-15   2.2e-13   49.1   0.0    21    88    28    97    22   106 0.90 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i8:1548-1865|-   -            106 137711at6656         -            119   1.9e-13   49.3   0.0   1   1   3.5e-15   2.2e-13   49.1   0.0    21    88    28    97    22   106 0.90 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i9:765-1082|-    -            106 137711at6656         -            119   1.9e-13   49.3   0.0   1   1   3.5e-15   2.2e-13   49.1   0.0    21    88    28    97    22   106 0.90 -
137711at6656_37001_0:003045|TRINITY_DN75338_c5_g5_i2:1259-1522|-    -             88 137711at6656         -            119   5.5e-13   47.9   0.0   1   1   9.4e-15   5.9e-13   47.8   0.0    32    97     1    66     1    85 0.91 -
137711at6656_37001_0:003045|TRINITY_DN75338_c5_g5_i6:1418-1681|-    -             88 137711at6656         -            119   5.5e-13   47.9   0.0   1   1   9.4e-15   5.9e-13   47.8   0.0    32    97     1    66     1    85 0.91 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+    -             75 137711at6656         -            119   7.2e-13   47.5   0.0   1   1   1.2e-14   7.7e-13   47.4   0.0    32   103     3    74     1    75 0.96 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i2:227-451|+    -             75 137711at6656         -            119   7.2e-13   47.5   0.0   1   1   1.2e-14   7.7e-13   47.4   0.0    32   103     3    74     1    75 0.96 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-      -             97 137711at6656         -            119   8.8e-13   47.2   0.0   1   1   1.6e-14     1e-12   47.0   0.0    34   110    11    87     3    93 0.92 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i3:550-840|-      -             97 137711at6656         -            119   8.8e-13   47.2   0.0   1   1   1.6e-14     1e-12   47.0   0.0    34   110    11    87     3    93 0.92 -
137711at6656_7425_0:001fb1|TRINITY_DN87254_c8_g2_i1:299-547|+       -             83 137711at6656         -            119   2.2e-12   45.9   0.0   1   1   3.8e-14   2.4e-12   45.8   0.0    32   105     1    74     1    82 0.95 -
80689at6656_76194_0:002d7c|TRINITY_DN91700_c3_g1_i11:565-798|-      -             78 137711at6656         -            119   7.8e-12   44.1   0.0   1   1   1.3e-13   8.1e-12   44.1   0.0    34   107     1    74     1    78 0.96 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i11:2920-3078|+  -             53 137711at6656         -            119   1.5e-11   43.2   0.1   1   1   2.5e-13   1.5e-11   43.2   0.1    32    81     1    50     1    53 0.94 -
