#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-   -            346 66028at6656          -            273  1.7e-166  551.0   2.4   1   1    8e-167  4.1e-165  546.5   2.4     1   273     8   323     8   323 0.95 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i11:830-1765|-  -            312 66028at6656          -            273   2.4e-12   45.5   0.2   4   4    0.0018     0.089   10.8   0.0   212   254   247   289   242   297 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   1   6      0.29        15    3.5   0.0   218   255   104   141    97   146 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   2   6   1.4e-05   0.00073   17.7   0.0   209   256   148   195   143   206 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   3   6     0.018      0.93    7.5   0.3   217   252   206   241   200   261 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   4   6      0.11       5.6    4.9   0.2   197   244   230   279   227   289 0.84 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   5   6    0.0034      0.17    9.9   0.0   214   253   294   333   268   342 0.83 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   2.8e-12   45.3   5.0   6   6      0.69        35    2.3   0.2   219   248   356   385   352   386 0.60 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i1:591-1406|+  -            272 66028at6656          -            273   3.4e-12   45.0   1.2   1   3   8.9e-09   4.5e-07   28.2   0.1   116   252    13   146     5   148 0.78 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i1:591-1406|+  -            272 66028at6656          -            273   3.4e-12   45.0   1.2   2   3    0.0085      0.43    8.6   0.1   210   240   147   177   145   197 0.82 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i1:591-1406|+  -            272 66028at6656          -            273   3.4e-12   45.0   1.2   3   3     0.021         1    7.3   0.0   176   242   199   267   170   272 0.75 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   3.4e-12   45.0   1.2   1   3   8.9e-09   4.5e-07   28.2   0.1   116   252    13   146     5   148 0.78 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   3.4e-12   45.0   1.2   2   3    0.0085      0.43    8.6   0.1   210   240   147   177   145   197 0.82 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   3.4e-12   45.0   1.2   3   3     0.021         1    7.3   0.0   176   242   199   267   170   272 0.75 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i5:830-1861|-   -            344 66028at6656          -            273   4.1e-12   44.7   0.2   1   4      0.25        13    3.8   0.0   218   255   136   173   129   178 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i5:830-1861|-   -            344 66028at6656          -            273   4.1e-12   44.7   0.2   2   4   9.1e-06   0.00046   18.3   0.0   209   256   180   227   175   245 0.87 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i5:830-1861|-   -            344 66028at6656          -            273   4.1e-12   44.7   0.2   3   4     0.023       1.2    7.1   0.1   217   251   238   272   232   278 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i5:830-1861|-   -            344 66028at6656          -            273   4.1e-12   44.7   0.2   4   4   0.00021     0.011   13.8   0.1   199   254   264   321   261   331 0.87 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   1   6      0.32        16    3.4   0.0   218   255   136   173   129   179 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   2   6   1.7e-05   0.00085   17.5   0.0   209   256   180   227   176   238 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   3   6      0.02         1    7.4   0.3   217   252   238   273   232   293 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   4   6       1.4        73    1.3   0.0   212   244   279   311   274   322 0.86 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   5   6    0.0041      0.21    9.6   0.0   215   253   327   365   302   374 0.84 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i9:456-2319|-   -            418 66028at6656          -            273   4.3e-12   44.7   4.8   6   6      0.76        39    2.2   0.2   219   248   388   417   384   418 0.60 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i8:456-1148|-   -            231 66028at6656          -            273   6.6e-12   44.0   5.8   1   5   0.00066     0.033   12.2   0.0   218   256     3    41     1    53 0.85 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i8:456-1148|-   -            231 66028at6656          -            273   6.6e-12   44.0   5.8   2   5     0.012      0.62    8.1   0.1   217   251    52    86    43    92 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i8:456-1148|-   -            231 66028at6656          -            273   6.6e-12   44.0   5.8   3   5    0.0011     0.055   11.5   0.0   212   254    93   135    86   141 0.90 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i8:456-1148|-   -            231 66028at6656          -            273   6.6e-12   44.0   5.8   4   5     0.008      0.41    8.7   0.0   217   253   142   178   136   187 0.89 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i8:456-1148|-   -            231 66028at6656          -            273   6.6e-12   44.0   5.8   5   5      0.35        18    3.3   0.2   219   248   201   230   197   231 0.60 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   1   4       0.4        20    3.1   0.0    62    87    21    46     2    59 0.63 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   2   4   6.9e-08   3.5e-06   25.3   1.4    92   252    70   222    62   222 0.83 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   3   4   2.4e-06   0.00012   20.2   0.1   101   186   202   292   181   307 0.73 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   4   4    0.0023      0.12   10.4   0.0   101   164   252   311   248   336 0.75 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   1   4       0.4        20    3.1   0.0    62    87    21    46     2    59 0.63 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   2   4   6.9e-08   3.5e-06   25.3   1.4    92   252    70   222    62   222 0.83 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   3   4   2.4e-06   0.00012   20.2   0.1   101   186   202   292   181   307 0.73 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 66028at6656          -            273   9.5e-12   43.5   7.0   4   4    0.0023      0.12   10.4   0.0   101   164   252   311   248   336 0.75 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   1   6      0.32        16    3.4   0.0   218   254   136   172   129   178 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   2   6   1.7e-05   0.00085   17.5   0.0   209   256   180   227   176   238 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   3   6      0.02         1    7.4   0.3   217   252   238   273   232   293 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   4   6      0.14         7    4.6   0.1   197   244   262   311   260   321 0.83 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   5   6     0.013      0.66    8.0   0.1   216   253   328   365   302   374 0.85 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i4:456-2164|-   -            418 66028at6656          -            273   2.1e-11   42.4   5.5   6   6      0.76        39    2.2   0.2   219   248   388   417   384   418 0.60 -
19590at6656_680683_0:002049|TRINITY_DN92405_c11_g1_i5:88-1131|+   -            348 66028at6656          -            273   5.6e-11   41.0   1.0   1   2   2.6e-08   1.3e-06   26.7   0.2    91   256    57   224    42   238 0.81 -
19590at6656_680683_0:002049|TRINITY_DN92405_c11_g1_i5:88-1131|+   -            348 66028at6656          -            273   5.6e-11   41.0   1.0   2   2   0.00032     0.016   13.2   0.1   188   234   244   291   225   309 0.76 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i1:64-2349|+   -            762 66028at6656          -            273   6.7e-10   37.5   0.9   1   2   1.6e-07   8.3e-06   24.0   0.2    92   255    59   224    45   233 0.81 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i1:64-2349|+   -            762 66028at6656          -            273   6.7e-10   37.5   0.9   2   2    0.0009     0.046   11.8   0.1   188   234   245   292   224   313 0.77 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 66028at6656          -            273   6.7e-10   37.5   0.9   1   2   1.6e-07   8.3e-06   24.0   0.2    92   255    59   224    45   233 0.81 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 66028at6656          -            273   6.7e-10   37.5   0.9   2   2    0.0009     0.046   11.8   0.1   188   234   245   292   224   313 0.77 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 66028at6656          -            273   9.2e-10   37.0   0.6   1   2    0.0026      0.13   10.3   0.0    97   166     4    71     1    79 0.87 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 66028at6656          -            273   9.2e-10   37.0   0.6   2   2   1.9e-09   9.5e-08   30.4   0.4    94   250    45   202    44   208 0.84 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i3:311-955|+     -            215 66028at6656          -            273   9.2e-10   37.0   0.6   1   2    0.0026      0.13   10.3   0.0    97   166     4    71     1    79 0.87 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i3:311-955|+     -            215 66028at6656          -            273   9.2e-10   37.0   0.6   2   2   1.9e-09   9.5e-08   30.4   0.4    94   250    45   202    44   208 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i11:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   1   2   0.00043     0.022   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i11:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   2   2   7.6e-07   3.9e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i12:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   1   2   0.00043     0.022   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i12:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   2   2   7.6e-07   3.9e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   1   2   0.00043     0.022   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 66028at6656          -            273   3.2e-09   35.2   2.3   2   2   7.6e-07   3.9e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i1:190-993|+    -            268 66028at6656          -            273   3.2e-09   35.2   2.3   1   2   0.00043     0.022   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i1:190-993|+    -            268 66028at6656          -            273   3.2e-09   35.2   2.3   2   2   7.6e-07   3.9e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i6:190-993|+    -            268 66028at6656          -            273   3.2e-09   35.2   2.3   1   2   0.00043     0.022   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i6:190-993|+    -            268 66028at6656          -            273   3.2e-09   35.2   2.3   2   2   7.6e-07   3.9e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 66028at6656          -            273   3.5e-09   35.1   1.4   1   2   8.7e-08   4.4e-06   24.9   0.3    84   249   112   283    99   293 0.79 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 66028at6656          -            273   3.5e-09   35.1   1.4   2   2    0.0074      0.38    8.8   0.0    95   119   307   331   300   342 0.89 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   1.8e-08   32.8   5.2   1   3     0.061       3.1    5.8   0.1   208   251   140   183   128   187 0.87 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   1.8e-08   32.8   5.2   2   3      0.71        36    2.3   0.1   111   175   298   357   277   359 0.73 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   1.8e-08   32.8   5.2   3   3   2.4e-08   1.2e-06   26.8   0.4   103   251   332   482   326   485 0.87 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   1   3      0.59        30    2.5   0.0    63    87    15    39     3    49 0.70 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   2   3   9.4e-07   4.7e-05   21.6   0.2    92   234    63   198    54   210 0.80 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   3   3     0.023       1.2    7.2   0.1   108   165   240   292   230   316 0.77 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   1   3      0.59        30    2.5   0.0    63    87    15    39     3    49 0.70 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   2   3   9.4e-07   4.7e-05   21.6   0.2    92   234    63   198    54   210 0.80 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 66028at6656          -            273   2.9e-08   32.1   3.5   3   3     0.023       1.2    7.2   0.1   108   165   240   292   230   316 0.77 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i5:150-863|+    -            238 66028at6656          -            273   3.5e-08   31.8   2.1   1   3   4.4e-06   0.00022   19.4   0.0   179   250    41   110    11   113 0.82 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i5:150-863|+    -            238 66028at6656          -            273   3.5e-08   31.8   2.1   2   3    0.0029      0.15   10.1   0.3   210   248   113   153   110   159 0.80 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i5:150-863|+    -            238 66028at6656          -            273   3.5e-08   31.8   2.1   3   3         3   1.5e+02    0.2   0.0   219   255   166   203   150   208 0.74 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273   3.5e-08   31.8   2.1   1   3   4.4e-06   0.00022   19.4   0.0   179   250    41   110    11   113 0.82 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273   3.5e-08   31.8   2.1   2   3    0.0029      0.15   10.1   0.3   210   248   113   153   110   159 0.80 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273   3.5e-08   31.8   2.1   3   3         3   1.5e+02    0.2   0.0   219   255   166   203   150   208 0.74 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 66028at6656          -            273   5.2e-08   31.3   0.8   1   2       0.1       5.2    5.0   0.1   213   251    43    80    39   102 0.77 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i8:19-885|+     -            289 66028at6656          -            273   5.2e-08   31.3   0.8   2   2   1.5e-07   7.5e-06   24.2   0.1    82   241   129   282    90   288 0.78 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 66028at6656          -            273   5.4e-08   31.2   0.2   1   2   2.9e-05    0.0015   16.7   0.3    93   251    21   173    16   176 0.68 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 66028at6656          -            273   5.4e-08   31.2   0.2   2   2     0.015      0.75    7.8   0.0   152   249   200   297   187   298 0.73 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 66028at6656          -            273   5.5e-08   31.2   0.8   1   1   1.4e-09   6.9e-08   30.9   0.8    96   259     2   165     1   177 0.85 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 66028at6656          -            273     1e-07   30.3   2.4   1   3       7.2   3.6e+02   -1.0   0.0   217   248    19    49     2    60 0.65 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 66028at6656          -            273     1e-07   30.3   2.4   2   3       5.5   2.8e+02   -0.6   0.0   109   138   123   150   103   155 0.76 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 66028at6656          -            273     1e-07   30.3   2.4   3   3   9.4e-09   4.8e-07   28.1   0.4   103   251   159   309   154   312 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   1.4e-07   29.8   0.3   1   4      0.54        27    2.7   0.0   211   250    46    84    42    92 0.88 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   1.4e-07   29.8   0.3   2   4       0.3        15    3.5   0.0   193   250    72   127    68   132 0.72 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   1.4e-07   29.8   0.3   3   4    0.0001    0.0052   14.9   0.1   209   253   129   173   112   197 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   1.4e-07   29.8   0.3   4   4     0.051       2.6    6.0   0.0   155   249   200   302   180   311 0.53 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 66028at6656          -            273   3.9e-07   28.4   0.7   1   2      0.19       9.4    4.2   0.1   213   251   258   295   248   321 0.78 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 66028at6656          -            273   3.9e-07   28.4   0.7   2   2   6.5e-07   3.3e-05   22.1   0.1    84   241   346   497   335   503 0.75 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i9:132-1643|+   -            504 66028at6656          -            273   3.9e-07   28.4   0.7   1   2      0.19       9.4    4.2   0.1   213   251   258   295   248   321 0.78 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i9:132-1643|+   -            504 66028at6656          -            273   3.9e-07   28.4   0.7   2   2   6.5e-07   3.3e-05   22.1   0.1    84   241   346   497   335   503 0.75 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 66028at6656          -            273   4.4e-07   28.2   3.6   1   3         6   3.1e+02   -0.8   0.0   219   251     2    33     1    48 0.73 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 66028at6656          -            273   4.4e-07   28.2   3.6   2   3      0.45        23    2.9   0.0   104   128    59    83    17    90 0.75 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 66028at6656          -            273   4.4e-07   28.2   3.6   3   3   1.4e-07   6.9e-06   24.3   0.7   100   255   100   252    97   255 0.73 -
