#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+     -            358 55417at6656          -            496  1.1e-113  379.7  13.7   1   1  1.5e-114  2.4e-112  375.2  13.7   197   495     4   353     2   354 0.86 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 55417at6656          -            496   3.7e-49  166.8   8.1   1   4   2.5e-15     4e-13   48.0   0.1   331   416     3    89     1    93 0.80 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 55417at6656          -            496   3.7e-49  166.8   8.1   2   4     2e-09   3.2e-07   28.5   0.1   292   332   100   140    87   141 0.71 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 55417at6656          -            496   3.7e-49  166.8   8.1   3   4   1.3e-17     2e-15   55.5   0.7   294   367   136   209   134   209 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 55417at6656          -            496   3.7e-49  166.8   8.1   4   4   2.9e-15   4.7e-13   47.8   0.1   293   363   203   273   202   274 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   1   4   2.5e-15     4e-13   48.0   0.1   331   416     3    89     1    93 0.80 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   2   4     2e-09   3.2e-07   28.5   0.1   292   332   100   140    87   141 0.71 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   3   4   1.3e-17     2e-15   55.5   0.7   294   367   136   209   134   209 0.98 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 55417at6656          -            496   3.7e-49  166.8   8.1   4   4   2.9e-15   4.7e-13   47.8   0.1   293   363   203   273   202   274 0.98 -
55417at6656_6973_0:0004e3|TRINITY_DN82157_c12_g1_i2:283-954|-      -            224 55417at6656          -            496   4.5e-41  140.2   5.8   1   2   3.8e-43     6e-41  139.7   1.5     1   113    47   187    47   197 0.85 -
55417at6656_6973_0:0004e3|TRINITY_DN82157_c12_g1_i2:283-954|-      -            224 55417at6656          -            496   4.5e-41  140.2   5.8   2   2      0.17        26    2.4   0.2   101   120   205   224   197   224 0.78 -
55417at6656_38123_0:002291|TRINITY_DN77125_c6_g1_i1:5-328|+        -            108 55417at6656          -            496   2.9e-30  104.5   1.2   1   1   2.6e-32   4.1e-30  104.0   1.2    18   103     4   107     2   108 0.85 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+    -            135 55417at6656          -            496   9.6e-26   89.6   0.6   1   1   9.5e-27   1.5e-24   85.7   0.5   294   414     8   129     4   132 0.96 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+    -            135 55417at6656          -            496   9.6e-26   89.6   0.6   1   1   9.5e-27   1.5e-24   85.7   0.5   294   414     8   129     4   132 0.96 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+    -            135 55417at6656          -            496   9.6e-26   89.6   0.6   1   1   9.5e-27   1.5e-24   85.7   0.5   294   414     8   129     4   132 0.96 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+    -            135 55417at6656          -            496   9.6e-26   89.6   0.6   1   1   9.5e-27   1.5e-24   85.7   0.5   294   414     8   129     4   132 0.96 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   1   2   9.8e-16   1.6e-13   49.3   0.1   331   416     1    87     1    95 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   2   2   4.1e-12   6.4e-10   37.4   0.2   292   347    98   153    85   154 0.90 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+     -            154 55417at6656          -            496   2.5e-25   88.3   1.4   1   2   9.8e-16   1.6e-13   49.3   0.1   331   416     1    87     1    95 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+     -            154 55417at6656          -            496   2.5e-25   88.3   1.4   2   2   4.1e-12   6.4e-10   37.4   0.2   292   347    98   153    85   154 0.90 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   1   2   9.8e-16   1.6e-13   49.3   0.1   331   416     1    87     1    95 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   2   2   4.1e-12   6.4e-10   37.4   0.2   292   347    98   153    85   154 0.90 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   1   2   9.8e-16   1.6e-13   49.3   0.1   331   416     1    87     1    95 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+   -            154 55417at6656          -            496   2.5e-25   88.3   1.4   2   2   4.1e-12   6.4e-10   37.4   0.2   292   347    98   153    85   154 0.90 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+   -            371 55417at6656          -            496   1.2e-19   69.5   7.8   1   2   4.6e-10   7.3e-08   30.6   0.8   315   458     5   152     3   158 0.88 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+   -            371 55417at6656          -            496   1.2e-19   69.5   7.8   2   2   6.8e-14   1.1e-11   43.3   1.0   298   461   158   325   152   339 0.90 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+    -            459 55417at6656          -            496   2.1e-19   68.7   8.1   1   2   4.9e-10   7.8e-08   30.5   1.0   315   458    85   232    71   239 0.88 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+    -            459 55417at6656          -            496   2.1e-19   68.7   8.1   2   2   1.2e-13   1.9e-11   42.4   1.0   298   461   238   405   233   418 0.90 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+    -            459 55417at6656          -            496   2.3e-19   68.5   8.3   1   2   4.8e-10   7.5e-08   30.6   1.1   314   458    84   232    64   238 0.88 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+    -            459 55417at6656          -            496   2.3e-19   68.5   8.3   2   2   1.3e-13     2e-11   42.4   1.1   298   461   238   405   233   418 0.90 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   1   3      0.37        59    1.2   0.1   379   437    10    68     6    74 0.84 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   2   3   2.1e-18   3.4e-16   58.1   0.2   305   458    71   228    59   235 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   3   3      0.24        38    1.9   0.0   371   406   240   275   233   282 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   1   3      0.37        59    1.2   0.1   379   437    10    68     6    74 0.84 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   2   3   2.1e-18   3.4e-16   58.1   0.2   305   458    71   228    59   235 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 55417at6656          -            496     2e-17   62.2   2.5   3   3      0.24        38    1.9   0.0   371   406   240   275   233   282 0.89 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 55417at6656          -            496   2.3e-17   61.9   0.4   1   2   1.9e-18     3e-16   58.3   0.1   304   459    44   203    29   211 0.89 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 55417at6656          -            496   2.3e-17   61.9   0.4   2   2      0.25        39    1.8   0.0   371   407   214   250   210   258 0.88 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+    -            210 55417at6656          -            496   9.1e-17   60.0   0.2   1   1   6.9e-19   1.1e-16   59.7   0.2   304   459    23   182     9   207 0.89 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   1   3   4.1e-06   0.00065   17.6   0.5   350   453    15   122     2   146 0.79 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   2   3   2.8e-08   4.4e-06   24.7   2.7   293   455   256   421   252   427 0.85 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   3   3    0.0099       1.6    6.4   0.0   296   338   428   470   421   486 0.65 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   1   3   4.1e-06   0.00065   17.6   0.5   350   453    15   122     2   146 0.79 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   2   3   2.8e-08   4.4e-06   24.7   2.7   293   455   256   421   252   427 0.85 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+   -            550 55417at6656          -            496     5e-13   47.7   9.4   3   3    0.0099       1.6    6.4   0.0   296   338   428   470   421   486 0.65 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 55417at6656          -            496   6.4e-12   44.0   0.0   1   2   7.1e-06    0.0011   16.8   0.0   312   404    83   176    80   181 0.71 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 55417at6656          -            496   6.4e-12   44.0   0.0   2   2   1.2e-10   1.9e-08   32.5   0.2   293   408   166   284   159   316 0.86 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 55417at6656          -            496   6.4e-12   44.0   0.0   1   2   7.1e-06    0.0011   16.8   0.0   312   404    83   176    80   181 0.71 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 55417at6656          -            496   6.4e-12   44.0   0.0   2   2   1.2e-10   1.9e-08   32.5   0.2   293   408   166   284   159   316 0.86 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i2:1688-1999|-    -            104 55417at6656          -            496   1.6e-11   42.7   0.3   1   1   1.2e-13   1.9e-11   42.4   0.3   313   394     1    86     1    98 0.90 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i4:1688-1999|-    -            104 55417at6656          -            496   1.6e-11   42.7   0.3   1   1   1.2e-13   1.9e-11   42.4   0.3   313   394     1    86     1    98 0.90 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i6:1733-2035|-    -            101 55417at6656          -            496   1.6e-11   42.7   0.2   1   1   1.2e-13   1.9e-11   42.5   0.2   313   394     1    83     1    95 0.92 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i8:1733-2035|-    -            101 55417at6656          -            496   1.6e-11   42.7   0.2   1   1   1.2e-13   1.9e-11   42.5   0.2   313   394     1    83     1    95 0.92 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 55417at6656          -            496   3.3e-11   41.6   4.8   1   3      0.73   1.1e+02    0.3   0.0   316   354   159   197   155   273 0.76 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 55417at6656          -            496   3.3e-11   41.6   4.8   2   3   1.8e-12   2.8e-10   38.6   2.1   311   451   316   460   298   466 0.79 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 55417at6656          -            496   3.3e-11   41.6   4.8   3   3   0.00024     0.038   11.8   0.0   295   380   402   487   398   495 0.88 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 55417at6656          -            496     4e-11   41.4   0.0   1   2   6.6e-05      0.01   13.6   0.0   313   384     2    74     1    91 0.75 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 55417at6656          -            496     4e-11   41.4   0.0   2   2     1e-10   1.6e-08   32.8   0.4   294   422    51   182    48   258 0.84 -
93152at6656_7004_0:004f57|TRINITY_DN89800_c11_g2_i6:140-757|+      -            206 55417at6656          -            496   1.8e-10   39.2   0.5   1   1   1.3e-12     2e-10   39.1   0.5   320   461     4   149     1   163 0.87 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+     -            580 55417at6656          -            496   3.6e-10   38.2   2.5   1   4     0.073        12    3.6   0.0   373   406    86   119    76   148 0.70 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+     -            580 55417at6656          -            496   3.6e-10   38.2   2.5   2   4      0.22        35    2.0   0.1   296   357   149   211   144   219 0.77 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+     -            580 55417at6656          -            496   3.6e-10   38.2   2.5   3   4   3.2e-06   0.00051   17.9   0.0   296   463   291   472   281   490 0.78 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+     -            580 55417at6656          -            496   3.6e-10   38.2   2.5   4   4   0.00019      0.03   12.1   0.0   295   368   471   545   469   559 0.82 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i2:312-995|-    -            228 55417at6656          -            496     4e-09   34.8   1.3   1   1   3.4e-11   5.3e-09   34.4   1.3   306   419    98   212    83   220 0.87 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i5:619-3213|-   -            865 55417at6656          -            496   5.2e-09   34.4  11.3   1   5       5.6   8.9e+02   -2.6   0.0   321   360   214   253   211   271 0.60 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i5:619-3213|-   -            865 55417at6656          -            496   5.2e-09   34.4  11.3   2   5   0.00023     0.037   11.8   0.6   325   446   282   396   274   403 0.83 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i5:619-3213|-   -            865 55417at6656          -            496   5.2e-09   34.4  11.3   3   5      0.42        66    1.1   0.0   391   442   482   536   473   553 0.64 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i5:619-3213|-   -            865 55417at6656          -            496   5.2e-09   34.4  11.3   4   5   3.7e-07   5.8e-05   21.1   0.2   307   440   600   737   577   743 0.82 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i5:619-3213|-   -            865 55417at6656          -            496   5.2e-09   34.4  11.3   5   5      0.06       9.5    3.8   0.1   374   412   766   804   744   843 0.63 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-   -            927 55417at6656          -            496   6.9e-09   34.0  11.1   1   5       0.6        96    0.5   0.1   323   437   278   389   273   395 0.51 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-   -            927 55417at6656          -            496   6.9e-09   34.0  11.1   2   5   0.00026     0.041   11.7   0.6   325   446   344   458   336   465 0.83 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-   -            927 55417at6656          -            496   6.9e-09   34.0  11.1   3   5      0.44        70    1.0   0.0   391   442   544   598   536   624 0.67 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-   -            927 55417at6656          -            496   6.9e-09   34.0  11.1   4   5   3.9e-07   6.1e-05   21.0   0.2   307   440   662   799   639   807 0.82 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-   -            927 55417at6656          -            496   6.9e-09   34.0  11.1   5   5     0.065        10    3.7   0.0   374   412   828   866   804   905 0.64 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i5:1584-2648|-  -            355 55417at6656          -            496     1e-08   33.4   1.3   1   1   9.7e-11   1.5e-08   32.9   1.3   307   419    99   212    84   220 0.87 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 55417at6656          -            496     6e-08   30.9   1.9   1   2   9.2e-07   0.00015   19.7   0.3   309   438     7   139     1   174 0.82 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 55417at6656          -            496     6e-08   30.9   1.9   2   2   0.00066       0.1   10.3   0.1   386   448   327   392   276   397 0.64 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 55417at6656          -            496     6e-08   30.9   1.9   1   2   9.2e-07   0.00015   19.7   0.3   309   438     7   139     1   174 0.82 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 55417at6656          -            496     6e-08   30.9   1.9   2   2   0.00066       0.1   10.3   0.1   386   448   327   392   276   397 0.64 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 55417at6656          -            496     6e-08   30.9   1.9   1   2   9.2e-07   0.00015   19.7   0.3   309   438     7   139     1   174 0.82 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 55417at6656          -            496     6e-08   30.9   1.9   2   2   0.00066       0.1   10.3   0.1   386   448   327   392   276   397 0.64 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i1:0-2054|-     -            685 55417at6656          -            496     1e-06   26.8   8.7   1   4       2.4   3.9e+02   -1.5   0.0   323   436   220   269   215   282 0.45 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i1:0-2054|-     -            685 55417at6656          -            496     1e-06   26.8   8.7   2   4   0.00017     0.027   12.3   0.6   325   446   286   400   275   407 0.84 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i1:0-2054|-     -            685 55417at6656          -            496     1e-06   26.8   8.7   3   4      0.31        48    1.5   0.0   391   442   486   540   477   559 0.65 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i1:0-2054|-     -            685 55417at6656          -            496     1e-06   26.8   8.7   4   4     2e-05    0.0031   15.3   0.2   307   369   604   666   581   674 0.85 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 55417at6656          -            496   1.1e-06   26.7   2.0   1   2   5.7e-08   9.1e-06   23.7   0.2   313   428    53   172    24   183 0.82 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 55417at6656          -            496   1.1e-06   26.7   2.0   2   2      0.27        42    1.7   0.1   419   461   386   428   377   459 0.90 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i2:225-2648|+   -            808 55417at6656          -            496   1.3e-06   26.5   4.3   1   1   1.9e-08   2.9e-06   25.3   4.3   294   423   484   615   479   640 0.86 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i1:19-2535|+    -            839 55417at6656          -            496   1.4e-06   26.4   4.3   1   1     2e-08   3.1e-06   25.2   4.3   294   423   515   646   510   671 0.86 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i3:89-457|+       -            123 55417at6656          -            496   3.9e-05   21.6   4.2   1   1     3e-07   4.7e-05   21.4   4.2   313   409    16   113     7   119 0.94 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i4:89-457|+       -            123 55417at6656          -            496   3.9e-05   21.6   4.2   1   1     3e-07   4.7e-05   21.4   4.2   313   409    16   113     7   119 0.94 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i1:2504-2887|-   -            128 55417at6656          -            496   5.4e-05   21.2   0.0   1   1   4.3e-07   6.9e-05   20.8   0.0   380   459    12    94    10   101 0.86 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i4:2156-2539|-   -            128 55417at6656          -            496   5.4e-05   21.2   0.0   1   1   4.3e-07   6.9e-05   20.8   0.0   380   459    12    94    10   101 0.86 -
59200at6656_197043_0:0019bd|TRINITY_DN78763_c15_g5_i2:127-587|+    -            115 55417at6656          -            496   8.4e-05   20.5   0.6   1   1   6.4e-07    0.0001   20.3   0.6   354   449    12   111     5   114 0.65 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-   -            337 55417at6656          -            496   0.00021   19.2   1.6   1   2   0.00051     0.081   10.7   0.1   343   437    11   108     3   143 0.77 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-   -            337 55417at6656          -            496   0.00021   19.2   1.6   2   2    0.0048      0.76    7.5   0.1   379   452   255   332   237   337 0.50 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-    -            337 55417at6656          -            496   0.00021   19.2   1.6   1   2   0.00051     0.081   10.7   0.1   343   437    11   108     3   143 0.77 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-    -            337 55417at6656          -            496   0.00021   19.2   1.6   2   2    0.0048      0.76    7.5   0.1   379   452   255   332   237   337 0.50 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 55417at6656          -            496   0.00021   19.2   2.7   1   4     0.035       5.6    4.6   0.0   423   458    82   117    26   141 0.47 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 55417at6656          -            496   0.00021   19.2   2.7   2   4     0.046       7.3    4.2   0.0   329   374    86   131    50   196 0.73 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 55417at6656          -            496   0.00021   19.2   2.7   3   4     0.055       8.6    4.0   0.2   376   458   214   294   203   300 0.76 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+     -            492 55417at6656          -            496   0.00021   19.2   2.7   4   4    0.0032       0.5    8.1   3.4   310   410   265   364   248   382 0.83 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+   -            375 55417at6656          -            496   0.00043   18.2   0.0   1   1   3.8e-06    0.0006   17.7   0.0   386   460    11    88     5    94 0.88 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+   -            375 55417at6656          -            496   0.00043   18.2   0.0   1   1   3.8e-06    0.0006   17.7   0.0   386   460    11    88     5    94 0.88 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i1:1540-1893|-  -            118 55417at6656          -            496   0.00098   17.0   0.5   1   1   8.1e-06    0.0013   16.6   0.5   292   373    21   102     9   107 0.88 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i2:1427-1780|-  -            118 55417at6656          -            496   0.00098   17.0   0.5   1   1   8.1e-06    0.0013   16.6   0.5   292   373    21   102     9   107 0.88 -
47443at6656_6945_0:004aa8|TRINITY_DN92964_c14_g1_i1:140-1365|+     -            345 55417at6656          -            496    0.0057   14.5   4.3   1   2    0.0098       1.5    6.4   0.0   323   436    15   131     8   137 0.70 -
47443at6656_6945_0:004aa8|TRINITY_DN92964_c14_g1_i1:140-1365|+     -            345 55417at6656          -            496    0.0057   14.5   4.3   2   2    0.0026      0.41    8.3   1.8   305   399   169   277   155   291 0.65 -
