#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 43728at6656          -            431  2.4e-194  645.4  13.9   1   1  9.2e-194  1.7e-192  639.3  13.9     3   431    45   550    43   550 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   5   7    0.0043      0.08   11.0   0.1   169   216   230   277   226   295 0.74 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   6   7   6.8e-10   1.3e-08   33.4   0.0   367   430   330   391   316   392 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+    -            476 43728at6656          -            431   1.2e-38  132.3   7.8   7   7   2.3e-05   0.00042   18.5   0.1   172   202   444   474   438   476 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   1   7   1.8e-07   3.4e-06   25.4   0.0   169   210    96   137    89   146 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   2   7   6.2e-05    0.0012   17.1   0.2   172   216   141   187   135   198 0.78 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   3   7     0.041      0.76    7.8   0.1   396   430   182   222   175   223 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   4   7     3e-05   0.00056   18.1   0.1   374   430   209   263   199   265 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   5   7    0.0043      0.08   11.0   0.1   169   216   230   277   226   295 0.74 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   6   7   6.8e-10   1.3e-08   33.4   0.0   367   430   329   390   315   391 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+    -            475 43728at6656          -            431   1.2e-38  132.3   7.8   7   7   2.3e-05   0.00042   18.5   0.1   172   202   443   473   437   475 0.93 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   1   5   1.2e-08   2.2e-07   29.4   0.4   171   232     1    67     1    69 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   2   5   1.9e-09   3.6e-08   31.9   0.1   374   429    62   116    60   118 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   3   5   1.3e-07   2.5e-06   25.9   0.1   372   429   102   158   100   160 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   4   5   2.5e-05   0.00046   18.4   0.0   167   239   123   201   119   204 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-    -            289 43728at6656          -            431   5.4e-37  126.9  10.4   5   5   1.2e-15   2.2e-14   52.4   0.1   316   426   175   287   167   289 0.84 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   1   5   2.5e-06   4.6e-05   21.7   0.0   164   207     1    44     1    53 0.89 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   2   5   0.00017    0.0031   15.7   0.1   179   239    71   135    66   145 0.86 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   3   5   1.1e-12     2e-11   42.7   0.1   372   430   162   219   140   220 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   4   5   7.6e-05    0.0014   16.8   0.1   385   429   217   269   216   271 0.82 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   5   5   4.9e-07     9e-06   24.0   0.0   167   206   276   315   272   339 0.91 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   1   5   2.5e-06   4.6e-05   21.7   0.0   164   207     1    44     1    53 0.89 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   2   5   0.00017    0.0031   15.7   0.1   179   239    71   135    66   145 0.86 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   3   5   1.1e-12     2e-11   42.7   0.1   372   430   162   219   140   220 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   4   5   7.6e-05    0.0014   16.8   0.1   385   429   217   269   216   271 0.82 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-     -            346 43728at6656          -            431   5.6e-34  117.0   5.6   5   5   4.9e-07     9e-06   24.0   0.0   167   206   276   315   272   339 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   1   7   1.6e-07     3e-06   25.6   0.0   169   210    96   137    89   146 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   2   7   5.1e-05   0.00094   17.4   0.3   172   216   141   187   137   205 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   3   7     0.036      0.67    8.0   0.1   396   430   182   222   175   223 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   4   7   2.6e-05   0.00049   18.3   0.1   374   430   209   263   199   265 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   5   7    0.0044     0.082   11.0   0.1   169   216   230   277   224   282 0.75 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   6   7   5.9e-10   1.1e-08   33.6   0.0   367   430   330   391   316   392 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i2:188-1477|+    -            430 43728at6656          -            431   1.4e-31  109.1   2.6   7   7     0.019      0.35    8.9   0.0   168   199   398   429   393   430 0.76 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   1   7   1.6e-07     3e-06   25.6   0.0   169   210    96   137    89   146 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   2   7     5e-05   0.00094   17.4   0.3   172   216   141   187   137   205 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   3   7     0.036      0.66    8.0   0.1   396   430   182   222   175   223 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   4   7   2.6e-05   0.00048   18.3   0.1   374   430   209   263   199   265 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   5   7    0.0044     0.082   11.0   0.1   169   216   230   277   224   282 0.75 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   6   7   5.8e-10   1.1e-08   33.6   0.0   367   430   329   390   315   391 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 43728at6656          -            431   1.4e-31  109.0   2.7   7   7     0.018      0.34    8.9   0.0   168   199   397   428   392   429 0.76 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   1   6   2.9e-05   0.00054   18.2   0.2   394   430     1    36     1    37 0.92 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   2   6   1.8e-05   0.00034   18.9   0.4   398   429    50    80    46    82 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   3   6   1.8e-06   3.4e-05   22.1   0.2   165   206    87   128    81   135 0.90 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   4   6   4.1e-07   7.7e-06   24.3   0.1   370   430   153   214   137   215 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   5   6     0.046      0.85    7.6   0.0   393   429   235   271   228   273 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 43728at6656          -            431   1.8e-31  108.7  18.6   6   6   1.1e-07     2e-06   26.2   0.1   398   429   292   323   278   325 0.91 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 43728at6656          -            431   3.5e-28   97.9   4.8   1   5    0.0096      0.18    9.9   0.0   168   206    48    86    44    91 0.89 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 43728at6656          -            431   3.5e-28   97.9   4.8   2   5   9.8e-05    0.0018   16.4   0.1   166   209    89   132    86   134 0.90 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 43728at6656          -            431   3.5e-28   97.9   4.8   3   5   1.1e-05   0.00021   19.5   0.1   394   429   133   168   128   170 0.94 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 43728at6656          -            431   3.5e-28   97.9   4.8   4   5   1.8e-06   3.3e-05   22.2   0.0   356   429   179   251   169   255 0.81 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 43728at6656          -            431   3.5e-28   97.9   4.8   5   5   1.4e-08   2.6e-07   29.1   0.1   349   426   263   340   253   343 0.85 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 43728at6656          -            431   1.3e-27   96.0   4.7   1   5   1.7e-05   0.00032   18.9   0.0   172   209    14    51     8    57 0.91 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 43728at6656          -            431   1.3e-27   96.0   4.7   2   5   0.00053    0.0099   14.0   0.0   173   203    57    87    53    96 0.79 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 43728at6656          -            431   1.3e-27   96.0   4.7   3   5   3.4e-11   6.3e-10   37.7   0.4   173   269    99   204    94   204 0.77 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 43728at6656          -            431   1.3e-27   96.0   4.7   4   5     0.023      0.42    8.6   0.0   373   422   199   248   184   255 0.74 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+        -            298 43728at6656          -            431   1.3e-27   96.0   4.7   5   5   0.00037    0.0069   14.5   0.0   166   203   260   297   237   298 0.81 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   1   4   6.4e-05    0.0012   17.1   0.0   172   207     2    37     1    45 0.76 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   2   4   0.00015    0.0028   15.8   0.1   179   239    64   128    59   138 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   3   4   7.9e-11   1.5e-09   36.5   0.0   372   428   155   210   133   213 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   4   4   4.2e-07   7.7e-06   24.2   0.2   167   206   256   295   238   315 0.90 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   1   4   6.4e-05    0.0012   17.1   0.0   172   207     2    37     1    45 0.76 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   2   4   0.00015    0.0028   15.8   0.1   179   239    64   128    59   138 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   3   4   7.9e-11   1.5e-09   36.5   0.0   372   428   155   210   133   213 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-   -            326 43728at6656          -            431   3.2e-27   94.7   5.5   4   4   4.2e-07   7.7e-06   24.2   0.2   167   206   256   295   238   315 0.90 -
58110at6656_45779_0:002a12|TRINITY_DN84398_c2_g1_i1:105-836|+      -            244 43728at6656          -            431   2.2e-25   88.7   0.6   1   4    0.0071      0.13   10.3   0.0   372   410    17    55     1    70 0.58 -
