#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 50493at6656          -            547  1.5e-125  419.1   0.0   1   1  2.6e-127  1.9e-125  418.8   0.0   161   340     1   180     1   183 0.99 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   2   2   2.6e-10   1.9e-08   32.7   0.0   258   328    99   170    90   173 0.92 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 50493at6656          -            547   5.8e-16   57.4   0.0   1   2     2e-07   1.4e-05   23.1   0.0   187   263     2    79     1    82 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 50493at6656          -            547   5.8e-16   57.4   0.0   2   2   2.6e-10   1.9e-08   32.7   0.0   258   328    99   170    90   173 0.92 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   1   2     2e-07   1.4e-05   23.1   0.0   187   263     2    79     1    82 0.90 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 50493at6656          -            547   5.8e-16   57.4   0.0   2   2   2.6e-10   1.9e-08   32.7   0.0   258   328    99   170    90   173 0.92 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 50493at6656          -            547   2.2e-13   48.9   0.1   1   2   4.6e-10   3.3e-08   31.8   0.0   186   349     1   176     1   192 0.82 -
107139at6656_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-   -            445 50493at6656          -            547   2.2e-13   48.9   0.1   2   2   0.00043     0.031   12.1   0.0   186   256   366   437   362   444 0.79 -
39506at6656_7176_0:001e33|TRINITY_DN81038_c3_g2_i5:314-805|-        -            164 50493at6656          -            547   7.5e-13   47.1   0.1   1   1   1.5e-13   1.1e-11   43.3   0.1   179   319     5   161     1   162 0.78 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   1   6      0.16        11    3.6   0.2   186   254     4    71     2    82 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   2   6       7.2   5.1e+02   -1.8   0.3    30    74    96   140    77   152 0.69 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   3   6   2.7e-06    0.0002   19.4   0.0   176   247   339   411   235   417 0.81 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   4   6       4.5   3.2e+02   -1.2   0.0   186   210   531   555   525   566 0.82 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   5   6   5.2e-07   3.7e-05   21.8   0.0   172   247   634   708   631   727 0.90 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i3:188-2698|+     -            837 50493at6656          -            547   8.5e-13   47.0   9.3   6   6       0.3        21    2.8   0.0    49   122   745   819   718   834 0.64 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   1   6      0.16        11    3.7   0.2   186   254     4    71     2    83 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   2   6       7.2   5.2e+02   -1.8   0.3    30    74    96   140    77   152 0.69 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   3   6   2.8e-06    0.0002   19.3   0.0   176   247   339   411   235   417 0.81 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   4   6       4.6   3.3e+02   -1.2   0.0   186   210   531   555   525   566 0.82 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   5   6   5.4e-07   3.9e-05   21.7   0.0   172   247   634   708   624   721 0.90 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i2:188-2746|+     -            853 50493at6656          -            547   8.5e-13   47.0   9.5   6   6      0.23        17    3.1   0.0    52   123   747   820   720   848 0.65 -
80689at6656_56086_0:002e85|TRINITY_DN73894_c3_g1_i1:395-880|+       -            162 50493at6656          -            547   1.1e-12   46.6   0.4   1   1   1.9e-14   1.4e-12   46.3   0.4   186   301     2   118     1   136 0.81 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i13:2940-3293|+ -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i2:292-645|+    -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i3:2678-3031|+  -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i5:292-645|+    -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i7:2940-3293|+  -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i8:2940-3293|+  -            118 50493at6656          -            547     4e-12   44.7   0.3   1   1   6.1e-14   4.3e-12   44.6   0.3   186   296     1   110     1   118 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 50493at6656          -            547   3.4e-11   41.7   0.1   1   2   4.5e-11   3.2e-09   35.2   0.0   186   333    86   253    82   258 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i14:147-1877|-    -            577 50493at6656          -            547   3.4e-11   41.7   0.1   2   2      0.74        53    1.4   0.0    31    85   463   518   435   557 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 50493at6656          -            547   3.4e-11   41.7   0.1   1   2   4.5e-11   3.2e-09   35.2   0.0   186   333    86   253    82   258 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i4:147-1877|-     -            577 50493at6656          -            547   3.4e-11   41.7   0.1   2   2      0.74        53    1.4   0.0    31    85   463   518   435   557 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 50493at6656          -            547   3.6e-11   41.6   0.1   1   2   4.6e-11   3.3e-09   35.1   0.0   186   333    86   253    83   259 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i12:147-1895|-    -            583 50493at6656          -            547   3.6e-11   41.6   0.1   2   2      0.76        54    1.4   0.0    31    85   469   524   441   563 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 50493at6656          -            547   3.6e-11   41.6   0.1   1   2   4.6e-11   3.3e-09   35.1   0.0   186   333    86   253    83   259 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i1:147-1895|-     -            583 50493at6656          -            547   3.6e-11   41.6   0.1   2   2      0.76        54    1.4   0.0    31    85   469   524   441   563 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 50493at6656          -            547   3.6e-11   41.6   0.1   1   2   4.6e-11   3.3e-09   35.1   0.0   186   333    86   253    83   259 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i8:147-1895|-     -            583 50493at6656          -            547   3.6e-11   41.6   0.1   2   2      0.76        54    1.4   0.0    31    85   469   524   441   563 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 50493at6656          -            547     4e-11   41.5   0.1   1   3   1.6e-06   0.00011   20.2   0.0   266   334    85   157    81   210 0.73 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 50493at6656          -            547     4e-11   41.5   0.1   2   3   2.5e-05    0.0018   16.2   0.0   265   333   211   283   205   288 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i3:147-1967|-     -            607 50493at6656          -            547     4e-11   41.5   0.1   3   3      0.81        58    1.3   0.0    31    85   493   548   465   586 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 50493at6656          -            547   4.2e-11   41.4   0.1   1   3   1.6e-06   0.00011   20.1   0.0   266   334    85   157    81   210 0.73 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 50493at6656          -            547   4.2e-11   41.4   0.1   2   3   2.4e-05    0.0017   16.2   0.0   265   333   211   283   205   290 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i10:147-1985|-    -            613 50493at6656          -            547   4.2e-11   41.4   0.1   3   3      0.82        59    1.3   0.0    31    85   499   554   471   592 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 50493at6656          -            547   4.2e-11   41.4   0.1   1   3   1.6e-06   0.00011   20.1   0.0   266   334    85   157    81   210 0.73 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 50493at6656          -            547   4.2e-11   41.4   0.1   2   3   2.4e-05    0.0017   16.2   0.0   265   333   211   283   205   290 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i7:147-1985|-     -            613 50493at6656          -            547   4.2e-11   41.4   0.1   3   3      0.82        59    1.3   0.0    31    85   499   554   471   592 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 50493at6656          -            547   4.3e-11   41.3   0.2   1   2     5e-11   3.6e-09   35.0   0.0   186   333   108   275   105   281 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i5:147-1961|-     -            605 50493at6656          -            547   4.3e-11   41.3   0.2   2   2      0.81        58    1.3   0.0    31    85   491   546   463   584 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 50493at6656          -            547   4.7e-11   41.2   0.3   1   2     4e-11   2.9e-09   35.3   0.0   186   333    86   253    83   259 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i2:937-2568|-     -            544 50493at6656          -            547   4.7e-11   41.2   0.3   2   2       1.1        79    0.9   0.1    31    84   469   523   441   539 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 50493at6656          -            547   4.7e-11   41.2   0.3   1   2     4e-11   2.9e-09   35.3   0.0   186   333    86   253    83   259 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 50493at6656          -            547   4.7e-11   41.2   0.3   2   2       1.1        79    0.9   0.1    31    84   469   523   441   539 0.70 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 50493at6656          -            547   5.1e-11   41.1   0.2   1   3   1.4e-06    0.0001   20.3   0.0   266   334    85   157    81   210 0.73 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 50493at6656          -            547   5.1e-11   41.1   0.2   2   3   2.2e-05    0.0016   16.4   0.0   265   333   211   283   205   290 0.82 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i6:937-2658|-     -            574 50493at6656          -            547   5.1e-11   41.1   0.2   3   3       1.2        85    0.8   0.1    31    84   499   553   471   569 0.70 -
137711at6656_7425_0:001fb1|TRINITY_DN84616_c7_g1_i3:372-644|+       -             91 50493at6656          -            547   1.2e-08   33.2   0.0   1   1   1.9e-10   1.3e-08   33.1   0.0   186   247     1    63     1    77 0.91 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 50493at6656          -            547   1.3e-08   33.1   0.2   1   2     0.077       5.5    4.7   0.0   266   339     7    84     2    94 0.66 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 50493at6656          -            547   1.3e-08   33.1   0.2   2   2   1.7e-08   1.2e-06   26.7   0.0   186   259    95   170    89   176 0.86 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 50493at6656          -            547   1.6e-08   32.9   0.1   1   2       6.4   4.6e+02   -1.6   0.0   191   233     6    49     1    64 0.59 -
80689at6656_6850_0:000ee2|TRINITY_DN84616_c7_g1_i1:526-1491|+       -            322 50493at6656          -            547   1.6e-08   32.9   0.1   2   2   8.5e-10     6e-08   31.0   0.0   185   247    98   161    82   172 0.86 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-      -             97 50493at6656          -            547     2e-08   32.5   0.0   1   1   3.4e-10   2.4e-08   32.3   0.0   263   338     5    84     2    93 0.81 -
137711at6656_62324_0:00096a|TRINITY_DN81419_c9_g1_i3:550-840|-      -             97 50493at6656          -            547     2e-08   32.5   0.0   1   1   3.4e-10   2.4e-08   32.3   0.0   263   338     5    84     2    93 0.81 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 50493at6656          -            547     7e-08   30.7   2.5   1   2   4.5e-07   3.2e-05   22.0   1.3    86   243    41   187     6   195 0.78 -
106466at6656_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-   -            612 50493at6656          -            547     7e-08   30.7   2.5   2   2     0.012      0.88    7.3   0.0   176   215   341   380   339   410 0.77 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i10:115-648|-     -            178 50493at6656          -            547   7.1e-08   30.7   0.0   1   1     1e-09   7.4e-08   30.7   0.0   183   337     4   171     1   178 0.84 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i1:385-918|-      -            178 50493at6656          -            547   7.1e-08   30.7   0.0   1   1     1e-09   7.4e-08   30.7   0.0   183   337     4   171     1   178 0.84 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i7:115-648|-      -            178 50493at6656          -            547   7.1e-08   30.7   0.0   1   1     1e-09   7.4e-08   30.7   0.0   183   337     4   171     1   178 0.84 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i8:385-918|-      -            178 50493at6656          -            547   7.1e-08   30.7   0.0   1   1     1e-09   7.4e-08   30.7   0.0   183   337     4   171     1   178 0.84 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i11:2679-2870|+ -             64 50493at6656          -            547   1.4e-07   29.8   0.0   1   1   1.9e-09   1.4e-07   29.8   0.0   186   232     1    48     1    62 0.91 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i14:2679-2870|+ -             64 50493at6656          -            547   1.4e-07   29.8   0.0   1   1   1.9e-09   1.4e-07   29.8   0.0   186   232     1    48     1    62 0.91 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i1:2679-2870|+  -             64 50493at6656          -            547   1.4e-07   29.8   0.0   1   1   1.9e-09   1.4e-07   29.8   0.0   186   232     1    48     1    62 0.91 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i4:292-432|+     -             47 50493at6656          -            547   1.9e-07   29.3   0.0   1   1   2.8e-09     2e-07   29.2   0.0   186   231     1    47     1    47 0.94 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i6:2679-2819|+   -             47 50493at6656          -            547   1.9e-07   29.3   0.0   1   1   2.8e-09     2e-07   29.2   0.0   186   231     1    47     1    47 0.94 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   1   3      0.27        19    2.9   0.0   183   207     3    27     1    81 0.78 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   2   3   0.00057     0.041   11.7   0.0   265   348   123   210   118   225 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i2:683-1672|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   3   3    0.0014       0.1   10.4   0.0   197   247   255   308   250   316 0.83 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   1   3      0.27        19    2.9   0.0   183   207     3    27     1    81 0.78 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   2   3   0.00057     0.041   11.7   0.0   265   348   123   210   118   225 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i3:624-1613|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   3   3    0.0014       0.1   10.4   0.0   197   247   255   308   250   316 0.83 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   1   3      0.27        19    2.9   0.0   183   207     3    27     1    81 0.78 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   2   3   0.00057     0.041   11.7   0.0   265   348   123   210   118   225 0.81 -
80689at6656_133901_0:00225e|TRINITY_DN87254_c8_g2_i7:746-1735|+     -            330 50493at6656          -            547   2.6e-07   28.9   0.0   3   3    0.0014       0.1   10.4   0.0   197   247   255   308   250   316 0.83 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i10:932-1429|+     -            166 50493at6656          -            547   3.1e-07   28.6   0.0   1   1   8.7e-09   6.2e-07   27.6   0.0   186   328     2   156     1   163 0.84 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 50493at6656          -            547   3.1e-07   28.6   0.0   1   1   8.7e-09   6.2e-07   27.6   0.0   186   328     2   156     1   163 0.84 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i4:932-1429|+      -            166 50493at6656          -            547   3.1e-07   28.6   0.0   1   1   8.7e-09   6.2e-07   27.6   0.0   186   328     2   156     1   163 0.84 -
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 50493at6656          -            547   4.4e-07   28.1   0.1   1   1   7.2e-09   5.2e-07   27.9   0.1   181   248    15    80     9   106 0.87 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i2:1117-1377|-    -             87 50493at6656          -            547   7.5e-07   27.3   0.0   1   1   1.1e-08   7.9e-07   27.3   0.0   193   259     6    73     1    86 0.59 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i4:1693-1953|-    -             87 50493at6656          -            547   7.5e-07   27.3   0.0   1   1   1.1e-08   7.9e-07   27.3   0.0   193   259     6    73     1    86 0.59 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i5:1693-1953|-    -             87 50493at6656          -            547   7.5e-07   27.3   0.0   1   1   1.1e-08   7.9e-07   27.3   0.0   193   259     6    73     1    86 0.59 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i2:407-619|-     -             71 50493at6656          -            547   1.3e-06   26.6   0.0   1   1   1.8e-08   1.3e-06   26.6   0.0   186   255     1    70     1    71 0.88 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i5:407-619|-     -             71 50493at6656          -            547   1.3e-06   26.6   0.0   1   1   1.8e-08   1.3e-06   26.6   0.0   186   255     1    70     1    71 0.88 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i7:407-619|-     -             71 50493at6656          -            547   1.3e-06   26.6   0.0   1   1   1.8e-08   1.3e-06   26.6   0.0   186   255     1    70     1    71 0.88 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i1:181-405|+       -             75 50493at6656          -            547   2.1e-06   25.9   0.1   1   1   3.1e-08   2.2e-06   25.8   0.1   188   249     3    65     1    73 0.88 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i3:121-345|+       -             75 50493at6656          -            547   2.1e-06   25.9   0.1   1   1   3.1e-08   2.2e-06   25.8   0.1   188   249     3    65     1    73 0.88 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i6:181-405|+       -             75 50493at6656          -            547   2.1e-06   25.9   0.1   1   1   3.1e-08   2.2e-06   25.8   0.1   188   249     3    65     1    73 0.88 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i7:181-405|+       -             75 50493at6656          -            547   2.1e-06   25.9   0.1   1   1   3.1e-08   2.2e-06   25.8   0.1   188   249     3    65     1    73 0.88 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i1:725-955|+      -             77 50493at6656          -            547   2.2e-06   25.8   0.0   1   1   3.2e-08   2.3e-06   25.7   0.0   268   336     5    77     1    77 0.84 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i2:423-653|+      -             77 50493at6656          -            547   2.2e-06   25.8   0.0   1   1   3.2e-08   2.3e-06   25.7   0.0   268   336     5    77     1    77 0.84 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i1:131-463|+      -            111 50493at6656          -            547   2.3e-06   25.8   0.0   1   1   1.4e-07     1e-05   23.6   0.0   274   349    20   101    10   108 0.66 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i2:131-463|+      -            111 50493at6656          -            547   2.3e-06   25.8   0.0   1   1   1.4e-07     1e-05   23.6   0.0   274   349    20   101    10   108 0.66 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+    -            375 50493at6656          -            547   8.4e-06   23.9   0.0   1   1   1.6e-07   1.2e-05   23.4   0.0   265   345   208   286   195   315 0.89 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 50493at6656          -            547   8.4e-06   23.9   0.0   1   1   1.6e-07   1.2e-05   23.4   0.0   265   345   208   286   195   315 0.89 -
137711at6656_7176_0:003daf|TRINITY_DN78507_c3_g2_i1:253-465|+       -             71 50493at6656          -            547     1e-05   23.6   0.0   1   1   1.4e-07     1e-05   23.6   0.0   186   245     1    60     1    71 0.92 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 50493at6656          -            547   1.4e-05   23.1   0.2   1   2   0.00039     0.028   12.2   0.1   183   259     4    83     1    90 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i11:115-699|-     -            195 50493at6656          -            547   1.4e-05   23.1   0.2   2   2    0.0036      0.26    9.1   0.0   170   246    96   173    91   176 0.86 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 50493at6656          -            547   1.4e-05   23.1   0.2   1   2   0.00039     0.028   12.2   0.1   183   259     4    83     1    90 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i13:115-699|-     -            195 50493at6656          -            547   1.4e-05   23.1   0.2   2   2    0.0036      0.26    9.1   0.0   170   246    96   173    91   176 0.86 -
