#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118496at6656_6973_0:003893|TRINITY_DN79535_c7_g1_i1:142-705|-      -            188 118496at6656         -            160   1.1e-73  245.5   2.9   1   1   2.6e-76   1.4e-73  245.1   2.9     1   160     1   188     1   188 0.90 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i1:2311-3432|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   3   3     0.003       1.6    7.7   0.0    82   145   299   364   261   369 0.77 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i3:2300-3421|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   1   3    0.0025       1.3    7.9   0.0    90   118    82   110    72   126 0.79 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i3:2300-3421|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   2   3         8   4.3e+03   -3.5   0.1   136   152   218   234   216   242 0.72 -
59197at6656_407821_0:0068a3|TRINITY_DN93417_c8_g3_i3:2300-3421|-   -            374 118496at6656         -            160    0.0014   17.6   1.2   3   3     0.003       1.6    7.7   0.0    82   145   299   364   261   369 0.77 -
118496at6656_568069_0:001fac|TRINITY_DN80005_c17_g2_i1:308-796|+   -            163 118496at6656         -            160    0.0019   17.2   0.4   1   2   0.00023      0.12   11.3   0.1    54   118    58   128    50   141 0.72 -
118496at6656_568069_0:001fac|TRINITY_DN80005_c17_g2_i1:308-796|+   -            163 118496at6656         -            160    0.0019   17.2   0.4   2   2     0.032        17    4.3   0.0    20    44   139   163   133   163 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/118496at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/118496at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/118496at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:45 2026
# [ok]
