#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68491at6656_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+       -             51 68491at6656          -            382   5.2e-21   74.2   0.1   1   1   1.9e-23   5.5e-21   74.1   0.1   237   284     1    51     1    51 0.89 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 68491at6656          -            382   2.7e-06   25.7   4.0   3   3     0.016       4.6    5.2   0.0   203   258   231   289   196   292 0.88 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   1   2   6.8e-05     0.019   13.0   1.2   240   334    63   155    28   162 0.63 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   2   2   4.2e-05     0.012   13.7   0.4   214   301   167   257   162   260 0.83 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   1   2   6.8e-05     0.019   13.0   1.2   240   334    63   155    28   162 0.63 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   2   2   4.2e-05     0.012   13.7   0.4   214   301   167   257   162   260 0.83 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 68491at6656          -            382     9e-06   24.0   7.5   1   2   6.8e-05     0.019   13.0   1.2   240   334    63   155    28   162 0.63 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+      -            274 68491at6656          -            382     9e-06   24.0   7.5   2   2   4.2e-05     0.012   13.7   0.4   214   301   167   257   162   260 0.83 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   1   2   6.8e-05     0.019   13.0   1.2   240   334    63   155    28   162 0.63 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+    -            274 68491at6656          -            382     9e-06   24.0   7.5   2   2   4.2e-05     0.012   13.7   0.4   214   301   167   257   162   260 0.83 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+    -            135 68491at6656          -            382   3.9e-05   21.9   0.6   1   1   4.1e-07   0.00012   20.3   0.6   214   335     5   130     2   132 0.88 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+    -            135 68491at6656          -            382   3.9e-05   21.9   0.6   1   1   4.1e-07   0.00012   20.3   0.6   214   335     5   130     2   132 0.88 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+    -            135 68491at6656          -            382   3.9e-05   21.9   0.6   1   1   4.1e-07   0.00012   20.3   0.6   214   335     5   130     2   132 0.88 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+    -            135 68491at6656          -            382   3.9e-05   21.9   0.6   1   1   4.1e-07   0.00012   20.3   0.6   214   335     5   130     2   132 0.88 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+    -            210 68491at6656          -            382   5.8e-05   21.4   0.2   1   1   4.2e-07   0.00012   20.3   0.1   227   323    60   156    34   162 0.85 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+    -            284 68491at6656          -            382   6.8e-05   21.1   0.6   1   1     1e-06   0.00029   19.0   0.1   228   323   108   203    86   207 0.86 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+    -            284 68491at6656          -            382   6.8e-05   21.1   0.6   1   1     1e-06   0.00029   19.0   0.1   228   323   108   203    86   207 0.86 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 68491at6656          -            382   0.00011   20.4   0.3   1   2   8.6e-07   0.00025   19.3   0.1   227   323    81   177    49   184 0.85 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+        -            293 68491at6656          -            382   0.00011   20.4   0.3   2   2       3.9   1.1e+03   -2.6   0.0   212   244   199   231   185   245 0.62 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 68491at6656          -            382   0.00024   19.3  11.1   1   3       2.6   7.5e+02   -2.1   0.1   166   197   148   179   142   193 0.72 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 68491at6656          -            382   0.00024   19.3  11.1   2   3     2e-05    0.0057   14.8   4.3   249   334   300   386   201   389 0.79 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 68491at6656          -            382   0.00024   19.3  11.1   3   3   3.5e-05      0.01   14.0   0.7   173   288   351   475   347   481 0.87 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   1   3         8   2.3e+03   -3.6   0.0   199   235    47    83    44   103 0.69 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   2   3     0.028         8    4.4   0.0   171   255   115   208   113   226 0.76 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i1:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   3   3   0.00082      0.24    9.5   0.1   171   259   219   316   209   327 0.75 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   1   3         8   2.3e+03   -3.6   0.0   199   235    47    83    44   103 0.69 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   2   3     0.028         8    4.4   0.0   171   255   115   208   113   226 0.76 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+   -            329 68491at6656          -            382    0.0019   16.3   0.1   3   3   0.00082      0.24    9.5   0.1   171   259   219   316   209   327 0.75 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   1   2       1.3   3.7e+02   -1.0   0.0   299   324    15    40     9    54 0.64 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   2   2     4e-05     0.012   13.8   1.4   236   327    57   146    28   154 0.69 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+     -            154 68491at6656          -            382    0.0061   14.7   2.0   1   2       1.3   3.7e+02   -1.0   0.0   299   324    15    40     9    54 0.64 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+     -            154 68491at6656          -            382    0.0061   14.7   2.0   2   2     4e-05     0.012   13.8   1.4   236   327    57   146    28   154 0.69 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   1   2       1.3   3.7e+02   -1.0   0.0   299   324    15    40     9    54 0.64 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   2   2     4e-05     0.012   13.8   1.4   236   327    57   146    28   154 0.69 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   1   2       1.3   3.7e+02   -1.0   0.0   299   324    15    40     9    54 0.64 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+   -            154 68491at6656          -            382    0.0061   14.7   2.0   2   2     4e-05     0.012   13.8   1.4   236   327    57   146    28   154 0.69 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 68491at6656          -            382    0.0062   14.7   5.0   1   4      0.02       5.6    4.9   0.1   241   325    27   111     6   130 0.71 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 68491at6656          -            382    0.0062   14.7   5.0   2   4     0.007         2    6.4   0.0   199   259   375   435   352   438 0.86 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 68491at6656          -            382    0.0062   14.7   5.0   3   4      0.68   1.9e+02   -0.1   0.1   164   188   479   503   465   547 0.67 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+   -            721 68491at6656          -            382    0.0062   14.7   5.0   4   4      0.21        61    1.5   0.1   193   230   667   705   660   715 0.81 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 68491at6656          -            382    0.0066   14.6   0.0   1   2     0.092        26    2.7   0.0   173   255     1    92     1   109 0.73 -
27617at6656_7130_0:0014f5|TRINITY_DN88265_c10_g1_i4:697-1602|+     -            302 68491at6656          -            382    0.0066   14.6   0.0   2   2   0.00054      0.15   10.1   0.1   171   259   103   200    88   212 0.76 -
68491at6656_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+    -            102 68491at6656          -            382    0.0088   14.2   0.0   1   1   4.5e-05     0.013   13.6   0.0   338   366     8    38     4    56 0.78 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+     -            357 68491at6656          -            382     0.011   13.9   0.5   1   2   0.00019     0.055   11.6   0.3   190   366    64   249    40   264 0.78 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+     -            357 68491at6656          -            382     0.011   13.9   0.5   2   2      0.66   1.9e+02   -0.1   0.0   213   270   262   322   248   345 0.69 -
113817at6656_144034_0:0021ac|TRINITY_DN86577_c6_g1_i1:37-576|+     -            180 68491at6656          -            382     0.015   13.4   0.3   1   1   6.9e-05      0.02   13.0   0.3   205   262    59   119    49   124 0.88 -
113817at6656_132113_0:002d6c|TRINITY_DN86577_c6_g1_i2:448-1038|+   -            197 68491at6656          -            382     0.017   13.2   0.3   1   1   8.3e-05     0.024   12.8   0.3   205   262    76   136    66   141 0.88 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+     -            358 68491at6656          -            382     0.018   13.2   0.6   1   2   0.00041      0.12   10.5   0.3   201   366    77   246    62   262 0.79 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+     -            358 68491at6656          -            382     0.018   13.2   0.6   2   2      0.61   1.7e+02    0.0   0.0   213   271   259   320   246   349 0.69 -
113817at6656_7038_0:00193c|TRINITY_DN86577_c6_g1_i3:277-983|+      -            234 68491at6656          -            382     0.018   13.1   0.3   1   1   9.1e-05     0.026   12.6   0.3   205   263   133   194   123   201 0.87 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 68491at6656          -            382     0.029   12.5   0.2   1   2     0.076        22    3.0   0.0     5    25    13    33    10    46 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|- -            400 68491at6656          -            382     0.029   12.5   0.2   2   2    0.0055       1.6    6.8   0.0   172   236   284   348   271   361 0.89 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 68491at6656          -            382     0.029   12.5   0.2   1   2     0.076        22    3.0   0.0     5    25    13    33    10    46 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|- -            400 68491at6656          -            382     0.029   12.5   0.2   2   2    0.0055       1.6    6.8   0.0   172   236   284   348   271   361 0.89 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 68491at6656          -            382     0.029   12.5   0.2   1   2     0.076        22    3.0   0.0     5    25    13    33    10    46 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-  -            400 68491at6656          -            382     0.029   12.5   0.2   2   2    0.0055       1.6    6.8   0.0   172   236   284   348   271   361 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/68491at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/68491at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:53 2026
# [ok]
