#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87928at6656_294128_0:003b80|TRINITY_DN78516_c9_g1_i1:1607-2704|-   -            366 87928at6656          -            293  1.6e-153  509.1   0.0   1   1  1.3e-154  1.9e-153  508.8   0.0     2   293    37   366    36   366 0.91 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i5:1384-2160|+    -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i6:1521-2297|+    -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
75704at6656_62625_0:000832|TRINITY_DN91307_c6_g1_i7:1445-2221|+    -            259 87928at6656          -            293     1e-54  184.8   0.0   1   1   7.7e-56   1.2e-54  184.5   0.0    21   235    27   251    10   259 0.86 -
87928at6656_108931_0:00068a|TRINITY_DN79801_c12_g1_i1:1023-1826|+  -            268 87928at6656          -            293   6.5e-51  172.3   0.0   1   1   4.6e-52     7e-51  172.2   0.0    22   244    30   262     1   268 0.84 -
75704at6656_62625_0:000832|TRINITY_DN84868_c11_g2_i11:1576-2361|-  -            262 87928at6656          -            293   1.2e-49  168.1   0.0   1   1   9.2e-51   1.4e-49  167.9   0.0    27   235    43   254    19   262 0.83 -
75704at6656_62625_0:000832|TRINITY_DN84868_c11_g2_i13:4212-4997|-  -            262 87928at6656          -            293   1.2e-49  168.1   0.0   1   1   9.2e-51   1.4e-49  167.9   0.0    27   235    43   254    19   262 0.83 -
75704at6656_62625_0:000832|TRINITY_DN84868_c11_g2_i4:4210-4995|-   -            262 87928at6656          -            293   1.2e-49  168.1   0.0   1   1   9.2e-51   1.4e-49  167.9   0.0    27   235    43   254    19   262 0.83 -
75704at6656_62625_0:000832|TRINITY_DN84868_c11_g2_i6:4210-4995|-   -            262 87928at6656          -            293   1.2e-49  168.1   0.0   1   1   9.2e-51   1.4e-49  167.9   0.0    27   235    43   254    19   262 0.83 -
75704at6656_62625_0:000832|TRINITY_DN84868_c11_g2_i8:4212-4844|-   -            211 87928at6656          -            293   7.4e-48  162.2   0.0   1   1   5.6e-49   8.7e-48  162.0   0.0    58   235    20   203     9   211 0.89 -
87928at6656_218467_0:0034e5|TRINITY_DN87198_c15_g2_i2:439-1398|+   -            320 87928at6656          -            293   2.4e-47  160.5   0.0   1   1   3.7e-48   5.7e-47  159.3   0.0    22   253    38   308    26   318 0.73 -
87928at6656_126957_0:000f44|TRINITY_DN87198_c15_g2_i1:641-1573|+   -            311 87928at6656          -            293   2.9e-47  160.3   0.0   1   1   4.2e-48   6.5e-47  159.1   0.0    22   244    33   296    19   310 0.74 -
75704at6656_28612_0:0052c4|TRINITY_DN84868_c11_g2_i15:4117-4767|-  -            217 87928at6656          -            293   4.7e-47  159.6   0.0   1   1   3.6e-48   5.6e-47  159.4   0.0    74   250     1   185     1   197 0.90 -
75704at6656_28612_0:0052c4|TRINITY_DN84868_c11_g2_i9:4089-4739|-   -            217 87928at6656          -            293   4.7e-47  159.6   0.0   1   1   3.6e-48   5.6e-47  159.4   0.0    74   250     1   185     1   197 0.90 -
75704at6656_45779_0:002831|TRINITY_DN78149_c11_g3_i1:641-1498|-    -            286 87928at6656          -            293   1.1e-46  158.4   0.0   1   1     9e-48   1.4e-46  158.1   0.0    33   244    61   278    40   284 0.87 -
75704at6656_45779_0:002831|TRINITY_DN78149_c11_g3_i2:641-1498|-    -            286 87928at6656          -            293   1.1e-46  158.4   0.0   1   1     9e-48   1.4e-46  158.1   0.0    33   244    61   278    40   284 0.87 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i13:2097-3221|-   -            375 87928at6656          -            293   1.4e-44  151.5   0.0   1   1   1.2e-45   1.9e-44  151.1   0.0    33   235    68   276    58   294 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i2:2098-3222|-    -            375 87928at6656          -            293   1.4e-44  151.5   0.0   1   1   1.2e-45   1.9e-44  151.1   0.0    33   235    68   276    58   294 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i6:2098-3222|-    -            375 87928at6656          -            293   1.4e-44  151.5   0.0   1   1   1.2e-45   1.9e-44  151.1   0.0    33   235    68   276    58   294 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i11:2097-3263|-   -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i12:2099-3265|-   -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i15:2096-3262|-   -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i17:2099-3265|-   -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i1:2096-3262|-    -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i4:2096-3262|-    -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_7004_0:001161|TRINITY_DN92156_c10_g1_i9:2096-3262|-    -            389 87928at6656          -            293   1.7e-44  151.2   0.0   1   1   1.6e-45   2.4e-44  150.7   0.0    33   235    68   276    59   289 0.88 -
75704at6656_418985_0:000247|TRINITY_DN77732_c10_g1_i4:234-983|+    -            250 87928at6656          -            293   3.3e-39  133.9   0.0   1   1   2.6e-40   4.1e-39  133.6   0.0    35   236    46   245    14   249 0.86 -
75704at6656_418985_0:000247|TRINITY_DN77732_c10_g1_i6:234-983|+    -            250 87928at6656          -            293   3.3e-39  133.9   0.0   1   1   2.6e-40   4.1e-39  133.6   0.0    35   236    46   245    14   249 0.86 -
75704at6656_418985_0:000247|TRINITY_DN77732_c10_g1_i7:234-983|+    -            250 87928at6656          -            293   3.3e-39  133.9   0.0   1   1   2.6e-40   4.1e-39  133.6   0.0    35   236    46   245    14   249 0.86 -
75704at6656_158441_0:0000eb|TRINITY_DN91522_c4_g1_i2:2077-2859|-   -            261 87928at6656          -            293     6e-39  133.0   0.0   1   1   4.6e-40   7.1e-39  132.8   0.0    21   242    36   260    20   261 0.87 -
75704at6656_158441_0:0000eb|TRINITY_DN91522_c4_g1_i4:328-1110|-    -            261 87928at6656          -            293     6e-39  133.0   0.0   1   1   4.6e-40   7.1e-39  132.8   0.0    21   242    36   260    20   261 0.87 -
75704at6656_158441_0:0000eb|TRINITY_DN91522_c4_g1_i5:2077-2859|-   -            261 87928at6656          -            293     6e-39  133.0   0.0   1   1   4.6e-40   7.1e-39  132.8   0.0    21   242    36   260    20   261 0.87 -
75704at6656_158441_0:0000eb|TRINITY_DN91522_c4_g1_i6:1987-2769|-   -            261 87928at6656          -            293     6e-39  133.0   0.0   1   1   4.6e-40   7.1e-39  132.8   0.0    21   242    36   260    20   261 0.87 -
66366at6656_378494_0:0001f4|TRINITY_DN79363_c2_g1_i3:1137-2054|+   -            306 87928at6656          -            293     5e-38  130.0   0.0   1   1   4.9e-39   7.5e-38  129.4   0.0     9   235    14   251     5   302 0.78 -
66366at6656_286706_0:0004e9|TRINITY_DN79363_c2_g1_i10:788-1639|+   -            284 87928at6656          -            293   9.2e-38  129.1   0.0   1   1   7.3e-39   1.1e-37  128.8   0.0     9   234    14   250     5   275 0.81 -
66366at6656_286706_0:0004e9|TRINITY_DN79363_c2_g1_i7:788-1639|+    -            284 87928at6656          -            293   9.2e-38  129.1   0.0   1   1   7.3e-39   1.1e-37  128.8   0.0     9   234    14   250     5   275 0.81 -
66366at6656_286706_0:0004e9|TRINITY_DN79363_c2_g1_i8:731-1582|+    -            284 87928at6656          -            293   9.2e-38  129.1   0.0   1   1   7.3e-39   1.1e-37  128.8   0.0     9   234    14   250     5   275 0.81 -
66366at6656_218467_0:004751|TRINITY_DN79363_c2_g1_i6:1164-2018|+   -            285 87928at6656          -            293   1.4e-37  128.5   0.0   1   1   1.2e-38   1.8e-37  128.1   0.0    21   234    26   241     2   274 0.83 -
66366at6656_218467_0:004751|TRINITY_DN79363_c2_g1_i9:266-1120|+    -            285 87928at6656          -            293   1.4e-37  128.5   0.0   1   1   1.2e-38   1.8e-37  128.1   0.0    21   234    26   241     2   274 0.83 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i2:2086-2673|+  -            196 87928at6656          -            293   1.8e-37  128.2   0.1   1   1   1.3e-38   2.1e-37  128.0   0.1    23   173    29   194    18   196 0.85 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i3:1960-2547|+  -            196 87928at6656          -            293   1.8e-37  128.2   0.1   1   1   1.3e-38   2.1e-37  128.0   0.1    23   173    29   194    18   196 0.85 -
87928at6656_568069_0:004346|TRINITY_DN71339_c11_g1_i7:1335-1922|+  -            196 87928at6656          -            293   1.8e-37  128.2   0.1   1   1   1.3e-38   2.1e-37  128.0   0.1    23   173    29   194    18   196 0.85 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i10:2825-3724|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i11:2876-3775|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i12:2861-3760|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i17:2936-3835|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i18:2915-3814|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i1:2840-3739|-   -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i20:2906-3805|-  -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i3:2891-3790|-   -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i4:2951-3850|-   -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i5:3005-3904|-   -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
75704at6656_286706_0:000fec|TRINITY_DN90566_c4_g1_i7:2900-3799|-   -            300 87928at6656          -            293   2.5e-37  127.7   0.0   1   1     2e-38   3.1e-37  127.4   0.0    32   243    45   254    27   291 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN73777_c16_g3_i3:1271-2173|-  -            301 87928at6656          -            293   2.6e-37  127.6   0.0   1   1   2.1e-38   3.3e-37  127.3   0.0    51   234    76   255    14   288 0.85 -
132340at6656_54969_0:0029cc|TRINITY_DN73777_c16_g3_i4:1449-2351|-  -            301 87928at6656          -            293   2.6e-37  127.6   0.0   1   1   2.1e-38   3.3e-37  127.3   0.0    51   234    76   255    14   288 0.85 -
132340at6656_54969_0:0029cc|TRINITY_DN73777_c16_g4_i3:404-1306|+   -            301 87928at6656          -            293   2.6e-37  127.6   0.0   1   1   2.1e-38   3.3e-37  127.3   0.0    51   234    76   255    14   288 0.85 -
75704at6656_7539_0:000b2a|TRINITY_DN90977_c1_g2_i2:2613-3374|-     -            254 87928at6656          -            293   9.2e-37  125.8   0.2   1   1   7.1e-38   1.1e-36  125.6   0.2    31   241    44   252    15   254 0.80 -
75704at6656_7539_0:000b2a|TRINITY_DN90977_c1_g2_i4:2724-3485|-     -            254 87928at6656          -            293   9.2e-37  125.8   0.2   1   1   7.1e-38   1.1e-36  125.6   0.2    31   241    44   252    15   254 0.80 -
75704at6656_28612_0:0052c4|TRINITY_DN87513_c15_g2_i1:119-892|+     -            258 87928at6656          -            293   1.2e-36  125.5   0.1   1   1   9.5e-38   1.5e-36  125.2   0.1    24   243    36   253    19   257 0.87 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i11:196-978|-     -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i12:196-978|-     -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i13:196-978|-     -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i14:196-978|-     -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i8:196-978|-      -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_7070_0:001946|TRINITY_DN89132_c13_g1_i9:196-978|-      -            261 87928at6656          -            293   2.4e-36  124.4   0.0   1   1     2e-37   3.1e-36  124.1   0.0    30   245    40   258    20   260 0.85 -
75704at6656_108931_0:000186|TRINITY_DN82423_c10_g3_i3:563-1303|+   -            247 87928at6656          -            293   7.3e-36  122.9   0.4   1   1     6e-37   9.2e-36  122.5   0.4    21   234    29   244    11   246 0.79 -
75704at6656_6669_0:005f72|TRINITY_DN89132_c13_g1_i10:211-978|-     -            256 87928at6656          -            293   1.1e-35  122.3   0.0   1   1   8.3e-37   1.3e-35  122.1   0.0    30   235    40   246    20   256 0.84 -
75704at6656_6669_0:005f72|TRINITY_DN89132_c13_g1_i6:211-978|-      -            256 87928at6656          -            293   1.1e-35  122.3   0.0   1   1   8.3e-37   1.3e-35  122.1   0.0    30   235    40   246    20   256 0.84 -
66366at6656_218467_0:004751|TRINITY_DN76879_c4_g1_i1:297-1085|+    -            263 87928at6656          -            293     4e-35  120.5   0.0   1   1   3.1e-36   4.8e-35  120.2   0.0    29   242    51   262    30   263 0.85 -
75704at6656_108931_0:000186|TRINITY_DN82423_c10_g3_i5:724-1452|+   -            243 87928at6656          -            293     1e-34  119.1   0.4   1   1   8.1e-36   1.3e-34  118.8   0.4    21   231    29   241    11   243 0.78 -
75704at6656_108931_0:000186|TRINITY_DN82423_c10_g3_i8:801-1529|+   -            243 87928at6656          -            293     1e-34  119.1   0.4   1   1   8.1e-36   1.3e-34  118.8   0.4    21   231    29   241    11   243 0.78 -
75704at6656_158441_0:0000eb|TRINITY_DN73810_c6_g1_i2:2343-3092|-   -            250 87928at6656          -            293   2.6e-34  117.8   0.0   1   1     2e-35   3.1e-34  117.5   0.0    42   235    47   242    20   250 0.86 -
75704at6656_217634_0:002515|TRINITY_DN75005_c9_g1_i8:54-818|+      -            255 87928at6656          -            293   2.7e-34  117.7   0.0   1   1     2e-35   3.1e-34  117.5   0.0    35   234    45   246    28   255 0.85 -
75704at6656_217634_0:002515|TRINITY_DN75005_c9_g1_i7:167-961|+     -            265 87928at6656          -            293     3e-34  117.6   0.0   1   1   2.3e-35   3.6e-34  117.3   0.0    35   234    55   256    38   265 0.85 -
75704at6656_7539_0:000b2a|TRINITY_DN75005_c9_g1_i1:167-1176|+      -            265 87928at6656          -            293     3e-34  117.6   0.0   1   1   2.3e-35   3.6e-34  117.3   0.0    35   234    55   256    38   265 0.85 -
66366at6656_218467_0:004751|TRINITY_DN92896_c9_g1_i4:2086-2904|+   -            273 87928at6656          -            293   3.3e-34  117.4   0.0   1   1   2.8e-35   4.3e-34  117.1   0.0    31   233    39   238    20   258 0.87 -
66366at6656_218467_0:004751|TRINITY_DN92896_c9_g1_i7:2278-3096|+   -            273 87928at6656          -            293   3.3e-34  117.4   0.0   1   1   2.8e-35   4.3e-34  117.1   0.0    31   233    39   238    20   258 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN92896_c9_g1_i1:1954-2922|+   -            323 87928at6656          -            293   5.1e-34  116.8   0.0   1   1   4.6e-35   7.2e-34  116.3   0.0    30   233    76   276    55   296 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN92896_c9_g1_i2:2146-3114|+   -            323 87928at6656          -            293   5.1e-34  116.8   0.0   1   1   4.6e-35   7.2e-34  116.3   0.0    30   233    76   276    55   296 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN92896_c9_g1_i3:2122-3090|+   -            323 87928at6656          -            293   5.1e-34  116.8   0.0   1   1   4.6e-35   7.2e-34  116.3   0.0    30   233    76   276    55   296 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN92896_c9_g1_i8:1962-2930|+   -            323 87928at6656          -            293   5.1e-34  116.8   0.0   1   1   4.6e-35   7.2e-34  116.3   0.0    30   233    76   276    55   296 0.87 -
132340at6656_54969_0:0029cc|TRINITY_DN83383_c11_g2_i6:625-1737|+   -            371 87928at6656          -            293   4.7e-33  113.7   0.0   1   1   5.7e-34   8.7e-33  112.8   0.0    10   233    62   299    53   301 0.77 -
132340at6656_54969_0:0029cc|TRINITY_DN86073_c8_g2_i1:127-1269|+    -            381 87928at6656          -            293     1e-32  112.6   0.0   1   1   9.7e-34   1.5e-32  112.0   0.0    21   233   102   320    88   322 0.77 -
75704at6656_13686_0:002d82|TRINITY_DN75005_c9_g1_i3:167-922|+      -            252 87928at6656          -            293   1.2e-32  112.4   0.0   1   1   9.2e-34   1.4e-32  112.1   0.0    35   229    55   251    37   252 0.85 -
75704at6656_29053_0:002440|TRINITY_DN92156_c10_g1_i14:2098-2850|-  -            251 87928at6656          -            293   5.5e-32  110.2   0.0   1   1   4.6e-33   7.1e-32  109.8   0.0   106   235     1   138     1   152 0.87 -
75704at6656_7070_0:001946|TRINITY_DN80376_c14_g1_i3:101-916|+      -            272 87928at6656          -            293   7.8e-31  106.4   0.0   1   1   6.7e-32     1e-30  106.0   0.0    17   234    48   263    35   269 0.86 -
66366at6656_114398_0:002d5b|TRINITY_DN82660_c9_g1_i2:1090-1860|-   -            257 87928at6656          -            293   7.8e-31  106.4   0.4   1   1   6.4e-32   9.8e-31  106.0   0.4    10   243    26   255    19   257 0.83 -
66366at6656_114398_0:002d5b|TRINITY_DN82660_c9_g1_i4:1090-1860|-   -            257 87928at6656          -            293   7.8e-31  106.4   0.4   1   1   6.4e-32   9.8e-31  106.0   0.4    10   243    26   255    19   257 0.83 -
66366at6656_114398_0:002d5b|TRINITY_DN82660_c9_g1_i6:1090-1860|-   -            257 87928at6656          -            293   7.8e-31  106.4   0.4   1   1   6.4e-32   9.8e-31  106.0   0.4    10   243    26   255    19   257 0.83 -
132340at6656_54969_0:0029cc|TRINITY_DN89097_c9_g1_i1:1641-2597|+   -            319 87928at6656          -            293   1.1e-30  105.9   0.0   1   1     2e-31     3e-30  104.4   0.0    15   236    35   262    13   266 0.76 -
132340at6656_54969_0:0029cc|TRINITY_DN89097_c9_g1_i2:560-1516|+    -            319 87928at6656          -            293   1.1e-30  105.9   0.0   1   1     2e-31     3e-30  104.4   0.0    15   236    35   262    13   266 0.76 -
132340at6656_54969_0:0029cc|TRINITY_DN89097_c9_g1_i7:1310-2329|+   -            340 87928at6656          -            293   1.4e-30  105.6   0.0   1   1   2.3e-31   3.6e-30  104.2   0.0    15   236    56   283    34   288 0.76 -
132340at6656_54969_0:0029cc|TRINITY_DN86073_c8_g2_i6:127-1442|+    -            379 87928at6656          -            293   6.7e-30  103.3   0.0   1   1   6.6e-31     1e-29  102.7   0.0    21   233   102   318    88   320 0.76 -
75704at6656_34638_0:001299|TRINITY_DN70131_c0_g3_i1:59-664|-       -            202 87928at6656          -            293   9.1e-29   99.6   0.0   1   1     7e-30   1.1e-28   99.3   0.0    29   182    45   202    27   202 0.86 -
132340at6656_54969_0:0029cc|TRINITY_DN83628_c8_g2_i1:765-1700|-    -            312 87928at6656          -            293     2e-28   98.4   0.1   1   1   2.4e-29   3.7e-28   97.6   0.1    55   233    71   248     9   251 0.84 -
132340at6656_54969_0:0029cc|TRINITY_DN83628_c8_g2_i4:765-1700|-    -            312 87928at6656          -            293     2e-28   98.4   0.1   1   1   2.4e-29   3.7e-28   97.6   0.1    55   233    71   248     9   251 0.84 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i11:218-1009|+   -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i1:830-1621|+    -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i4:1841-2632|+   -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i5:405-1196|+    -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i7:704-1495|+    -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
75704at6656_224129_0:002c37|TRINITY_DN92052_c4_g1_i8:843-1634|+    -            264 87928at6656          -            293   2.1e-28   98.4   0.0   1   1   1.9e-29   2.9e-28   97.9   0.0    32   235    48   255    21   264 0.83 -
132340at6656_54969_0:0029cc|TRINITY_DN83628_c8_g2_i5:4630-5634|-   -            335 87928at6656          -            293   2.5e-28   98.1   0.1   1   1     3e-29   4.7e-28   97.2   0.1    56   233    72   248    10   251 0.84 -
132340at6656_54969_0:0029cc|TRINITY_DN83628_c8_g2_i6:4630-5634|-   -            335 87928at6656          -            293   2.5e-28   98.1   0.1   1   1     3e-29   4.7e-28   97.2   0.1    56   233    72   248    10   251 0.84 -
