#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23388at6656_38123_0:002f10|TRINITY_DN91497_c1_g3_i3:1122-1721|+  -            200 23388at6656          -            738   4.9e-70  235.8   2.4   1   1   2.3e-72   1.8e-69  233.9   2.4   227   392     2   200     1   200 0.88 -
23388at6656_1629725_0:00172c|TRINITY_DN91497_c1_g3_i3:37-1023|+  -            329 23388at6656          -            738   6.2e-44  149.5   0.0   1   2   1.3e-44     1e-41  142.1   0.0   348   482     2   158     1   163 0.87 -
23388at6656_1629725_0:00172c|TRINITY_DN91497_c1_g3_i3:37-1023|+  -            329 23388at6656          -            738   6.2e-44  149.5   0.0   2   2    0.0036       2.8    5.1   0.0   481   518   189   228   188   255 0.81 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i1:174-521|+   -            116 23388at6656          -            738   3.7e-41  140.3   0.1   1   1   5.1e-44     4e-41  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i2:242-589|+   -            116 23388at6656          -            738   3.7e-41  140.3   0.1   1   1   5.1e-44     4e-41  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i5:373-720|+   -            116 23388at6656          -            738   3.7e-41  140.3   0.1   1   1   5.1e-44     4e-41  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i4:355-666|+   -            104 23388at6656          -            738   5.6e-36  123.2   0.2   1   1   7.3e-39   5.8e-36  123.1   0.2    18   105     9   103     1   104 0.89 -
20093at6656_294128_0:0016c6|TRINITY_DN75455_c7_g4_i1:136-3060|-  -            975 23388at6656          -            738    0.0001   19.8   0.3   1   2       1.9   1.5e+03   -3.9   0.0    93   144   118   169   113   171 0.84 -
20093at6656_294128_0:0016c6|TRINITY_DN75455_c7_g4_i1:136-3060|-  -            975 23388at6656          -            738    0.0001   19.8   0.3   2   2   2.5e-07    0.0002   18.8   0.1   373   478   446   552   435   584 0.80 -
20093at6656_294128_0:0016c6|TRINITY_DN75455_c7_g4_i2:671-4279|-  -           1203 23388at6656          -            738   0.00013   19.5   0.1   1   1   3.4e-07   0.00027   18.4   0.1   374   478   447   552   435   584 0.80 -
137688at6656_28612_0:00221b|TRINITY_DN89364_c10_g1_i6:368-1129|+ -            254 23388at6656          -            738     0.024   11.9   0.2   1   2     0.028        22    2.2   0.1   453   520    41   105    38   128 0.76 -
137688at6656_28612_0:00221b|TRINITY_DN89364_c10_g1_i6:368-1129|+ -            254 23388at6656          -            738     0.024   11.9   0.2   2   2    0.0005      0.39    8.0   0.0    65   138   164   237   138   250 0.78 -
137688at6656_28612_0:00221b|TRINITY_DN89364_c10_g1_i7:231-992|+  -            254 23388at6656          -            738     0.024   11.9   0.2   1   2     0.028        22    2.2   0.1   453   520    41   105    38   128 0.76 -
137688at6656_28612_0:00221b|TRINITY_DN89364_c10_g1_i7:231-992|+  -            254 23388at6656          -            738     0.024   11.9   0.2   2   2    0.0005      0.39    8.0   0.0    65   138   164   237   138   250 0.78 -
137688at6656_7213_0:0010e7|TRINITY_DN89364_c10_g1_i10:82-987|+   -            302 23388at6656          -            738      0.08   10.3   0.1   1   2     0.039        31    1.7   0.1   453   520   101   165    98   188 0.76 -
137688at6656_7213_0:0010e7|TRINITY_DN89364_c10_g1_i10:82-987|+   -            302 23388at6656          -            738      0.08   10.3   0.1   2   2    0.0013       1.1    6.5   0.0    65   132   224   290   198   300 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/23388at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/23388at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/23388at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:50 2026
# [ok]
