#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
123320at6656_29053_0:000359|TRINITY_DN84092_c8_g1_i1:871-1389|-    -            173 123320at6656         -            142   8.8e-72  238.6   0.0   1   1     9e-74   1.2e-71  238.2   0.0     7   142    27   167    22   167 0.96 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i4:1136-1480|-    -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i6:1147-1491|-    -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i7:1147-1491|-    -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i8:913-1257|-     -            115 123320at6656         -            142   8.5e-22   76.5   0.0   1   1   7.6e-24   9.8e-22   76.3   0.0    38   135     5   107     1   113 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i10:1360-1665|-   -            102 123320at6656         -            142   4.4e-21   74.2   0.0   1   1   3.6e-23   4.7e-21   74.1   0.0    38   129     5   101     1   102 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i5:1583-1888|-    -            102 123320at6656         -            142   4.4e-21   74.2   0.0   1   1   3.6e-23   4.7e-21   74.1   0.0    38   129     5   101     1   102 0.90 -
123320at6656_6850_0:001e99|TRINITY_DN92045_c4_g1_i9:1572-1877|-    -            102 123320at6656         -            142   4.4e-21   74.2   0.0   1   1   3.6e-23   4.7e-21   74.1   0.0    38   129     5   101     1   102 0.90 -
123320at6656_108931_0:004101|TRINITY_DN90546_c6_g1_i5:211-507|-    -             99 123320at6656         -            142   7.5e-19   67.0   0.0   1   1   6.2e-21     8e-19   66.9   0.0    11   100     3    96     1    99 0.86 -
124400at6656_326594_0:001914|TRINITY_DN77221_c13_g3_i1:880-1299|+  -            140 123320at6656         -            142   1.1e-16   60.0   0.0   1   1   9.9e-19   1.3e-16   59.8   0.0    15   120     2   119     1   134 0.86 -
124400at6656_326594_0:001914|TRINITY_DN77221_c13_g3_i3:630-1049|+  -            140 123320at6656         -            142   1.1e-16   60.0   0.0   1   1   9.9e-19   1.3e-16   59.8   0.0    15   120     2   119     1   134 0.86 -
124400at6656_326594_0:001914|TRINITY_DN77221_c13_g3_i6:880-1299|+  -            140 123320at6656         -            142   1.1e-16   60.0   0.0   1   1   9.9e-19   1.3e-16   59.8   0.0    15   120     2   119     1   134 0.86 -
123320at6656_7160_0:002d49|TRINITY_DN83606_c17_g2_i1:664-894|-     -             77 123320at6656         -            142   3.3e-16   58.4   0.0   1   1   2.7e-18   3.5e-16   58.3   0.0    73   136     9    74     3    77 0.91 -
124400at6656_294128_0:002956|TRINITY_DN82939_c10_g1_i2:2-379|-     -            126 123320at6656         -            142     7e-15   54.1   0.0   1   1   6.3e-17   8.1e-15   53.9   0.0     8   119     4   119     1   123 0.89 -
124400at6656_294128_0:002956|TRINITY_DN82939_c10_g1_i3:2-379|-     -            126 123320at6656         -            142     7e-15   54.1   0.0   1   1   6.3e-17   8.1e-15   53.9   0.0     8   119     4   119     1   123 0.89 -
124400at6656_407821_0:003d82|TRINITY_DN83001_c11_g5_i1:1971-2414|- -            148 123320at6656         -            142   1.2e-12   46.8   0.0   1   1   1.3e-14   1.7e-12   46.4   0.0    34   123     2    95     1   115 0.86 -
123320at6656_218467_0:003073|TRINITY_DN82889_c5_g2_i4:1130-1603|-  -            158 123320at6656         -            142   1.2e-11   43.6   0.0   1   1   1.2e-13   1.5e-11   43.3   0.0    19   136    30   153    16   157 0.86 -
123320at6656_218467_0:003073|TRINITY_DN82889_c5_g2_i5:1192-1665|-  -            158 123320at6656         -            142   1.2e-11   43.6   0.0   1   1   1.2e-13   1.5e-11   43.3   0.0    19   136    30   153    16   157 0.86 -
123320at6656_286706_0:0006a3|TRINITY_DN92919_c4_g1_i1:205-627|+    -            141 123320at6656         -            142   3.3e-11   42.2   0.0   1   1   2.9e-13   3.7e-11   42.1   0.0    33   136    19   131     1   137 0.81 -
123320at6656_286706_0:0006a3|TRINITY_DN92919_c4_g1_i4:205-627|+    -            141 123320at6656         -            142   3.3e-11   42.2   0.0   1   1   2.9e-13   3.7e-11   42.1   0.0    33   136    19   131     1   137 0.81 -
123320at6656_286706_0:0006a3|TRINITY_DN92919_c4_g1_i5:314-736|+    -            141 123320at6656         -            142   3.3e-11   42.2   0.0   1   1   2.9e-13   3.7e-11   42.1   0.0    33   136    19   131     1   137 0.81 -
123320at6656_286706_0:0006a3|TRINITY_DN92919_c4_g1_i7:314-736|+    -            141 123320at6656         -            142   3.3e-11   42.2   0.0   1   1   2.9e-13   3.7e-11   42.1   0.0    33   136    19   131     1   137 0.81 -
124400at6656_7536_0:002daa|TRINITY_DN83606_c17_g3_i1:652-789|-     -             46 123320at6656         -            142   1.5e-10   40.1   0.1   1   1   1.2e-12   1.6e-10   40.0   0.1    35    78     1    45     1    46 0.92 -
135828at6656_294128_0:001536|TRINITY_DN93660_c5_g2_i2:1793-2212|-  -            140 123320at6656         -            142   1.9e-08   33.2   0.0   1   1   1.9e-10   2.5e-08   32.9   0.0    39   123    39   129    11   136 0.84 -
135828at6656_294128_0:001536|TRINITY_DN93660_c5_g2_i4:1792-2211|-  -            140 123320at6656         -            142   1.9e-08   33.2   0.0   1   1   1.9e-10   2.5e-08   32.9   0.0    39   123    39   129    11   136 0.84 -
135828at6656_294128_0:001536|TRINITY_DN93660_c5_g2_i5:1340-1759|-  -            140 123320at6656         -            142   1.9e-08   33.2   0.0   1   1   1.9e-10   2.5e-08   32.9   0.0    39   123    39   129    11   136 0.84 -
135828at6656_319348_0:0026e8|TRINITY_DN75019_c12_g2_i2:423-734|+   -            104 123320at6656         -            142   4.6e-07   28.8   0.0   1   1   4.2e-09   5.4e-07   28.6   0.0    45   117    14    99     3   104 0.83 -
135828at6656_319348_0:0026e8|TRINITY_DN75019_c12_g2_i4:423-734|+   -            104 123320at6656         -            142   4.6e-07   28.8   0.0   1   1   4.2e-09   5.4e-07   28.6   0.0    45   117    14    99     3   104 0.83 -
135828at6656_319348_0:0026e8|TRINITY_DN75019_c12_g2_i5:423-734|+   -            104 123320at6656         -            142   4.6e-07   28.8   0.0   1   1   4.2e-09   5.4e-07   28.6   0.0    45   117    14    99     3   104 0.83 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i1:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i2:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i4:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i5:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i6:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i7:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i8:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
124400at6656_1155016_0:001218|TRINITY_DN93713_c8_g3_i9:2112-2360|- -             83 123320at6656         -            142   3.1e-06   26.1   0.1   1   1   2.7e-08   3.5e-06   25.9   0.1    47    98     2    61     1    75 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/123320at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/123320at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/123320at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:45 2026
# [ok]
