#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 132857at6656         -            201   2.1e-69  231.9   4.8   1   1   2.6e-71   2.9e-69  231.4   4.8     1   201     9   240     9   240 0.88 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   1.2e-30  105.3  32.3   4   5   5.2e-12   5.8e-10   37.8   6.6    23   152   413   567   412   573 0.79 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   1.2e-30  105.3  32.3   5   5   8.9e-06   0.00099   17.4   1.2    71   162   523   622   523   636 0.78 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     1e-23   82.7  24.8   1   4    0.0001     0.011   14.0   0.2    68   129     8    78     1    81 0.63 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     1e-23   82.7  24.8   2   4   2.6e-09   2.8e-07   29.0   6.3    61   153    72   174    61   184 0.79 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     1e-23   82.7  24.8   3   4   3.1e-13   3.5e-11   41.8   3.6    54   175   177   314   172   319 0.78 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     1e-23   82.7  24.8   4   4    0.0019      0.21    9.8   0.3    34    61   312   345   301   352 0.52 -
56523at6656_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-       -            327 132857at6656         -            201   1.8e-22   78.6  20.0   1   3     8e-05    0.0088   14.3   0.3    63   129     8    83     3    85 0.65 -
56523at6656_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-       -            327 132857at6656         -            201   1.8e-22   78.6  20.0   2   3   1.8e-09   1.9e-07   29.5   5.9    61   153    77   179    65   186 0.81 -
56523at6656_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-       -            327 132857at6656         -            201   1.8e-22   78.6  20.0   3   3   2.2e-13   2.5e-11   42.3   3.0    57   175   185   319   178   324 0.78 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i1:4332-4946|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   1   2     8e-16   8.9e-14   50.2   7.2     6   153     7   164     2   170 0.75 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i1:4332-4946|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   2   2     6e-11   6.7e-09   34.3   1.7    24   117   103   189   100   205 0.83 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   1   2     8e-16   8.9e-14   50.2   7.2     6   153     7   164     2   170 0.75 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   2   2     6e-11   6.7e-09   34.3   1.7    24   117   103   189   100   205 0.83 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i4:4468-5082|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   1   2     8e-16   8.9e-14   50.2   7.2     6   153     7   164     2   170 0.75 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i4:4468-5082|-    -            205 132857at6656         -            201   1.6e-20   72.3  16.4   2   2     6e-11   6.7e-09   34.3   1.7    24   117   103   189   100   205 0.83 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i2:434-904|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   1   4   5.2e-05    0.0058   14.9   0.4    76   117    18    65     4    69 0.57 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i2:434-904|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   2   4   4.6e-07     5e-05   21.7   2.7    20    58    43    87    18    90 0.62 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i2:434-904|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   3   4   4.8e-13   5.3e-11   41.2   3.1    20   117    43   134    36   139 0.86 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i2:434-904|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   4   4     7e-08   7.7e-06   24.3   0.4    21    76    90   151    88   155 0.73 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i4:332-802|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   1   4   5.2e-05    0.0058   14.9   0.4    76   117    18    65     4    69 0.57 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i4:332-802|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   2   4   4.6e-07     5e-05   21.7   2.7    20    58    43    87    18    90 0.62 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i4:332-802|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   3   4   4.8e-13   5.3e-11   41.2   3.1    20   117    43   134    36   139 0.86 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i4:332-802|+      -            157 132857at6656         -            201   1.4e-19   69.2  26.2   4   4     7e-08   7.7e-06   24.3   0.4    21    76    90   151    88   155 0.73 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   1.4e-19   69.2  26.2   1   4   5.2e-05    0.0058   14.9   0.4    76   117    18    65     4    69 0.57 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   1.4e-19   69.2  26.2   2   4   4.6e-07     5e-05   21.7   2.7    20    58    43    87    18    90 0.62 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   1.4e-19   69.2  26.2   3   4   4.8e-13   5.3e-11   41.2   3.1    20   117    43   134    36   139 0.86 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   1.4e-19   69.2  26.2   4   4     7e-08   7.7e-06   24.3   0.4    21    76    90   151    88   155 0.73 -
56523at6656_6832_0:0013a0|TRINITY_DN80899_c8_g1_i2:196-1236|+       -            347 132857at6656         -            201   7.2e-19   66.9  16.7   1   4   0.00011     0.012   13.9   0.1    75   117    11    54     3    58 0.88 -
56523at6656_6832_0:0013a0|TRINITY_DN80899_c8_g1_i2:196-1236|+       -            347 132857at6656         -            201   7.2e-19   66.9  16.7   2   4   2.4e-08   2.6e-06   25.8   7.6    19   117    55   177    52   198 0.74 -
56523at6656_6832_0:0013a0|TRINITY_DN80899_c8_g1_i2:196-1236|+       -            347 132857at6656         -            201   7.2e-19   66.9  16.7   3   4   2.5e-07   2.8e-05   22.5   5.5    25   151   108   244   107   249 0.66 -
56523at6656_6832_0:0013a0|TRINITY_DN80899_c8_g1_i2:196-1236|+       -            347 132857at6656         -            201   7.2e-19   66.9  16.7   4   4   2.9e-05    0.0032   15.8   0.3    26   116   233   347   232   347 0.57 -
980at6656_116153_0:002e74|TRINITY_DN93731_c3_g2_i8:257-4632|-       -           1337 132857at6656         -            201   9.2e-18   63.2  17.1   1   4   8.4e-11   9.3e-09   33.9   3.4    26   118   532   639   519   661 0.81 -
980at6656_116153_0:002e74|TRINITY_DN93731_c3_g2_i8:257-4632|-       -           1337 132857at6656         -            201   9.2e-18   63.2  17.1   2   4    0.0002     0.023   13.0   0.2    20    55   722   757   712   770 0.81 -
980at6656_116153_0:002e74|TRINITY_DN93731_c3_g2_i8:257-4632|-       -           1337 132857at6656         -            201   9.2e-18   63.2  17.1   3   4    0.0013      0.15   10.4   0.0    28    87   754   817   753   822 0.78 -
980at6656_116153_0:002e74|TRINITY_DN93731_c3_g2_i8:257-4632|-       -           1337 132857at6656         -            201   9.2e-18   63.2  17.1   4   4   0.00013     0.014   13.7   2.3    24   119   861   956   849   988 0.79 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i2:256-4536|-       -           1427 132857at6656         -            201   9.7e-18   63.2  16.7   1   4   8.2e-11   9.1e-09   33.9   3.2    26   118   587   694   574   715 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i2:256-4536|-       -           1427 132857at6656         -            201   9.7e-18   63.2  16.7   2   4   0.00022     0.024   12.9   0.1    20    55   812   847   802   860 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i2:256-4536|-       -           1427 132857at6656         -            201   9.7e-18   63.2  16.7   3   4    0.0014      0.16   10.3   0.0    28    87   844   907   843   912 0.78 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i2:256-4536|-       -           1427 132857at6656         -            201   9.7e-18   63.2  16.7   4   4   0.00013     0.014   13.6   2.1    24   119   951  1046   939  1077 0.80 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   1.5e-17   62.6  16.6   1   4   8.3e-11   9.2e-09   33.9   3.1    26   118   623   730   610   753 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   1.5e-17   62.6  16.6   2   4   0.00029     0.032   12.5   0.3    20    55   798   833   788   842 0.83 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   1.5e-17   62.6  16.6   3   4    0.0016      0.18   10.1   0.0    28    87   830   893   829   898 0.78 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   1.5e-17   62.6  16.6   4   4   0.00015     0.016   13.5   2.1    24   119   937  1032   925  1063 0.80 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i13:0-5140|-        -           1577 132857at6656         -            201   1.5e-17   62.5  16.6   1   4   8.3e-11   9.2e-09   33.9   3.1    26   118   623   730   610   753 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i13:0-5140|-        -           1577 132857at6656         -            201   1.5e-17   62.5  16.6   2   4   0.00029     0.032   12.5   0.3    20    55   798   833   788   842 0.83 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i13:0-5140|-        -           1577 132857at6656         -            201   1.5e-17   62.5  16.6   3   4    0.0016      0.18   10.1   0.0    28    87   830   893   829   898 0.78 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i13:0-5140|-        -           1577 132857at6656         -            201   1.5e-17   62.5  16.6   4   4   0.00015     0.016   13.5   2.1    24   119   937  1032   925  1063 0.80 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i3:0-4874|-         -           1625 132857at6656         -            201   1.8e-17   62.3  16.7   1   4   8.9e-11   9.8e-09   33.8   3.2    26   118   623   730   610   753 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i3:0-4874|-         -           1625 132857at6656         -            201   1.8e-17   62.3  16.7   2   4   0.00025     0.028   12.7   0.1    20    55   848   883   838   896 0.82 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i3:0-4874|-         -           1625 132857at6656         -            201   1.8e-17   62.3  16.7   3   4    0.0016      0.18   10.0   0.0    28    87   880   943   879   948 0.78 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i3:0-4874|-         -           1625 132857at6656         -            201   1.8e-17   62.3  16.7   4   4   0.00015     0.017   13.4   2.1    24   119   987  1082   975  1113 0.80 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i9:0-4880|-         -           1627 132857at6656         -            201   1.9e-17   62.2  16.7   1   4   8.9e-11   9.8e-09   33.8   3.2    26   118   623   730   610   753 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i9:0-4880|-         -           1627 132857at6656         -            201   1.9e-17   62.2  16.7   2   4   0.00025     0.028   12.7   0.2    20    55   848   883   838   896 0.82 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i9:0-4880|-         -           1627 132857at6656         -            201   1.9e-17   62.2  16.7   3   4     0.001      0.11   10.7   0.0    27    87   879   943   878   948 0.79 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i9:0-4880|-         -           1627 132857at6656         -            201   1.9e-17   62.2  16.7   4   4   0.00015     0.017   13.4   2.1    24   119   987  1082   975  1113 0.80 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i13:330-926|+       -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i13:330-926|+       -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i16:330-926|+       -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i16:330-926|+       -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i1:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i1:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i2:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i2:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i3:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i3:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i4:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i4:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i7:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   1   2   6.9e-07   7.6e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i7:330-926|+        -            199 132857at6656         -            201   1.6e-16   59.2  13.8   2   2   9.1e-16     1e-13   50.1   5.4    21   171    23   195    21   199 0.78 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   2.3e-16   58.7  29.6   1   4     5e-09   5.5e-07   28.1  12.8    26   176     3   182     1   184 0.67 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   2.3e-16   58.7  29.6   2   4   3.3e-06   0.00037   18.8   3.5    98   177   144   231   142   232 0.79 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   2.3e-16   58.7  29.6   3   4   6.7e-06   0.00074   17.9   6.2    67   150   181   277   170   283 0.76 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   2.3e-16   58.7  29.6   4   4   0.00016     0.018   13.4   2.5    41   132   265   358   237   365 0.47 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i1:1254-1760|- -            169 132857at6656         -            201   2.3e-16   58.7   6.9   1   2   1.6e-05    0.0017   16.6   0.2   110   151    13    54     7    56 0.91 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i1:1254-1760|- -            169 132857at6656         -            201   2.3e-16   58.7   6.9   2   2   2.9e-14   3.2e-12   45.1   2.6    68   175    54   168    53   169 0.89 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 132857at6656         -            201   2.3e-16   58.7   6.9   1   2   1.6e-05    0.0017   16.6   0.2   110   151    13    54     7    56 0.91 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 132857at6656         -            201   2.3e-16   58.7   6.9   2   2   2.9e-14   3.2e-12   45.1   2.6    68   175    54   168    53   169 0.89 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   9.1e-16   56.7  13.8   1   3   0.00038     0.043   12.1   0.1    80   117     2    40     1    43 0.87 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   9.1e-16   56.7  13.8   2   3   6.8e-09   7.5e-07   27.6   5.9    19   115    41   161    38   165 0.74 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   9.1e-16   56.7  13.8   3   3   9.2e-09     1e-06   27.2   5.4    18   151    87   230    85   235 0.73 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 132857at6656         -            201   1.2e-15   56.4  12.3   1   1   8.2e-17   9.1e-15   53.5  11.0    20   153     2   159     1   161 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i1:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   1   3   7.6e-08   8.4e-06   24.2   3.8    88   176    43   144    20   147 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i1:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   2   3   1.9e-05    0.0021   16.4   0.1    16    56   172   219   168   221 0.77 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i1:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   3   3   9.5e-06    0.0011   17.4   0.1    96   156   201   268   199   288 0.66 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   1   3   7.6e-08   8.4e-06   24.2   3.8    88   176    43   144    20   147 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   2   3   1.9e-05    0.0021   16.4   0.1    16    56   172   219   168   221 0.77 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   3   3   9.5e-06    0.0011   17.4   0.1    96   156   201   268   199   288 0.66 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i3:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   1   3   7.6e-08   8.4e-06   24.2   3.8    88   176    43   144    20   147 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i3:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   2   3   1.9e-05    0.0021   16.4   0.1    16    56   172   219   168   221 0.77 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i3:272-1138|+     -            289 132857at6656         -            201   3.3e-15   54.9  11.3   3   3   9.5e-06    0.0011   17.4   0.1    96   156   201   268   199   288 0.66 -
132857at6656_411798_0:001eb2|TRINITY_DN85685_c12_g2_i3:384-854|-    -            157 132857at6656         -            201   1.3e-14   53.0   7.5   1   2   1.1e-05    0.0012   17.2   0.2   110   151    16    57     1    59 0.87 -
132857at6656_411798_0:001eb2|TRINITY_DN85685_c12_g2_i3:384-854|-    -            157 132857at6656         -            201   1.3e-14   53.0   7.5   2   2   1.4e-12   1.6e-10   39.6   2.6    68   153    57   151    56   156 0.88 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 132857at6656         -            201   1.5e-14   52.8  10.8   1   2   1.4e-07   1.5e-05   23.3   2.8   115   176     4    65     1    67 0.80 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 132857at6656         -            201   1.5e-14   52.8  10.8   2   2   5.7e-11   6.3e-09   34.4   1.4    68   162    65   171    64   180 0.82 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201     3e-14   51.8  25.7   1   3   5.1e-08   5.7e-06   24.8   4.1    89   151    29    98    19   103 0.85 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201     3e-14   51.8  25.7   2   3   4.4e-09   4.8e-07   28.3   7.5    42   151    40   170    39   170 0.81 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201     3e-14   51.8  25.7   3   3   1.9e-07   2.1e-05   22.9   0.4    68   150   124   218   112   237 0.79 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 132857at6656         -            201   3.5e-14   51.5   0.2   1   2   1.5e-06   0.00017   19.9   0.0    68   117    11    62     2    64 0.88 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 132857at6656         -            201   3.5e-14   51.5   0.2   2   2   2.5e-11   2.7e-09   35.6   0.1    69   148    58   144    57   158 0.80 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i3:77-679|+       -            201 132857at6656         -            201   1.6e-12   46.2  10.0   1   2   2.9e-08   3.2e-06   25.6   4.2    89   151    29    98    19   103 0.85 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i3:77-679|+       -            201 132857at6656         -            201   1.6e-12   46.2  10.0   2   2     5e-06   0.00056   18.3   0.6    69   132   125   197   114   200 0.69 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i1:420-818|+      -            133 132857at6656         -            201   1.8e-11   42.7  14.1   1   2   4.1e-07   4.5e-05   21.8   0.8    77   118    11    54     1    57 0.47 -
