#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107353at6656_7029_0:000a00|TRINITY_DN71187_c0_g1_i1:1320-1958|-    -            213 107353at6656         -            205   4.3e-11   42.2   1.5   1   1   3.1e-13   2.4e-10   39.7   1.5     2   169     7   212     6   213 0.72 -
107353at6656_51655_0:0020b5|TRINITY_DN90466_c14_g1_i5:1977-2873|-  -            299 107353at6656         -            205   2.6e-07   29.8   3.3   2   2   0.00019      0.15   11.0   0.0    86   183   184   288   169   297 0.68 -
107353at6656_7539_0:001eaf|TRINITY_DN90466_c14_g1_i4:1986-2951|-   -            322 107353at6656         -            205   4.2e-07   29.1   3.3   1   2   8.1e-06    0.0064   15.5   1.2     2    85    30   138    29   157 0.65 -
107353at6656_7539_0:001eaf|TRINITY_DN90466_c14_g1_i4:1986-2951|-   -            322 107353at6656         -            205   4.2e-07   29.1   3.3   2   2   0.00026       0.2   10.6   0.0    86   155   210   282   195   320 0.69 -
107353at6656_13037_0:0031a4|TRINITY_DN90466_c14_g1_i3:1977-2729|-  -            251 107353at6656         -            205   1.5e-06   27.4   1.2   1   2   1.7e-05     0.014   14.4   0.3    44    85    16    64     6    84 0.75 -
107353at6656_13037_0:0031a4|TRINITY_DN90466_c14_g1_i3:1977-2729|-  -            251 107353at6656         -            205   1.5e-06   27.4   1.2   2   2   0.00015      0.12   11.4   0.0    91   184   143   241   127   249 0.68 -
107353at6656_211228_0:0011cf|TRINITY_DN89836_c8_g1_i2:696-1283|-   -            196 107353at6656         -            205   0.00022   20.3   0.3   1   1   2.8e-06    0.0022   17.0   0.3     4    82    11   100     8   196 0.81 -
107353at6656_133901_0:0023a5|TRINITY_DN92825_c10_g2_i1:690-1472|-  -            261 107353at6656         -            205    0.0057   15.6  10.9   1   2     0.011       8.5    5.3   1.8    36    78    58   106     1   114 0.74 -
107353at6656_133901_0:0023a5|TRINITY_DN92825_c10_g2_i1:690-1472|-  -            261 107353at6656         -            205    0.0057   15.6  10.9   2   2   1.9e-05     0.015   14.2   2.0    81   180   134   237   122   254 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107353at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/107353at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/107353at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
