#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61577at6656_123851_0:001293|TRINITY_DN91692_c18_g3_i1:34-210|+   -             59 61577at6656          -            458   7.8e-25   86.7   0.3   1   1   1.4e-27   8.3e-25   86.6   0.3     9    66     1    58     1    59 0.98 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   4   5    0.0082         5    5.0   0.1    73   232   273   320   249   330 0.54 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   5   5      0.02        12    3.7   0.3   257   301   325   370   318   375 0.85 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i2:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   1   5   1.8e-07   0.00011   20.3   0.0     2    46     1    46     1   125 0.83 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i2:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   2   5      0.02        12    3.7   0.2   185   219   142   176   137   191 0.90 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i2:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   3   5      0.22   1.3e+02    0.3   0.0    67   222   190   230   176   245 0.55 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i2:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   4   5    0.0082         5    5.0   0.1    73   232   273   320   249   330 0.54 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i2:883-2055|-   -            391 61577at6656          -            458     3e-08   32.1   8.9   5   5      0.02        12    3.7   0.3   257   301   325   370   318   375 0.85 -
61577at6656_54969_0:000a27|TRINITY_DN77605_c7_g2_i1:462-1382|+   -            307 61577at6656          -            458   1.5e-07   29.8  10.0   1   3   7.1e-10   4.3e-07   28.2   0.9     2   130     2   132     1   136 0.89 -
61577at6656_54969_0:000a27|TRINITY_DN77605_c7_g2_i1:462-1382|+   -            307 61577at6656          -            458   1.5e-07   29.8  10.0   2   3       1.2   7.2e+02   -2.2   0.0   212   240   152   180   139   192 0.81 -
61577at6656_54969_0:000a27|TRINITY_DN77605_c7_g2_i1:462-1382|+   -            307 61577at6656          -            458   1.5e-07   29.8  10.0   3   3    0.0028       1.7    6.5   1.5   209   283   197   273   173   307 0.53 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   5.9e-07   27.8   5.6   1   3   1.8e-06    0.0011   17.0   0.1     9    46     2    39     1    51 0.90 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   5.9e-07   27.8   5.6   2   3    0.0006      0.36    8.7   0.2   179   244    74   141    69   235 0.69 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   5.9e-07   27.8   5.6   3   3     0.092        56    1.5   0.1   184   253   242   315   236   329 0.70 -
85103at6656_378494_0:00557a|TRINITY_DN82179_c5_g1_i1:1203-1781|- -            193 61577at6656          -            458   1.1e-05   23.6   0.2   1   1   2.4e-08   1.5e-05   23.2   0.2     5   135     1   136     1   145 0.78 -
85103at6656_378494_0:00557a|TRINITY_DN82179_c5_g1_i2:2315-2893|- -            193 61577at6656          -            458   1.1e-05   23.6   0.2   1   1   2.4e-08   1.5e-05   23.2   0.2     5   135     1   136     1   145 0.78 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458     2e-05   22.7   5.7   1   3   1.8e-05     0.011   13.7   0.1   258   301    15    58     4    62 0.91 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458     2e-05   22.7   5.7   2   3    0.0021       1.3    6.9   0.2   182   222    61   101    55   124 0.71 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458     2e-05   22.7   5.7   3   3     0.015       8.8    4.1   0.1   180   222   163   205   158   211 0.88 -
113960at6656_6832_0:000732|TRINITY_DN89013_c5_g1_i13:403-2262|+  -            620 61577at6656          -            458   2.2e-05   22.6   0.1   1   1   5.5e-08   3.3e-05   22.0   0.1     4    44     4    44     2    49 0.95 -
113960at6656_6832_0:000732|TRINITY_DN89013_c5_g1_i19:141-2000|+  -            620 61577at6656          -            458   2.2e-05   22.6   0.1   1   1   5.5e-08   3.3e-05   22.0   0.1     4    44     4    44     2    49 0.95 -
98251at6656_136037_0:001aa7|TRINITY_DN74066_c7_g1_i1:1-765|+     -            255 61577at6656          -            458     0.055   11.4   0.1   1   1   0.00014     0.088   10.7   0.1     5    44     9    50     7    60 0.79 -
85103at6656_1218281_0:00267f|TRINITY_DN76961_c10_g2_i1:238-543|+ -            102 61577at6656          -            458     0.071   11.0   4.5   1   2   0.00041      0.25    9.3   1.7   198   247     6    56     2    62 0.85 -
85103at6656_1218281_0:00267f|TRINITY_DN76961_c10_g2_i1:238-543|+ -            102 61577at6656          -            458     0.071   11.0   4.5   2   2     0.041        25    2.6   0.1    74   101    73   101    65   102 0.77 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i1:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   1   4    0.0036       2.2    6.1   0.0     5    48     1    44     1    47 0.92 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i1:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   2   4     0.068        41    1.9   0.1   198   221    50    73    47    78 0.90 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i1:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   3   4      0.15        89    0.8   3.2   211   289    93   177    76   210 0.65 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i1:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   4   4      0.15        93    0.8   0.0   189   221   278   310   221   316 0.64 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   1   4    0.0036       2.2    6.1   0.0     5    48     1    44     1    47 0.92 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   2   4     0.068        41    1.9   0.1   198   221    50    73    47    78 0.90 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   3   4      0.15        89    0.8   3.2   211   289    93   177    76   210 0.65 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458       1.2    7.0  11.9   4   4      0.15        93    0.8   0.0   189   221   278   310   221   316 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/61577at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/61577at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/61577at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:51 2026
# [ok]
