#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63193at6656_178035_0:001334|TRINITY_DN77971_c23_g1_i2:0-635|+      -            212 63193at6656          -            327   4.8e-77  258.4   0.0   1   1   8.5e-79   1.9e-76  256.4   0.0   152   327     3   210     1   210 0.90 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i2:662-1351|+     -            230 63193at6656          -            327   1.2e-37  128.9   0.6   2   2   1.1e-18   2.4e-16   58.9   0.0    94   184   128   229   114   230 0.82 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i3:439-1128|+     -            230 63193at6656          -            327   1.2e-37  128.9   0.6   1   2     1e-21   2.3e-19   68.8   0.1    94   188     5   108     1   118 0.80 -
63193at6656_54969_0:0007af|TRINITY_DN85405_c6_g1_i3:439-1128|+     -            230 63193at6656          -            327   1.2e-37  128.9   0.6   2   2   1.1e-18   2.4e-16   58.9   0.0    94   184   128   229   114   230 0.82 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i2:133-438|+     -            102 63193at6656          -            327   1.9e-23   82.3   0.0   1   1   8.6e-26   1.9e-23   82.2   0.0   108   187    11    99     1   102 0.84 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i4:133-438|+     -            102 63193at6656          -            327   1.9e-23   82.3   0.0   1   1   8.6e-26   1.9e-23   82.2   0.0   108   187    11    99     1   102 0.84 -
63193at6656_74869_0:000da1|TRINITY_DN83493_c3_g1_i3:101-610|+      -            170 63193at6656          -            327   2.6e-23   81.8   0.0   1   1   1.6e-24   3.6e-22   78.1   0.0    94   188     2   108     1   124 0.86 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i5:115-1032|+    -            306 63193at6656          -            327   3.4e-23   81.4   0.0   1   1   3.3e-25   7.3e-23   80.3   0.0    93   190     5   108     1   117 0.82 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i6:115-1032|+    -            306 63193at6656          -            327   3.4e-23   81.4   0.0   1   1   3.3e-25   7.3e-23   80.3   0.0    93   190     5   108     1   117 0.82 -
63193at6656_438502_0:000276|TRINITY_DN85454_c9_g1_i8:115-1032|+    -            306 63193at6656          -            327   3.4e-23   81.4   0.0   1   1   3.3e-25   7.3e-23   80.3   0.0    93   190     5   108     1   117 0.82 -
63193at6656_104452_0:000511|TRINITY_DN92669_c11_g2_i3:420-842|+    -            141 63193at6656          -            327   7.7e-22   77.0   0.1   1   1   1.3e-23     3e-21   75.0   0.0     2   119     9   141     8   141 0.82 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i6:31-336|+      -            102 63193at6656          -            327   1.5e-21   76.0   0.0   1   1   7.5e-24   1.7e-21   75.9   0.0    94   182     1   101     1   102 0.86 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i1:104-409|+     -            102 63193at6656          -            327   1.6e-21   75.9   0.0   1   1   8.2e-24   1.8e-21   75.7   0.0    94   182     1   101     1   102 0.86 -
63193at6656_104452_0:000511|TRINITY_DN83493_c3_g1_i5:48-353|+      -            102 63193at6656          -            327   1.6e-21   75.9   0.0   1   1   8.2e-24   1.8e-21   75.7   0.0    94   182     1   101     1   102 0.86 -
63193at6656_168631_0:002082|TRINITY_DN83493_c3_g2_i2:247-540|+     -             98 63193at6656          -            327   9.6e-20   70.1   0.0   1   1   4.5e-22     1e-19   70.0   0.0   101   184     7    98     1    98 0.84 -
63193at6656_168631_0:002082|TRINITY_DN83493_c3_g2_i4:246-539|+     -             98 63193at6656          -            327   9.6e-20   70.1   0.0   1   1   4.5e-22     1e-19   70.0   0.0   101   184     7    98     1    98 0.84 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i1:20-223|-     -             68 63193at6656          -            327   2.9e-19   68.5   0.0   1   1   1.4e-21     3e-19   68.5   0.0    15    77     3    68     1    68 0.72 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i2:945-1211|-   -             89 63193at6656          -            327   5.9e-19   67.5   0.0   1   1     3e-21   6.6e-19   67.3   0.0   102   171     1    75     1    81 0.87 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i1:788-1078|-   -             97 63193at6656          -            327   6.7e-19   67.3   0.0   1   1   3.1e-21   6.9e-19   67.3   0.0   102   171     1    75     1    94 0.88 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i2:7-210|-      -             68 63193at6656          -            327     8e-19   67.1   0.0   1   1   3.8e-21   8.5e-19   67.0   0.0    16    77     4    68     1    68 0.57 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i1:1980-2693|-    -            238 63193at6656          -            327   1.1e-17   63.4   0.1   1   1   7.7e-20   1.7e-17   62.7   0.1    88   173     5    98     1   121 0.80 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i2:1360-2073|-    -            238 63193at6656          -            327   1.1e-17   63.4   0.1   1   1   7.7e-20   1.7e-17   62.7   0.1    88   173     5    98     1   121 0.80 -
63193at6656_168631_0:002082|TRINITY_DN93772_c1_g1_i1:4-246|-       -             81 63193at6656          -            327   2.7e-16   58.7   0.1   1   1   1.3e-18     3e-16   58.6   0.1    94   169     1    81     1    81 0.87 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i4:3-266|+       -             88 63193at6656          -            327     2e-15   55.9   0.0   1   1     1e-17   2.2e-15   55.7   0.0   109   179     2    82     1    88 0.79 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i2:3-242|+       -             80 63193at6656          -            327     3e-15   55.3   0.0   1   1   1.4e-17   3.2e-15   55.2   0.0   109   171     2    67     1    80 0.79 -
63193at6656_168631_0:002082|TRINITY_DN88056_c14_g3_i2:600-1019|-   -            140 63193at6656          -            327   3.6e-15   55.0   0.0   1   1   1.8e-17     4e-15   54.9   0.0    95   194     1   106     1   133 0.82 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i8:3-242|+       -             80 63193at6656          -            327   6.4e-15   54.2   0.0   1   1   2.9e-17   6.6e-15   54.2   0.0   109   171     2    67     1    80 0.81 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c11_g1_i1:167-418|-    -             84 63193at6656          -            327   2.1e-13   49.2   0.1   1   1   9.9e-16   2.2e-13   49.2   0.1    96   154    21    81     7    84 0.77 -
63193at6656_286306_0:0036dd|TRINITY_DN88056_c14_g3_i1:311-541|-    -             77 63193at6656          -            327   8.2e-13   47.3   0.0   1   1   4.7e-15   1.1e-12   47.0   0.0     3    74     5    77     3    77 0.79 -
135676at6656_1049336_0:004c49|TRINITY_DN89501_c6_g5_i1:3317-3622|- -            102 63193at6656          -            327   3.5e-12   45.2   0.1   1   1   8.6e-14   1.9e-11   42.8   0.1   100   172     2    82     1   101 0.55 -
135676at6656_1049336_0:004c49|TRINITY_DN89501_c6_g5_i2:3091-3396|- -            102 63193at6656          -            327   3.5e-12   45.2   0.1   1   1   8.6e-14   1.9e-11   42.8   0.1   100   172     2    82     1   101 0.55 -
135676at6656_1049336_0:004c49|TRINITY_DN83493_c3_g2_i1:159-377|+   -             73 63193at6656          -            327   2.5e-10   39.2   0.0   1   1   1.1e-12   2.5e-10   39.2   0.0   100   135    35    69     8    73 0.86 -
135676at6656_294128_0:003fc3|TRINITY_DN74178_c15_g1_i2:186-566|+   -            127 63193at6656          -            327   1.2e-08   33.6   0.0   1   1   6.3e-11   1.4e-08   33.4   0.0    99   185    26   112     9   123 0.78 -
135676at6656_64838_0:0006e4|TRINITY_DN75194_c5_g3_i3:5-205|-       -             67 63193at6656          -            327   9.4e-08   30.7   0.0   1   1   4.3e-10   9.6e-08   30.6   0.0    20    74     2    55     1    66 0.89 -
135676at6656_126957_0:001477|TRINITY_DN74688_c9_g5_i1:1156-1515|-  -            120 63193at6656          -            327   2.2e-07   29.5   0.0   1   1   1.1e-09   2.4e-07   29.3   0.0    94   154    14    75     7   114 0.59 -
135676at6656_64838_0:0006e4|TRINITY_DN75194_c5_g3_i1:5-202|-       -             66 63193at6656          -            327   3.1e-07   29.0   0.0   1   1   1.4e-09   3.2e-07   28.9   0.0    20    74     1    54     1    65 0.89 -
63193at6656_286306_0:0036dd|TRINITY_DN83493_c3_g1_i4:1-204|+       -             68 63193at6656          -            327   1.4e-06   26.9   0.0   1   1   6.7e-09   1.5e-06   26.7   0.0    34    89     2    68     1    68 0.58 -
115841at6656_294128_0:0019aa|TRINITY_DN83762_c5_g4_i1:1336-2145|-  -            270 63193at6656          -            327   7.2e-06   24.5   0.0   1   1   4.2e-08   9.4e-06   24.1   0.0     9    82   136   216   132   249 0.73 -
115841at6656_294128_0:0019aa|TRINITY_DN83762_c5_g4_i3:1334-2143|-  -            270 63193at6656          -            327   7.2e-06   24.5   0.0   1   1   4.2e-08   9.4e-06   24.1   0.0     9    82   136   216   132   249 0.73 -
149126at6656_294128_0:001db6|TRINITY_DN73490_c12_g1_i1:974-1852|-  -            293 63193at6656          -            327   0.00031   19.1   0.0   1   1   2.9e-06   0.00066   18.0   0.0    97   169   119   199   102   208 0.72 -
28872at6656_62324_0:002d27|TRINITY_DN93485_c13_g1_i8:2566-6048|-   -            734 63193at6656          -            327    0.0036   15.6   0.0   1   1     3e-05    0.0068   14.7   0.0   106   154    99   144    82   170 0.69 -
135676at6656_7038_0:00013d|TRINITY_DN92938_c11_g1_i1:135-440|+     -            102 63193at6656          -            327     0.056   11.7   0.0   1   1   0.00025     0.056   11.7   0.0    24    56    24    56    11   101 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/63193at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/63193at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/63193at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:50 2026
# [ok]
