#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135676at6656_294128_0:003fc3|TRINITY_DN74178_c15_g1_i2:186-566|+   -            127 135676at6656         -             88   1.1e-34  117.4   0.1   1   1   6.4e-37   1.4e-34  117.0   0.1     1    87    22   116    22   117 0.91 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i2:3-242|+       -             80 135676at6656         -             88   2.4e-07   29.7   0.0   1   1   1.4e-09     3e-07   29.4   0.0    10    56     3    51     2    77 0.70 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i8:3-242|+       -             80 135676at6656         -             88   3.5e-07   29.1   0.1   1   1     2e-09   4.3e-07   28.9   0.1    10    68     3    62     2    78 0.65 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i4:3-266|+       -             88 135676at6656         -             88   5.8e-07   28.5   0.0   1   1   3.1e-09   6.6e-07   28.3   0.0    10    50     3    46     2    76 0.80 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i2:945-1211|-   -             89 135676at6656         -             88   3.7e-06   25.9   0.0   1   1     2e-08   4.2e-06   25.7   0.0    11    68    10    70     3    85 0.74 -
63193at6656_168631_0:002082|TRINITY_DN93772_c1_g1_i1:4-246|-       -             81 135676at6656         -             88   4.2e-06   25.7   0.0   1   1   2.4e-08   5.1e-06   25.4   0.0    10    69    17    79     5    80 0.82 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i1:788-1078|-   -             97 135676at6656         -             88   4.3e-06   25.7   0.0   1   1   2.1e-08   4.6e-06   25.6   0.0    11    68    10    70     3    90 0.74 -
63193at6656_104452_0:000511|TRINITY_DN92669_c11_g2_i3:420-842|+    -            141 135676at6656         -             88   7.8e-06   24.8   0.0   1   1     6e-08   1.3e-05   24.1   0.0    10    76    25    92    12   101 0.89 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c11_g1_i1:167-418|-    -             84 135676at6656         -             88   8.4e-06   24.7   0.0   1   1   5.4e-08   1.2e-05   24.3   0.0    11    56    35    84    24    84 0.78 -
76573at6656_378494_0:005c2b|TRINITY_DN86034_c12_g5_i1:71-643|-     -            191 135676at6656         -             88   1.4e-05   24.0   0.1   1   1   1.2e-07   2.6e-05   23.1   0.1     2    84     5    95     4    98 0.81 -
135676at6656_1049336_0:004c49|TRINITY_DN83493_c3_g2_i1:159-377|+   -             73 135676at6656         -             88   0.00014   20.9   0.0   1   1   8.8e-07   0.00019   20.4   0.0    11    35    45    69    30    72 0.83 -
28872at6656_62324_0:002d27|TRINITY_DN93485_c13_g1_i8:2566-6048|-   -            734 135676at6656         -             88   0.00023   20.1   0.0   1   1   2.5e-06   0.00055   18.9   0.0    15    70   108   165   102   171 0.89 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i1:1980-2693|-    -            238 135676at6656         -             88   0.00035   19.5   0.1   1   1   4.2e-06    0.0009   18.2   0.1    11    68    28    91    14   106 0.80 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i2:1360-2073|-    -            238 135676at6656         -             88   0.00035   19.5   0.1   1   1   4.2e-06    0.0009   18.2   0.1    11    68    28    91    14   106 0.80 -
115841at6656_294128_0:0019aa|TRINITY_DN83762_c5_g4_i1:1336-2145|-  -            270 135676at6656         -             88   0.00044   19.2   0.0   1   1   4.6e-06   0.00099   18.1   0.0    10    63   142   197   135   218 0.89 -
115841at6656_294128_0:0019aa|TRINITY_DN83762_c5_g4_i3:1334-2143|-  -            270 135676at6656         -             88   0.00044   19.2   0.0   1   1   4.6e-06   0.00099   18.1   0.0    10    63   142   197   135   218 0.89 -
134865at6656_41427_0:002287|TRINITY_DN80026_c10_g1_i2:459-935|-    -            159 135676at6656         -             88   0.00054   18.9   0.1   1   1   3.9e-06   0.00083   18.3   0.1    11    84    62   136    50   140 0.91 -
135676at6656_7038_0:00013d|TRINITY_DN92938_c11_g1_i1:135-440|+     -            102 135676at6656         -             88     0.017   14.1   0.0   1   1   8.2e-05     0.018   14.1   0.0    18    35    23    40    12    95 0.73 -
16648at6656_143995_0:00296d|TRINITY_DN72780_c15_g2_i2:755-1501|-   -            249 135676at6656         -             88     0.027   13.5   0.0   1   1   0.00028      0.06   12.4   0.0     5    37    60    92    39   109 0.90 -
16648at6656_2015173_0:001012|TRINITY_DN72780_c15_g2_i1:264-1373|-  -            370 135676at6656         -             88      0.04   12.9   0.2   1   1   0.00056      0.12   11.4   0.0     5    37    60    92    56   108 0.88 -
16648at6656_2015173_0:001012|TRINITY_DN72780_c15_g2_i3:106-1242|-  -            379 135676at6656         -             88     0.042   12.9   0.2   1   1   0.00058      0.12   11.4   0.0     5    37    60    92    56   108 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/135676at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/135676at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/135676at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:46 2026
# [ok]
