#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54527at6656_294128_0:002acd|TRINITY_DN76475_c5_g3_i1:49-930|-     -            294 54527at6656          -            350  3.2e-116  387.2   0.0   1   1  1.2e-117  1.3e-115  385.2   0.0   110   350     1   292     1   292 0.87 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i17:2-829|-      -            276 54527at6656          -            350   1.4e-51  174.6   0.0   1   1   1.6e-53   1.7e-51  174.4   0.0    67   330     1   273     1   276 0.89 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i18:2-829|-      -            276 54527at6656          -            350   1.4e-51  174.6   0.0   1   1   1.6e-53   1.7e-51  174.4   0.0    67   330     1   273     1   276 0.89 -
54527at6656_34638_0:00160a|TRINITY_DN86583_c11_g1_i2:106-1000|+   -            295 54527at6656          -            350   1.9e-50  170.9   0.0   1   1     2e-52   2.2e-50  170.7   0.0     4   287     1   295     1   295 0.86 -
54527at6656_6973_0:00155a|TRINITY_DN76475_c5_g3_i2:2-316|-        -            105 54527at6656          -            350   1.6e-49  167.9   0.0   1   1   1.8e-51   1.9e-49  167.6   0.0   116   210     1   101     1   104 0.95 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i9:2-778|-       -            259 54527at6656          -            350   1.4e-46  158.2   0.0   1   1   1.6e-48   1.7e-46  157.9   0.0    86   330     3   256     1   259 0.88 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i7:2-778|-       -            259 54527at6656          -            350   3.3e-46  157.0   0.0   1   1   3.8e-48   4.1e-46  156.7   0.0    86   330     3   256     1   259 0.88 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i1:5-751|-       -            249 54527at6656          -            350   1.2e-44  151.8   0.0   1   1   1.4e-46   1.5e-44  151.5   0.0    73   295     6   244     1   248 0.88 -
78202at6656_7539_0:003503|TRINITY_DN91750_c9_g3_i1:253-1467|+     -            405 54527at6656          -            350   1.5e-34  118.6   0.0   1   2   2.1e-30   2.3e-28   98.3   0.0     3   217     5   217     3   262 0.86 -
78202at6656_7539_0:003503|TRINITY_DN91750_c9_g3_i1:253-1467|+     -            405 54527at6656          -            350   1.5e-34  118.6   0.0   2   2   3.7e-06    0.0004   18.6   0.0   253   328   304   375   270   391 0.78 -
59681at6656_38123_0:002cba|TRINITY_DN93081_c5_g1_i3:84-431|-      -            116 54527at6656          -            350   1.7e-34  118.4   0.0   1   1   1.8e-36   1.9e-34  118.3   0.0    48   160     2   116     1   116 0.94 -
59681at6656_418985_0:001509|TRINITY_DN93081_c5_g1_i1:84-485|-     -            134 54527at6656          -            350     1e-33  115.9   0.0   1   1   1.1e-35   1.2e-33  115.7   0.0    44   160    16   134    10   134 0.93 -
78202at6656_7539_0:0027d5|TRINITY_DN83555_c2_g1_i16:125-694|-     -            190 54527at6656          -            350   1.4e-31  108.9   0.0   1   1   1.6e-33   1.8e-31  108.5   0.0   113   283     2   188     1   190 0.85 -
78202at6656_7539_0:0027d5|TRINITY_DN83555_c2_g1_i11:50-619|-      -            190 54527at6656          -            350   4.6e-31  107.2   0.0   1   1   5.3e-33   5.7e-31  106.9   0.0   113   283     2   188     1   190 0.85 -
78202at6656_7539_0:0027d5|TRINITY_DN83555_c2_g1_i4:50-619|-       -            190 54527at6656          -            350   4.7e-31  107.1   0.0   1   1   5.4e-33   5.8e-31  106.8   0.0   113   283     2   188     1   190 0.85 -
59681at6656_418985_0:001509|TRINITY_DN91443_c2_g1_i1:8-379|+      -            124 54527at6656          -            350   2.6e-28   98.1   0.0   1   1   2.6e-30   2.8e-28   98.0   0.0    87   209     2   122     1   124 0.96 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i6:29-328|-      -            100 54527at6656          -            350   5.4e-28   97.1   0.0   1   1   5.4e-30   5.8e-28   97.0   0.0    46   138     4   100     1   100 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i2:9-308|-       -            100 54527at6656          -            350   1.2e-27   95.9   0.0   1   1   1.2e-29   1.3e-27   95.8   0.0    46   138     4   100     1   100 0.93 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i5:16-315|-      -            100 54527at6656          -            350     2e-26   91.9   0.0   1   1     2e-28   2.2e-26   91.8   0.0    46   138     4   100     1   100 0.93 -
59681at6656_38123_0:002cba|TRINITY_DN89080_c2_g1_i12:8-367|-      -            120 54527at6656          -            350   8.7e-26   89.8   0.0   1   1   8.9e-28   9.6e-26   89.7   0.0     5   120     2   120     1   120 0.92 -
59681at6656_38123_0:002cba|TRINITY_DN89080_c2_g1_i9:8-367|-       -            120 54527at6656          -            350   8.7e-26   89.8   0.0   1   1   8.9e-28   9.6e-26   89.7   0.0     5   120     2   120     1   120 0.92 -
59681at6656_38123_0:002cba|TRINITY_DN89080_c2_g1_i23:8-367|-      -            120 54527at6656          -            350   1.1e-25   89.5   0.0   1   1   1.1e-27   1.2e-25   89.4   0.0     5   120     2   120     1   120 0.92 -
59681at6656_38123_0:002cba|TRINITY_DN89080_c2_g1_i3:8-367|-       -            120 54527at6656          -            350   1.1e-25   89.5   0.0   1   1   1.1e-27   1.2e-25   89.4   0.0     5   120     2   120     1   120 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN92367_c1_g1_i10:22-300|-     -             93 54527at6656          -            350   6.8e-25   86.9   0.0   1   1   6.9e-27   7.4e-25   86.8   0.0    50   138     1    93     1    93 0.93 -
59681at6656_38123_0:002cba|TRINITY_DN89080_c2_g1_i36:8-367|-      -            120 54527at6656          -            350   9.3e-25   86.4   0.0   1   1   9.6e-27     1e-24   86.3   0.0     5   120     2   120     1   120 0.92 -
54527at6656_13249_0:002cd0|TRINITY_DN83555_c2_g1_i1:479-751|-     -             91 54527at6656          -            350   3.5e-24   84.5   0.0   1   1   3.4e-26   3.7e-24   84.5   0.0    73   160     6    91     1    91 0.95 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i4:0-272|-       -             91 54527at6656          -            350   3.2e-23   81.4   0.0   1   1   3.2e-25   3.5e-23   81.3   0.0    46   129     4    91     1    91 0.92 -
59681at6656_38123_0:002cba|TRINITY_DN85904_c1_g1_i8:29-376|+      -            116 54527at6656          -            350   3.5e-23   81.3   0.0   1   1   3.5e-25   3.8e-23   81.1   0.0    97   212     2   115     1   116 0.97 -
54527at6656_13249_0:002cd0|TRINITY_DN93081_c5_g1_i7:0-272|-       -             91 54527at6656          -            350   4.1e-22   77.7   0.0   1   1   4.1e-24   4.3e-22   77.6   0.0    46   129     4    91     1    91 0.93 -
78202at6656_7539_0:0027d5|TRINITY_DN83555_c2_g1_i2:50-550|-       -            167 54527at6656          -            350   1.6e-21   75.8   0.0   1   1   1.9e-23   2.1e-21   75.4   0.0   143   283     7   165     2   167 0.83 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i2:4-336|-       -            111 54527at6656          -            350   1.3e-19   69.5   0.0   1   1   1.4e-21   1.5e-19   69.3   0.0     3   110     1   111     1   111 0.91 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i2:146-1198|+    -            351 54527at6656          -            350   4.9e-19   67.6   0.0   1   3   3.5e-05    0.0037   15.4   0.0     3    37     8    42     6    47 0.92 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i2:146-1198|+    -            351 54527at6656          -            350   4.9e-19   67.6   0.0   2   3   1.1e-10   1.1e-08   33.5   0.0    77   198    62   181    52   204 0.89 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i2:146-1198|+    -            351 54527at6656          -            350   4.9e-19   67.6   0.0   3   3   3.6e-05    0.0039   15.3   0.0   253   328   272   349   249   351 0.67 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i1:146-1198|+    -            351 54527at6656          -            350   6.9e-19   67.1   0.0   1   3   3.5e-05    0.0037   15.4   0.0     3    37     8    42     6    47 0.92 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i1:146-1198|+    -            351 54527at6656          -            350   6.9e-19   67.1   0.0   2   3   1.1e-10   1.1e-08   33.5   0.0    77   198    62   181    52   204 0.89 -
78202at6656_28612_0:003734|TRINITY_DN92836_c9_g1_i1:146-1198|+    -            351 54527at6656          -            350   6.9e-19   67.1   0.0   3   3   5.4e-05    0.0058   14.8   0.0   253   300   272   319   249   350 0.71 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i27:5-307|-      -            101 54527at6656          -            350   1.7e-18   65.8   0.0   1   1   1.7e-20   1.9e-18   65.7   0.0     3   100     1   101     1   101 0.90 -
78202at6656_7539_0:003503|TRINITY_DN86232_c5_g3_i6:1825-2943|+    -            373 54527at6656          -            350   8.1e-18   63.6   0.0   1   1   6.5e-18     7e-16   57.2   0.0     5   296     2   320     1   334 0.75 -
59681at6656_38123_0:002cba|TRINITY_DN87965_c9_g1_i1:44-478|+      -            145 54527at6656          -            350   8.5e-18   63.5   0.0   1   1     9e-20   9.7e-18   63.4   0.0     4   149     1   145     1   145 0.90 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i43:0-278|-      -             93 54527at6656          -            350   2.5e-17   62.0   0.0   1   1   2.6e-19   2.8e-17   61.9   0.0    14   103     1    93     1    93 0.89 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i3:1138-2619|-  -            395 54527at6656          -            350   3.3e-16   58.3   0.0   1   2     7e-12   7.5e-10   37.4   0.1     5   213     5   215     1   232 0.77 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i3:1138-2619|-  -            395 54527at6656          -            350   3.3e-16   58.3   0.0   2   2   2.5e-06   0.00027   19.1   0.0   229   317   264   352   221   379 0.68 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i4:1151-2632|-  -            395 54527at6656          -            350   3.3e-16   58.3   0.0   1   2     7e-12   7.5e-10   37.4   0.1     5   213     5   215     1   232 0.77 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i4:1151-2632|-  -            395 54527at6656          -            350   3.3e-16   58.3   0.0   2   2   2.5e-06   0.00027   19.1   0.0   229   317   264   352   221   379 0.68 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i1:1138-2322|-  -            395 54527at6656          -            350   4.7e-16   57.8   0.0   1   2   6.1e-12   6.5e-10   37.6   0.1     5   214     5   216     1   238 0.77 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i1:1138-2322|-  -            395 54527at6656          -            350   4.7e-16   57.8   0.0   2   2   3.4e-06   0.00036   18.7   0.0   231   317   266   352   219   379 0.68 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i2:1151-2335|-  -            395 54527at6656          -            350   4.7e-16   57.8   0.0   1   2   6.1e-12   6.5e-10   37.6   0.1     5   214     5   216     1   238 0.77 -
78202at6656_294128_0:002083|TRINITY_DN80721_c7_g1_i2:1151-2335|-  -            395 54527at6656          -            350   4.7e-16   57.8   0.0   2   2   3.4e-06   0.00036   18.7   0.0   231   317   266   352   219   379 0.68 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i40:4-318|-      -            105 54527at6656          -            350   1.7e-15   55.9   0.0   1   1   1.8e-17   1.9e-15   55.8   0.0    10   110     2   105     1   105 0.89 -
54527at6656_6973_0:00155a|TRINITY_DN83555_c0_g1_i2:29-346|-       -            106 54527at6656          -            350   1.6e-14   52.8   0.0   1   1   1.6e-16   1.7e-14   52.6   0.0   123   216     1    95     1   105 0.88 -
54527at6656_6973_0:00155a|TRINITY_DN83555_c0_g1_i1:11-346|-       -            112 54527at6656          -            350   1.6e-14   52.7   0.0   1   1   1.5e-16   1.7e-14   52.7   0.0   123   222     1    97     1   112 0.88 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i28:4-303|-      -            100 54527at6656          -            350     2e-14   52.5   0.0   1   1     2e-16   2.2e-14   52.3   0.0    14   110     1   100     1   100 0.89 -
59681at6656_112268_0:002522|TRINITY_DN83555_c2_g1_i6:2-481|-      -            160 54527at6656          -            350   3.6e-14   51.6   0.0   1   1   4.1e-16   4.4e-14   51.3   0.0   188   330     4   157     1   160 0.76 -
78202at6656_286706_0:0017c3|TRINITY_DN84603_c13_g1_i2:1453-2124|- -            224 54527at6656          -            350   2.4e-13   48.9   0.0   1   1   2.3e-15   2.5e-13   48.9   0.0     5   191     1   192     1   224 0.85 -
59681at6656_7200_0:001834|TRINITY_DN77833_c3_g1_i8:8-376|+        -            123 54527at6656          -            350   1.1e-12   46.8   0.0   1   1   1.1e-14   1.2e-12   46.6   0.0   234   331    13   110     6   123 0.83 -
78202at6656_7539_0:0027d5|TRINITY_DN83555_c2_g1_i20:50-481|-      -            144 54527at6656          -            350   1.8e-12   46.1   0.0   1   1     2e-14   2.2e-12   45.7   0.0   160   283     1   142     1   144 0.81 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i5:0-329|+      -            110 54527at6656          -            350   3.2e-12   45.2   0.0   1   1   3.5e-14   3.8e-12   45.0   0.0   252   332    13    86     3   100 0.87 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i7:0-329|+      -            110 54527at6656          -            350   3.2e-12   45.2   0.0   1   1   3.5e-14   3.8e-12   45.0   0.0   252   332    13    86     3   100 0.87 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i3:0-329|+      -            110 54527at6656          -            350   3.3e-12   45.2   0.0   1   1   3.5e-14   3.8e-12   45.0   0.0   252   332    13    86     3   100 0.87 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i4:0-329|+      -            110 54527at6656          -            350   3.3e-12   45.2   0.0   1   1   3.5e-14   3.8e-12   45.0   0.0   252   332    13    86     3   100 0.87 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i8:0-329|+      -            110 54527at6656          -            350   3.4e-12   45.1   0.0   1   1   3.7e-14     4e-12   44.9   0.0   252   332    13    86     3   100 0.86 -
59681at6656_112268_0:002725|TRINITY_DN73906_c1_g2_i6:0-329|+      -            110 54527at6656          -            350   3.6e-12   45.0   0.0   1   1   3.9e-14   4.2e-12   44.8   0.0   252   332    13    86     3   100 0.87 -
59681at6656_112268_0:002522|TRINITY_DN77833_c3_g1_i6:5-421|+      -            139 54527at6656          -            350   1.2e-11   43.4   0.0   1   1   1.4e-13   1.5e-11   43.0   0.0   234   332    14   112     7   126 0.82 -
59681at6656_7200_0:001834|TRINITY_DN77833_c3_g1_i12:8-346|+       -            113 54527at6656          -            350   1.4e-11   43.1   0.0   1   1   1.6e-13   1.7e-11   42.8   0.0   234   329    13   108     6   112 0.86 -
54527at6656_13249_0:002cd0|TRINITY_DN89080_c2_g1_i13:2-280|-      -             93 54527at6656          -            350   8.7e-11   40.5   0.0   1   1     9e-13   9.6e-11   40.3   0.0    10    98     2    93     1    93 0.87 -
59681at6656_112268_0:002522|TRINITY_DN83555_c2_g1_i19:2-406|-     -            135 54527at6656          -            350   1.4e-09   36.5   0.0   1   1   1.6e-11   1.8e-09   36.2   0.0   188   295     4   129     1   134 0.70 -
59681at6656_7536_0:002bce|TRINITY_DN83555_c2_g1_i15:14-379|-      -            122 54527at6656          -            350   5.7e-09   34.5   0.0   1   1   5.6e-11     6e-09   34.4   0.0   231   295    49   120     4   122 0.81 -
59681at6656_7200_0:001834|TRINITY_DN83555_c2_g1_i21:8-283|-       -             92 54527at6656          -            350   8.4e-09   33.9   0.0   1   1   8.5e-11   9.1e-09   33.8   0.0   231   294    22    92     7    92 0.87 -
59681at6656_7200_0:001834|TRINITY_DN77833_c3_g1_i14:0-254|+       -             85 54527at6656          -            350   2.2e-08   32.6   0.0   1   1   2.2e-10   2.3e-08   32.5   0.0   258   330     2    67     1    80 0.86 -
59681at6656_7200_0:001834|TRINITY_DN87347_c2_g1_i3:37-321|-       -             95 54527at6656          -            350   2.3e-08   32.5   0.0   1   1   2.3e-10   2.5e-08   32.4   0.0   231   295    22    93     8    95 0.85 -
59681at6656_197043_0:003c33|TRINITY_DN77833_c3_g1_i4:0-209|+      -             70 54527at6656          -            350   5.3e-08   31.3   0.0   1   1   5.3e-10   5.7e-08   31.2   0.0   258   329     2    66     1    70 0.91 -
59681at6656_7200_0:001834|TRINITY_DN83555_c2_g1_i5:8-259|-        -             84 54527at6656          -            350   6.1e-08   31.1   0.0   1   1   5.8e-10   6.2e-08   31.1   0.0   231   283    22    81     4    84 0.85 -
59681at6656_7200_0:001834|TRINITY_DN83555_c2_g1_i10:8-259|-       -             84 54527at6656          -            350   6.9e-08   31.0   0.0   1   1   6.5e-10     7e-08   30.9   0.0   231   283    22    81     6    84 0.87 -
59681at6656_7200_0:001834|TRINITY_DN83555_c2_g1_i3:8-259|-        -             84 54527at6656          -            350   6.9e-08   31.0   0.0   1   1   6.5e-10     7e-08   30.9   0.0   231   283    22    81     6    84 0.87 -
78202at6656_7539_0:0027d5|TRINITY_DN87347_c1_g1_i2:2-388|+        -            129 54527at6656          -            350   7.4e-08   30.8   0.0   1   1     7e-10   7.6e-08   30.8   0.0   151   245     1    94     1   122 0.79 -
59681at6656_7200_0:001834|TRINITY_DN87347_c2_g1_i6:12-266|-       -             85 54527at6656          -            350   9.2e-08   30.5   0.0   1   1   8.9e-10   9.5e-08   30.5   0.0   239   329     4    83     1    85 0.86 -
59681at6656_197043_0:003c33|TRINITY_DN92997_c1_g1_i2:8-214|-      -             69 54527at6656          -            350   4.1e-07   28.4   0.0   1   1   4.8e-09   5.1e-07   28.1   0.0   260   327     5    65     2    68 0.92 -
59681at6656_197043_0:003c33|TRINITY_DN92997_c1_g1_i5:15-227|-     -             71 54527at6656          -            350   6.4e-07   27.8   0.0   1   1   6.7e-09   7.1e-07   27.6   0.0   260   329     5    67     2    71 0.91 -
59681at6656_7200_0:001834|TRINITY_DN87347_c2_g1_i5:37-321|-       -             95 54527at6656          -            350   1.3e-06   26.7   0.0   1   1   1.3e-08   1.4e-06   26.6   0.0   231   295    22    93     8    95 0.85 -
78202at6656_7539_0:0027d5|TRINITY_DN75674_c0_g1_i10:1-393|-       -            131 54527at6656          -            350   2.2e-06   26.0   0.0   1   1   2.7e-08   2.8e-06   25.6   0.0   170   278     5   131     2   131 0.77 -
78202at6656_7539_0:0027d5|TRINITY_DN75674_c0_g1_i11:1-393|-       -            131 54527at6656          -            350   7.5e-06   24.3   0.0   1   1   8.9e-08   9.5e-06   23.9   0.0   170   278     5   131     2   131 0.79 -
59681at6656_418985_0:0012b8|TRINITY_DN92997_c1_g1_i1:65-289|-     -             75 54527at6656          -            350   5.7e-05   21.4   0.0   1   1   5.7e-07   6.1e-05   21.2   0.0   275   332     1    51     1    67 0.85 -
78202at6656_7539_0:0027d5|TRINITY_DN75674_c0_g1_i6:4-384|-        -            127 54527at6656          -            350   0.00022   19.4   0.0   1   1   2.9e-06   0.00031   18.9   0.0   170   273     5   126     2   127 0.75 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g2_i2:0-224|+      -             75 54527at6656          -            350   0.00035   18.8   0.0   1   1   3.6e-06   0.00039   18.6   0.0   275   332     1    51     1    66 0.84 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g2_i1:0-224|+      -             75 54527at6656          -            350   0.00043   18.5   0.0   1   1   4.4e-06   0.00047   18.3   0.0   275   332     1    51     1    65 0.85 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g2_i9:0-224|+      -             75 54527at6656          -            350   0.00043   18.5   0.0   1   1   4.4e-06   0.00047   18.3   0.0   275   332     1    51     1    65 0.85 -
59681at6656_418985_0:0012b8|TRINITY_DN92997_c1_g1_i4:65-289|-     -             75 54527at6656          -            350    0.0007   17.8   0.0   1   1   7.1e-06   0.00076   17.7   0.0   275   332     1    51     1    67 0.85 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g1_i9:20-244|-     -             75 54527at6656          -            350    0.0013   16.9   0.0   1   1   1.3e-05    0.0014   16.8   0.0   275   333     1    52     1    66 0.83 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g1_i6:20-244|-     -             75 54527at6656          -            350    0.0021   16.2   0.0   1   1   2.2e-05    0.0023   16.1   0.0   275   333     1    52     1    66 0.80 -
54527at6656_6958_0:000dd0|TRINITY_DN83090_c0_g1_i1:60-209|-       -             50 54527at6656          -            350     0.013   13.6   0.0   1   1   0.00012     0.013   13.6   0.0   305   341     2    41     1    46 0.85 -
59681at6656_418985_0:0012b8|TRINITY_DN73906_c1_g1_i8:20-244|-     -             75 54527at6656          -            350     0.013   13.5   0.0   1   1   0.00014     0.015   13.4   0.0   275   333     1    52     1    66 0.81 -
59681at6656_197043_0:003c33|TRINITY_DN73906_c1_g1_i1:26-247|-     -             74 54527at6656          -            350     0.016   13.3   0.0   1   1   0.00016     0.017   13.2   0.0   275   332     1    51     1    65 0.82 -
54527at6656_6958_0:000dd0|TRINITY_DN83090_c0_g1_i2:31-198|-       -             56 54527at6656          -            350     0.022   12.9   0.0   1   1   0.00022     0.023   12.8   0.0   305   340     2    40     1    46 0.83 -
59681at6656_197043_0:003c33|TRINITY_DN83090_c1_g1_i3:24-248|-     -             75 54527at6656          -            350     0.064   11.3   0.0   1   1   0.00065      0.07   11.2   0.0   275   330     1    49     1    64 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/54527at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/54527at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:54 2026
# [ok]
