#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 96592at6656          -            260  2.1e-118  393.7   4.3   1   1  1.4e-116  4.2e-115  382.9   4.3     1   260     1   321     1   321 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-  -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i5:104-970|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i7:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i8:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   1   5   2.2e-05   0.00065   18.5   0.0     2    48     1    47     1    47 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   2   5   4.5e-09   1.3e-07   30.6   0.2     2    75    43   122    42   128 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   3   5    0.0011     0.032   12.9   0.0     3    44   128   169   126   174 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   4   5   0.00021     0.006   15.3   0.1     9    62   177   230   169   252 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i9:105-971|-   -            289 96592at6656          -            260   1.8e-21   76.0   4.2   5   5       3.6   1.1e+02    1.4   0.0    18    54   231   267   228   281 0.85 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   1   7   0.00088     0.026   13.2   0.0     3    53    14    64    12    68 0.94 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   2   7      0.24         7    5.3   0.0     4    34    57    87    54    93 0.82 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   3   7    0.0024     0.071   11.8   0.0   220   259    97   136    91   137 0.88 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   4   7      0.19       5.7    5.6   0.0   227   253   146   172   138   179 0.58 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   5   7     0.025      0.74    8.5   0.0   226   252   187   213   179   223 0.87 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   6   7     0.038       1.1    7.9   0.0   222   250   225   253   218   259 0.87 -
83755at6656_6850_0:004bd0|TRINITY_DN73621_c6_g1_i2:44-937|+       -            298 96592at6656          -            260   2.4e-18   65.8   3.5   7   7    0.0031     0.092   11.4   0.1   220   250   265   295   259   297 0.90 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   1   5      0.19       5.7    5.6   0.0     1    34     7    40     7    46 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   2   5      0.15       4.3    6.0   0.0   227   254    70    97    66   102 0.86 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   3   5   3.5e-05     0.001   17.8   0.1     4    63   106   163   103   188 0.79 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   4   5   0.00027     0.008   14.9   0.1     2    55   187   240   186   275 0.87 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i1:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   5   5    0.0017     0.049   12.3   0.0   220   251   280   311   275   322 0.88 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   1   5      0.19       5.7    5.6   0.0     1    34     7    40     7    46 0.92 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   2   5      0.15       4.3    6.0   0.0   227   254    70    97    66   102 0.86 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   3   5   3.5e-05     0.001   17.8   0.1     4    63   106   163   103   188 0.79 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   4   5   0.00027     0.008   14.9   0.1     2    55   187   240   186   275 0.87 -
58110at6656_7213_0:0002de|TRINITY_DN86682_c13_g1_i5:628-1665|-    -            346 96592at6656          -            260     8e-17   60.8   3.1   5   5    0.0017     0.049   12.3   0.0   220   251   280   311   275   322 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   4.3e-16   58.4   9.8   1   3      0.14       4.3    6.0   0.2    33    67     1    36     1    37 0.80 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   4.3e-16   58.4   9.8   2   3   9.5e-07   2.8e-05   23.0   0.1    17    76    25    88    21    92 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-   -            246 96592at6656          -            260   4.3e-16   58.4   9.8   3   3     2e-10   5.9e-09   35.0   1.3     2   161    92   246    91   246 0.85 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 96592at6656          -            260   4.8e-16   58.3   4.2   1   4      0.55        16    4.1   0.0   134   203     5    80     2    84 0.75 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 96592at6656          -            260   4.8e-16   58.3   4.2   2   4   0.00068      0.02   13.6   0.2     9    75    94   165    86   170 0.73 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 96592at6656          -            260   4.8e-16   58.3   4.2   3   4   0.00044     0.013   14.2   0.0   222   250   172   200   167   208 0.89 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i10:340-1200|+  -            287 96592at6656          -            260   4.8e-16   58.3   4.2   4   4     2e-07     6e-06   25.2   0.1     8    65   220   277   211   285 0.90 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i4:366-1226|+   -            287 96592at6656          -            260   4.8e-16   58.3   4.2   1   4      0.55        16    4.1   0.0   134   203     5    80     2    84 0.75 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i4:366-1226|+   -            287 96592at6656          -            260   4.8e-16   58.3   4.2   2   4   0.00068      0.02   13.6   0.2     9    75    94   165    86   170 0.73 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i4:366-1226|+   -            287 96592at6656          -            260   4.8e-16   58.3   4.2   3   4   0.00044     0.013   14.2   0.0   222   250   172   200   167   208 0.89 -
71018at6656_286706_0:003768|TRINITY_DN93240_c4_g1_i4:366-1226|+   -            287 96592at6656          -            260   4.8e-16   58.3   4.2   4   4     2e-07     6e-06   25.2   0.1     8    65   220   277   211   285 0.90 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   1   5      0.43        13    4.5   0.0     2    34     1    33     1    39 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   2   5      0.13         4    6.1   0.0   227   254    63    90    59    95 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   3   5   3.6e-05    0.0011   17.8   0.1     4    63    99   156    96   180 0.81 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   4   5    0.0016     0.048   12.4   0.0     2    75   180   255   179   262 0.74 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   5   5    0.0016     0.047   12.4   0.0   220   251   260   291   256   302 0.88 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   1   5      0.43        13    4.5   0.0     2    34     1    33     1    39 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   2   5      0.13         4    6.1   0.0   227   254    63    90    59    95 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   3   5   3.6e-05    0.0011   17.8   0.1     4    63    99   156    96   180 0.81 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   4   5    0.0016     0.048   12.4   0.0     2    75   180   255   179   262 0.74 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i7:628-2076|-  -            326 96592at6656          -            260   6.2e-16   57.9   1.7   5   5    0.0016     0.047   12.4   0.0   220   251   260   291   256   302 0.88 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   6.3e-16   57.9   1.0   1   4    0.0094      0.28    9.9   0.0   220   258    12    50     8    52 0.89 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   6.3e-16   57.9   1.0   2   4     0.009      0.26    9.9   0.0     2    33    54    85    53    95 0.87 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   6.3e-16   57.9   1.0   3   4     4e-07   1.2e-05   24.2   0.0     2    52    96   146    94   151 0.93 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 96592at6656          -            260   6.3e-16   57.9   1.0   4   4   0.00096     0.028   13.1   0.0     4    55   140   191   140   206 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+   -            476 96592at6656          -            260   1.1e-15   57.1   8.5   1   5      0.11       3.1    6.4   0.0   221   252    99   130    91   138 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+   -            476 96592at6656          -            260   1.1e-15   57.1   8.5   2   5      0.67        20    3.8   0.2     3    63   141   202   139   225 0.75 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+   -            476 96592at6656          -            260   1.1e-15   57.1   8.5   3   5   9.3e-06   0.00027   19.7   0.1     2    66   232   297   231   305 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+   -            476 96592at6656          -            260   1.1e-15   57.1   8.5   4   5   1.2e-06   3.5e-05   22.7   0.2     2    72   359   435   358   440 0.81 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i3:188-1615|+   -            476 96592at6656          -            260   1.1e-15   57.1   8.5   5   5      0.63        19    3.9   0.0   222   250   445   473   440   475 0.82 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+   -            475 96592at6656          -            260   1.2e-15   57.0   8.7   1   5      0.11       3.1    6.4   0.0   221   252    99   130    91   138 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+   -            475 96592at6656          -            260   1.2e-15   57.0   8.7   2   5      0.67        20    3.8   0.2     3    63   141   202   139   225 0.75 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+   -            475 96592at6656          -            260   1.2e-15   57.0   8.7   3   5   9.6e-06   0.00028   19.7   0.1     2    66   232   297   231   303 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+   -            475 96592at6656          -            260   1.2e-15   57.0   8.7   4   5   1.7e-06     5e-05   22.1   0.2     2    66   358   425   357   436 0.80 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i5:188-1901|+   -            475 96592at6656          -            260   1.2e-15   57.0   8.7   5   5      0.65        19    3.9   0.0   222   250   444   472   440   474 0.81 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   1   6    0.0026     0.078   11.7   0.0     4    53     1    50     1    54 0.94 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   2   6      0.11       3.1    6.4   0.0     4    35    43    74    40    89 0.80 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   3   6    0.0017     0.051   12.3   0.0   220   259    83   122    76   123 0.88 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   4   6      0.13       3.9    6.1   0.0   227   253   132   158   124   167 0.57 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   5   6      0.02       0.6    8.8   0.0   226   252   173   199   165   205 0.86 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 96592at6656          -            260   3.3e-15   55.5   0.7   6   6     0.032      0.94    8.1   0.0   222   250   211   239   204   243 0.87 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-   -            260 96592at6656          -            260   3.4e-15   55.5   4.3   1   5       0.8        24    3.6   0.0   226   258     1    33     1    35 0.86 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-   -            260 96592at6656          -            260   3.4e-15   55.5   4.3   2   5    0.0096      0.28    9.9   0.0     2    34    37    69    36    80 0.85 -
71018at6656_88015_0:001b15|TRINITY_DN79934_c8_g3_i3:2353-3132|-   -            260 96592at6656          -            260   3.4e-15   55.5   4.3   3   5   5.3e-07   1.6e-05   23.8   0.0     2    52    79   129    78   134 0.93 -
